code,name,price,pe_inv,pb_inv,ps_inv,pcf_inv,dividend,chg_5d,chg_10d,chg_20d,chg_60d,chg_ytd,turnover,market_cap,volume_ratio,value_score,quality_score,growth_score,momentum_score,volatility_score,liquidity_score,combined_factor,weight
sh603565,中谷物流,10.72,0.08888888888888889,0.46511627906976744,0.4716981132075471,0.13054830287206265,11.38,-7.98,-6.38,-4.8,5.2,6.77,1.49,22513000000.0,1.57,1.1047014300881557,1.7291435653944898,-0.37154447683342445,2.4673842297245168,0.13113332274017936,0.03185428863653384,1.232486224395632,0.06038529719515371
sz000039,中集集团,11.11,0.00368582064796727,0.7751937984496123,2.6315789473684212,0.30864197530864196,1.58,-4.55,-6.72,-2.54,15.49,10.11,2.12,59911000000.0,0.83,0.6169111882310483,0.5143654909717785,-0.560959308160268,2.656606558655553,-0.2695518300770355,1.9412753864096404,1.2005319381633945,0.06036381958510841
sh600483,福能股份,9.86,0.10416666666666667,1.0204081632653061,0.49504950495049505,0.1763668430335097,3.88,-3.52,-4.64,-10.12,3.9,4.12,1.37,27412000000.0,1.3,1.612218483196838,1.3169215761759723,-0.12384815894447482,1.9484279414681067,0.3496888606404782,0.22515370841109478,1.1461025965864169,0.05078706663594878
sz002271,东方雨虹,15.07,0.008965393580778195,0.5714285714285714,0.8,0.09505703422053233,6.14,-7.49,-3.95,-2.46,-4.2,10.89,1.96,35998000000.0,0.58,0.23492838854147466,1.663479885695965,-0.590100051441321,1.5699832836060323,0.8596517824078425,1.37080636707496,1.07150634866012,0.04008041021899225
sz000933,神火股份,32.84,0.075642965204236,0.36363636363636365,0.5952380952380952,0.15015015015015015,1.51,-5.5,-2.52,11.85,5.43,19.55,1.75,73857000000.0,1.0,1.0015840076367453,0.48518163332798947,-0.9252185991734291,1.9952651515995514,0.07285184596676635,1.9365607664151399,1.0511009129325797,0.037566954437568044
sz000729,燕京啤酒,12.61,0.050050050050050046,0.4424778761061947,0.4385964912280702,0.07496251874062969,2.3,-2.1,-11.57,0.0,3.11,12.29,1.78,35542000000.0,1.18,0.6778849684631866,0.8536278360808239,-0.6702370954642166,1.8416391023684124,0.990785105148022,1.2482262472179206,1.044188781247235,0.03675179345598004
sh600873,梅花生物,10.15,0.08361204013377926,0.5780346820809249,0.8403361344537815,0.08431703204047218,4.22,-6.8,-7.98,-11.59,-5.49,0.2,1.64,28463000000.0,0.57,1.237857406036282,1.4008251669018652,0.14206112349513292,1.6411758430058287,-0.4334684835022594,0.6211817879492214,1.0222329293792345,0.03427798825984314
sh600352,浙江龙盛,13.41,0.04192872117400419,0.7462686567164178,0.3048780487804878,0.13386880856760375,3.36,1.67,-4.49,1.67,3.95,25.8,2.02,43627000000.0,1.69,0.9029499513788743,1.1855942167789224,-1.1292038021407993,1.1390809503967398,1.5153183961087395,1.7196882466680712,1.0108503175786423,0.03306175585639904
sz000423,东阿阿胶,52.0,0.05192107995846313,0.30864197530864196,0.2,0.06835269993164729,4.88,-3.76,-5.04,-7.32,3.69,5.95,0.95,33487000000.0,0.72,0.23492838854147466,1.4956727042441789,-0.29140743281052883,1.9952651515995523,0.6483814291042201,-0.0011480513249761575,0.9684785365405455,0.02890161221086031
sh601598,中国外运,6.06,0.09250693802035152,0.9523809523809523,2.2222222222222223,0.07097232079488999,4.79,0.0,-3.5,4.3,3.95,0.0,0.21,43473000000.0,0.85,1.5736615339323978,1.4628408643949162,0.1712018667761856,1.2084000213912782,1.522603580705416,-0.6643379305515208,0.9608672645516584,0.028211809783392144
