股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
A,374,34.8,2022-01-03,2026-04-17,-16.36,26.41,0.0,-1.73,5,-12.34,21.1,0.0,-1.53,2,-16.66,34.77,27.3,-0.89,11,-9.45,19.97,30.0,-0.87,10,-0.3,18.87,0.15,-16.06
AAP,190,17.7,2022-01-03,2026-04-17,-13.97,16.22,0.0,-1.19,1,-16.45,12.68,0.0,-1.68,2,-31.21,38.84,20.0,-1.52,6,-37.16,37.22,0.0,-2.33,6,-21.12,44.99,-0.14,7.15
AAPL,691,52.0,2021-01-04,2026-04-17,-5.9,30.41,31.2,-0.44,16,0.58,15.45,60.0,0.13,10,2.49,24.19,33.3,0.28,16,-4.86,21.62,28.6,-0.39,22,25.97,14.88,1.27,-31.87
ABBV,584,54.3,2022-01-03,2026-04-17,-0.07,18.85,40.0,0.09,10,-3.69,20.16,40.0,-0.21,10,-5.98,25.89,23.5,-0.29,17,-2.05,15.48,40.0,-0.08,15,19.05,13.9,1.01,-19.12
ABNB,415,31.2,2021-01-04,2026-04-17,-8.43,22.55,20.0,-0.91,5,-8.09,17.9,0.0,-1.24,3,-27.99,53.7,22.2,-1.06,10,-28.15,43.51,40.0,-1.34,11,-12.07,47.06,-0.1,3.64
ABT,420,39.0,2022-01-03,2026-04-17,-11.06,18.41,12.5,-1.14,8,-13.3,21.17,0.0,-2.11,7,-4.09,16.65,25.0,-0.23,8,-9.69,19.25,33.3,-1.01,15,12.06,12.1,0.75,-23.12
ACGL,594,55.2,2022-01-03,2026-04-17,11.19,14.93,66.7,0.87,15,-6.49,25.13,27.3,-0.56,11,23.59,12.85,54.5,1.34,12,12.27,9.05,50.0,1.2,15,37.15,16.42,1.71,-25.96
ACN,329,30.6,2022-01-03,2026-04-17,2.94,15.71,20.0,0.35,5,0.03,9.55,28.6,0.06,7,-8.13,23.84,22.2,-0.45,9,0.9,10.56,30.8,0.17,13,11.79,14.24,0.73,-8.85
ADBE,291,21.9,2021-01-04,2026-04-17,-2.78,20.77,42.9,-0.03,7,5.68,13.79,40.0,0.47,5,9.69,15.6,33.3,0.61,7,13.58,10.36,50.0,1.13,7,-5.23,48.19,0.23,2.45
ADI,668,50.3,2021-01-04,2026-04-17,7.48,26.4,27.3,0.6,12,-3.49,28.25,27.3,-0.24,11,2.89,33.1,21.1,0.29,20,2.1,31.5,37.5,0.24,25,37.18,17.58,1.45,-29.7
ADM,252,23.4,2022-01-03,2026-04-17,-0.64,7.37,66.7,-0.0,3,-1.67,7.37,66.7,-0.15,3,-4.55,27.17,28.6,-0.15,7,-9.66,16.8,14.3,-0.83,7,-15.04,40.64,-0.25,14.4
ADP,694,52.3,2021-01-04,2026-04-17,-7.81,24.64,20.0,-0.77,15,-2.43,18.07,22.2,-0.24,9,-7.04,33.26,23.8,-0.52,21,-2.54,17.53,27.3,-0.22,22,17.06,14.86,0.98,-24.87
ADSK,485,36.5,2021-01-04,2026-04-17,-0.44,14.66,28.6,0.04,7,3.88,9.53,25.0,0.48,4,-18.31,46.32,18.2,-0.56,11,-9.97,23.17,20.0,-0.81,15,-0.22,40.08,0.24,-0.22
AEE,432,40.1,2022-01-03,2026-04-17,-4.89,13.79,44.4,-0.5,9,-4.3,14.61,33.3,-0.61,6,-0.95,16.07,41.7,0.0,13,5.94,6.92,41.7,0.76,13,20.92,9.17,1.39,-25.81
AEP,727,54.7,2021-01-04,2026-04-17,10.91,11.06,71.4,1.0,14,8.39,11.07,63.6,0.85,11,15.76,12.6,69.2,1.2,14,13.85,9.04,50.0,1.45,18,24.4,19.67,1.42,-13.49
AFL,751,69.8,2022-01-03,2026-04-17,2.67,16.6,29.4,0.35,17,4.57,9.52,42.9,0.64,7,7.16,22.88,25.0,0.59,17,-9.1,29.24,29.2,-0.78,25,27.27,13.66,1.61,-24.6
AIG,522,48.5,2022-01-03,2026-04-17,-1.23,16.55,44.4,-0.05,9,-4.68,17.22,22.2,-0.51,9,-9.56,28.06,26.7,-0.59,16,-14.56,28.83,31.6,-1.36,20,17.52,11.59,1.03,-18.75
AJG,681,63.3,2022-01-03,2026-04-17,-3.66,21.29,36.8,-0.27,19,-8.13,25.59,18.2,-1.07,11,1.89,20.8,42.9,0.24,14,1.03,14.98,38.1,0.17,21,25.11,12.78,1.48,-28.77
AKAM,303,28.2,2022-01-03,2026-04-17,-20.79,35.72,28.6,-0.83,7,-15.05,29.19,40.0,-0.89,5,6.93,23.49,40.0,0.45,5,-11.3,22.99,33.3,-0.54,9,3.55,34.94,0.34,-24.34
ALB,206,19.1,2022-01-03,2026-04-17,31.3,19.98,50.0,1.24,4,9.75,19.41,100.0,0.59,1,-59.21,74.63,50.0,-0.24,5,-67.32,70.81,40.0,-0.64,6,-21.15,76.04,0.67,52.45
ALGN,228,21.2,2022-01-03,2026-04-17,-3.26,15.82,50.0,-0.03,3,-7.15,16.44,50.0,-0.65,2,-5.72,18.95,25.0,-0.1,5,-13.7,24.96,20.0,-0.78,6,-47.26,58.14,-0.7,44.0
ALL,649,60.3,2022-01-03,2026-04-17,-3.47,21.36,35.7,-0.25,14,-4.41,22.86,37.5,-0.46,8,-9.16,42.65,10.0,-0.54,21,-1.11,18.63,40.0,-0.03,21,22.99,12.73,1.23,-26.46
ALLE,567,52.7,2022-01-03,2026-04-17,1.02,14.44,36.4,0.17,11,0.92,14.91,28.6,0.16,7,15.07,14.93,62.5,1.03,8,-4.5,14.35,25.0,-0.3,16,21.5,14.86,1.13,-20.48
ALNY,517,38.9,2021-01-04,2026-04-17,2.14,32.73,25.0,0.25,8,-10.89,30.48,28.6,-0.73,7,15.46,22.88,30.0,0.66,10,7.56,17.68,61.5,0.45,13,38.46,22.72,1.07,-36.32
AMAT,656,49.4,2021-01-04,2026-04-17,5.08,17.78,35.7,0.38,14,3.51,17.78,44.4,0.32,9,26.11,23.37,53.8,1.02,14,9.44,19.68,47.1,0.61,18,54.26,35.84,1.47,-49.18
AMCR,203,18.9,2022-01-03,2026-04-17,-3.34,8.06,33.3,-0.4,3,-4.6,5.48,0.0,-1.46,2,-11.27,11.13,16.7,-1.04,6,-13.53,11.83,28.6,-1.57,7,-18.97,19.59,-0.72,15.63
AMD,620,46.7,2021-01-04,2026-04-17,-9.91,55.03,25.0,-0.18,9,6.25,25.31,28.6,0.43,8,16.84,45.23,28.6,0.7,15,13.31,31.94,31.2,0.65,17,42.4,49.59,1.11,-52.31
AME,683,63.5,2022-01-03,2026-04-17,0.39,19.65,38.5,0.11,14,-0.02,13.72,30.0,0.04,10,6.08,16.28,28.6,0.52,15,4.59,13.84,35.0,0.47,21,22.45,13.56,1.3,-22.06
AMGN,664,50.0,2021-01-04,2026-04-17,-7.78,25.11,30.8,-0.59,13,-2.04,19.98,44.4,-0.13,9,-1.14,28.18,35.3,0.04,17,-0.19,23.89,28.6,0.07,21,24.86,16.75,1.27,-32.64
AMP,543,50.5,2022-01-03,2026-04-17,9.64,8.96,37.5,0.92,8,0.74,11.62,33.3,0.15,9,10.79,16.46,33.3,0.8,13,3.75,16.06,52.9,0.45,18,28.53,16.63,1.41,-18.89
AMT,265,24.6,2022-01-03,2026-04-17,-13.38,21.2,20.0,-1.27,5,0.15,7.53,33.3,0.08,3,-0.93,12.62,20.0,0.04,5,-5.37,16.72,33.3,-0.35,6,3.17,15.88,0.3,-16.55
AMZN,633,47.7,2021-01-04,2026-04-17,-11.79,29.84,27.3,-1.08,11,-6.13,20.88,25.0,-0.85,8,-2.27,23.42,14.3,0.0,15,-5.41,22.58,27.3,-0.27,22,12.67,35.3,0.64,-24.46
ANET,746,69.3,2022-01-03,2026-04-17,-18.07,51.76,27.8,-0.82,18,-13.83,42.29,25.0,-0.86,8,4.37,36.0,41.2,0.37,18,-13.54,51.99,40.7,-0.47,28,77.91,27.53,1.75,-95.98
AON,415,38.6,2022-01-03,2026-04-17,-3.95,14.86,46.2,-0.32,13,-7.2,11.58,16.7,-0.98,6,-0.91,16.2,44.4,0.01,9,9.58,5.38,63.6,1.34,11,13.8,11.99,1.0,-17.75
AOS,456,42.4,2022-01-03,2026-04-17,-15.01,26.26,11.1,-1.39,9,-11.16,19.76,14.3,-1.75,7,-16.5,29.0,20.0,-0.98,15,-0.07,14.71,41.7,0.08,12,12.89,24.11,0.69,-27.9
APA,287,26.7,2022-01-03,2026-04-17,6.98,19.65,50.0,0.52,2,-2.87,19.65,50.0,-0.07,2,4.93,37.31,28.6,0.38,7,25.9,28.68,33.3,1.25,6,1.32,51.72,0.4,5.66
APD,410,38.1,2022-01-03,2026-04-17,-12.65,26.7,22.2,-1.1,9,-9.44,18.11,16.7,-1.38,6,-4.07,26.79,30.8,-0.17,14,-10.17,18.46,10.0,-0.97,11,15.55,17.84,0.83,-28.2
APH,781,72.6,2022-01-03,2026-04-17,18.26,19.86,72.7,1.28,11,9.3,19.94,38.5,0.92,13,19.2,29.43,40.0,1.0,16,-3.16,36.32,44.0,-0.1,26,59.79,23.85,1.98,-41.53
APO,568,52.8,2022-01-03,2026-04-17,29.28,10.82,55.6,1.73,9,23.13,8.17,66.7,1.63,6,30.68,19.42,42.9,1.42,7,13.54,14.42,42.1,1.05,19,38.06,22.61,1.43,-8.78
APP,672,53.4,2021-04-15,2026-04-17,85.5,44.18,40.0,1.62,15,54.25,59.11,44.4,1.31,9,124.21,38.59,42.9,1.9,14,68.35,27.75,65.0,1.73,20,213.93,54.95,2.3,-128.43
APT,283,26.3,2022-01-03,2026-04-17,6.0,27.82,40.0,0.41,5,-10.68,29.9,40.0,-0.33,5,6.18,27.69,40.0,0.42,5,10.52,17.95,42.9,0.63,7,3.88,29.62,0.36,2.12
ARES,626,58.2,2022-01-03,2026-04-17,0.44,14.97,44.4,0.13,9,-2.33,19.21,44.4,-0.15,9,13.78,17.61,40.0,0.79,16,1.08,22.29,45.5,0.18,23,45.21,18.78,1.71,-44.77
ARM,235,36.2,2023-09-14,2026-04-17,-48.77,50.29,0.0,-2.56,6,-8.78,8.21,0.0,-1.6,2,-39.92,46.39,0.0,-0.99,8,-36.98,43.03,11.1,-1.19,9,-11.83,40.76,0.12,-36.94
ASML,592,44.6,2021-01-04,2026-04-17,1.81,20.9,36.4,0.23,11,3.37,23.64,50.0,0.33,6,11.86,31.3,30.8,0.62,14,8.0,23.09,35.7,0.56,15,32.31,38.14,1.04,-30.5
ATO,697,64.8,2022-01-03,2026-04-17,4.38,11.79,30.8,0.6,13,-2.12,22.4,20.0,-0.28,10,0.07,19.79,26.3,0.09,20,-0.61,12.29,39.1,-0.01,23,23.49,9.92,1.68,-19.11
AVB,355,33.0,2022-01-03,2026-04-17,1.03,12.75,25.0,0.18,4,4.19,5.46,50.0,0.64,2,1.07,15.36,25.0,0.17,8,-4.53,9.06,27.3,-0.53,11,16.37,11.12,1.1,-15.34
AVGO,925,69.7,2021-01-04,2026-04-17,11.44,29.1,33.3,0.64,18,-6.85,39.51,26.7,-0.25,15,23.44,32.45,41.7,0.88,25,7.4,33.95,40.6,0.46,33,80.71,28.03,1.81,-69.27
AVY,395,36.7,2022-01-03,2026-04-17,2.59,6.65,75.0,0.43,4,1.46,4.98,75.0,0.31,4,-14.21,21.35,23.1,-1.13,13,-9.27,14.51,23.1,-1.26,13,3.36,20.94,0.31,-0.77
AWK,303,28.2,2022-01-03,2026-04-17,0.3,6.1,75.0,0.09,4,-1.92,7.61,50.0,-0.31,2,-17.12,21.53,14.3,-1.52,8,-0.58,7.73,50.0,-0.01,7,-3.77,18.35,-0.05,4.07
AXON,741,55.8,2021-01-04,2026-04-17,8.24,34.0,41.2,0.51,17,5.27,23.19,30.0,0.4,10,20.2,35.6,31.2,0.82,17,7.48,29.97,40.0,0.5,21,58.56,35.53,1.44,-50.32
AXP,591,54.9,2022-01-03,2026-04-17,-1.24,22.61,27.3,-0.02,11,-1.81,21.57,22.2,-0.17,9,10.22,13.01,33.3,0.73,12,-7.73,23.51,42.9,-0.73,21,33.9,16.16,1.46,-35.14
AZO,713,66.3,2022-01-03,2026-04-17,-4.86,22.18,37.5,-0.38,16,-8.88,28.75,33.3,-0.93,12,-2.21,21.57,28.6,-0.05,21,0.05,18.42,38.1,0.08,21,19.66,14.65,1.15,-24.52
