Date,Open,High,Low,Close,Volume
2015-08-04,8.19,8.58,8.18,8.52,224041
2015-08-05,8.4,8.51,8.12,8.16,210716
2015-08-06,8.0,8.2,7.93,8.05,118014
2015-08-07,8.12,8.38,8.09,8.29,200183
2015-08-10,8.33,8.71,8.28,8.62,303424
2015-08-11,8.58,8.89,8.53,8.63,353523
2015-08-12,8.45,8.61,8.36,8.37,230547
2015-08-13,8.37,8.62,8.29,8.61,222280
2015-08-14,8.65,8.77,8.56,8.7,295450
2015-08-17,8.63,9.15,8.61,9.0,368665
2015-08-18,9.0,9.05,8.1,8.1,360105
2015-08-19,7.8,8.27,7.5,8.16,255783
2015-08-20,8.06,8.32,7.87,7.9,184892
2015-08-21,7.7,7.89,7.35,7.4,178166
2015-08-24,7.1,7.2,6.66,6.66,181790
2015-08-25,6.0,6.16,5.99,5.99,330103
2015-08-26,6.06,6.17,5.45,5.45,302372
2015-08-27,5.65,5.75,5.25,5.71,221202
2015-08-28,5.9,6.14,5.71,6.12,246356
2015-08-31,6.05,6.48,6.0,6.13,326565
2015-09-01,6.08,6.1,5.6,5.7,218985
2015-09-02,5.43,6.06,5.39,5.98,278899
2015-09-07,6.08,6.28,5.97,6.07,182731
2015-09-08,6.01,6.28,5.92,6.27,161978
2015-09-09,6.38,6.55,6.27,6.44,287024
2015-09-10,6.31,6.39,6.17,6.17,144004
2015-09-11,6.19,6.28,6.06,6.16,122857
2015-09-14,6.15,6.24,5.54,5.57,174696
2015-09-15,5.52,5.59,5.05,5.15,147730
2015-09-16,5.18,5.67,5.16,5.63,147039
2015-09-17,5.58,5.84,5.47,5.47,163052
2015-09-18,5.55,5.56,5.39,5.53,103659
2015-09-21,5.45,5.72,5.41,5.71,113265
2015-09-22,5.71,6.16,5.68,6.02,224714
2015-09-23,5.88,6.0,5.64,5.74,167344
2015-09-24,5.72,5.85,5.71,5.8,92039
2015-09-25,5.78,5.79,5.53,5.58,94136
2015-09-28,5.58,5.66,5.49,5.63,88470
2015-09-29,5.46,5.54,5.4,5.44,89667
2015-09-30,5.46,5.55,5.45,5.5,61464
