Date,Open,High,Low,Close,Volume
2021-12-10,45.0,45.0,40.69,41.1,19804059
2021-12-13,40.36,40.88,39.6,40.11,7853655
2021-12-14,40.0,40.75,39.8,40.64,5873517
2021-12-15,40.59,40.59,39.91,40.06,3891430
2021-12-16,40.08,40.34,39.81,40.12,3283677
2021-12-17,40.04,40.25,39.81,39.87,2501853
2021-12-20,40.0,40.0,39.19,39.2,3065703
2021-12-21,39.2,39.45,39.0,39.13,1959554
2021-12-22,39.06,39.39,39.06,39.13,1422293
2021-12-23,39.1,39.19,38.22,38.31,2954477
2021-12-24,38.22,38.3,36.64,36.66,4713601
2021-12-27,36.73,36.93,36.53,36.78,1352040
2021-12-28,36.79,37.22,36.77,37.01,1058017
2021-12-29,37.19,37.19,36.81,36.83,1061274
2021-12-30,36.72,37.35,36.7,36.85,1491995
2021-12-31,36.9,37.33,36.88,37.01,1267914
2022-01-04,37.01,37.26,36.95,37.08,1010604
2022-01-05,37.0,37.14,36.41,36.47,1804335
2022-01-06,36.79,37.06,36.7,36.85,1048126
2022-01-07,36.84,37.16,36.8,36.82,1079327
2022-01-10,36.82,37.0,36.75,36.93,837540
2022-01-11,36.88,37.04,36.8,36.87,857452
2022-01-12,36.83,37.18,36.83,37.1,1020795
2022-01-13,37.1,37.15,36.71,36.73,1084704
2022-01-14,36.7,38.7,36.62,38.46,4088372
2022-01-17,38.04,38.27,36.81,37.28,2699132
2022-01-18,37.02,37.15,36.8,36.88,1464494
2022-01-19,37.2,37.23,36.7,36.9,865800
2022-01-20,36.79,37.09,36.68,36.71,1086862
2022-01-21,36.7,36.74,36.02,36.02,1272567
2022-01-24,35.98,35.98,35.53,35.54,750869
2022-01-25,35.55,35.95,33.96,33.98,1132633
2022-01-26,33.95,34.25,33.05,33.51,861049
2022-01-27,33.46,33.7,31.92,31.95,1124101
2022-01-28,32.67,32.67,32.06,32.19,519717
2022-02-07,32.7,32.7,32.3,32.53,349407
2022-02-08,32.45,32.62,32.34,32.56,642075
2022-02-09,32.5,32.78,32.39,32.69,677585
2022-02-10,32.7,32.8,32.56,32.6,485366
2022-02-11,32.5,32.56,31.95,32.14,646541
2022-02-14,32.14,32.47,32.07,32.31,508228
2022-02-15,32.31,32.59,32.19,32.58,385887
2022-02-16,32.58,32.67,32.5,32.61,348663
2022-02-17,32.65,32.66,32.48,32.55,330495
2022-02-18,32.51,32.53,32.3,32.52,329765
2022-02-21,32.56,32.75,32.5,32.7,451918
2022-02-22,32.48,32.6,32.2,32.4,446091
2022-02-23,32.4,32.75,32.35,32.68,502505
2022-02-24,32.68,33.29,32.0,32.3,1164243
2022-02-25,32.43,32.69,32.3,32.5,689298
2022-02-28,32.29,32.48,32.17,32.32,550929
2022-03-01,32.4,32.47,32.24,32.41,378533
2022-03-02,32.46,32.46,32.16,32.4,348191
2022-03-03,32.46,33.1,32.4,32.78,851792
2022-03-04,32.7,33.02,32.48,32.63,673000
2022-03-07,32.53,32.69,32.03,32.18,554298
2022-03-08,32.03,32.26,30.91,30.98,836587
2022-03-09,31.01,31.2,28.68,29.87,865093
2022-03-10,30.19,30.39,30.07,30.13,317734
2022-03-11,29.91,30.65,29.6,30.45,563494
2022-03-14,30.45,30.68,29.96,30.0,291086
2022-03-15,30.1,30.1,28.72,28.72,795180
2022-03-16,28.84,29.11,27.72,28.7,938877
2022-03-17,28.95,29.43,28.87,29.06,860242
2022-03-18,29.11,29.61,28.94,29.38,675840
2022-03-21,29.07,29.64,29.07,29.45,646679
2022-03-22,29.45,29.5,29.11,29.33,436842
2022-03-23,29.21,29.46,29.21,29.26,357444
2022-03-24,29.25,29.25,28.93,29.07,386145
2022-03-25,29.08,29.34,28.96,29.0,315959
2022-03-28,28.85,28.94,28.6,28.67,353031
2022-03-29,28.85,28.85,28.04,28.11,391092
2022-03-30,28.12,28.36,28.03,28.29,303876
2022-03-31,28.18,28.84,28.09,28.37,485167
2022-04-01,28.16,28.36,28.06,28.19,420156
2022-04-06,28.02,28.35,28.02,28.2,431136
2022-04-07,28.08,28.17,27.73,27.73,481515
2022-04-08,27.75,27.75,26.85,27.05,561153
2022-04-11,26.98,26.98,25.92,25.99,486320
2022-04-12,25.85,26.45,25.8,26.29,328819
2022-04-13,26.32,26.32,25.9,25.96,264308
2022-04-14,25.91,26.08,25.9,25.96,276963
2022-04-15,25.92,25.92,25.1,25.15,541716
2022-04-18,24.49,25.02,24.37,24.82,395921
2022-04-19,24.79,25.14,24.73,24.81,242201
2022-04-20,24.95,25.06,24.65,24.68,291096
2022-04-21,24.68,24.78,23.91,23.92,427897
2022-04-22,23.55,23.82,23.03,23.24,443984
2022-04-25,23.14,23.14,20.9,20.9,769821
2022-04-26,20.9,21.06,19.5,19.6,759633
2022-04-27,19.02,19.85,19.02,19.74,696088
2022-04-28,19.7,20.31,19.62,19.71,683162
2022-04-29,20.02,21.26,19.76,20.71,1216409
2022-05-05,20.71,21.5,20.62,21.31,566260
2022-05-06,20.77,22.16,20.75,21.94,919152
2022-05-09,21.93,23.49,21.9,22.93,1035265
2022-05-10,22.4,23.4,22.4,23.34,648939
2022-05-11,23.07,24.24,23.07,23.46,919477
2022-05-12,23.23,23.9,23.18,23.54,403286
2022-05-13,23.5,23.8,23.22,23.46,246177
2022-05-16,23.67,24.88,23.67,24.4,901617
2022-05-17,24.43,24.54,23.98,24.31,346635
2022-05-18,24.08,24.5,23.98,24.1,260362
2022-05-19,24.03,24.2,23.78,23.87,287608
2022-05-20,23.99,24.2,23.81,23.98,248548
2022-05-23,24.15,24.37,23.95,24.19,251342
2022-05-24,24.05,24.56,22.94,23.0,686252
2022-05-25,23.1,23.41,22.92,23.06,246970
2022-05-26,23.06,23.37,22.83,23.15,210647
2022-05-27,23.25,23.5,22.94,22.99,241086
2022-05-30,23.38,23.38,22.92,23.06,349865
2022-05-31,22.91,23.88,22.77,23.66,550832
2022-06-01,23.65,24.58,23.5,24.45,821448
2022-06-02,24.2,24.99,24.08,24.73,562783
2022-06-06,24.99,27.27,24.74,27.21,2114258
2022-06-07,26.84,27.39,26.51,27.22,1332641
2022-06-08,27.13,28.5,26.3,26.61,2039326
2022-06-09,26.59,27.12,25.28,25.32,1117936
2022-06-10,25.2,25.23,24.68,25.01,1222882
2022-06-13,24.74,25.14,24.41,24.7,787395
2022-06-14,24.43,24.75,23.88,24.31,653746
2022-06-15,24.17,24.63,24.17,24.37,631109
2022-06-16,24.47,24.98,24.29,24.65,571914
2022-06-17,24.6,24.99,24.23,24.65,618692
2022-06-20,24.8,24.94,24.59,24.7,671543
2022-06-21,24.93,24.98,24.57,24.98,845926
2022-06-22,24.89,25.4,24.4,24.43,924835
2022-06-23,24.43,24.9,24.23,24.84,609119
2022-06-24,24.84,27.07,24.84,26.78,2474876
2022-06-27,27.05,27.23,26.54,26.8,834242
2022-06-28,26.93,27.55,26.64,27.3,967808
2022-06-29,27.3,27.56,26.8,26.8,663311
2022-06-30,26.65,27.18,26.55,26.74,584645
2022-07-01,26.51,26.85,26.5,26.61,262592
2022-07-04,26.6,27.28,26.22,27.15,644391
2022-07-05,27.04,27.36,26.2,26.52,686087
2022-07-06,26.4,28.5,26.09,27.98,1752848
2022-07-07,28.35,28.68,26.73,26.85,2251190
2022-07-08,26.11,27.15,26.11,26.59,1039750
2022-07-11,26.63,27.5,26.24,26.56,807054
2022-07-12,26.38,26.94,25.82,25.88,685207
2022-07-13,25.8,25.82,25.4,25.58,454269
2022-07-14,25.68,26.02,25.64,25.86,328925
2022-07-15,26.0,26.28,25.51,25.68,259106
2022-07-18,25.99,26.32,25.53,26.06,305112
2022-07-19,26.0,26.15,25.88,26.07,294432
2022-07-20,26.15,26.44,26.1,26.42,369334
2022-07-21,26.24,26.67,26.22,26.28,352688
2022-07-22,26.44,26.44,26.11,26.16,200519
2022-07-25,26.28,26.3,25.8,25.8,274457
2022-07-26,25.8,25.81,25.5,25.81,229220
2022-07-27,26.5,26.5,25.65,26.0,149538
2022-07-28,26.04,27.15,25.99,27.0,1008097
2022-07-29,27.19,27.19,26.7,26.9,366587
2022-08-01,26.8,27.0,26.58,26.73,242350
2022-08-02,26.52,26.62,25.62,25.7,472950
2022-08-03,25.7,26.17,25.61,25.8,358220
2022-08-04,26.18,26.18,25.64,25.87,233960
2022-08-05,26.0,29.86,26.0,29.03,3909276
2022-08-08,28.83,32.13,28.5,30.59,5123406
2022-08-09,30.66,31.48,30.14,31.23,1712551
2022-08-10,31.53,31.53,30.01,30.08,1260211
2022-08-11,30.61,30.63,29.65,29.88,1058523
2022-08-12,30.02,30.02,29.21,29.23,726182
2022-08-15,29.08,29.46,28.93,29.26,510179
2022-08-16,29.27,29.68,29.05,29.63,657704
2022-08-17,29.7,30.85,29.37,30.6,1164452
2022-08-18,30.58,30.8,30.18,30.62,560074
2022-08-19,30.35,30.73,29.7,29.7,607854
2022-08-22,29.81,31.0,29.6,30.84,785814
2022-08-23,30.63,31.58,30.45,31.4,1199676
2022-08-24,31.23,31.98,30.81,30.88,876508
2022-08-25,31.01,31.18,29.32,30.23,1088113
2022-08-26,31.39,31.39,30.24,30.41,512350
2022-08-29,30.19,30.77,29.65,30.41,247828
2022-08-30,30.35,31.35,30.14,30.6,607836
2022-08-31,30.32,30.9,30.32,30.58,431093
2022-09-01,30.66,31.23,30.65,31.0,560816
2022-09-02,31.0,31.88,30.84,31.42,571954
2022-09-05,31.4,31.76,30.82,31.0,498430
2022-09-06,31.38,33.46,31.1,32.71,1858184
2022-09-07,32.4,33.09,31.91,32.45,753235
2022-09-08,32.77,32.79,31.77,32.02,618299
2022-09-09,32.05,32.37,31.72,32.06,486235
2022-09-13,32.21,32.35,31.33,31.36,674647
2022-09-14,31.17,31.35,30.55,30.8,565433
