Date,Open,High,Low,Close,Volume
2015-12-21,102.831,102.998,103.016,102.998,0.0
2015-12-22,103.554,103.675,103.823,103.675,0.0
2015-12-23,104.194,104.458,104.519,104.458,0.0
2015-12-24,104.407,104.426,104.714,104.426,0.0
2015-12-28,104.176,104.37,104.389,104.37,0.0
2015-12-29,105.006,106.012,106.239,106.012,0.0
2015-12-30,105.882,105.057,105.956,105.057,0.0
2015-12-31,104.686,103.749,104.881,103.749,0.0
2016-01-04,101.495,101.634,101.653,101.634,0.0
2016-01-05,102.061,101.319,102.191,101.319,0.0
2016-01-06,99.64,100.438,100.994,100.438,0.0
2016-01-07,98.277,97.275,99.51,97.275,0.0
2016-01-08,98.008,96.477,98.583,96.477,0.0
2016-01-11,97.192,96.801,97.442,96.801,0.0
2016-01-12,97.674,97.887,98.388,97.887,0.0
2016-01-13,98.314,94.501,98.527,94.501,0.0
2016-01-14,94.882,96.515,97.368,96.515,0.0
2016-01-15,93.278,93.547,94.548,93.547,0.0
2016-01-19,94.789,93.732,94.947,93.732,0.0
2016-01-20,92.267,93.472,94.446,93.472,0.0
2016-01-21,93.853,93.574,94.928,93.574,0.0
2016-01-22,95.383,96.246,96.283,96.246,0.0
2016-01-25,95.958,94.836,96.45,94.836,0.0
2016-01-26,95.207,95.671,96.079,95.671,0.0
2016-01-27,95.114,93.287,95.522,93.287,0.0
2016-01-28,94.78,94.604,94.873,94.604,0.0
2016-01-29,94.604,96.579,96.617,96.579,0.0
2016-02-01,96.106,96.839,97.201,96.839,0.0
2016-02-02,96.431,94.743,96.431,94.743,0.0
2016-02-03,95.346,94.289,95.374,94.289,0.0
2016-02-04,94.001,94.279,95.026,94.279,0.0
2016-02-05,93.945,91.005,93.983,91.005,0.0
2016-02-08,89.345,89.614,90.013,89.614,0.0
2016-02-09,88.445,89.336,90.69,89.336,0.0
2016-02-10,90.43,89.679,91.534,89.679,0.0
2016-02-11,88.529,89.549,90.263,89.549,0.0
2016-02-12,90.597,90.913,91.005,90.913,0.0
2016-02-16,92.23,92.962,92.962,92.962,0.0
2016-02-17,93.686,95.068,95.198,95.068,0.0
2016-02-18,95.355,93.983,95.383,93.983,0.0
2016-02-19,93.593,94.261,94.548,94.261,0.0
2016-02-22,95.105,95.791,95.884,95.791,0.0
2016-02-23,95.225,94.214,95.494,94.214,0.0
2016-02-24,93.157,95.114,95.235,95.114,0.0
2016-02-25,95.309,96.051,96.051,96.051,0.0
2016-02-26,96.719,95.93,96.798,95.93,0.0
2016-02-29,95.819,95.068,96.552,95.068,0.0
2016-03-01,95.949,98.119,98.119,98.119,0.0
2016-03-02,97.971,98.156,98.175,98.156,0.0
2016-03-03,98.045,97.971,98.082,97.971,0.0
2016-03-04,98.091,98.008,98.639,98.008,0.0
2016-03-07,97.498,97.405,98.073,97.405,0.0
2016-03-08,96.737,96.598,97.585,96.598,0.0
2016-03-09,96.988,97.219,97.238,97.219,0.0
2016-03-10,97.674,97.071,98.184,97.071,0.0
2016-03-11,98.128,98.768,98.768,98.768,0.0
2016-03-14,98.388,98.935,99.167,98.935,0.0
2016-03-15,98.564,98.898,99.01,98.898,0.0
2016-03-16,98.657,99.779,100.039,99.779,0.0
2016-03-17,99.483,99.724,99.956,99.724,0.0
2016-03-18,99.968,99.884,100.131,99.884,0.0
2016-03-21,99.689,100.275,100.368,100.275,0.0
2016-03-22,99.707,100.582,100.814,100.582,0.0
2016-03-23,100.387,99.754,100.461,99.754,0.0
2016-03-24,99.233,99.782,99.81,99.782,0.0
2016-03-28,100.061,99.642,100.08,99.642,0.0
2016-03-29,99.475,101.242,101.308,101.242,0.0
2016-03-30,101.847,101.735,102.368,101.735,0.0
2016-03-31,101.68,101.587,102.042,101.587,0.0
2016-04-01,101.01,102.666,102.703,102.666,0.0
2016-04-04,102.619,102.275,102.736,102.275,0.0
2016-04-05,101.475,101.289,101.866,101.289,0.0
2016-04-06,101.401,102.954,102.991,102.954,0.0
2016-04-07,102.368,101.475,102.54,101.475,0.0
2016-04-08,102.117,101.401,102.349,101.401,0.0
2016-04-11,101.847,101.028,102.349,101.028,0.0
2016-04-12,101.084,101.875,102.07,101.875,0.0
2016-04-13,102.629,103.177,103.336,103.177,0.0
2016-04-14,102.331,103.187,103.568,103.187,0.0
2016-04-15,103.103,102.926,103.312,102.926,0.0
2016-04-18,102.638,103.475,103.508,103.475,0.0
2016-04-19,103.67,102.843,103.67,102.843,0.0
2016-04-20,102.833,102.926,103.401,102.926,0.0
2016-04-21,102.87,102.936,103.308,102.936,0.0
2016-04-22,101.596,101.382,102.07,101.382,0.0
2016-04-25,101.047,101.382,101.391,101.382,0.0
2016-04-26,101.587,100.889,101.763,100.889,0.0
2016-04-27,99.856,100.08,100.312,100.08,0.0
2016-04-28,100.182,98.87,100.781,98.87,0.0
2016-04-29,98.814,98.349,99.07,98.349,0.0
2016-05-02,98.582,99.28,99.419,99.28,0.0
2016-05-03,98.573,98.359,99.019,98.359,0.0
2016-05-04,97.791,97.726,98.127,97.726,0.0
2016-05-05,98.079,97.698,98.293,97.698,0.0
2016-05-06,97.224,98.219,98.238,98.219,0.0
2016-05-09,98.247,98.498,98.954,98.498,0.0
2016-05-10,98.852,99.847,99.894,99.847,0.0
2016-05-11,99.689,98.945,99.996,98.945,0.0
2016-05-12,99.242,98.507,99.293,98.507,0.0
2016-05-13,98.47,98.145,99.027,98.145,0.0
2016-05-16,98.303,99.373,99.735,99.373,0.0
2016-05-17,99.298,98.126,99.577,98.126,0.0
2016-05-18,97.949,98.479,99.01,98.479,0.0
2016-05-19,98.098,97.968,98.335,97.968,0.0
2016-05-20,98.368,99.047,99.447,99.047,0.0
2016-05-23,99.121,98.917,99.512,98.917,0.0
2016-05-24,99.466,100.898,101.019,100.898,0.0
2016-05-25,101.27,101.624,101.931,101.624,0.0
2016-05-26,101.726,101.922,102.052,101.922,0.0
2016-05-27,102.005,102.452,102.461,102.452,0.0
2016-05-31,102.591,102.647,102.805,102.647,0.0
2016-06-01,102.331,102.656,102.889,102.656,0.0
2016-06-02,102.452,102.87,102.88,102.87,0.0
2016-06-03,102.675,102.387,102.722,102.387,0.0
2016-06-06,102.563,102.759,103.029,102.759,0.0
2016-06-07,102.824,102.498,102.917,102.498,0.0
2016-06-08,102.675,102.675,102.889,102.675,0.0
2016-06-09,102.266,102.508,102.619,102.508,0.0
2016-06-10,101.587,101.345,101.773,101.345,0.0
2016-06-13,100.787,100.498,101.335,100.498,0.0
2016-06-14,100.266,100.498,100.856,100.498,0.0
2016-06-15,100.768,100.21,100.88,100.21,0.0
2016-06-16,99.698,100.508,100.601,100.508,0.0
2016-06-17,100.304,99.334,100.446,99.334,0.0
2016-06-20,100.49,99.959,100.966,99.959,0.0
2016-06-21,100.117,100.276,100.476,100.276,0.0
2016-06-22,100.351,100.033,100.92,100.033,0.0
2016-06-23,100.826,101.461,101.479,101.461,0.0
2016-06-24,97.767,97.282,99.343,97.282,0.0
2016-06-27,96.638,96.013,96.638,96.013,0.0
2016-06-28,96.386,97.44,97.487,97.44,0.0
2016-06-29,98.186,99.166,99.371,99.166,0.0
2016-06-30,99.362,100.313,100.379,100.313,0.0
2016-07-01,100.267,100.817,101.19,100.817,0.0
2016-07-05,100.351,100.201,100.425,100.201,0.0
2016-07-06,99.735,101.022,101.069,101.022,0.0
2016-07-07,101.106,101.321,101.545,101.321,0.0
2016-07-08,101.834,102.888,102.944,102.888,0.0
2016-07-11,103.242,103.475,103.853,103.475,0.0
2016-07-12,104.091,103.998,104.278,103.998,0.0
2016-07-13,104.278,103.746,104.306,103.746,0.0
2016-07-14,104.436,104.455,104.651,104.455,0.0
2016-07-15,104.679,104.287,104.753,104.287,0.0
2016-07-18,104.343,104.977,105.164,104.977,0.0
2016-07-19,104.632,104.595,104.921,104.595,0.0
2016-07-20,105.173,105.817,106.013,105.817,0.0
2016-07-21,105.891,105.574,106.097,105.574,0.0
2016-07-22,105.668,106.013,106.134,106.013,0.0
2016-07-25,105.929,106.022,106.05,106.022,0.0
2016-07-26,105.994,106.143,106.526,106.143,0.0
2016-07-27,107.048,106.88,107.16,106.88,0.0
