Date,Open,High,Low,Close,Volume
1998-12-22,14.091,14.145,14.091,14.145,0.0
1998-12-23,14.26,14.464,14.26,14.423,0.0
1998-12-24,14.572,14.647,14.518,14.633,0.0
1998-12-28,14.633,14.728,14.633,14.715,0.0
1998-12-29,14.803,14.952,14.803,14.952,0.0
1998-12-30,14.939,14.939,14.837,14.878,0.0
1998-12-31,14.878,15.013,14.844,15.013,0.0
1999-01-04,15.034,15.203,14.783,14.783,0.0
1999-01-05,14.952,15.156,14.878,15.122,0.0
1999-01-06,15.278,15.536,15.278,15.481,0.0
1999-01-07,15.352,15.393,15.203,15.332,0.0
1999-01-08,15.291,15.481,15.196,15.461,0.0
1999-01-11,15.42,15.42,15.23,15.298,0.0
1999-01-12,15.217,15.257,15.047,15.101,0.0
1999-01-13,14.654,14.878,14.633,14.674,0.0
1999-01-14,14.633,14.783,14.599,14.599,0.0
1999-01-15,14.688,14.918,14.688,14.878,0.0
1999-01-19,15.027,15.027,14.708,14.844,0.0
1999-01-20,14.891,14.973,14.769,14.769,0.0
1999-01-21,14.728,14.728,14.62,14.633,0.0
1999-01-22,14.403,14.464,14.314,14.314,0.0
1999-01-25,14.389,14.579,14.369,14.579,0.0
1999-01-26,14.579,14.579,14.579,14.579,0.0
1999-01-27,14.769,14.769,14.708,14.708,0.0
1999-01-28,14.654,14.762,14.599,14.728,0.0
1999-01-29,14.789,14.911,14.599,14.837,0.0
1999-02-01,14.973,14.973,14.857,14.857,0.0
1999-02-02,14.742,14.762,14.538,14.728,0.0
1999-02-03,14.728,14.891,14.728,14.891,0.0
1999-02-04,14.864,14.918,14.803,14.911,0.0
1999-02-05,14.959,14.959,14.837,14.857,0.0
1999-02-08,14.973,14.973,14.728,14.911,0.0
1999-02-09,14.878,14.878,14.688,14.688,0.0
1999-02-10,14.749,14.749,14.667,14.749,0.0
1999-02-11,14.857,14.973,14.857,14.973,0.0
1999-02-12,14.898,14.898,14.844,14.878,0.0
1999-02-16,14.986,14.993,14.952,14.959,0.0
1999-02-17,14.823,15.142,14.823,14.959,0.0
1999-02-18,14.857,14.993,14.817,14.959,0.0
1999-02-19,14.891,15.088,14.891,15.068,0.0
1999-02-22,15.081,15.325,15.081,15.325,0.0
1999-02-23,15.271,15.346,15.217,15.312,0.0
1999-02-24,15.42,15.427,15.23,15.271,0.0
1999-02-25,15.027,15.027,14.823,14.932,0.0
1999-02-26,15.013,15.081,14.891,14.986,0.0
1999-03-01,14.952,14.973,14.844,14.973,0.0
1999-03-02,15.013,15.047,14.837,14.837,0.0
1999-03-03,14.959,14.959,14.708,14.742,0.0
1999-03-04,14.864,15.054,14.864,15.054,0.0
1999-03-05,15.346,15.427,15.346,15.427,0.0
1999-03-08,15.495,15.522,15.441,15.522,0.0
1999-03-09,15.522,15.665,15.515,15.61,0.0
1999-03-10,15.542,15.631,15.468,15.576,0.0
1999-03-11,15.59,15.787,15.59,15.597,0.0
1999-03-12,15.617,15.685,15.617,15.651,0.0
1999-03-15,15.637,15.705,15.61,15.61,0.0
1999-03-16,15.637,15.651,15.495,15.495,0.0
1999-03-17,15.522,15.617,15.441,15.461,0.0
