Date,Open,Close,High,Low,Volume
2023-09-19,0.815,0.811,0.819,0.802,14087732.0
2023-09-20,0.809,0.8,0.816,0.799,9783785.0
2023-09-21,0.797,0.798,0.804,0.794,9455896.0
2023-09-22,0.795,0.815,0.816,0.793,13613793.0
2023-09-25,0.815,0.807,0.815,0.806,9161054.0
2023-09-26,0.805,0.8,0.809,0.798,9595226.0
2023-09-27,0.797,0.8,0.809,0.797,9897047.0
2023-09-28,0.801,0.81,0.814,0.796,12384206.0
2023-10-09,0.806,0.815,0.819,0.803,10945662.0
2023-10-10,0.816,0.822,0.828,0.815,13558245.0
2023-10-11,0.823,0.835,0.838,0.82,15916681.0
2023-10-12,0.837,0.84,0.842,0.827,12071855.0
2023-10-13,0.833,0.839,0.844,0.831,10525041.0
2023-10-16,0.836,0.815,0.838,0.812,13099665.0
2023-10-17,0.816,0.824,0.826,0.81,10531728.0
2023-10-18,0.822,0.812,0.831,0.811,11646190.0
2023-10-19,0.806,0.822,0.837,0.804,17612530.0
2023-10-20,0.819,0.806,0.822,0.804,13062946.0
2023-10-23,0.801,0.785,0.803,0.781,13047508.0
2023-10-24,0.79,0.8,0.807,0.776,15167258.0
2023-10-25,0.805,0.805,0.808,0.797,11435564.0
2023-10-26,0.799,0.801,0.804,0.79,11097495.0
2023-10-27,0.798,0.817,0.823,0.794,15656114.0
2023-10-30,0.818,0.854,0.858,0.818,26472938.0
2023-10-31,0.858,0.854,0.865,0.846,12024630.0
2023-11-01,0.855,0.849,0.858,0.845,9751639.0
2023-11-02,0.852,0.838,0.855,0.836,11190920.0
2023-11-03,0.839,0.86,0.863,0.838,16104627.0
2023-11-06,0.867,0.878,0.88,0.862,16702234.0
2023-11-07,0.873,0.88,0.883,0.87,11191701.0
2023-11-08,0.877,0.882,0.891,0.875,16551765.0
2023-11-09,0.88,0.871,0.887,0.87,11463425.0
2023-11-10,0.866,0.869,0.881,0.864,12475480.0
2023-11-13,0.875,0.872,0.879,0.866,11918399.0
2023-11-14,0.871,0.881,0.882,0.868,13111490.0
2023-11-15,0.889,0.878,0.892,0.876,11873550.0
2023-11-16,0.875,0.865,0.877,0.863,11506479.0
2023-11-17,0.863,0.868,0.871,0.861,9204120.0
2023-11-20,0.871,0.865,0.872,0.858,11749183.0
2023-11-21,0.867,0.853,0.869,0.852,12238818.0
2023-11-22,0.85,0.841,0.853,0.84,11242793.0
2023-11-23,0.839,0.848,0.849,0.835,11199669.0
2023-11-24,0.845,0.834,0.846,0.832,10884775.0
2023-11-27,0.83,0.847,0.847,0.828,12358491.0
2023-11-28,0.846,0.847,0.85,0.839,8371719.0
2023-11-29,0.848,0.847,0.858,0.846,11540487.0
2023-11-30,0.845,0.844,0.846,0.836,8912560.0
2023-12-01,0.843,0.847,0.848,0.834,9368502.0
2023-12-04,0.847,0.84,0.851,0.839,7388287.0
2023-12-05,0.836,0.815,0.837,0.815,11455020.0
2023-12-06,0.813,0.814,0.821,0.812,8393270.0
2023-12-07,0.813,0.806,0.816,0.802,9247103.0
2023-12-08,0.807,0.817,0.818,0.806,9959165.0
2023-12-11,0.813,0.832,0.834,0.807,11572032.0
2023-12-12,0.831,0.832,0.838,0.827,8110517.0
2023-12-13,0.829,0.824,0.837,0.823,7143537.0
2023-12-14,0.827,0.821,0.833,0.82,8215454.0
2023-12-15,0.823,0.814,0.826,0.811,9354250.0
2023-12-18,0.81,0.8,0.811,0.796,9901728.0
2023-12-19,0.799,0.808,0.815,0.798,9472464.0
2023-12-20,0.81,0.8,0.812,0.798,7724557.0
2023-12-21,0.796,0.805,0.811,0.791,10224880.0
2023-12-22,0.805,0.795,0.807,0.792,10782345.0
2023-12-25,0.793,0.79,0.799,0.786,6641149.0
2023-12-26,0.789,0.771,0.79,0.768,12392403.0
2023-12-27,0.773,0.782,0.787,0.772,11644223.0
2023-12-28,0.781,0.799,0.803,0.778,12136549.0
2023-12-29,0.798,0.804,0.806,0.797,9950921.0
2024-01-02,0.804,0.79,0.805,0.789,9583771.0
