Date,Open,Close,High,Low,Volume
2023-09-19,0.436,0.433,0.437,0.43,1507723.0
2023-09-20,0.432,0.429,0.434,0.429,1445245.0
2023-09-21,0.427,0.426,0.43,0.425,1658202.0
2023-09-22,0.425,0.438,0.44,0.425,3010959.0
2023-09-25,0.436,0.437,0.44,0.436,1079222.0
2023-09-26,0.436,0.437,0.443,0.436,1506994.0
2023-09-27,0.437,0.44,0.445,0.437,1514596.0
2023-09-28,0.441,0.441,0.445,0.438,1247220.0
2023-10-09,0.44,0.438,0.441,0.435,1632159.0
2023-10-10,0.438,0.436,0.442,0.435,1209643.0
2023-10-11,0.437,0.439,0.442,0.437,1481947.0
2023-10-12,0.442,0.439,0.443,0.436,1657740.0
2023-10-13,0.436,0.431,0.437,0.429,2128839.0
2023-10-16,0.43,0.424,0.431,0.422,1947760.0
2023-10-17,0.425,0.425,0.427,0.422,1359828.0
2023-10-18,0.423,0.419,0.424,0.416,2010927.0
2023-10-19,0.415,0.414,0.419,0.412,1916243.0
2023-10-20,0.412,0.408,0.415,0.407,2079529.0
2023-10-23,0.406,0.4,0.408,0.398,2809995.0
2023-10-24,0.401,0.405,0.408,0.401,2985616.0
2023-10-25,0.407,0.399,0.407,0.398,3093398.0
2023-10-26,0.396,0.401,0.402,0.394,2953042.0
2023-10-27,0.4,0.409,0.411,0.398,6161746.0
2023-10-30,0.409,0.42,0.421,0.409,4076284.0
2023-10-31,0.418,0.415,0.419,0.413,2687294.0
2023-11-01,0.416,0.412,0.417,0.411,1312371.0
2023-11-02,0.413,0.407,0.415,0.407,2415286.0
2023-11-03,0.408,0.416,0.418,0.408,2086076.0
2023-11-06,0.42,0.43,0.431,0.419,4097512.0
2023-11-07,0.429,0.431,0.435,0.425,2860373.0
2023-11-08,0.431,0.431,0.435,0.428,3842399.0
2023-11-09,0.431,0.431,0.435,0.429,1850695.0
2023-11-10,0.429,0.427,0.43,0.426,2021761.0
2023-11-13,0.429,0.429,0.432,0.427,2203991.0
2023-11-14,0.43,0.43,0.434,0.427,2086945.0
2023-11-15,0.435,0.432,0.436,0.43,2591374.0
2023-11-16,0.431,0.424,0.432,0.423,2223428.0
2023-11-17,0.422,0.427,0.428,0.421,2404139.0
2023-11-20,0.427,0.429,0.43,0.423,1659314.0
2023-11-21,0.429,0.426,0.433,0.425,2213773.0
2023-11-22,0.425,0.417,0.425,0.417,2827782.0
2023-11-23,0.415,0.421,0.421,0.415,1836545.0
2023-11-24,0.42,0.413,0.42,0.413,2129215.0
2023-11-27,0.413,0.415,0.416,0.412,1934427.0
2023-11-28,0.414,0.415,0.416,0.412,1813773.0
2023-11-29,0.415,0.414,0.418,0.413,1346888.0
2023-11-30,0.413,0.415,0.417,0.411,1221702.0
2023-12-01,0.416,0.422,0.423,0.413,1864412.0
2023-12-04,0.42,0.418,0.423,0.418,1322617.0
2023-12-05,0.417,0.41,0.417,0.409,1504472.0
2023-12-06,0.409,0.409,0.414,0.408,2852184.0
2023-12-07,0.41,0.411,0.413,0.407,1604678.0
2023-12-08,0.412,0.42,0.424,0.411,6439513.0
2023-12-11,0.417,0.427,0.428,0.415,5121751.0
2023-12-12,0.427,0.426,0.429,0.425,3991691.0
2023-12-13,0.426,0.422,0.428,0.421,4938687.0
2023-12-14,0.425,0.419,0.427,0.418,2322930.0
2023-12-15,0.42,0.412,0.422,0.411,2626359.0
2023-12-18,0.41,0.41,0.414,0.408,1959884.0
2023-12-19,0.411,0.411,0.413,0.407,1471132.0
2023-12-20,0.412,0.404,0.412,0.404,1517585.0
2023-12-21,0.402,0.409,0.412,0.401,1864430.0
2023-12-22,0.408,0.403,0.411,0.402,2143645.0
2023-12-25,0.404,0.406,0.407,0.402,850568.0
2023-12-26,0.407,0.4,0.407,0.398,1939454.0
2023-12-27,0.401,0.404,0.405,0.4,1453329.0
2023-12-28,0.404,0.412,0.414,0.402,3514503.0
2023-12-29,0.412,0.418,0.419,0.412,3689769.0
2024-01-02,0.418,0.41,0.418,0.41,2541856.0
2024-01-03,0.408,0.404,0.41,0.401,3149189.0
2024-01-04,0.403,0.398,0.403,0.396,3328409.0
2024-01-05,0.397,0.39,0.399,0.388,4335990.0
2024-01-08,0.389,0.384,0.39,0.383,2873735.0
2024-01-09,0.385,0.384,0.389,0.382,2475938.0
2024-01-10,0.383,0.38,0.386,0.378,2157225.0
2024-01-11,0.379,0.386,0.388,0.379,2852055.0
2024-01-12,0.385,0.381,0.386,0.381,1760979.0
2024-01-15,0.379,0.381,0.385,0.378,1972159.0
2024-01-16,0.38,0.38,0.38,0.374,2456689.0
2024-01-17,0.379,0.37,0.38,0.37,1704422.0
2024-01-18,0.369,0.379,0.38,0.365,3997547.0
2024-01-19,0.378,0.375,0.382,0.375,2189922.0
2024-01-22,0.375,0.364,0.377,0.362,2118731.0
2024-01-23,0.362,0.369,0.373,0.362,3035493.0
2024-01-24,0.371,0.373,0.374,0.361,2345610.0
2024-01-25,0.372,0.378,0.379,0.368,4066199.0
2024-01-26,0.377,0.371,0.377,0.37,2893084.0
2024-01-29,0.372,0.355,0.372,0.355,4802338.0
2024-01-30,0.353,0.347,0.358,0.346,2651877.0
2024-01-31,0.345,0.342,0.349,0.342,2729765.0
2024-02-01,0.34,0.348,0.355,0.34,3770266.0
2024-02-02,0.348,0.341,0.352,0.331,3421963.0
