Date,Open,Close,High,Low,Volume
2015-09-25,8.84,9.155,9.305,8.84, 0 
2015-09-29,8.915,9.17,9.2,8.69, 0 
2015-09-30,9.215,9.2,9.26,8.99, 0 
2015-10-02,9.515,9.83,9.845,9.485, 0 
2015-10-05,9.86,9.455,9.935,9.155, 0 
2015-10-06,9.515,9.11,9.515,8.99, 0 
2015-10-07,9.065,9.56,9.65,8.915, 0 
2015-10-08,9.44,8.945,9.44,8.81, 0 
2015-10-09,9.005,8.795,9.125,8.78, 0 
2015-10-12,9.02,9.215,9.29,8.99, 0 
2015-10-13,9.14,9.605,9.815,9.005, 0 
2015-10-14,9.65,9.62,9.815,9.605, 0 
2015-10-15,9.815,9.68,9.815,9.59, 0 
2015-10-16,9.8,9.875,9.92,9.71, 0 
2015-10-19,9.875,9.68,9.875,9.56, 0 
2015-10-20,9.62,9.71,9.83,9.62, 0 
2015-10-22,9.575,9.62,9.815,9.53, 0 
2015-10-23,9.71,9.62,9.86,9.44, 0 
2015-10-26,9.74,9.785,9.815,9.575, 0 
2015-10-27,9.665,9.68,9.785,9.605, 0 
2015-10-28,9.59,9.635,9.725,9.56, 0 
2015-10-29,9.59,9.335,9.605,9.155, 0 
2015-10-30,9.305,9.425,9.5,9.185, 0 
2015-11-02,9.275,9.29,9.44,9.185, 0 
2015-11-03,9.275,9.245,9.44,8.915, 0 
2015-11-04,9.275,9.425,9.86,9.215, 0 
2015-11-05,9.29,9.365,9.41,9.215, 0 
2015-11-06,9.245,9.125,9.32,9.11, 0 
2015-11-09,9.035,8.855,9.2,8.825, 0 
2015-11-10,8.78,8.705,8.84,8.54, 0 
2015-11-11,8.87,8.9,8.93,8.735, 0 
2015-11-12,8.975,9.215,9.275,8.87, 0 
2015-11-13,9.065,9.2,9.275,8.975, 0 
2015-11-16,8.93,9.245,9.485,8.93, 0 
2015-11-17,9.44,9.44,9.5,9.26, 0 
2015-11-18,9.485,9.44,9.485,9.41, 0 
2015-11-19,9.455,9.545,9.62,9.41, 0 
2015-11-20,9.665,9.65,9.665,9.5, 0 
2015-11-23,9.755,9.65,9.755,9.41, 0 
2015-11-24,9.575,9.725,9.755,9.44, 0 
2015-11-25,9.815,9.65,9.815,9.56, 0 
2015-11-26,9.77,9.65,9.815,9.545, 0 
2015-11-27,9.62,9.38,9.62,9.215, 0 
2015-11-30,9.26,9.725,9.845,9.14, 0 
2015-12-01,9.725,9.74,9.86,9.365, 0 
2015-12-02,9.815,9.83,9.875,9.605, 0 
2015-12-03,9.815,9.875,9.875,9.725, 0 
2015-12-04,9.665,9.65,9.74,9.575, 0 
2015-12-07,9.65,9.71,9.845,9.65, 0 
2015-12-08,9.665,9.665,9.77,9.455, 0 
2015-12-09,9.815,9.53,9.815,9.5, 0 
2015-12-10,9.605,9.515,9.755,9.47, 0 
2015-12-11,9.755,9.47,9.755,9.365, 0 
2015-12-14,9.47,9.395,9.53,9.14, 0 
2015-12-15,9.605,9.23,9.605,9.215, 0 
2015-12-16,9.425,9.545,9.665,9.365, 0 
2015-12-17,9.74,9.695,9.815,9.65, 0 
2015-12-18,9.755,9.725,9.755,9.62, 0 
2015-12-21,9.92,9.815,9.92,9.65, 0 
2015-12-22,9.815,10.37,10.415,9.785, 0 
2015-12-23,10.43,10.43,10.535,10.355, 0 
2015-12-24,10.46,10.355,10.46,10.295, 0 
2015-12-28,10.415,10.265,10.415,10.22, 0 
2015-12-29,10.475,10.37,10.49,10.34, 0 
2015-12-30,10.475,10.37,10.49,10.325, 0 
2015-12-31,10.415,10.865,10.88,10.4, 0 
2016-01-04,10.88,10.475,10.895,10.28, 0 
2016-01-05,10.43,10.445,10.565,10.31, 0 
2016-01-06,10.46,10.445,10.535,10.34, 0 
2016-01-07,10.565,9.68,10.565,9.545, 0 
2016-01-08,9.635,9.815,9.95,9.62, 0 
2016-01-11,9.47,9.875,10.16,9.47, 0 
2016-01-12,9.845,9.785,9.86,9.32, 0 
2016-01-13,9.875,9.755,9.95,9.65, 0 
2016-01-14,9.755,9.665,9.755,9.41, 0 
2016-01-15,9.74,9.56,9.845,9.545, 0 
2016-01-18,9.44,9.335,9.62,9.305, 0 
2016-01-19,9.41,9.545,9.59,9.26, 0 
2016-01-20,9.515,9.365,9.545,9.155, 0 
2016-01-21,9.365,7.82,9.59,7.775, 0 
2016-01-22,8.27,8.27,8.84,8.015, 0 
2016-01-25,8.27,7.64,8.3,7.52, 0 
2016-01-26,7.55,7.595,7.625,7.34, 0 
2016-01-27,7.67,7.58,7.67,7.265, 0 
2016-01-28,7.58,7.88,7.895,7.445, 0 
2016-01-29,7.415,7.685,7.745,7.415, 0 
