Date,Open,High,Low,Close,Volume
2022-07-08,4.775,5.095,4.065,4.195,18134500
2022-07-11,3.865,4.055,3.365,3.385,2848500
2022-07-12,3.315,3.605,3.235,3.505,532000
2022-07-13,3.485,3.895,3.315,3.495,895000
2022-07-14,3.505,3.565,3.435,3.495,139500
2022-07-15,3.495,3.505,3.365,3.365,332500
2022-07-18,3.265,3.365,3.115,3.185,196500
2022-07-19,3.125,3.185,3.125,3.145,65000
2022-07-20,3.135,3.225,3.135,3.185,34500
2022-07-21,3.065,3.165,2.975,3.085,87000
2022-07-22,3.085,3.185,2.935,3.005,43000
2022-07-25,3.075,3.075,2.965,2.975,162500
2022-07-26,2.965,3.015,2.875,2.965,162500
2022-07-27,2.965,2.965,2.835,2.835,53000
2022-07-28,2.845,2.875,2.825,2.835,23000
2022-07-29,2.835,2.835,2.725,2.735,95000
2022-08-01,2.565,2.575,2.475,2.575,33000
2022-08-02,2.575,2.575,2.355,2.365,54500
2022-08-03,2.365,2.365,2.295,2.345,12500
2022-08-04,2.295,2.355,2.295,2.355,30000
2022-08-05,2.315,2.335,2.315,2.325,9500
2022-08-08,2.335,2.345,2.275,2.285,8500
2022-08-09,2.275,2.775,2.275,2.405,28500
2022-08-10,2.295,2.545,2.285,2.345,9500
2022-08-11,2.355,2.465,2.355,2.435,3500
2022-08-12,2.465,2.685,2.465,2.585,12500
2022-08-15,2.385,2.425,2.385,2.425,2000
2022-08-16,2.425,2.425,2.425,2.425,0
2022-08-17,2.225,2.655,2.225,2.475,417000
2022-08-18,2.305,3.045,2.305,2.665,273500
2022-08-19,2.665,2.835,2.575,2.675,515000
2022-08-22,2.845,2.995,2.675,2.745,836500
2022-08-23,2.735,2.745,2.715,2.715,4500
2022-08-24,2.915,3.045,2.715,2.765,444000
2022-08-25,2.765,2.875,2.665,2.845,12500
2022-08-26,2.845,3.055,2.765,2.865,359000
2022-08-29,3.035,3.055,2.785,2.945,394500
2022-08-30,3.005,3.045,2.825,2.905,405500
2022-08-31,2.965,3.015,2.465,2.715,838500
2022-09-01,2.855,2.955,2.795,2.825,386000
2022-09-02,2.885,3.005,2.825,2.845,457000
2022-09-05,2.895,3.245,2.485,2.725,1022500
2022-09-06,2.845,2.935,2.575,2.615,424500
2022-09-07,2.695,2.875,2.465,2.605,718000
2022-09-08,2.695,2.755,2.525,2.565,410000
2022-09-09,2.665,2.675,2.425,2.595,410500
2022-09-13,2.705,2.705,2.455,2.585,286000
2022-09-14,2.585,2.625,2.415,2.455,325000
2022-09-15,2.455,2.595,2.405,2.455,289000
2022-09-16,2.555,2.555,2.085,2.345,460500
2022-09-19,2.365,2.365,2.175,2.215,15500
2022-09-20,2.345,2.345,2.185,2.215,6500
2022-09-21,2.215,2.215,2.215,2.215,0
2022-09-22,2.165,2.265,2.165,2.165,11500
2022-09-23,2.155,2.155,2.155,2.155,1000
2022-09-26,2.095,2.105,2.085,2.085,16500
2022-09-27,2.085,2.085,1.985,2.085,23000
2022-09-28,2.085,2.085,1.985,2.065,8000
2022-09-29,2.235,2.235,1.975,1.975,17000
2022-09-30,2.155,2.195,2.145,2.195,71500
2022-10-03,2.185,2.185,2.185,2.185,0
2022-10-05,2.195,2.195,2.195,2.195,2500
2022-10-06,2.245,2.245,2.235,2.235,2500
2022-10-07,2.265,2.265,1.985,2.115,37000
2022-10-10,2.015,2.015,2.015,2.015,6500
2022-10-11,2.015,2.215,1.985,2.135,17500
2022-10-12,1.985,2.025,1.985,2.025,8500
2022-10-13,2.025,2.025,2.025,2.025,4000
2022-10-14,2.025,2.025,1.985,1.985,5500
2022-10-17,1.975,2.055,1.975,2.055,16000
2022-10-18,2.055,2.085,2.055,2.085,1000
2022-10-19,2.085,2.085,1.975,1.985,2000
2022-10-20,1.975,2.055,1.885,2.045,49000
2022-10-21,2.035,2.035,2.035,2.035,0
