Date,Open,Close,High,Low,Volume
2015-08-10,2606.74,2706.72,2726.9,2593.41, 0 
2015-08-11,2705.04,2698.91,2747.83,2675.15, 0 
2015-08-12,2658.84,2622.19,2700.4,2622.19, 0 
2015-08-13,2608.74,2684.26,2684.26,2578.91, 0 
2015-08-14,2713.78,2674.02,2725.47,2664.42, 0 
2015-08-17,2665.37,2666.29,2676.72,2613.78, 0 
2015-08-18,2674.42,2504.17,2720.58,2488.61, 0 
2015-08-19,2427.94,2570.69,2584.36,2359.17, 0 
2015-08-20,2556.77,2508.82,2610.9,2508.35, 0 
2015-08-21,2452.62,2341.95,2480.68,2340.92, 0 
2015-08-24,2222.54,2152.61,2246.55,2152.61, 0 
2015-08-25,1996.04,1990.71,2048.03,1987.12, 0 
2015-08-26,1975.92,1890.04,2044.66,1875.03, 0 
2015-08-27,1924.78,1959.49,1959.98,1843.19, 0 
2015-08-28,1990.35,2082.12,2086.87,1960.39, 0 
2015-08-31,2056.29,1996.87,2058.85,1987.58, 0 
2015-09-01,1959.46,1889.49,1959.46,1877.36, 0 
2015-09-02,1787.71,1855.03,1953.91,1779.18, 0 
2015-09-07,1882.86,1893.52,1953.4,1878.26, 0 
2015-09-08,1875.67,2001.16,2004.81,1859.21, 0 
2015-09-09,2023.31,2071.72,2102.23,2017.1, 0 
2015-09-10,2030.03,2039.12,2078.42,2024.89, 0 
2015-09-11,2039.01,2060.51,2084.05,2029.81, 0 
2015-09-14,2068.2,1906.21,2075.67,1905.2, 0 
2015-09-15,1843.23,1797.56,1892.81,1794.29, 0 
2015-09-16,1813.73,1926.25,1928.78,1808.75, 0 
2015-09-17,1943.29,1933.3,2020.55,1922.8, 0 
2015-09-18,1948.12,1983.3,1995.5,1922.14, 0 
2015-09-21,1950.33,2079.06,2080.22,1945.35, 0 
2015-09-22,2082.34,2078.72,2108.56,2042.13, 0 
2015-09-23,2039.49,2077.99,2103.22,2036.06, 0 
2015-09-24,2090.56,2106.59,2130.47,2084.31, 0 
2015-09-25,2091.85,2020.97,2106.95,2002.45, 0 
2015-09-28,2024.89,2122.26,2124.06,2007.92, 0 
2015-09-29,2089.54,2098.57,2135.51,2075.97, 0 
2015-09-30,2111.99,2082.67,2124.29,2049.43, 0 
2015-10-08,2153.12,2190.31,2210.04,2138.54, 0 
2015-10-09,2190.84,2216.66,2230.03,2184.55, 0 
2015-10-12,2233.61,2316.78,2344.21,2232.27, 0 
2015-10-13,2297.93,2342.04,2351.52,2290.64, 0 
2015-10-14,2330.08,2305,2350.59,2295.6, 0 
2015-10-15,2300.62,2404.53,2406.21,2296.8, 0 
2015-10-16,2424.62,2449.03,2452.94,2401.09, 0 
2015-10-19,2465.11,2433.6,2466.48,2398.34, 0 
2015-10-20,2430.18,2511.16,2520.08,2427.78, 0 
2015-10-21,2504.78,2344.74,2527.77,2335.66, 0 
2015-10-22,2355.16,2458.14,2465.1,2355.16, 0 
2015-10-23,2488.31,2538.38,2549.76,2461.49, 0 
2015-10-26,2570.13,2527.48,2570.13,2481.59, 0 
2015-10-27,2497.16,2563.96,2586.95,2423.6, 0 
2015-10-28,2551.7,2485.24,2583.82,2473.47, 0 
2015-10-29,2504.85,2485.28,2528.7,2436.78, 0 
2015-10-30,2475.23,2478.28,2534.47,2439.16, 0 
2015-11-02,2416.1,2432.04,2513.32,2408.78, 0 
2015-11-03,2444.05,2429.27,2461.33,2407.55, 0 
2015-11-04,2451.23,2584.32,2584.32,2451.23, 0 
2015-11-05,2587.82,2564.72,2630.83,2542.85, 0 
2015-11-06,2571.66,2661.41,2666.4,2571.66, 0 
2015-11-09,2653.31,2724.62,2747.79,2612.26, 0 
2015-11-10,2710.9,2746.61,2783.12,2700.29, 0 
2015-11-11,2738.58,2804.68,2806.54,2730.52, 0 
2015-11-12,2818.57,2783.3,2827.71,2743.26, 0 
2015-11-13,2751.39,2710.16,2772.82,2681.61, 0 
2015-11-16,2656.57,2797.16,2797.16,2654.64, 0 
2015-11-17,2834.98,2717.05,2847.9,2711.58, 0 
2015-11-18,2727.61,2661.17,2741.33,2655.06, 0 
2015-11-19,2678.36,2770.75,2770.75,2676.76, 0 
2015-11-20,2783.04,2800.15,2817.96,2757.84, 0 
2015-11-23,2797.12,2770.58,2839.84,2759.31, 0 
2015-11-24,2767.72,2816.05,2816.05,2739.52, 0 
2015-11-25,2813.51,2897.57,2906.8,2806.82, 0 
2015-11-26,2911.85,2833.2,2915.95,2831.38, 0 
2015-11-27,2819.36,2649.55,2844.05,2629.13, 0 
2015-11-30,2658.97,2672.58,2687.05,2507.38, 0 
