Date,Open,Close,High,Low,Volume
2015-12-21,8.125,7.908,8.232,7.787, 0 
2015-12-22,7.875,8.143,8.178,7.752, 0 
2015-12-23,8.18,8.282,8.3,8.082, 0 
2015-12-24,8.29,8.09,8.302,8.05, 0 
2015-12-28,8.092,8.073,8.172,7.92, 0 
2015-12-29,8.095,8.205,8.26,8.07, 0 
2015-12-30,8.215,7.977,8.237,7.95, 0 
2015-12-31,7.963,7.868,8.01,7.827, 0 
2016-01-04,7.677,7.86,7.888,7.517, 0 
2016-01-05,7.857,7.918,7.953,7.777, 0 
2016-01-06,7.765,7.693,7.892,7.515, 0 
2016-01-07,7.573,7.803,7.845,7.542, 0 
2016-01-08,7.805,7.382,7.887,7.37, 0 
2016-01-11,7.427,7.358,7.505,7.168, 0 
2016-01-12,7.455,7.292,7.572,7.086, 0 
2016-01-13,7.3,7.068,7.408,7.03, 0 
2016-01-14,7.068,7.105,7.18,6.791, 0 
2016-01-15,6.913,7.171,7.265,6.87, 0 
2016-01-19,7.246,7.046,7.327,6.888, 0 
2016-01-20,6.948,7.307,7.373,6.833, 0 
2016-01-21,7.283,7.523,7.632,7.238, 0 
2016-01-22,7.643,7.698,7.732,7.51, 0 
2016-01-25,7.612,7.523,7.677,7.48, 0 
2016-01-26,7.597,7.877,7.962,7.541, 0 
2016-01-27,7.79,7.69,7.94,7.62, 0 
2016-01-28,7.893,8.008,8.057,7.692, 0 
2016-01-29,8.032,8.245,8.33,8.032, 0 
2016-02-01,8.222,8.165,8.328,7.975, 0 
2016-02-02,8.19,8.29,8.375,8.128, 0 
2016-02-03,8.347,8.353,8.365,7.992, 0 
2016-02-04,8.252,8.132,8.27,7.853, 0 
2016-02-05,7.035,7.972,8.228,6.995, 0 
2016-02-08,7.867,7.97,8.045,7.718, 0 
2016-02-09,7.89,8.263,8.473,7.762, 0 
2016-02-10,8.307,8.218,8.52,8.172, 0 
2016-02-11,8.123,8.095,8.382,8.032, 0 
2016-02-12,8.21,8.262,8.312,8.02, 0 
2016-02-16,8.318,8.63,8.676,8.308, 0 
2016-02-17,8.692,8.8,8.853,8.625, 0 
2016-02-18,8.815,8.934,8.944,8.67, 0 
2016-02-19,8.862,8.83,8.873,8.538, 0 
2016-02-22,8.969,8.949,9.052,8.853, 0 
2016-02-23,8.892,8.922,9.14,8.855, 0 
2016-02-24,8.823,9.062,9.099,8.638, 0 
2016-02-25,9.112,9.329,9.4,9.037, 0 
2016-02-26,9.389,9.357,9.457,9.27, 0 
2016-02-29,9.365,9.429,9.574,9.309, 0 
2016-03-01,9.45,9.49,9.509,9.302, 0 
2016-03-02,9.444,9.657,9.72,9.404, 0 
2016-03-03,9.66,9.64,9.7,9.504, 0 
2016-03-04,9.599,9.62,9.834,9.572, 0 
2016-03-07,9.529,9.704,9.785,9.529, 0 
2016-03-08,9.695,9.552,9.804,9.539, 0 
2016-03-09,9.592,9.42,9.62,9.359, 0 
2016-03-10,9.472,9.41,9.562,9.309, 0 
2016-03-11,9.485,9.617,9.649,9.452, 0 
2016-03-14,9.55,9.434,9.599,9.362, 0 
2016-03-15,9.434,9.432,9.554,9.337, 0 
2016-03-16,9.425,9.239,9.479,9.227, 0 
2016-03-17,9.232,9.535,9.569,9.223, 0 
2016-03-18,9.589,10.094,10.114,9.535, 0 
2016-03-21,10.082,10.035,10.169,9.987, 0 
2016-03-22,9.952,9.88,9.972,9.81, 0 
2016-03-23,9.777,9.672,9.85,9.67, 0 
2016-03-24,9.64,9.564,9.647,9.41, 0 
2016-03-28,9.48,9.49,9.684,9.46, 0 
2016-03-29,9.507,9.735,9.797,9.458, 0 
2016-03-30,9.74,9.652,9.825,9.629, 0 
2016-03-31,9.689,9.987,10.152,9.689, 0 
2016-04-01,9.922,9.865,9.955,9.762, 0 
2016-04-04,9.87,9.792,9.904,9.754, 0 
2016-04-05,9.687,9.64,9.785,9.589, 0 
2016-04-06,9.65,9.877,9.889,9.54, 0 
2016-04-07,9.755,9.735,9.842,9.615, 0 
2016-04-08,9.725,9.295,9.759,9.26, 0 
2016-04-11,9.314,9.262,9.409,9.26, 0 
2016-04-12,9.259,9.352,9.399,9.109, 0 
2016-04-13,9.405,9.629,9.659,9.405, 0 
2016-04-14,9.647,9.627,9.725,9.499, 0 
2016-04-15,9.57,9.584,9.665,9.507, 0 
2016-04-18,9.549,9.637,9.7,9.507, 0 
2016-04-19,9.687,9.697,9.829,9.642, 0 
2016-04-20,9.78,9.729,9.985,9.724, 0 
2016-04-21,9.827,9.77,9.912,9.722, 0 
2016-04-22,9.839,9.807,9.99,9.685, 0 
2016-04-25,9.754,9.627,9.81,9.564, 0 
2016-04-26,9.66,9.779,9.839,9.644, 0 
