Date,Open,Close,High,Low,Volume
2019-03-13,34.771,35.311,35.401,34.23, 0 
2019-03-14,35.581,35.996,36.617,35.419, 0 
2019-03-15,36.527,36.951,36.978,36.482, 0 
2019-03-18,37.59,36.807,37.59,36.455, 0 
2019-03-19,37.293,35.627,37.293,35.176, 0 
2019-03-20,35.897,33.87,35.898,33.744, 0 
2019-03-21,34.23,35.023,35.05,34.086, 0 
2019-03-22,34.915,33.744,34.987,32.924, 0 
2019-03-25,33.843,32.834,34.059,32.744, 0 
2019-03-26,32.843,33.068,33.645,32.843, 0 
2019-03-27,33.104,32.609,33.483,32.483, 0 
2019-03-28,32.555,32.131,32.852,32.023, 0 
2019-03-29,32.321,32.321,32.582,31.879, 0 
2019-04-01,32.582,32.564,32.735,32.375, 0 
2019-04-02,32.618,32.158,32.843,31.717, 0 
2019-04-03,32.231,31.978,32.33,31.798, 0 
2019-04-04,32.032,32.456,32.492,31.879, 0 
2019-04-05,32.42,33.311,33.411,32.375, 0 
2019-04-08,33.275,33.194,33.275,33.014, 0 
2019-04-09,33.158,33.23,33.393,32.96, 0 
2019-04-10,33.248,32.366,33.375,32.303, 0 
2019-04-11,32.411,32.798,32.879,32.005, 0 
2019-04-12,32.852,33.284,33.402,32.357, 0 
2019-04-15,33.248,33.311,33.32,32.852, 0 
2019-04-16,33.429,33.519,33.582,33.266, 0 
2019-04-17,33.492,34.419,34.455,33.492, 0 
2019-04-18,34.537,34.158,34.564,34.158, 0 
2019-04-22,34.086,33.546,34.122,33.429, 0 
2019-04-23,33.528,33.87,34.068,33.393, 0 
2019-04-24,33.789,33.735,34.014,33.627, 0 
2019-04-25,33.762,33.906,33.942,33.366, 0 
2019-04-26,34.05,34.149,34.176,33.69, 0 
2019-04-29,33.996,34.888,35.05,33.951, 0 
2019-04-30,34.762,34.681,34.933,34.131, 0 
2019-05-01,34.825,34.897,34.951,34.311, 0 
2019-05-02,34.906,33.185,34.951,32.879, 0 
2019-05-03,33.203,33.348,33.564,33.005, 0 
2019-05-06,33.077,33.609,33.69,32.852, 0 
2019-05-07,33.302,33.059,33.528,32.947, 0 
2019-05-08,32.933,33.167,33.402,32.672, 0 
2019-05-09,34.302,34.203,34.798,33.284, 0 
2019-05-10,34.14,34.275,34.455,33.311, 0 
2019-05-13,33.762,33.78,34.365,33.528, 0 
2019-05-14,33.816,33.762,34.253,33.694, 0 
2019-05-15,33.546,33.537,33.762,33.447, 0 
2019-05-16,33.582,32.717,33.87,32.681, 0 
2019-05-17,32.707,33.387,33.604,32.707, 0 
2019-05-20,33.124,33.251,33.668,33.124, 0 
2019-05-21,33.378,33.704,34.017,33.214, 0 
2019-05-22,33.631,33.242,33.804,33.196, 0 
2019-05-23,32.988,33.097,33.205,32.797, 0 
2019-05-24,33.097,33.042,33.323,32.997, 0 
2019-05-28,33.169,32.779,33.495,32.734, 0 
2019-05-29,32.634,32,32.779,31.982, 0 
2019-05-30,32.054,31.556,32.358,31.447, 0 
2019-05-31,31.32,31.465,31.556,31.048, 0 
2019-06-03,31.374,30.622,31.556,30.205, 0 
2019-06-04,30.848,30.903,31.556,30.595, 0 
2019-06-05,31.039,30.839,31.338,30.731, 0 
2019-06-06,30.83,30.586,31.03,30.459, 0 
2019-06-07,30.676,30.531,30.867,30.513, 0 
2019-06-10,30.694,30.586,30.856,30.422, 0 
2019-06-11,30.613,30.667,30.858,30.504, 0 
2019-06-12,30.649,31.456,31.488,30.64, 0 
2019-06-13,31.692,31.673,31.837,31.365, 0 
2019-06-14,31.719,31.692,31.873,31.329, 0 
2019-06-17,31.891,32.453,32.603,31.764, 0 
2019-06-18,32.716,32.48,33.287,32.371, 0 
2019-06-19,32.526,32.399,32.707,32.045, 0 
2019-06-20,32.77,32.045,32.77,32.009, 0 
2019-06-21,32.054,32.526,33.541,31.764, 0 
2019-06-24,32.38,32.217,32.444,32.081, 0 
2019-06-25,32.136,31.9,32.199,31.637, 0 
2019-06-26,32.145,32.009,32.535,31.873, 0 
2019-06-27,32.054,32.408,32.743,31.782, 0 
2019-06-28,32.535,33.115,33.214,32.335, 0 
2019-07-01,33.378,32.598,33.423,32.376, 0 
2019-07-02,32.598,33.115,33.151,32.598, 0 
2019-07-03,33.269,32.952,33.332,32.915, 0 
2019-07-05,32.888,33.142,33.332,32.698, 0 
2019-07-08,32.961,32.752,33.482,32.68, 0 
