Date,Open,Close,High,Low,Volume
2019-03-13,35.333,36.013,36.149,35.062, 0 
2019-03-14,36.013,36.828,37.508,36.013, 0 
2019-03-15,37.49,37.779,37.934,37.363, 0 
2019-03-18,38.006,37.779,38.006,37.191, 0 
2019-03-19,37.644,36.547,37.779,36.094, 0 
2019-03-20,36.683,34.989,36.973,34.645, 0 
2019-03-21,35.333,36.257,36.303,35.107, 0 
2019-03-22,36.176,35.08,36.23,34.147, 0 
2019-03-25,35.234,33.92,35.297,33.875, 0 
2019-03-26,34.11,34.011,34.681,33.983, 0 
2019-03-27,33.992,33.449,34.346,33.304, 0 
2019-03-28,33.385,32.978,33.657,32.923, 0 
2019-03-29,33.114,33.259,33.44,32.751, 0 
2019-04-01,33.44,33.385,33.657,33.259, 0 
2019-04-02,33.485,32.869,33.684,32.525, 0 
2019-04-03,32.951,32.688,33.123,32.525, 0 
2019-04-04,32.797,33.304,33.34,32.624, 0 
2019-04-05,33.331,34.137,34.291,33.241, 0 
2019-04-08,34.065,33.947,34.137,33.761, 0 
2019-04-09,33.902,33.802,34.11,33.675, 0 
2019-04-10,33.82,33.05,34.002,32.942, 0 
2019-04-11,33.132,33.603,33.666,32.606, 0 
2019-04-12,33.657,34.002,34.083,33.041, 0 
2019-04-15,33.938,34.002,34.038,33.512, 0 
2019-04-16,34.128,34.201,34.291,33.947, 0 
2019-04-17,34.31,35.188,35.197,34.21, 0 
2019-04-18,35.252,34.826,35.333,34.817, 0 
2019-04-22,34.754,34.156,34.826,34.083, 0 
2019-04-23,34.237,34.5,34.781,34.092, 0 
2019-04-24,34.382,34.391,34.708,34.251, 0 
2019-04-25,34.409,34.563,34.609,34.011, 0 
2019-04-26,34.5,34.862,34.908,34.337, 0 
2019-04-29,34.917,35.515,35.809,34.708, 0 
2019-04-30,35.505,35.324,35.632,34.853, 0 
2019-05-01,35.442,35.696,35.777,35.025, 0 
2019-05-02,35.542,33.775,35.759,33.594, 0 
2019-05-03,33.893,33.947,34.201,33.63, 0 
2019-05-06,33.675,34.355,34.418,33.485, 0 
2019-05-07,34.047,33.757,34.255,33.63, 0 
2019-05-08,33.829,33.902,34.156,33.39, 0 
2019-05-09,34.88,34.88,35.56,33.983, 0 
2019-05-10,35.007,34.908,35.107,33.92, 0 
2019-05-13,34.219,34.4,35.043,34.183, 0 
2019-05-14,34.473,34.328,34.898,34.311, 0 
2019-05-15,34.156,34.165,34.4,34.038, 0 
2019-05-16,34.346,33.286,34.5,33.25, 0 
2019-05-17,33.333,34.026,34.272,33.324, 0 
2019-05-20,33.898,33.862,34.317,33.734, 0 
2019-05-21,33.971,34.363,34.646,33.825, 0 
2019-05-22,34.336,33.843,34.427,33.784, 0 
2019-05-23,33.57,33.652,33.807,33.397, 0 
2019-05-24,33.779,33.661,33.921,33.597, 0 
2019-05-28,33.707,33.406,34.044,33.283, 0 
2019-05-29,33.278,32.631,33.415,32.631, 0 
2019-05-30,32.713,32.111,32.963,32.047, 0 
2019-05-31,31.883,32.12,32.157,31.637, 0 
2019-06-03,31.956,31.218,32.184,30.798, 0 
2019-06-04,31.473,31.436,32.138,31.135, 0 
2019-06-05,31.564,31.327,31.892,31.254, 0 
2019-06-06,31.6,31.108,31.6,30.98, 0 
2019-06-07,31.163,31.008,31.4,30.999, 0 
2019-06-10,31.044,31.026,31.363,30.908, 0 
2019-06-11,31.208,31.163,31.373,31.008, 0 
2019-06-12,31.181,31.956,32.002,31.145, 0 
2019-06-13,32.065,32.175,32.366,31.877, 0 
2019-06-14,32.129,32.129,32.366,31.847, 0 
2019-06-17,32.293,32.941,33.118,32.22, 0 
2019-06-18,33.232,32.995,33.779,32.895, 0 
2019-06-19,33.059,32.813,33.205,32.529, 0 
2019-06-20,33.169,32.439,33.255,32.421, 0 
2019-06-21,32.467,32.986,34.003,32.193, 0 
2019-06-24,32.831,32.64,32.886,32.462, 0 
2019-06-25,32.622,32.22,32.695,32.038, 0 
2019-06-26,32.631,32.339,32.913,32.211, 0 
2019-06-27,32.394,32.813,33.123,32.093, 0 
2019-06-28,32.804,33.406,33.515,32.649, 0 
2019-07-01,33.242,32.749,33.725,32.585, 0 
2019-07-02,32.831,33.36,33.387,32.749, 0 
2019-07-03,33.369,33.141,33.57,33.068, 0 
2019-07-05,33.041,33.369,33.552,32.891, 0 
2019-07-08,33.305,32.941,33.438,32.895, 0 
2019-07-09,32.85,32.84,33.068,32.658, 0 
2019-07-10,32.995,32.95,33.214,32.891, 0 
2019-07-11,32.977,33.087,33.141,32.685, 0 
2019-07-12,33.242,33.697,33.77,32.913, 0 
2019-07-15,33.761,33.743,33.88,33.406, 0 
2019-07-16,33.67,33.451,33.834,33.397, 0 
2019-07-17,33.488,32.977,33.515,32.922, 0 
2019-07-18,32.977,33.324,33.479,32.786, 0 
2019-07-19,33.46,33.214,33.497,32.95, 0 
2019-07-22,33.287,32.913,33.378,32.877, 0 
2019-07-23,32.995,33.023,33.178,32.676, 0 
2019-07-24,32.941,33.369,33.606,32.941, 0 
2019-07-25,33.397,33.889,34.044,33.397, 0 
2019-07-26,33.998,33.925,34.463,33.807, 0 
2019-07-29,33.88,34.199,34.254,33.798, 0 
2019-07-30,34.053,34.481,34.627,34.026, 0 
2019-07-31,34.345,34.026,34.365,33.561, 0 
2019-08-01,33.962,33.634,34.181,33.483, 0 
2019-08-02,33.488,33.397,33.697,33.123, 0 
2019-08-05,33.251,32.868,33.333,32.612, 0 
2019-08-06,32.968,33.232,33.369,32.758, 0 
2019-08-07,32.722,33.77,33.871,32.64, 0 
2019-08-08,33.934,32.029,33.962,31.91, 0 
