Date,Open,Close,High,Low,Volume
2015-12-21,90.952,91.074,91.731,90.314, 0 
2015-12-22,91.515,91.543,91.778,90.83, 0 
2015-12-23,91.919,92.66,92.801,91.703, 0 
2015-12-24,92.707,92.529,93.017,92.266, 0 
2015-12-28,92.116,92.473,92.557,91.844, 0 
2015-12-29,93.13,93.589,93.843,93.13, 0 
2015-12-30,93.543,92.792,93.819,92.66, 0 
2015-12-31,92.21,91.375,92.782,91.375, 0 
2016-01-04,89.507,88.981,89.713,87.958, 0 
2016-01-05,89.516,89.15,89.939,88.606, 0 
2016-01-06,87.918,87.787,88.765,87.439, 0 
2016-01-07,86.103,86.178,86.865,85.279, 0 
2016-01-08,86.489,84.533,86.743,84.373, 0 
2016-01-11,84.871,85.182,85.671,83.969, 0 
2016-01-12,86.15,85.99,86.395,84.749, 0 
2016-01-13,86.583,83.875,86.658,83.461, 0 
2016-01-14,84.072,85.304,86.226,83.846, 0 
2016-01-15,82.84,83.423,83.959,82.586, 0 
2016-01-19,84.222,81.082,84.392,80.395, 0 
2016-01-20,79.662,80.056,80.837,78.542, 0 
2016-01-21,80.151,80.987,82.313,79.52, 0 
2016-01-22,82.502,82.755,83.536,82.191, 0 
2016-01-25,82.784,81.599,82.934,81.486, 0 
2016-01-26,81.815,81.815,82.285,81.251, 0 
2016-01-27,81.712,79.756,81.862,79.314, 0 
2016-01-28,80.254,78.458,80.545,78.383, 0 
2016-01-29,76.596,83.724,83.931,76.173, 0 
2016-02-01,83.244,83.348,83.884,82.031, 0 
2016-02-02,82.454,80.809,82.511,80.282, 0 
2016-02-03,81.401,81.317,81.589,79.426, 0 
2016-02-04,81.1,81.185,81.693,80.63, 0 
2016-02-05,80.912,77.828,81.176,77.282, 0 
2016-02-08,76.586,75.843,76.869,75.11, 0 
2016-02-09,74.17,77.085,78.27,73.84, 0 
2016-02-10,78.11,78.345,79.784,77.988, 0 
2016-02-11,75.373,77.216,77.856,75.213, 0 
2016-02-12,78.636,79.831,80.183,78.345, 0 
2016-02-16,80.987,81.044,81.429,80.273, 0 
2016-02-17,81.749,82.013,82.379,81.429, 0 
2016-02-18,81.42,80.912,82.238,80.715, 0 
2016-02-19,80.545,81.618,81.683,80.141, 0 
2016-02-22,82.69,82.586,82.972,82.304, 0 
2016-02-23,82.06,81.072,82.614,80.809, 0 
2016-02-24,80.066,81.27,81.589,79.549, 0 
2016-02-25,81.392,82.21,82.219,80.423, 0 
2016-02-26,82.859,82.351,83.31,82.276, 0 
2016-02-29,82.097,81.74,83.536,81.721, 0 
2016-03-01,82.539,84.73,84.758,82.492, 0 
2016-03-02,84.411,84.533,84.716,83.689, 0 
2016-03-03,84.382,84.392,84.768,83.621, 0 
2016-03-04,84.636,84.683,85.163,84.166, 0 
2016-03-07,84.345,83.038,84.401,82.229, 0 
2016-03-08,82.248,81.674,82.53,81.636, 0 
2016-03-09,82.013,81.984,82.379,81.533, 0 
2016-03-10,82.436,81.712,82.944,80.809, 0 
2016-03-11,82.666,83.301,83.848,82.549, 0 
2016-03-14,83.254,83.574,83.818,82.774, 0 
2016-03-15,83.094,84.034,84.357,82.944, 0 
2016-03-16,83.903,84.646,84.937,83.715, 0 
2016-03-17,84.561,85.962,86.197,84.316, 0 
2016-03-18,86.526,86.809,86.931,86, 0 
2016-03-21,86.385,86.846,87.109,86.103, 0 
2016-03-22,86.216,86.291,86.715,86.084, 0 
2016-03-23,86.404,86.639,87.128,86.178, 0 
2016-03-24,85.859,86.432,86.489,85.859, 0 
2016-03-28,86.686,85.802,86.799,85.746, 0 
2016-03-29,85.784,87.251,87.495,85.671, 0 
2016-03-30,87.975,88.219,88.558,87.74, 0 
2016-03-31,88.097,88.868,89.282,87.942, 0 
2016-04-01,88.069,90.156,90.382,87.928, 0 
2016-04-04,90.288,89.385,90.373,88.83, 0 
2016-04-05,88.492,88.727,89.724,88.294, 0 
2016-04-06,88.763,89.282,89.367,88.424, 0 
2016-04-07,88.735,88.113,88.82,87.67, 0 
2016-04-08,88.66,88.377,89.197,88.029, 0 
2016-04-11,88.5,88.076,89.216,88, 0 
2016-04-12,88.349,88.443,88.566,87.765, 0 
2016-04-13,89.046,90.224,90.224,88.943, 0 
2016-04-14,90.196,90.62,91.185,89.904, 0 
2016-04-15,90.695,91.1,91.694,90.592, 0 
2016-04-18,91.063,92.033,92.146,91.025, 0 
2016-04-19,92.344,91.628,92.495,90.789, 0 
2016-04-20,92.024,92.25,92.721,91.449, 0 
2016-04-21,92.297,91.911,92.429,91.732, 0 
2016-04-22,90.827,91.826,92.806,90.827, 0 
2016-04-25,91.204,91.383,91.703,90.968, 0 
2016-04-26,91.553,91.656,91.977,91.147, 0 
2016-04-27,91.628,92.702,92.919,90.978, 0 
2016-04-28,92.288,91.572,94.229,91.147, 0 
2016-04-29,91.242,91.392,92.024,90.531, 0 
2016-05-02,91.543,92.127,92.288,90.921, 0 
2016-05-03,91.411,90.884,91.911,90.384, 0 
2016-05-04,90.196,90.695,90.827,89.734, 0 
2016-05-05,90.78,90.639,91.242,90.422, 0 
2016-05-06,90.271,91.1,91.176,90.13, 0 
2016-05-09,91.223,91.138,91.637,90.931, 0 
2016-05-10,91.195,92.005,92.061,91.11, 0 
2016-05-11,92.005,90.846,92.193,90.799, 0 
2016-05-12,91.157,90.318,91.232,89.743, 0 
2016-05-13,90.073,89.857,90.723,89.649, 0 
2016-05-16,90.083,90.601,90.95,89.941, 0 
2016-05-17,90.441,90.083,90.733,89.762, 0 
2016-05-18,89.828,90.111,90.62,89.395, 0 
2016-05-19,89.649,89.235,89.988,88.65, 0 
2016-05-20,89.678,89.96,90.356,89.546, 0 
2016-05-23,89.993,89.593,90.205,89.508, 0 
2016-05-24,90.017,90.912,91.157,89.828, 0 
2016-05-25,91.195,90.884,91.308,90.592, 0 
2016-05-26,90.968,90.818,91.147,90.526, 0 
2016-05-27,90.959,91.572,91.572,90.818, 0 
2016-05-31,91.572,90.365,91.59,90.083, 0 
2016-06-01,90.073,90.846,90.971,89.753, 0 
2016-06-02,90.714,91.289,91.289,90.464, 0 
2016-06-03,90.657,90.488,91.034,89.828, 0 
2016-06-06,90.837,91.063,91.377,90.441, 0 
2016-06-07,91.016,91.1,91.562,90.874, 0 
2016-06-08,91.072,92.335,92.335,90.997, 0 
2016-06-09,91.882,91.421,91.996,91.383, 0 
2016-06-10,90.46,89.715,90.544,89.423, 0 
2016-06-13,89.263,88.754,90.111,88.726, 0 
2016-06-14,88.453,88.679,88.886,87.963, 0 
2016-06-15,88.914,87.953,89.046,87.953, 0 
2016-06-16,87.567,88.65,88.66,86.738, 0 
2016-06-17,88.556,87.906,88.773,87.341, 0 
2016-06-20,89.046,88.905,89.687,88.811, 0 
2016-06-21,89.216,89.621,89.8,89.018, 0 
2016-06-22,89.734,88.632,89.875,88.632, 0 
2016-06-23,89.659,90.186,90.186,89.15, 0 
2016-06-24,86.2,86.191,87.755,85.88, 0 
2016-06-27,85.06,84.938,85.56,84.636, 0 
2016-06-28,85.07,85.202,85.277,84.537, 0 
2016-06-29,85.786,86.813,86.888,85.607, 0 
2016-06-30,87.265,82.978,87.388,82.535, 0 
2016-07-01,84.014,83.722,84.316,83.176, 0 
2016-07-05,83.034,83.147,84.184,82.846, 0 
2016-07-06,82.311,81.999,82.708,81.829, 0 
2016-07-07,82.113,82.925,83.406,82.113, 0 
2016-07-08,83.51,83.633,83.756,83.048, 0 
2016-07-11,84.096,83.812,84.341,83.699, 0 
2016-07-12,84.124,84.993,85.068,83.926, 0 
2016-07-13,85.427,85.314,85.522,84.653, 0 
2016-07-14,86.239,86.362,86.551,85.47, 0 
2016-07-15,86.91,85.871,86.91,85.673, 0 
2016-07-18,86.107,86.504,86.542,85.786, 0 
2016-07-19,86.136,87.24,87.269,86.136, 0 
2016-07-20,87.41,88.109,88.242,87.023, 0 
2016-07-21,87.826,87.316,88.459,86.905, 0 
2016-07-22,87.505,88.449,88.449,86.986, 0 
2016-07-25,88.393,87.826,88.393,87.392, 0 
2016-07-26,87.618,88.232,88.459,87.59, 0 
2016-07-27,88.327,88.534,89.054,87.59, 0 
2016-07-28,89.715,90.669,91.131,89.299, 0 
2016-07-29,90.725,89.941,90.754,89.828, 0 
2016-08-01,89.932,89.781,90.159,89.195, 0 
2016-08-02,89.743,89.951,90.078,89.243, 0 
2016-08-03,89.781,89.79,90.14,89.507, 0 
2016-08-04,89.8,90.574,90.706,89.526, 0 
2016-08-05,90.933,91.49,91.547,90.744, 0 
2016-08-08,91.603,91.396,91.698,91.254, 0 
2016-08-09,91.254,91.32,91.736,91.178, 0 
2016-08-10,91.339,90.933,91.433,90.876, 0 
2016-08-11,91.131,91.16,91.528,90.82, 0 
2016-08-12,90.621,90.772,91.042,90.196, 0 
2016-08-15,90.952,91.075,91.188,90.725, 0 
2016-08-16,90.848,90.3,90.905,90.149, 0 
2016-08-17,90.461,90.272,90.725,89.743, 0 
2016-08-18,89.998,89.97,90.536,89.781, 0 
2016-08-19,89.885,89.922,89.992,89.158, 0 
2016-08-22,89.894,90.461,90.607,89.668, 0 
2016-08-23,90.659,90.933,91.377,90.65, 0 
2016-08-24,90.933,90.215,91.102,90.083, 0 
2016-08-25,90.159,90.272,90.48,90.026, 0 
2016-08-26,90.508,91.103,91.603,90.442, 0 
2016-08-29,91.084,91.396,91.462,90.876, 0 
2016-08-30,91.405,91.688,91.783,90.98, 0 
2016-08-31,91.424,91.254,91.688,90.782, 0 
2016-09-01,91.292,92.189,92.265,91.141, 0 
2016-09-02,91.981,92.444,92.642,91.953, 0 
2016-09-06,92.368,93.294,93.407,92.255, 0 
2016-09-07,93.011,94.03,94.059,92.793, 0 
2016-09-08,93.917,94.418,95.069,93.86, 0 
2016-09-09,93.568,92.689,94.139,92.689, 0 
2016-09-12,92.113,94.54,94.734,92.066, 0 
2016-09-13,93.823,93.86,94.493,93.473, 0 
2016-09-14,93.813,93.218,94.087,92.907, 0 
2016-09-15,93.086,93.936,94.262,92.973, 0 
2016-09-16,93.539,93.832,94.143,93.105, 0 
2016-09-19,94.389,94.134,94.805,93.889, 0 
2016-09-20,94.673,94.899,95.305,94.445, 0 
2016-09-21,95.201,95.626,95.674,94.408, 0 
2016-09-22,95.919,96.439,96.542,95.863, 0 
2016-09-23,96.25,96.004,96.42,95.617, 0 
2016-09-26,95.211,95.532,96.165,95.145, 0 
2016-09-27,95.381,95.806,95.995,94.965, 0 
2016-09-28,95.787,95.863,95.929,95.22, 0 
2016-09-29,95.929,95.013,96.618,94.994, 0 
2016-09-30,95.173,96.108,96.542,95.079, 0 
2016-10-03,95.749,96.212,96.684,95.608, 0 
2016-10-04,96.354,95.589,96.524,95.419, 0 
2016-10-05,95.865,96.887,97.143,95.865, 0 
2016-10-06,96.887,97.398,97.616,96.523, 0 
2016-10-07,97.502,96.745,97.918,96.49, 0 
2016-10-10,97.171,97.124,97.805,97.029, 0 
2016-10-11,97.02,95.894,97.105,95.392, 0 
2016-10-12,96.092,95.903,96.423,95.61, 0 
2016-10-13,95.326,95.231,96.026,94.408, 0 
2016-10-14,95.657,95.449,96.698,95.383, 0 
2016-10-17,95.525,95.42,95.808,95.203, 0 
2016-10-18,96.3,96.253,96.622,95.619, 0 
2016-10-19,96.319,97.199,97.313,96.158, 0 
2016-10-20,97.256,97.029,97.805,96.84, 0 
2016-10-21,96.632,97.313,97.455,96.471, 0 
2016-10-24,97.597,97.635,98.325,97.417, 0 
2016-10-25,97.54,97.341,97.682,96.783, 0 
2016-10-26,97.038,97.663,97.89,97.01, 0 
2016-10-27,97.635,98.022,98.685,97.635, 0 
2016-10-28,99.394,101.145,102.025,98.978, 0 
2016-10-31,101.618,101.258,103.065,100.738, 0 
2016-11-01,101.239,99.309,101.353,99.148, 0 
2016-11-02,98.666,98.401,99.347,98.401, 0 
2016-11-03,97.947,98.193,98.836,97.937, 0 
2016-11-04,98.306,97.483,98.808,97.483, 0 
2016-11-07,98.95,100.255,100.322,98.902, 0 
2016-11-08,100.047,100.009,100.738,99.849, 0 
2016-11-09,99.262,100.473,100.719,98.268, 0 
2016-11-10,100.918,98.874,101.372,96.934, 0 
2016-11-11,98.268,98.988,99.404,98.079, 0 
2016-11-14,99.366,95.695,99.442,94.957, 0 
2016-11-15,95.922,96.963,97.445,95.922, 0 
2016-11-16,96.915,98.401,98.401,96.915, 0 
2016-11-17,98.779,98.827,99.584,98.155, 0 
2016-11-18,99.016,99.139,99.442,98.689, 0 
2016-11-21,99.139,100.236,100.293,99.054, 0 
2016-11-22,100.293,100.227,100.416,99.101, 0 
2016-11-23,99.915,98.931,100.208,98.675, 0 
2016-11-25,98.988,100.038,100.038,98.902, 0 
2016-11-28,99.744,97.795,99.744,97.502, 0 
2016-11-29,98.098,98.231,98.751,97.772, 0 
2016-11-30,97.966,96.698,98.666,95.922, 0 
2016-12-01,96.821,94.787,97.057,94.153, 0 
2016-12-02,94.853,95.657,95.69,94.446, 0 
2016-12-05,96.386,97.975,98.084,96.319, 0 
2016-12-06,98.231,96.509,98.382,96.319, 0 
2016-12-07,97.474,99.584,99.886,97.095, 0 
2016-12-08,99.517,99.177,99.811,98.268, 0 
2016-12-09,99.167,98.789,99.442,98.401, 0 
2016-12-12,98.723,97.72,98.779,97.606, 0 
2016-12-13,97.994,97.758,98.969,97.398, 0 
2016-12-14,97.37,97.72,99.196,97.37, 0 
2016-12-15,98.808,98.732,100.019,98.401, 0 
2016-12-16,99.177,97.862,99.177,97.502, 0 
2016-12-19,98.117,97.966,98.59,97.881, 0 
2016-12-20,98.448,98.912,98.931,97.592, 0 
2016-12-21,98.855,98.562,99.319,98.306, 0 
2016-12-22,98.808,98.694,99.12,97.606, 0 
2016-12-23,98.685,99.073,99.498,98.41, 0 
2016-12-27,99.252,99.158,99.953,99.06, 0 
2016-12-28,99.063,98.098,99.139,97.966, 0 
2016-12-29,98.221,98.183,98.751,97.871, 0 
2016-12-30,98.268,97.691,98.458,97.436, 0 
2017-01-03,98.789,99.716,100.236,98.505, 0 
2017-01-04,99.669,100.662,101.003,99.215, 0 
2017-01-05,101.5,101.443,102.543,100.94, 0 
2017-01-06,101.756,102.173,102.505,101.329, 0 
2017-01-09,102.173,101.974,102.543,101.746, 0 
2017-01-10,101.974,101.756,102.941,101.377, 0 
2017-01-11,101.49,102.22,102.258,101.291, 0 
2017-01-12,102.088,103.074,103.216,101.746, 0 
2017-01-13,102.998,103.064,103.728,102.903, 0 
2017-01-17,102.619,102.78,103.216,102.031, 0 
2017-01-18,103.074,103.026,103.557,102.315, 0 
2017-01-19,103.197,102.903,103.7,102.713, 0 
2017-01-20,103.576,104.259,104.297,103.263, 0 
2017-01-23,103.975,103.946,104.278,103.472, 0 
2017-01-24,104.117,104.221,104.42,103.519, 0 
2017-01-25,104.923,104.477,105.311,103.728, 0 
2017-01-26,104.268,103.709,104.6,103.349, 0 
2017-01-27,103.889,104.145,104.145,103.273, 0 
2017-01-30,103.7,103.633,103.88,102.495, 0 
2017-01-31,100.476,100.817,101.547,100.03, 0 
2017-02-01,101.102,99.556,101.215,98.617, 0 
2017-02-02,99.48,99.689,100.021,99.186, 0 
2017-02-03,100.798,101.054,101.964,100.125, 0 
2017-02-06,101.054,101.064,101.092,100.21, 0 
2017-02-07,101.452,101.073,101.595,100.542, 0 
2017-02-08,101.026,101.187,101.358,100.315, 0 
2017-02-09,101.196,101.737,101.964,100.978, 0 
2017-02-10,101.974,101.708,102.059,101.642, 0 
2017-02-13,102.116,102.666,102.713,101.964, 0 
2017-02-14,102.41,103.235,103.548,102.173, 0 
2017-02-15,103.349,103.975,104.354,103.131, 0 
2017-02-16,104.06,103.633,104.487,103.24, 0 
2017-02-17,103.576,103.747,104.297,103.33, 0 
2017-02-21,103.775,104.449,104.524,103.671, 0 
2017-02-22,104.107,103.766,104.686,103.5, 0 
2017-02-23,104.136,104.999,105.008,103.918, 0 
2017-02-24,104.809,105.245,105.245,104.487, 0 
2017-02-27,104.676,104.837,105.236,104.069, 0 
2017-02-28,104.771,104.733,105.122,104.287, 0 
2017-03-01,105.643,106.487,107.065,105.036, 0 
2017-03-02,106.383,105.558,106.468,105.529, 0 
2017-03-03,105.52,105.947,106.041,105.207, 0 
2017-03-06,105.378,105.586,105.994,105.255, 0 
2017-03-07,105.596,105.207,105.909,104.999, 0 
2017-03-08,105.52,105.226,105.672,105.046, 0 
2017-03-09,105.321,105.046,105.596,104.908, 0 
2017-03-10,105.672,105.444,105.767,104.875, 0 
2017-03-13,105.52,105.748,106.004,105.368, 0 
2017-03-14,105.558,104.761,105.691,104.42, 0 
