Date,Open,Close,High,Low,Volume
2015-04-28,2.597,2.604,2.607,2.584, 0 
2015-04-29,2.582,2.558,2.597,2.548, 0 
2015-04-30,2.541,2.509,2.556,2.5, 0 
2015-05-01,2.497,2.524,2.532,2.497, 0 
2015-05-04,2.538,2.545,2.562,2.525, 0 
2015-05-05,2.541,2.515,2.549,2.507, 0 
2015-05-06,2.518,2.514,2.533,2.502, 0 
2015-05-07,2.514,2.548,2.578,2.505, 0 
2015-05-08,2.569,2.572,2.588,2.559, 0 
2015-05-11,2.575,2.549,2.585,2.547, 0 
2015-05-12,2.535,2.547,2.569,2.52, 0 
2015-05-13,2.548,2.543,2.571,2.532, 0 
2015-05-14,2.567,2.582,2.584,2.552, 0 
2015-05-15,2.595,2.616,2.619,2.587, 0 
2015-05-18,2.605,2.613,2.622,2.591, 0 
2015-05-19,2.614,2.607,2.623,2.598, 0 
2015-05-20,2.61,2.578,2.61,2.571, 0 
2015-05-21,2.574,2.646,2.648,2.567, 0 
2015-05-22,2.633,2.626,2.642,2.614, 0 
2015-05-26,2.629,2.598,2.633,2.577, 0 
2015-05-27,2.6,2.617,2.637,2.596, 0 
2015-05-28,2.622,2.613,2.634,2.598, 0 
2015-05-29,2.607,2.607,2.639,2.598, 0 
2015-06-01,2.617,2.611,2.622,2.572, 0 
2015-06-02,2.621,2.622,2.64,2.605, 0 
2015-06-03,2.623,2.606,2.646,2.602, 0 
2015-06-04,2.615,2.589,2.623,2.573, 0 
2015-06-05,2.583,2.548,2.6,2.545, 0 
2015-06-08,2.543,2.529,2.554,2.518, 0 
2015-06-09,2.539,2.556,2.57,2.53, 0 
2015-06-10,2.567,2.596,2.606,2.562, 0 
2015-06-11,2.602,2.607,2.618,2.597, 0 
2015-06-12,2.597,2.583,2.603,2.579, 0 
2015-06-15,2.572,2.564,2.58,2.548, 0 
2015-06-16,2.564,2.608,2.61,2.559, 0 
2015-06-17,2.612,2.6,2.614,2.586, 0 
2015-06-18,2.609,2.667,2.679,2.609, 0 
2015-06-19,2.667,2.688,2.715,2.662, 0 
2015-06-22,2.699,2.665,2.71,2.661, 0 
2015-06-23,2.671,2.645,2.671,2.637, 0 
2015-06-24,2.638,2.616,2.641,2.606, 0 
2015-06-25,2.615,2.623,2.641,2.61, 0 
2015-06-26,2.636,2.635,2.645,2.614, 0 
2015-06-29,2.612,2.56,2.617,2.559, 0 
2015-06-30,2.587,2.564,2.595,2.562, 0 
2015-07-01,2.584,2.605,2.608,2.577, 0 
2015-07-02,2.615,2.606,2.62,2.601, 0 
2015-07-06,2.579,2.593,2.607,2.573, 0 
2015-07-07,2.6,2.65,2.661,2.595, 0 
2015-07-08,2.633,2.61,2.642,2.594, 0 
2015-07-09,2.733,2.72,2.741,2.673, 0 
2015-07-10,2.787,2.828,2.848,2.773, 0 
2015-07-13,2.849,2.87,2.882,2.825, 0 
2015-07-14,2.878,2.865,2.879,2.856, 0 
2015-07-15,2.865,2.853,2.875,2.839, 0 
2015-07-16,2.884,2.919,2.922,2.867, 0 
2015-07-17,2.905,2.908,2.916,2.889, 0 
2015-07-20,2.892,2.905,2.913,2.875, 0 
2015-07-21,2.902,2.905,2.911,2.884, 0 
2015-07-22,2.938,2.935,2.947,2.918, 0 
2015-07-23,2.942,2.9,2.942,2.891, 0 
2015-07-24,2.904,2.889,2.913,2.881, 0 
2015-07-27,2.881,2.866,2.899,2.846, 0 
2015-07-28,2.878,2.922,2.931,2.867, 0 
2015-07-29,2.905,2.933,2.954,2.903, 0 
2015-07-30,2.925,2.932,2.947,2.919, 0 
2015-07-31,2.935,2.935,2.945,2.913, 0 
2015-08-03,2.919,2.913,2.925,2.887, 0 
2015-08-04,2.919,2.906,2.919,2.879, 0 
2015-08-05,2.947,2.937,2.955,2.924, 0 
2015-08-06,2.936,2.847,2.942,2.844, 0 
2015-08-07,2.876,2.833,2.876,2.796, 0 
2015-08-10,2.861,2.853,2.868,2.842, 0 
2015-08-11,2.836,2.824,2.858,2.807, 0 
2015-08-12,2.804,2.835,2.846,2.783, 0 
2015-08-13,2.838,2.811,2.844,2.804, 0 
2015-08-14,2.803,2.797,2.822,2.788, 0 
2015-08-17,2.796,2.826,2.828,2.785, 0 
2015-08-18,2.822,2.803,2.826,2.791, 0 
2015-08-19,2.782,2.787,2.813,2.768, 0 
2015-08-20,2.751,2.737,2.779,2.735, 0 
2015-08-21,2.702,2.61,2.712,2.607, 0 
2015-08-24,2.497,2.509,2.59,2.317, 0 
2015-08-25,2.562,2.47,2.652,2.465, 0 
2015-08-26,2.551,2.603,2.61,2.472, 0 
2015-08-27,2.631,2.678,2.692,2.62, 0 
2015-08-28,2.661,2.665,2.685,2.634, 0 
2015-08-31,2.648,2.639,2.657,2.62, 0 
2015-09-01,2.571,2.623,2.657,2.567, 0 
2015-09-02,2.652,2.678,2.685,2.62, 0 
2015-09-03,2.694,2.691,2.721,2.681, 0 
2015-09-04,2.653,2.666,2.683,2.635, 0 
2015-09-08,2.703,2.747,2.749,2.697, 0 
2015-09-09,2.807,2.712,2.807,2.704, 0 
2015-09-10,2.699,2.725,2.748,2.699, 0 
2015-09-11,2.714,2.755,2.758,2.706, 0 
2015-09-14,2.764,2.749,2.767,2.741, 0 
2015-09-15,2.758,2.772,2.782,2.726, 0 
2015-09-16,2.771,2.772,2.775,2.753, 0 
2015-09-17,2.778,2.735,2.778,2.721, 0 
2015-09-18,2.705,2.637,2.707,2.628, 0 
2015-09-21,2.655,2.691,2.696,2.653, 0 
2015-09-22,2.643,2.644,2.674,2.621, 0 
2015-09-23,2.724,2.666,2.724,2.638, 0 
2015-09-24,2.638,2.614,2.647,2.593, 0 
2015-09-25,2.657,2.602,2.678,2.586, 0 
2015-09-28,2.593,2.52,2.605,2.499, 0 
2015-09-29,2.523,2.502,2.557,2.483, 0 
2015-09-30,2.525,2.531,2.539,2.5, 0 
2015-10-01,2.548,2.581,2.585,2.518, 0 
2015-10-02,2.54,2.656,2.657,2.522, 0 
2015-10-05,2.675,2.682,2.699,2.656, 0 
2015-10-06,2.655,2.565,2.679,2.55, 0 
2015-10-07,2.589,2.575,2.592,2.541, 0 
2015-10-08,2.565,2.57,2.61,2.547, 0 
2015-10-09,2.569,2.603,2.608,2.553, 0 
2015-10-12,2.597,2.628,2.63,2.595, 0 
2015-10-13,2.612,2.596,2.635,2.591, 0 
2015-10-14,2.592,2.562,2.604,2.544, 0 
2015-10-15,2.584,2.66,2.662,2.572, 0 
2015-10-16,2.676,2.687,2.689,2.644, 0 
2015-10-19,2.678,2.697,2.7,2.676, 0 
2015-10-20,2.697,2.706,2.731,2.695, 0 
2015-10-21,2.716,2.684,2.719,2.675, 0 
2015-10-22,2.679,2.702,2.721,2.678, 0 
2015-10-23,2.729,2.743,2.749,2.678, 0 
2015-10-26,2.748,2.728,2.753,2.719, 0 
2015-10-27,2.72,2.901,2.919,2.712, 0 
2015-10-28,2.806,2.582,2.835,2.575, 0 
2015-10-29,2.603,2.557,2.645,2.554, 0 
2015-10-30,2.557,2.582,2.591,2.516, 0 
2015-11-02,2.57,2.639,2.642,2.54, 0 
2015-11-03,2.635,2.69,2.718,2.622, 0 
2015-11-04,2.694,2.668,2.698,2.624, 0 
2015-11-05,2.673,2.621,2.674,2.611, 0 
2015-11-06,2.613,2.582,2.62,2.554, 0 
2015-11-09,2.569,2.545,2.572,2.514, 0 
2015-11-10,2.556,2.547,2.585,2.539, 0 
2015-11-11,2.552,2.495,2.557,2.491, 0 
2015-11-12,2.501,2.462,2.509,2.455, 0 
2015-11-13,2.455,2.425,2.476,2.421, 0 
2015-11-16,2.419,2.506,2.514,2.416, 0 
2015-11-17,2.516,2.541,2.564,2.512, 0 
2015-11-18,2.541,2.59,2.598,2.534, 0 
2015-11-19,2.589,2.537,2.595,2.507, 0 
2015-11-20,2.558,2.506,2.558,2.5, 0 
2015-11-23,2.488,2.508,2.523,2.468, 0 
2015-11-24,2.485,2.54,2.545,2.468, 0 
2015-11-25,2.54,2.554,2.572,2.539, 0 
2015-11-27,2.556,2.578,2.609,2.556, 0 
2015-11-30,2.575,2.573,2.588,2.565, 0 
2015-12-01,2.586,2.572,2.594,2.553, 0 
2015-12-02,2.574,2.551,2.576,2.543, 0 
2015-12-03,2.56,2.51,2.578,2.504, 0 
2015-12-04,2.512,2.591,2.595,2.511, 0 
2015-12-07,2.587,2.599,2.607,2.57, 0 
2015-12-08,2.58,2.562,2.6,2.555, 0 
2015-12-09,2.543,2.552,2.572,2.522, 0 
2015-12-10,2.555,2.555,2.573,2.534, 0 
2015-12-11,2.514,2.502,2.538,2.481, 0 
2015-12-14,2.505,2.528,2.538,2.485, 0 
2015-12-15,2.554,2.514,2.571,2.512, 0 
2015-12-16,2.54,2.594,2.602,2.525, 0 
2015-12-17,2.606,2.552,2.613,2.551, 0 
2015-12-18,2.534,2.525,2.555,2.515, 0 
2015-12-21,2.542,2.6,2.604,2.533, 0 
2015-12-22,2.603,2.634,2.644,2.579, 0 
2015-12-23,2.643,2.635,2.649,2.625, 0 
2015-12-24,2.645,2.648,2.663,2.632, 0 
2015-12-28,2.633,2.629,2.646,2.616, 0 
2015-12-29,2.646,2.659,2.666,2.64, 0 
2015-12-30,2.659,2.646,2.664,2.644, 0 
2015-12-31,2.631,2.608,2.635,2.596, 0 
2016-01-04,2.563,2.543,2.565,2.515, 0 
2016-01-05,2.535,2.476,2.544,2.475, 0 
2016-01-06,2.466,2.439,2.489,2.432, 0 
2016-01-07,2.523,2.486,2.523,2.42, 0 
2016-01-08,2.507,2.483,2.542,2.478, 0 
2016-01-11,2.504,2.481,2.522,2.446, 0 
2016-01-12,2.498,2.506,2.511,2.475, 0 
2016-01-13,2.506,2.448,2.517,2.438, 0 
2016-01-14,2.45,2.507,2.534,2.443, 0 
2016-01-15,2.434,2.447,2.473,2.418, 0 
2016-01-19,2.478,2.472,2.5,2.446, 0 
2016-01-20,2.425,2.432,2.457,2.358, 0 
2016-01-21,2.433,2.419,2.448,2.405, 0 
2016-01-22,2.469,2.476,2.483,2.438, 0 
2016-01-25,2.469,2.41,2.479,2.406, 0 
2016-01-26,2.413,2.433,2.444,2.413, 0 
2016-01-27,2.449,2.402,2.464,2.388, 0 
2016-01-28,2.415,2.377,2.417,2.346, 0 
2016-01-29,2.406,2.441,2.442,2.362, 0 
2016-02-01,2.416,2.452,2.472,2.398, 0 
2016-02-02,2.422,2.389,2.428,2.38, 0 
2016-02-03,2.402,2.352,2.41,2.329, 0 
2016-02-04,2.351,2.364,2.368,2.3, 0 
2016-02-05,2.345,2.303,2.37,2.29, 0 
