Date,Open,High,Low,Close,Volume
2016-09-02,5.99,6.68,5.99,6.68,1254
2016-09-05,7.35,7.35,7.35,7.35,498
2016-09-06,8.09,8.09,8.09,8.09,519
2016-09-07,8.9,8.9,8.9,8.9,1003
2016-09-08,9.79,9.79,9.79,9.79,2586
2016-09-09,10.77,10.77,10.77,10.77,7053
2016-09-12,11.85,11.85,11.85,11.85,18727
2016-09-13,13.04,13.04,13.04,13.04,16732
2016-09-14,14.34,14.34,14.34,14.34,29105
2016-09-19,15.77,15.77,15.77,15.77,193258
2016-09-20,16.2,17.3,15.84,16.41,1371063
2016-09-21,16.0,16.3,15.65,15.7,750676
2016-09-22,15.91,16.15,15.06,15.13,760715
2016-09-23,14.98,15.24,14.34,14.41,538102
2016-09-26,14.33,14.69,13.85,13.85,392960
2016-09-27,13.8,13.97,12.96,13.49,512601
2016-09-28,13.35,13.4,12.96,13.09,316597
2016-09-29,13.1,13.58,13.09,13.14,322404
2016-09-30,13.04,13.12,12.61,12.63,332608
2016-10-10,12.72,13.0,12.56,13.0,296514
2016-10-11,13.0,13.47,12.92,13.45,416376
2016-10-12,13.2,13.32,13.04,13.1,267081
2016-10-13,13.11,13.17,12.71,12.8,268546
2016-10-14,12.8,13.2,12.73,12.94,251843
2016-10-17,12.87,12.87,12.4,12.45,258846
2016-10-18,12.4,12.53,12.21,12.5,225860
2016-10-19,12.44,12.5,12.32,12.36,147052
2016-10-20,12.35,12.42,12.21,12.29,123838
2016-10-21,12.26,12.39,12.12,12.21,150903
2016-10-24,12.24,12.66,12.18,12.46,274780
2016-10-25,12.39,13.2,12.33,13.1,511891
2016-10-26,12.94,13.1,12.75,12.84,341288
2016-10-27,12.84,12.91,12.55,12.67,247277
2016-10-28,12.55,13.89,12.55,13.14,592502
2016-10-31,12.95,13.53,12.73,13.39,460281
2016-11-01,13.2,13.25,13.02,13.17,291480
2016-11-02,13.09,13.13,12.85,12.9,232135
2016-11-03,12.8,13.05,12.71,12.89,212682
2016-11-04,12.83,12.94,12.67,12.71,182285
2016-11-07,12.7,12.81,12.61,12.69,127240
2016-11-08,12.71,13.08,12.71,12.95,224997
2016-11-09,12.9,12.91,12.5,12.69,198226
2016-11-10,12.84,13.78,12.76,13.24,483120
2016-11-11,13.27,13.67,13.12,13.55,507622
2016-11-14,13.42,14.48,13.36,13.97,556301
2016-11-15,13.84,13.87,13.64,13.74,254085
2016-11-16,13.74,13.84,13.6,13.7,190025
