Date,Open,High,Low,Close,Volume
2019-11-26,4.95,5.58,4.88,4.97,9478244
2019-11-27,4.81,4.91,4.7,4.74,4448159
2019-11-28,4.75,4.81,4.68,4.75,2715494
2019-11-29,4.72,4.75,4.69,4.7,1530652
2019-12-02,4.7,4.71,4.6,4.61,2122294
2019-12-03,4.57,4.58,4.53,4.56,1435068
2019-12-04,4.53,4.63,4.52,4.58,1080893
2019-12-05,4.59,4.6,4.56,4.6,1051601
2019-12-06,4.59,4.6,4.56,4.59,772743
2019-12-09,4.6,4.67,4.59,4.65,1389282
2019-12-10,4.63,4.63,4.56,4.58,1329465
2019-12-11,4.57,4.6,4.55,4.58,881920
2019-12-12,4.57,4.57,4.53,4.54,849782
2019-12-13,4.56,4.62,4.54,4.61,1578974
2019-12-16,4.59,4.59,4.55,4.59,1253079
2019-12-17,4.58,4.96,4.57,4.81,5066069
2019-12-18,4.76,4.81,4.71,4.73,2405683
2019-12-19,4.74,4.81,4.71,4.73,1384224
2019-12-20,4.74,4.87,4.73,4.77,2111967
2019-12-23,4.79,4.87,4.77,4.78,2116248
2019-12-24,4.8,4.83,4.73,4.78,987060
2019-12-25,4.78,4.8,4.74,4.77,872539
2019-12-26,4.76,4.8,4.74,4.79,972771
2019-12-27,4.78,4.85,4.77,4.79,1388635
2019-12-30,4.75,4.8,4.7,4.79,1269166
2019-12-31,4.77,4.79,4.75,4.78,833706
2020-01-02,4.83,4.84,4.8,4.8,2139792
2020-01-03,4.8,4.81,4.75,4.78,1113903
2020-01-06,4.75,4.78,4.74,4.75,1096596
2020-01-07,4.75,4.78,4.75,4.77,848857
2020-01-08,4.75,4.76,4.68,4.68,1418617
2020-01-09,4.7,4.73,4.69,4.7,614009
2020-01-10,4.72,4.72,4.68,4.7,471111
2020-01-13,4.69,4.7,4.66,4.7,471243
2020-01-14,4.71,4.72,4.68,4.7,501328
2020-01-15,4.69,4.7,4.66,4.67,481829
2020-01-16,4.67,4.68,4.63,4.64,498320
2020-01-17,4.65,4.66,4.62,4.63,411679
2020-01-20,4.63,4.66,4.62,4.66,428477
2020-01-21,4.65,4.65,4.61,4.61,474292
2020-01-22,4.6,4.62,4.57,4.61,497833
2020-01-23,4.59,4.61,4.53,4.56,815277
2020-02-03,4.1,4.23,4.1,4.1,1592774
2020-02-04,4.09,4.18,4.09,4.17,988838
2020-02-05,4.16,4.26,4.14,4.22,831130
2020-02-06,4.22,4.26,4.17,4.24,836276
2020-02-07,4.22,4.23,4.18,4.21,708676
2020-02-10,4.21,4.23,4.18,4.23,513131
2020-02-11,4.24,4.28,4.21,4.26,796159
2020-02-12,4.25,4.27,4.23,4.27,481558
2020-02-13,4.26,4.27,4.22,4.22,493221
2020-02-14,4.21,4.25,4.21,4.23,342724
