Date,Open,High,Low,Close,Volume
2018-06-19,46.095,46.429,45.984,46.336,0.0
2018-06-20,46.791,47.198,46.791,46.911,0.0
2018-06-21,47.088,47.162,46.559,46.624,0.0
2018-06-22,46.921,46.939,46.55,46.828,0.0
2018-06-25,46.587,46.587,45.46,45.863,0.0
2018-06-26,46.114,46.17,45.771,45.939,0.0
2018-06-27,46.207,46.374,45.539,45.539,0.0
2018-06-28,45.539,46.179,45.418,45.993,0.0
2018-06-29,46.188,46.225,45.836,45.938,0.0
2018-07-02,45.548,46.225,45.39,46.225,0.0
2018-07-03,46.374,46.374,45.621,45.659,0.0
2018-07-05,45.993,46.374,45.752,46.355,0.0
2018-07-06,46.503,47.13,46.309,47.088,0.0
2018-07-09,47.487,47.487,46.976,47.357,0.0
2018-07-10,47.496,47.496,47.18,47.337,0.0
2018-07-11,47.023,47.514,46.976,47.273,0.0
2018-07-12,47.579,48.015,47.431,48.015,0.0
2018-07-13,48.024,48.043,47.717,47.941,0.0
2018-07-16,48.024,48.024,47.718,47.802,0.0
2018-07-17,47.125,47.932,47.041,47.811,0.0
2018-07-18,47.848,47.858,47.514,47.672,0.0
2018-07-19,47.7,47.737,47.307,47.338,0.0
2018-07-20,47.347,47.474,47.153,47.18,0.0
2018-07-23,47.236,47.394,46.976,47.375,0.0
2018-07-24,48.331,48.331,47.449,47.709,0.0
2018-07-25,47.793,48.113,47.653,48.052,0.0
2018-07-26,46.142,46.392,45.975,46.24,0.0
2018-07-27,46.16,46.216,45.11,45.363,0.0
2018-07-30,45.465,45.465,44.397,44.648,0.0
2018-07-31,44.862,45.233,44.648,44.945,0.0
2018-08-01,45.038,45.241,44.629,44.76,0.0
2018-08-02,44.602,45.131,44.426,45.057,0.0
2018-08-03,45.316,45.381,45.121,45.363,0.0
2018-08-06,45.363,45.826,45.279,45.817,0.0
2018-08-07,46.077,46.187,45.836,45.873,0.0
2018-08-08,45.956,46.003,45.778,45.836,0.0
2018-08-09,45.873,46.267,45.873,46.086,0.0
2018-08-10,45.938,45.938,45.585,45.696,0.0
2018-08-13,45.752,46.012,45.604,45.632,0.0
2018-08-14,45.854,46.03,45.548,45.956,0.0
2018-08-15,45.669,45.724,44.973,45.316,0.0
2018-08-16,45.622,45.664,45.223,45.298,0.0
2018-08-17,45.131,45.27,44.89,45.084,0.0
2018-08-20,45.307,45.307,44.863,45.159,0.0
2018-08-21,45.4,45.659,45.27,45.437,0.0
2018-08-22,45.307,45.474,45.214,45.381,0.0
2018-08-23,45.335,45.604,45.186,45.196,0.0
2018-08-24,45.409,45.854,45.335,45.854,0.0
2018-08-27,46.142,46.391,46.059,46.299,0.0
2018-08-28,46.429,46.429,46.031,46.095,0.0
2018-08-29,46.216,46.392,46.067,46.355,0.0
2018-08-30,46.197,46.406,45.891,46.067,0.0
2018-08-31,46.021,46.021,45.485,45.613,0.0
2018-09-04,45.492,45.492,44.89,45.047,0.0
2018-09-05,45.001,45.001,44.296,44.463,0.0
2018-09-06,44.435,44.5,43.749,44.129,0.0
2018-09-07,43.851,44.472,43.804,44.222,0.0
2018-09-10,44.5,44.5,44.11,44.315,0.0
2018-09-11,44.259,44.852,44.203,44.76,0.0
2018-09-12,44.639,44.75,44.379,44.63,0.0
2018-09-13,44.806,45.001,44.713,44.945,0.0
2018-09-14,45.112,45.112,44.75,44.862,0.0
2018-09-17,44.908,44.908,44.389,44.426,0.0
2018-09-18,44.472,44.899,44.426,44.741,0.0
2018-09-19,44.788,44.908,44.509,44.862,0.0
2018-09-20,45.233,45.4,45.001,45.353,0.0
2018-09-21,45.588,45.606,45.03,45.151,0.0
2018-09-24,44.834,45.216,44.648,45.151,0.0
2018-09-25,45.141,45.244,44.872,45.169,0.0
2018-09-26,45.244,45.802,45.197,45.346,0.0
2018-09-27,45.625,46.062,45.467,45.737,0.0
2018-09-28,45.634,45.681,45.381,45.569,0.0
2018-10-01,45.727,45.774,45.169,45.383,0.0
2018-10-02,45.355,45.535,45.179,45.346,0.0
2018-10-03,45.597,45.746,45.43,45.551,0.0
2018-10-04,45.504,45.504,44.518,44.9,0.0
2018-10-05,44.965,45.132,44.156,44.472,0.0
2018-10-08,44.267,44.481,43.718,44.323,0.0
2018-10-09,44.323,44.751,44.239,44.295,0.0
2018-10-10,44.202,44.211,42.509,42.547,0.0
2018-10-11,42.463,43.03,41.784,42.184,0.0
2018-10-12,43.188,43.244,42.398,43.123,0.0
2018-10-15,42.974,43.412,42.779,42.956,0.0
2018-10-16,43.421,44.179,43.346,44.09,0.0
2018-10-17,44.397,44.397,43.811,44.267,0.0
2018-10-18,44.165,44.165,43.13,43.458,0.0
2018-10-19,43.709,44.09,43.281,43.449,0.0
2018-10-22,43.7,43.821,43.253,43.421,0.0
2018-10-23,42.807,43.514,42.443,43.328,0.0
2018-10-24,43.319,43.319,41.217,41.263,0.0
2018-10-25,42.007,42.919,42.007,42.63,0.0
2018-10-26,41.319,42.407,40.956,41.477,0.0
2018-10-29,42.128,42.407,40.054,40.836,0.0
