Date,Open,Close,High,Low,Volume
2024-09-17,54.838,54.738,55.638,53.638, 65113949 
2024-09-19,56.538,59.888,61.038,56.138, 57891019 
2024-09-20,59.488,59.638,60.588,58.638, 24692420 
2024-09-23,60.638,63.238,64.788,60.338, 19667047 
2024-09-24,63.438,65.788,65.788,62.688, 13042867 
2024-09-25,65.788,66.338,71.438,65.788, 8161402 
2024-09-26,67.638,73.338,75.438,66.838, 7896483 
2024-09-27,75.638,69.838,77.788,67.688, 13904793 
2024-09-30,69.638,69.888,72.188,65.638, 22235363 
2024-10-02,70.838,88.938,88.938,68.438, 31989628 
2024-10-03,87.138,80.638,89.638,75.138, 22114277 
2024-10-04,79.638,88.638,92.638,78.638, 10750017 
2024-10-07,90.638,90.638,91.088,86.188, 7676634 
2024-10-08,96.638,79.788,96.638,79.238, 14829015 
2024-10-09,84.238,78.638,84.638,72.638, 9235888 
2024-10-10,81.588,80.388,82.588,76.888, 4689224 
2024-10-14,80.138,77.188,80.138,75.988, 3989594 
2024-10-15,77.188,75.038,78.438,73.638, 3978644 
2024-10-16,72.638,73.188,74.638,72.638, 2114822 
2024-10-17,74.588,69.638,75.438,68.738, 3717755 
2024-10-18,69.638,71.938,72.938,66.038, 6037700 
2024-10-21,70.838,70.538,72.788,69.188, 2766115 
2024-10-22,71.638,73.288,73.338,70.538, 2466294 
2024-10-23,75.138,74.088,76.538,73.638, 2553093 
2024-10-24,74.088,72.688,75.088,72.038, 1407049 
2024-10-25,73.638,73.638,75.038,72.738, 688596 
2024-10-28,73.638,73.688,74.588,72.738, 992045 
2024-10-29,74.988,72.638,74.988,72.038, 2343003 
2024-10-30,71.838,69.638,72.438,67.938, 3693367 
2024-10-31,70.138,68.688,70.438,68.638, 2455568 
2024-11-01,68.638,66.788,68.638,64.738, 6819216 
2024-11-04,67.138,67.888,67.938,65.738, 2589623 
2024-11-05,67.888,69.638,69.888,67.388, 4780681 
2024-11-06,68.688,66.538,69.588,65.688, 3755742 
2024-11-07,65.688,65.688,66.538,64.488, 6739254 
2024-11-08,67.138,67.638,68.788,65.788, 7481198 
2024-11-11,64.838,67.388,68.538,64.838, 4908087 
2024-11-12,67.388,66.688,70.988,66.138, 6195023 
2024-11-13,66.188,67.988,68.638,66.188, 3427684 
2024-11-14,67.988,66.638,69.488,66.188, 3234893 
2024-11-15,66.638,66.038,68.388,65.988, 1979896 
2024-11-18,66.038,65.438,66.588,64.538, 2789157 
2024-11-19,65.488,65.788,66.388,64.188, 2279155 
2024-11-20,65.638,64.938,65.638,64.638, 2322445 
2024-11-21,64.938,62.738,64.938,62.738, 2852241 
2024-11-22,63.288,63.488,65.138,62.788, 4054243 
2024-11-25,63.938,66.388,67.388,63.738, 12619316 
2024-11-26,65.638,65.638,66.638,64.238, 5328598 
2024-11-27,66.038,68.638,68.788,64.838, 5482893 
2024-11-28,69.138,66.438,69.138,65.388, 3372722 
2024-11-29,66.438,64.988,67.438,64.738, 4178154 
2024-12-02,64.988,65.638,65.988,64.738, 2784249 
2024-12-03,66.138,66.438,66.538,64.938, 4207962 
2024-12-04,67.238,69.938,70.588,66.238, 11733819 
2024-12-05,70.038,69.738,70.638,68.788, 6986438 
2024-12-06,70.138,67.188,70.438,67.188, 28856058 
2024-12-09,67.488,73.038,73.888,66.638, 21090760 
2024-12-10,75.488,71.188,75.538,69.988, 9772348 
2024-12-11,71.188,72.638,73.338,70.788, 5417926 
2024-12-12,72.638,72.538,74.088,71.938, 4633650 
2024-12-13,72.538,70.488,72.938,69.438, 4367172 
2024-12-16,70.388,68.738,70.888,68.338, 2627122 
2024-12-17,68.738,70.238,70.888,68.588, 3228616 
2024-12-18,70.238,71.788,71.838,70.238, 3504791 
2024-12-19,70.838,70.438,72.288,69.738, 3542885 
2024-12-20,70.088,70.288,70.888,69.888, 3849179 
2024-12-23,71.238,71.388,72.388,70.438, 2853660 
2024-12-24,71.238,73.088,73.538,70.838, 3280269 
2024-12-27,72.988,71.738,72.988,71.338, 2646900 
2024-12-30,71.738,70.588,72.938,70.288, 2789209 
2024-12-31,70.588,71.188,73.188,70.588, 2537656 
2025-01-02,71.188,70.288,73.638,70.238, 4045066 
2025-01-03,70.288,70.938,71.638,69.538, 5170063 
2025-01-06,70.938,70.938,71.638,70.338, 3518944 
2025-01-07,70.938,72.288,73.238,70.388, 4196169 
2025-01-08,72.288,74.938,75.438,71.788, 5493667 
2025-01-09,74.938,76.238,76.788,73.788, 5361158 
2025-01-10,76.238,72.688,76.238,72.388, 4755943 
2025-01-13,72.588,70.938,72.588,69.038, 5279854 
2025-01-14,70.938,70.688,71.888,69.988, 4044058 
2025-01-15,71.538,70.438,71.938,69.588, 6044613 
2025-01-16,71.088,70.638,71.538,70.138, 3788819 
2025-01-17,70.638,70.938,71.538,70.088, 1583853 
2025-01-20,71.738,71.988,73.738,71.288, 3489666 
2025-01-21,72.638,71.738,73.038,71.238, 2682985 
2025-01-22,71.738,69.038,71.938,68.938, 4996593 
2025-01-23,69.488,69.238,69.838,68.988, 2615330 
2025-01-24,69.138,68.938,69.938,68.738, 2744784 
2025-01-27,68.938,69.588,70.038,68.438, 2321044 
2025-01-28,70.338,70.538,70.588,69.588, 528207 
2025-02-03,70.738,70.188,71.138,65.838, 5292301 
2025-02-04,70.138,70.638,71.088,69.088, 2384156 
2025-02-05,71.138,68.288,71.138,67.538, 6540278 
2025-02-06,69.638,69.288,70.038,67.688, 5070112 
2025-02-07,69.288,70.938,71.138,68.088, 5541290 
2025-02-10,70.938,71.138,71.338,69.838, 5575281 
2025-02-11,71.188,70.638,71.638,69.988, 4285494 
2025-02-12,71.138,70.088,71.438,69.488, 6359362 
2025-02-13,70.138,69.038,70.488,68.938, 6767489 
2025-02-14,69.638,71.738,71.738,68.888, 6292490 
2025-02-17,71.738,69.938,71.738,69.338, 7849759 
2025-02-18,70.538,71.038,71.038,69.438, 6723175 
2025-02-19,70.038,69.388,70.588,68.688, 7879068 
2025-02-20,69.138,67.838,69.938,67.838, 4027801 
2025-02-21,67.838,67.988,68.538,67.038, 4871270 
2025-02-24,67.938,67.788,69.288,66.838, 4641651 
2025-02-25,67.988,65.688,68.188,65.538, 6214368 
2025-02-26,65.688,68.788,68.788,65.438, 6620608 
