Date,Open,Close,High,Low,Volume
2019-06-03,24.357,22.769,24.779,22.365, 0 
2019-06-04,22.347,25.467,25.642,22.347, 0 
2019-06-05,25.274,25.706,25.899,24.283, 0 
2019-06-06,25.412,24.687,25.412,24.072, 0 
2019-06-07,24.017,24.146,24.715,23.6, 0 
2019-06-10,23.925,23.228,24.54,23.054, 0 
2019-06-11,22.953,22.898,23.274,22.512, 0 
2019-06-12,23.044,23.008,23.356,22.466, 0 
2019-06-13,22.998,22.916,23.118,22.668, 0 
2019-06-14,22.723,23.118,23.164,22.53, 0 
2019-06-17,23.43,23.815,24.687,23.356, 0 
2019-06-18,23.889,25.054,25.302,23.632, 0 
2019-06-19,25.219,24.917,25.219,24.66, 0 
2019-06-20,25.118,24.926,25.33,24.247, 0 
2019-06-21,24.66,24.972,25.43,24.66, 0 
2019-06-24,24.907,25.706,26.11,24.828, 0 
2019-06-25,25.715,25.394,25.779,25.219, 0 
2019-06-26,25.632,26.853,26.958,25.559, 0 
2019-06-27,26.963,27.137,27.835,26.853, 0 
2019-06-28,27.165,27.137,27.303,26.853, 0 
2019-07-01,27.147,27.238,28.22,26.568, 0 
2019-07-02,27.073,26.605,27.165,25.825, 0 
2019-07-03,26.412,26.431,26.523,25.88, 0 
2019-07-05,26.11,26.284,26.908,25.935, 0 
2019-07-08,26.055,25.486,26.055,25.366, 0 
2019-07-09,25.21,24.77,25.486,24.623, 0 
2019-07-10,24.604,24.32,24.779,24.265, 0 
2019-07-11,24.366,24.256,24.595,23.824, 0 
2019-07-12,24.247,25.33,25.449,24.1, 0 
2019-07-15,25.155,25.77,25.944,25.146, 0 
2019-07-16,25.632,25.568,26.155,25.435, 0 
2019-07-17,25.33,24.669,25.43,24.641, 0 
2019-07-18,24.393,24.458,24.761,24.24, 0 
2019-07-19,24.586,25.137,25.219,24.448, 0 
2019-07-22,25.091,25.476,25.559,24.972, 0 
2019-07-23,25.375,25.807,26.137,25.192, 0 
