| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-04-22 | 7102.91 | 7137.9 | 7138.64 | 7102.91 | 2804123196 | 20015550960728 | 0 |
| 2026-04-21 | 7122.64 | 7064.01 | 7137.27 | 7050.2 | 2981757129 | 21063162176827 | 0 |
| 2026-04-20 | 7117.05 | 7109.14 | 7122.65 | 7084.41 | 2630327000 | 18699362888780 | 0 |
| 2026-04-17 | 7074.55 | 7126.06 | 7147.52 | 7074.55 | 3621555103 | 25807418957284 | 0 |
| 2026-04-16 | 7037.78 | 7041.28 | 7051.23 | 7008.52 | 2986124846 | 21026141155643 | 0 |
| 2026-04-15 | 6978.17 | 7022.95 | 7026.24 | 6967.13 | 3062289004 | 21506302560642 | 0 |
| 2026-04-14 | 6910.2 | 6967.38 | 6969.42 | 6905.17 | 3024825368 | 21075107772496 | 0 |
| 2026-04-13 | 6806.47 | 6886.24 | 6887 | 6790.02 | 2885789475 | 19872238914324 | 0 |
| 2026-04-10 | 6839.24 | 6816.89 | 6845.77 | 6808.46 | 2781393842 | 18960455867591 | 0 |
| 2026-04-09 | 6783.69 | 6824.66 | 6835.31 | 6761.55 | 2977422971 | 2031989943265 | 0 |
| 2026-04-08 | 6754.36 | 6782.81 | 6793.5 | 6740.28 | 3502192139 | 23754703862331 | 0 |
| 2026-04-07 | 6601.93 | 6616.85 | 6618.26 | 6534.55 | 2731118503 | 18071401465576 | 0 |
| 2026-04-06 | 6587.66 | 6611.83 | 6618.13 | 6579.72 | 2316755811 | 15317995573844 | 0 |
| 2026-04-02 | 6512.61 | 6582.69 | 6601.91 | 6474.94 | 2716142439 | 17879523671781 | 0 |
| 2026-04-01 | 6556.56 | 6575.32 | 6609.67 | 6554.29 | 3352118456 | 22041251506106 | 0 |
| 2026-03-31 | 6395.88 | 6528.52 | 6539.05 | 6395.88 | 3868268393 | 25254067569068 | 0 |
| 2026-03-30 | 6403.37 | 6343.72 | 6427.31 | 6316.91 | 3264973385 | 20712076961892 | 0 |
