Date,Open,High,Low,Close,Volume
2021-06-30,35.0,45.5,31.5,43.14,186336
2021-07-01,35.48,38.59,33.45,33.74,138067
2021-07-02,33.68,33.68,30.3,30.32,94364
2021-07-05,29.85,31.73,29.2,29.87,63589
2021-07-06,29.96,31.96,29.22,31.35,77495
2021-07-07,30.5,32.07,30.08,30.7,63021
2021-07-08,30.5,31.32,30.06,30.69,55853
2021-07-09,30.42,30.87,29.54,29.59,50723
2021-07-12,29.68,29.88,29.1,29.26,37906
2021-07-13,29.32,29.36,28.57,28.79,34484
2021-07-14,28.8,29.13,28.61,28.96,27662
2021-07-15,28.79,28.98,27.72,27.95,32421
2021-07-16,27.94,28.1,27.46,27.47,23193
2021-07-19,27.1,27.71,27.08,27.71,17736
2021-07-20,27.55,27.77,27.22,27.68,17074
2021-07-21,27.6,27.94,27.53,27.81,18375
2021-07-22,27.93,27.93,27.13,27.35,23814
2021-07-23,27.05,27.3,26.1,26.19,24768
2021-07-26,26.35,26.57,25.0,25.47,23320
2021-07-27,25.38,26.05,25.0,25.24,21686
2021-07-28,25.26,25.94,24.59,25.8,23772
2021-07-29,25.8,26.48,25.57,26.18,24422
2021-07-30,26.14,26.14,25.61,25.8,16452
2021-08-02,25.68,26.5,25.3,26.48,17881
2021-08-03,26.48,27.19,26.2,26.5,22733
2021-08-04,26.3,26.77,26.2,26.51,15142
2021-08-05,26.35,27.77,26.28,27.52,35115
2021-08-06,27.26,27.37,26.85,27.05,21502
2021-08-09,27.25,27.88,27.11,27.39,21786
2021-08-10,27.43,27.87,27.15,27.55,27610
2021-08-11,27.75,27.85,27.18,27.29,24749
2021-08-12,27.36,27.54,26.91,27.35,21404
2021-08-13,27.63,27.68,26.57,26.68,21632
2021-08-16,26.88,30.08,26.6,29.51,77965
2021-08-17,29.27,35.0,29.15,32.87,131311
2021-08-18,30.94,32.14,30.36,31.51,84177
2021-08-19,31.06,31.4,28.8,29.17,62937
2021-08-20,29.6,30.25,29.03,29.75,48840
2021-08-23,29.61,30.58,29.16,30.16,49075
2021-08-24,30.19,31.96,29.62,31.58,60360
2021-08-25,31.3,31.35,30.64,31.06,37475
2021-08-26,30.66,33.4,30.53,32.65,68490
2021-08-27,32.19,35.8,31.66,33.79,79176
2021-08-30,33.1,34.98,32.31,34.13,59190
2021-08-31,33.72,33.72,31.2,31.6,52615
2021-09-01,31.7,37.01,31.11,35.25,86066
2021-09-02,34.7,36.44,33.96,35.55,66768
2021-09-03,34.68,34.9,33.0,34.08,58880
2021-09-06,33.87,35.13,33.33,33.96,34633
2021-09-07,34.0,34.34,32.2,32.6,48669
2021-09-08,32.6,32.99,31.77,32.48,33660
2021-09-09,32.3,32.86,30.39,30.5,50636
2021-09-10,30.49,30.99,30.02,30.7,25694
2021-09-13,30.68,30.68,28.88,29.79,33732
2021-09-14,29.52,29.7,28.92,29.3,18457
2021-09-15,29.43,29.43,28.37,28.7,20525
2021-09-16,28.67,29.43,28.5,28.73,18432
2021-09-17,28.71,29.04,27.59,27.7,19070
2021-09-22,27.35,27.98,27.33,27.8,8425
2021-09-23,28.11,28.96,27.99,28.72,16825
2021-09-24,29.09,29.97,28.66,28.89,23122
2021-09-27,28.89,29.0,26.9,27.04,19485
2021-09-28,27.0,27.18,26.36,26.37,12703
2021-09-29,26.39,26.6,25.8,25.81,11439
2021-09-30,25.8,26.7,25.8,26.56,7968
2021-10-08,26.98,27.86,26.92,27.12,9739
2021-10-11,27.28,27.3,26.57,26.69,8017
2021-10-12,26.7,28.19,26.69,27.59,16892
2021-10-13,27.66,28.46,27.31,28.15,16036
2021-10-14,28.13,28.8,27.59,28.31,14630
2021-10-15,28.28,28.28,27.13,27.14,13133
2021-10-18,27.08,28.0,27.0,27.88,10369
2021-10-19,27.75,28.25,27.37,27.6,8816
2021-10-20,27.5,27.7,26.85,26.87,10965
2021-10-21,27.2,27.2,26.31,26.37,7301
2021-10-22,26.3,26.77,26.3,26.63,5743
2021-10-25,26.7,27.19,26.28,26.98,7635
2021-10-26,26.48,26.89,25.92,26.2,13919
2021-10-27,26.06,26.27,24.61,24.93,16527
2021-10-28,24.92,25.07,23.58,23.73,15031
2021-10-29,23.96,24.24,23.65,23.9,9121
2021-11-01,23.95,24.45,23.56,24.36,10512
2021-11-02,24.36,24.5,23.56,23.7,10715
2021-11-03,23.63,24.05,23.6,24.02,7114
2021-11-04,23.98,24.65,23.86,24.49,10078
2021-11-05,24.46,24.72,24.2,24.51,8419
2021-11-08,24.55,24.98,24.38,24.94,8523
2021-11-09,24.77,26.53,24.77,26.15,24747
2021-11-10,25.89,26.29,25.78,26.18,11441
2021-11-11,25.9,26.69,25.9,26.57,12597
2021-11-12,26.67,26.8,26.15,26.65,13284
2021-11-15,26.73,27.63,26.65,27.23,18377
2021-11-16,27.21,27.23,26.24,26.39,13393
2021-11-17,26.89,28.49,26.54,27.75,29586
2021-11-18,27.31,27.95,27.1,27.23,16116
