Date,Open,High,Low,Close,Volume
2020-12-24,41.0,43.05,33.05,33.28,25003954
2020-12-25,33.54,35.55,31.6,34.4,16189584
2020-12-28,35.58,37.33,32.58,32.86,13638050
2020-12-29,32.0,32.05,28.28,28.35,10192831
2020-12-30,28.16,29.68,28.0,28.34,6168645
2020-12-31,28.95,28.95,27.41,27.46,6432456
2021-01-04,27.61,30.33,27.61,30.33,7312540
2021-01-05,30.33,31.8,29.8,29.96,6836175
2021-01-06,29.61,31.49,29.37,30.8,5023181
2021-01-07,30.47,31.88,29.66,30.72,5892223
2021-01-08,30.3,30.72,28.3,29.19,4467596
2021-01-11,28.99,29.8,28.0,29.03,3352178
2021-01-12,29.32,29.38,28.21,28.54,2418865
2021-01-13,28.03,28.31,25.58,25.65,4708678
2021-01-14,25.98,26.39,25.1,25.6,2249056
2021-01-15,25.78,26.66,25.01,26.11,2447253
2021-01-18,26.4,26.4,25.38,25.62,2297165
2021-01-19,25.5,26.88,25.5,25.68,2209967
2021-01-20,25.5,26.29,25.35,25.85,1699099
2021-01-21,26.04,26.59,25.64,26.14,2191360
2021-01-22,26.1,27.36,26.01,26.7,2526872
2021-01-25,26.99,26.99,25.58,25.99,2430801
2021-01-26,25.76,25.86,24.4,24.89,2393955
2021-01-27,24.41,24.9,24.23,24.51,1214578
2021-01-28,24.23,24.66,22.85,23.0,2221371
2021-01-29,23.1,23.11,21.5,22.06,2123589
2021-02-01,21.91,22.95,21.7,22.95,2049189
2021-02-02,22.8,22.8,21.32,21.78,1804393
2021-02-03,21.77,21.93,20.95,20.97,1272029
2021-02-04,20.85,21.53,20.19,20.6,1497774
2021-02-05,20.36,20.68,19.97,20.09,1397058
2021-02-08,20.07,20.41,19.64,19.9,778667
2021-02-09,19.84,20.67,19.76,20.56,1115128
2021-02-10,20.4,20.55,20.05,20.3,952763
2021-02-18,20.46,21.26,20.46,20.58,1244806
2021-02-19,20.45,21.14,20.45,21.0,1570512
2021-02-22,21.05,21.53,20.81,20.91,1521093
2021-02-23,21.16,21.32,20.64,20.68,1282348
