date,open,close,high,low,volume
2018-03-20,0.45,0.46,0.47,0.45,0
2018-03-21,0.46,0.46,0.47,0.46,0
2018-03-22,0.46,0.46,0.46,0.45,0
2018-03-23,0.44,0.44,0.46,0.44,0
2018-03-26,0.44,0.46,0.46,0.44,0
2018-03-27,0.47,0.47,0.47,0.46,0
2018-03-28,0.46,0.46,0.47,0.45,0
2018-03-29,0.46,0.45,0.46,0.44,0
2018-03-30,0.45,0.46,0.46,0.45,0
2018-04-02,0.46,0.46,0.46,0.45,0
2018-04-03,0.45,0.45,0.45,0.45,0
2018-04-04,0.46,0.46,0.46,0.46,0
2018-04-09,0.45,0.45,0.46,0.45,0
2018-04-10,0.45,0.46,0.46,0.45,0
2018-04-11,0.46,0.46,0.46,0.46,0
2018-04-12,0.46,0.46,0.46,0.46,0
2018-04-13,0.46,0.45,0.46,0.45,0
2018-04-16,0.45,0.45,0.45,0.45,0
2018-04-17,0.45,0.44,0.45,0.44,0
2018-04-18,0.44,0.44,0.44,0.44,0
2018-04-19,0.44,0.45,0.45,0.44,0
2018-04-20,0.44,0.45,0.45,0.44,0
2018-04-23,0.45,0.44,0.45,0.44,0
2018-04-24,0.45,0.45,0.45,0.44,0
2018-04-25,0.45,0.46,0.46,0.45,0
2018-04-26,0.46,0.45,0.46,0.45,0
2018-04-27,0.45,0.46,0.46,0.45,0
2018-05-02,0.46,0.47,0.47,0.46,0
2018-05-03,0.46,0.46,0.47,0.45,0
2018-05-04,0.46,0.47,0.47,0.46,0
2018-05-07,0.47,0.48,0.48,0.47,0
2018-05-08,0.48,0.48,0.48,0.48,0
2018-05-09,0.48,0.48,0.48,0.48,0
2018-05-10,0.48,0.5,0.51,0.48,0
2018-05-11,0.5,0.49,0.51,0.48,0
2018-05-14,0.48,0.49,0.49,0.48,0
2018-05-15,0.49,0.5,0.5,0.49,0
2018-05-16,0.5,0.51,0.51,0.5,0
2018-05-17,0.51,0.5,0.51,0.5,0
2018-05-18,0.5,0.51,0.51,0.5,0
2018-05-21,0.51,0.51,0.51,0.5,0
2018-05-22,0.51,0.52,0.52,0.5,0
2018-05-23,0.51,0.51,0.52,0.51,0
2018-05-24,0.51,0.51,0.52,0.51,0
2018-05-25,0.52,0.53,0.53,0.51,0
2018-05-28,0.53,0.54,0.54,0.52,0
2018-05-29,0.54,0.51,0.55,0.51,0
2018-05-30,0.49,0.51,0.52,0.49,0
2018-05-31,0.51,0.53,0.53,0.51,45356
2018-06-01,0.52,0.51,0.53,0.5,53210
2018-06-04,0.51,0.5,0.51,0.49,0
2018-06-05,0.5,0.52,0.52,0.5,0
2018-06-06,0.52,0.53,0.53,0.52,33924
2018-06-07,0.53,0.52,0.53,0.52,32543
2018-06-08,0.52,0.51,0.52,0.51,22636
2018-06-11,0.51,0.5,0.51,0.5,48587
2018-06-12,0.5,0.51,0.51,0.5,41709
2018-06-13,0.51,0.5,0.51,0.5,23955
2018-06-14,0.5,0.5,0.51,0.49,33974
2018-06-15,0.5,0.49,0.5,0.49,30444
2018-06-19,0.49,0.48,0.49,0.47,56918
2018-06-20,0.48,0.49,0.5,0.47,43882
2018-06-21,0.49,0.49,0.5,0.49,41323
2018-06-22,0.49,0.5,0.5,0.48,27993
2018-06-25,0.5,0.5,0.5,0.49,36230
2018-06-26,0.49,0.49,0.5,0.49,21758
