date,open,high,low,close,volume
2018-03-21,1.02,1.03,1.0,1.01,0
2018-03-22,1.01,1.02,1.0,1.0,0
2018-03-23,0.99,0.99,0.94,0.96,0
2018-03-26,0.96,0.98,0.94,0.97,0
2018-03-27,0.98,1.01,0.98,1.0,0
2018-03-28,1.0,1.0,0.97,1.0,0
2018-03-29,1.01,1.01,0.99,1.0,0
2018-03-30,1.0,1.01,1.0,1.01,0
2018-04-02,1.01,1.02,1.0,1.01,0
2018-04-03,1.0,1.0,0.98,0.99,0
2018-04-04,1.0,1.0,0.98,0.98,0
2018-04-09,0.98,0.99,0.97,0.98,0
2018-04-10,0.98,0.98,0.96,0.98,0
2018-04-11,0.98,0.99,0.98,0.98,0
2018-04-12,0.98,0.98,0.97,0.97,0
2018-04-13,0.98,0.98,0.97,0.98,0
2018-04-16,0.98,0.99,0.97,0.98,0
2018-04-17,0.98,0.98,0.95,0.95,0
2018-04-18,0.96,0.96,0.93,0.96,0
2018-04-19,0.96,0.97,0.96,0.96,0
2018-04-20,0.96,0.96,0.94,0.94,0
2018-04-23,0.94,0.94,0.91,0.92,0
2018-04-24,0.93,0.95,0.93,0.95,0
2018-04-25,0.95,0.96,0.95,0.96,0
2018-04-26,0.96,0.96,0.94,0.94,0
2018-04-27,0.95,0.95,0.93,0.95,0
2018-05-02,0.95,0.95,0.93,0.94,0
2018-05-03,0.94,0.95,0.92,0.95,0
2018-05-04,0.94,0.95,0.94,0.94,0
2018-05-07,0.94,0.95,0.94,0.95,0
2018-05-08,0.95,0.96,0.95,0.96,0
2018-05-09,0.96,0.96,0.95,0.95,0
2018-05-10,0.96,0.96,0.95,0.96,0
2018-05-11,0.96,0.96,0.95,0.95,0
2018-05-14,0.95,0.96,0.95,0.95,0
2018-05-15,0.95,0.96,0.95,0.96,0
2018-05-16,0.96,0.96,0.95,0.96,0
2018-05-17,0.96,0.96,0.95,0.95,0
2018-05-18,0.95,0.96,0.95,0.96,0
2018-05-21,0.96,0.97,0.96,0.97,0
2018-05-22,0.97,0.97,0.96,0.97,0
2018-05-23,0.97,0.97,0.96,0.96,0
2018-05-24,0.96,0.96,0.96,0.96,0
2018-05-25,0.96,0.96,0.94,0.94,0
2018-05-28,0.95,0.95,0.93,0.94,0
2018-05-29,0.94,0.94,0.93,0.94,0
2018-05-30,0.93,0.93,0.9,0.9,0
2018-05-31,0.92,0.92,0.9,0.92,31962
2018-06-01,0.92,0.92,0.9,0.9,56850
2018-06-04,0.9,0.91,0.89,0.9,0
2018-06-05,0.9,0.91,0.9,0.91,0
2018-06-06,0.91,0.92,0.91,0.91,20751
2018-06-07,0.91,0.91,0.91,0.91,34298
2018-06-08,0.91,0.91,0.89,0.89,100655
2018-06-11,0.89,0.89,0.88,0.89,42418
2018-06-12,0.89,0.9,0.88,0.9,41170
