date,open,close,high,low,volume
2026-01-21,1.61,1.65,1.67,1.61,0
2026-01-22,1.67,1.68,1.69,1.66,0
2026-01-23,1.68,1.67,1.68,1.65,0
2026-01-26,1.67,1.65,1.69,1.65,0
2026-01-27,1.65,1.68,1.68,1.63,0
2026-01-28,1.69,1.67,1.7,1.67,0
2026-01-29,1.67,1.65,1.69,1.65,0
2026-01-30,1.64,1.67,1.68,1.61,0
2026-02-02,1.67,1.62,1.69,1.62,0
2026-02-03,1.65,1.63,1.66,1.58,0
2026-02-04,1.61,1.58,1.61,1.56,0
2026-02-05,1.55,1.55,1.58,1.55,0
2026-02-06,1.54,1.53,1.55,1.51,0
2026-02-09,1.56,1.59,1.59,1.55,0
2026-02-10,1.6,1.6,1.61,1.59,0
2026-02-11,1.6,1.57,1.6,1.57,0
2026-02-12,1.58,1.6,1.61,1.57,0
2026-02-13,1.59,1.6,1.62,1.59,0
2026-02-24,1.62,1.6,1.63,1.58,0
2026-02-25,1.59,1.59,1.6,1.58,0
2026-02-26,1.6,1.62,1.62,1.58,0
2026-02-27,1.6,1.61,1.62,1.59,0
2026-03-02,1.58,1.6,1.61,1.58,0
2026-03-03,1.6,1.54,1.61,1.53,0
2026-03-04,1.51,1.51,1.55,1.51,0
2026-03-05,1.55,1.55,1.57,1.54,0
2026-03-06,1.54,1.55,1.56,1.53,0
2026-03-09,1.52,1.54,1.55,1.48,0
2026-03-10,1.57,1.57,1.58,1.55,0
2026-03-11,1.57,1.56,1.59,1.55,0
2026-03-12,1.55,1.54,1.57,1.53,0
2026-03-13,1.53,1.52,1.54,1.52,0
2026-03-16,1.52,1.54,1.54,1.5,0
2026-03-17,1.54,1.5,1.55,1.49,0
2026-03-18,1.51,1.55,1.55,1.5,0
2026-03-19,1.52,1.53,1.55,1.52,0
2026-03-20,1.55,1.52,1.56,1.52,0
2026-03-23,1.49,1.45,1.5,1.44,0
2026-03-24,1.48,1.47,1.48,1.43,0
2026-03-25,1.49,1.51,1.52,1.49,0
2026-03-26,1.51,1.48,1.52,1.47,0
2026-03-27,1.45,1.47,1.48,1.44,0
2026-03-30,1.45,1.47,1.47,1.44,0
2026-03-31,1.46,1.43,1.47,1.43,0
2026-04-01,1.47,1.48,1.48,1.46,0
2026-04-02,1.47,1.44,1.47,1.43,0
2026-04-03,1.45,1.45,1.47,1.44,0
2026-04-07,1.45,1.46,1.47,1.45,0
2026-04-08,1.51,1.57,1.57,1.51,0
2026-04-09,1.55,1.56,1.57,1.54,0
2026-04-10,1.58,1.6,1.61,1.58,0
2026-04-13,1.58,1.61,1.62,1.58,0
2026-04-14,1.64,1.64,1.66,1.63,0
2026-04-15,1.66,1.63,1.67,1.62,0
2026-04-16,1.63,1.68,1.68,1.63,0
2026-04-17,1.69,1.71,1.72,1.68,0
2026-04-20,1.72,1.74,1.75,1.72,0
2026-04-21,1.73,1.72,1.73,1.7,0
2026-04-22,1.71,1.78,1.78,1.71,0
2026-04-23,1.78,1.76,1.8,1.74,0
2026-04-24,1.74,1.73,1.76,1.71,0
2026-04-27,1.75,1.76,1.77,1.73,0
2026-04-28,1.75,1.72,1.75,1.71,0
2026-04-29,1.71,1.74,1.75,1.71,0
2026-04-30,1.76,1.79,1.79,1.74,0
2026-05-06,1.84,1.85,1.9,1.84,0
2026-05-07,1.86,1.9,1.9,1.84,0
2026-05-08,1.88,1.89,1.9,1.86,0
2026-05-11,1.93,1.95,1.95,1.89,0
2026-05-12,1.95,1.96,1.98,1.93,0
2026-05-13,1.93,2.03,2.03,1.92,0
2026-05-14,2.07,2.0,2.08,1.98,0
2026-05-15,1.98,1.94,2.02,1.93,0
2026-05-18,1.93,1.96,2.0,1.93,0
2026-05-19,1.95,1.99,2.0,1.9,0
2026-05-20,1.98,2.0,2.03,1.98,0
2026-05-21,2.03,1.93,2.04,1.93,0
2026-05-22,1.95,1.98,1.99,1.93,0
2026-05-25,1.99,2.06,2.06,1.97,0
2026-05-26,2.06,2.04,2.06,2.01,0
2026-05-27,2.04,2.01,2.08,1.99,0
2026-05-28,1.99,2.04,2.05,1.97,0
2026-05-29,2.04,1.97,2.06,1.95,0
2026-06-01,1.97,1.92,1.99,1.91,0
2026-06-02,1.93,1.97,1.99,1.91,0
2026-06-03,1.99,2.04,2.09,1.99,0
2026-06-04,2.01,2.02,2.04,2.0,0
2026-06-05,2.01,1.95,2.05,1.93,0
2026-06-08,1.86,1.88,1.92,1.86,0
2026-06-09,1.91,1.94,1.95,1.88,0
2026-06-10,1.93,1.9,1.97,1.89,0
2026-06-11,1.88,1.85,1.92,1.82,0
2026-06-12,1.91,1.85,1.92,1.84,0
2026-06-15,1.88,1.95,1.96,1.86,0
2026-06-16,1.96,1.96,1.98,1.94,0
2026-06-17,1.94,2.01,2.01,1.93,0
2026-06-18,2.01,2.11,2.12,2.0,0
2026-06-22,2.13,2.13,2.14,2.06,0
2026-06-23,2.12,2.05,2.13,2.03,0
2026-06-24,2.033,2.099,2.103,2.025,0
