date,unit_nav
2022-11-02,1.0
2022-11-04,1.0002
2022-11-11,0.9991
2022-11-18,1.0009
2022-11-25,0.9991
2022-12-02,0.9995
2022-12-09,1.0006
2022-12-15,0.998
2022-12-16,0.9945
2022-12-21,0.9833
2022-12-22,0.9879
2022-12-23,0.9657
2022-12-26,0.983
2022-12-27,0.9959
2022-12-28,0.9788
2022-12-29,0.9691
2022-12-30,0.9675
2022-12-31,0.9674
2023-01-03,0.9639
2023-01-04,0.9811
2023-01-05,0.9848
2023-01-06,0.9935
2023-01-09,1.0095
2023-01-10,1.0146
2023-01-11,1.0131
2023-01-12,1.007
2023-01-13,1.0035
2023-01-16,1.0222
2023-01-17,1.0348
2023-01-18,1.0342
2023-01-19,1.0507
2023-01-20,1.0595
2023-01-30,1.0765
2023-01-31,1.0488
2023-02-01,1.0675
2023-02-02,1.0871
2023-02-03,1.0843
2023-02-06,1.0628
2023-02-07,1.0617
2023-02-08,1.0694
2023-02-09,1.085
2023-02-10,1.0761
2023-02-13,1.0726
2023-02-14,1.0801
2023-02-15,1.0782
2023-02-16,1.0754
2023-02-17,1.0471
2023-02-20,1.0513
2023-02-21,1.0439
2023-02-22,1.0283
2023-02-23,1.0396
2023-02-24,1.0353
2023-02-27,1.021
2023-02-28,1.0209
2023-03-01,1.0203
2023-03-02,1.0178
2023-03-03,1.0317
2023-03-06,1.0494
2023-03-07,1.0331
2023-03-08,1.0318
2023-03-09,1.0295
2023-03-10,1.0093
2023-03-13,1.0133
2023-03-14,1.0164
2023-03-15,1.0168
2023-03-16,1.019
2023-03-17,1.0483
2023-03-20,1.0566
2023-03-21,1.0505
2023-03-22,1.0581
2023-03-23,1.0874
2023-03-24,1.1055
2023-03-27,1.0873
2023-03-28,1.0895
2023-03-29,1.1091
2023-03-30,1.1212
2023-03-31,1.1375
2023-04-03,1.1581
2023-04-04,1.1552
2023-04-06,1.1663
2023-04-07,1.1959
2023-04-10,1.1792
2023-04-11,1.1809
2023-04-12,1.1841
2023-04-13,1.1566
2023-04-14,1.1931
2023-04-17,1.1889
2023-04-18,1.1669
2023-04-19,1.1678
2023-04-20,1.1763
2023-04-21,1.1516
2023-04-24,1.1239
2023-04-25,1.1019
2023-04-26,1.0965
2023-04-27,1.1056
2023-04-28,1.113
2023-05-04,1.0982
2023-05-05,1.0996
2023-05-08,1.1012
2023-05-09,1.0803
2023-05-10,1.0673
2023-05-11,1.0665
2023-05-12,1.0588
2023-05-15,1.0531
2023-05-16,1.065
2023-05-17,1.0772
2023-05-18,1.0907
2023-05-19,1.1274
2023-05-22,1.1271
2023-05-23,1.1193
2023-05-24,1.1148
2023-05-25,1.1299
2023-05-26,1.1479
2023-05-29,1.1516
2023-05-30,1.1673
2023-05-31,1.1654
2023-06-01,1.1666
2023-06-02,1.1718
2023-06-05,1.1693
2023-06-06,1.1573
2023-06-07,1.1564
2023-06-08,1.1463
2023-06-09,1.1742
2023-06-12,1.173
2023-06-13,1.2135
2023-06-14,1.2169
2023-06-15,1.2227
2023-06-16,1.2258
2023-06-19,1.2197
2023-06-20,1.2195
2023-06-21,1.1855
2023-06-26,1.183
2023-06-27,1.1818
2023-06-28,1.1877
2023-06-29,1.1882
2023-06-30,1.1839
2023-07-03,1.1979
2023-07-04,1.2163
2023-07-05,1.2097
2023-07-06,1.1947
2023-07-07,1.1713
2023-07-10,1.1662
2023-07-11,1.2014
2023-07-12,1.1953
2023-07-13,1.2217
2023-07-14,1.2447
2023-07-17,1.2424
2023-07-18,1.244
2023-07-19,1.2312
2023-07-20,1.2268
2023-07-21,1.2037
2023-07-24,1.192
2023-07-25,1.2006
2023-07-26,1.1894
2023-07-27,1.2192
2023-07-28,1.2327
2023-07-31,1.2358
2023-08-01,1.247
2023-08-02,1.2234
2023-08-03,1.2233
2023-08-04,1.2117
2023-08-07,1.2035
2023-08-08,1.1939
2023-08-09,1.1898
2023-08-10,1.1829
2023-08-11,1.1651
2023-08-14,1.1533
2023-08-15,1.1369
2023-08-16,1.1286
2023-08-17,1.1302
2023-08-18,1.1374
2023-08-21,1.1313
2023-08-22,1.1317
2023-08-23,1.1212
