date,unit_nav,daily_return_pct
2022-10-12,1.0,0.0
2022-10-14,1.0004,0.0
2022-10-19,0.9989,0.0
2022-10-21,0.9894,0.0
2022-10-25,1.0165,0.0
2022-10-26,1.0234,0.68
2022-10-27,1.0047,-1.83
2022-10-28,0.9574,-4.71
2022-10-31,0.9624,0.52
2022-11-01,0.9895,2.82
2022-11-02,1.0059,1.66
2022-11-03,1.0119,0.6
2022-11-04,1.0343,2.21
2022-11-07,1.0288,-0.53
2022-11-08,1.0179,-1.06
2022-11-09,1.0136,-0.42
2022-11-10,0.993,-2.03
2022-11-11,1.0067,1.38
2022-11-14,0.9832,-2.33
2022-11-15,1.0199,3.73
2022-11-16,1.0076,-1.21
2022-11-17,1.0029,-0.47
2022-11-18,1.0017,-0.12
2022-11-21,1.018,1.63
2022-11-22,0.9949,-2.27
2022-11-23,0.9872,-0.77
2022-11-24,0.9838,-0.34
2022-11-25,0.9643,-1.98
2022-11-28,0.9557,-0.89
2022-11-29,0.9656,1.04
2022-11-30,0.9661,0.05
2022-12-01,0.979,1.34
2022-12-02,0.9851,0.62
2022-12-05,0.9846,-0.05
2022-12-06,0.9872,0.26
2022-12-07,0.9775,-0.98
2022-12-08,0.9706,-0.71
2022-12-09,0.968,-0.27
2022-12-12,0.9751,0.73
2022-12-13,0.9539,-2.17
2022-12-14,0.9543,0.04
2022-12-15,0.9672,1.35
2022-12-16,0.9497,-1.81
2022-12-19,0.9372,-1.32
2022-12-20,0.9421,0.52
2022-12-21,0.9233,-2.0
2022-12-22,0.9003,-2.49
2022-12-23,0.8872,-1.46
2022-12-26,0.9203,3.73
2022-12-27,0.9277,0.8
2022-12-28,0.9147,-1.4
2022-12-29,0.9128,-0.21
2022-12-30,0.9076,-0.57
2022-12-31,0.9076,0.0
2023-01-03,0.9356,3.09
2023-01-04,0.9282,-0.79
2023-01-05,0.9416,1.44
2023-01-06,0.9499,0.88
2023-01-09,0.9516,0.18
2023-01-10,0.9471,-0.47
2023-01-11,0.9334,-1.45
2023-01-12,0.9442,1.16
2023-01-13,0.9393,-0.52
2023-01-16,0.9492,1.05
2023-01-17,0.9552,0.63
2023-01-18,0.9664,1.17
2023-01-19,0.9768,1.08
2023-01-20,0.9916,1.52
2023-01-30,1.0035,1.2
2023-01-31,1.0135,1.0
2023-02-01,1.0286,1.49
2023-02-02,1.0341,0.53
2023-02-03,1.0351,0.1
2023-02-06,1.0246,-1.01
2023-02-07,1.0564,3.1
2023-02-08,1.039,-1.65
2023-02-09,1.0557,1.61
2023-02-10,1.0441,-1.1
2023-02-13,1.0528,0.83
2023-02-14,1.0483,-0.43
2023-02-15,1.0455,-0.27
2023-02-16,1.0201,-2.43
2023-02-17,1.0082,-1.17
2023-02-20,1.018,0.97
2023-02-21,1.0251,0.7
2023-02-22,1.0227,-0.23
2023-02-23,1.0233,0.06
2023-02-24,1.0121,-1.09
2023-02-27,1.0003,-1.17
2023-02-28,1.0082,0.79
2023-03-01,1.0165,0.82
2023-03-02,1.0122,-0.42
2023-03-03,1.0095,-0.27
2023-03-06,1.013,0.35
2023-03-07,0.9841,-2.85
2023-03-08,0.9887,0.47
2023-03-09,0.9827,-0.61
2023-03-10,0.9678,-1.52
2023-03-13,0.9721,0.44
2023-03-14,0.958,-1.45
2023-03-15,0.9661,0.85
2023-03-16,0.9445,-2.24
2023-03-17,0.9468,0.24
2023-03-20,0.9463,-0.05
2023-03-21,0.9629,1.75
2023-03-22,0.9624,-0.05
2023-03-23,0.969,0.69
2023-03-24,0.9812,1.26
2023-03-27,0.9932,1.22
2023-03-28,0.9731,-2.02
2023-03-29,0.9745,0.14
2023-03-30,0.9738,-0.07
2023-03-31,0.9819,0.83
2023-04-03,1.0057,2.42
2023-04-04,0.9977,-0.8
2023-04-06,1.0221,2.45
2023-04-07,1.0298,0.75
2023-04-10,1.0367,0.67
2023-04-11,1.0262,-1.01
2023-04-12,1.0363,0.98
2023-04-13,1.0086,-2.67
2023-04-14,1.0124,0.38
2023-04-17,1.0157,0.33
2023-04-18,1.0122,-0.34
2023-04-19,0.9991,-1.29
2023-04-20,1.0,0.09
2023-04-21,0.9856,-1.44
2023-04-24,0.9689,-1.69
2023-04-25,0.9261,-4.42
2023-04-26,0.9343,0.89
2023-04-27,0.9291,-0.56
2023-04-28,0.9385,1.01
2023-05-04,0.9356,-0.31
2023-05-05,0.9159,-2.11
2023-05-08,0.9229,0.76
2023-05-09,0.9043,-2.02
2023-05-10,0.9104,0.67
2023-05-11,0.9151,0.52
2023-05-12,0.8974,-1.93
2023-05-15,0.9181,2.31
2023-05-16,0.9127,-0.59
2023-05-17,0.9311,2.02
2023-05-18,0.9539,2.45
2023-05-19,0.9546,0.07
2023-05-22,0.9541,-0.05
2023-05-23,0.9454,-0.91
2023-05-24,0.9535,0.86
2023-05-25,0.9583,0.5
2023-05-26,0.9618,0.37
2023-05-29,0.9508,-1.14
2023-05-30,0.9585,0.81
2023-05-31,0.9587,0.02
2023-06-01,0.9594,0.07
2023-06-02,0.9581,-0.14
2023-06-05,0.9548,-0.34
2023-06-06,0.9329,-2.29
2023-06-07,0.9409,0.86
2023-06-08,0.9243,-1.76
2023-06-09,0.9359,1.26
2023-06-12,0.9514,1.66
2023-06-13,0.957,0.59
2023-06-14,0.9636,0.69
2023-06-15,0.9982,3.59
2023-06-16,1.0181,1.99
2023-06-19,1.0368,1.84
2023-06-20,1.0527,1.53
2023-06-21,1.032,-1.97
2023-06-26,1.0098,-2.15
2023-06-27,1.0155,0.56
2023-06-28,1.0116,-0.38
2023-06-29,1.0324,2.06
2023-06-30,1.0488,1.59
2023-07-03,1.0334,-1.47
2023-07-04,1.0416,0.79
2023-07-05,1.0435,0.18
2023-07-06,1.0493,0.56
2023-07-07,1.0272,-2.11
2023-07-10,1.0171,-0.98
2023-07-11,1.0412,2.37
2023-07-12,1.0304,-1.04
2023-07-13,1.0315,0.11
2023-07-14,1.0317,0.02
2023-07-17,1.0321,0.04
2023-07-18,1.0262,-0.57
2023-07-19,1.0205,-0.56
2023-07-20,0.9981,-2.2
2023-07-21,0.9829,-1.52
2023-07-24,0.9858,0.3
2023-07-25,1.0002,1.46
2023-07-26,0.9857,-1.45
2023-07-27,0.9724,-1.35
2023-07-28,0.9745,0.22
2023-07-31,0.9841,0.99
2023-08-01,0.9804,-0.38
2023-08-02,0.9917,1.15
2023-08-03,0.9868,-0.49
2023-08-04,0.9988,1.22
2023-08-07,0.9956,-0.32
2023-08-08,0.9926,-0.3
2023-08-09,0.9705,-2.23
2023-08-10,0.9678,-0.28
2023-08-11,0.9524,-1.59
2023-08-14,0.9528,0.04
2023-08-15,0.944,-0.92
2023-08-16,0.9309,-1.39
2023-08-17,0.9573,2.84
2023-08-18,0.942,-1.6
2023-08-21,0.9217,-2.15
2023-08-22,0.9316,1.07
2023-08-23,0.9135,-1.94
2023-08-24,0.9074,-0.67
2023-08-25,0.8848,-2.49
2023-08-28,0.8872,0.27
2023-08-29,0.9343,5.31
2023-08-30,0.9485,1.52
2023-08-31,0.9453,-0.34
2023-09-01,0.9451,-0.02
2023-09-04,0.9614,1.72
2023-09-05,0.9602,-0.12
2023-09-06,0.9653,0.53
2023-09-07,0.9453,-2.07
2023-09-08,0.9548,1.0
2023-09-11,0.9616,0.71
2023-09-12,0.9664,0.5
2023-09-13,0.9465,-2.06
2023-09-14,0.9408,-0.6
2023-09-15,0.9341,-0.71
2023-09-18,0.9419,0.84
2023-09-19,0.9297,-1.3
2023-09-20,0.9236,-0.66
2023-09-21,0.9184,-0.56
2023-09-22,0.9472,3.14
2023-09-25,0.9547,0.79
2023-09-26,0.9676,1.35
2023-09-27,0.9675,-0.01
2023-09-28,0.9676,0.01
2023-10-09,0.9681,0.05
2023-10-10,0.9648,-0.34
2023-10-11,0.9619,-0.3
2023-10-12,0.9592,-0.28
2023-10-13,0.9514,-0.81
