date,close
2026-01-27,2.99
2026-01-28,3.02
2026-01-29,3.18
2026-01-30,3.03
2026-02-02,2.94
2026-02-03,2.9
2026-02-04,2.89
2026-02-05,2.87
2026-02-06,2.7
2026-02-09,2.75
2026-02-10,2.73
2026-02-11,2.74
2026-02-12,2.69
2026-02-13,2.65
2026-02-16,2.72
2026-02-20,2.66
2026-02-23,2.74
2026-02-24,2.6
2026-02-25,2.53
2026-02-26,2.49
2026-02-27,2.49
2026-03-02,2.33
2026-03-03,2.23
2026-03-04,2.27
2026-03-05,2.25
2026-03-06,2.29
2026-03-09,2.32
2026-03-10,2.36
2026-03-11,2.4
2026-03-12,2.41
2026-03-13,2.34
2026-03-16,2.36
2026-03-17,2.36
2026-03-18,2.39
2026-03-19,2.19
2026-03-20,2.2
2026-03-23,2.04
2026-03-24,2.1
2026-03-25,2.11
2026-03-26,2.03
2026-03-27,2.02
2026-03-30,2.02
2026-03-31,1.99
2026-04-01,2.04
2026-04-02,2.05
2026-04-08,2.22
2026-04-09,2.14
2026-04-10,2.13
2026-04-13,2.1
2026-04-14,2.17
2026-04-15,2.18
2026-04-16,2.22
2026-04-17,2.2
2026-04-20,2.21
2026-04-21,2.16
2026-04-22,2.12
2026-04-23,2.08
2026-04-24,2.04
2026-04-27,2.04
2026-04-28,1.97
2026-04-29,2.01
2026-04-30,2
2026-05-04,2.02
2026-05-05,1.99
2026-05-06,2.01
2026-05-07,2.11
2026-05-08,2.2
2026-05-11,2.18
2026-05-12,2.1
2026-05-13,2.05
2026-05-14,2
2026-05-15,1.97
2026-05-18,1.96
2026-05-19,2.04
2026-05-20,1.92
2026-05-21,1.87
2026-05-22,1.96
2026-05-26,1.95
2026-05-27,1.87
2026-05-28,1.83
2026-05-29,1.83
2026-06-01,1.97
2026-06-02,1.97
2026-06-03,1.9
2026-06-04,1.82
2026-06-05,1.81
2026-06-08,1.75
2026-06-09,1.75
2026-06-10,1.7
2026-06-11,1.68
2026-06-12,1.68
2026-06-15,1.66
2026-06-16,1.59
2026-06-17,1.59
2026-06-18,1.53
2026-06-22,1.46
2026-06-23,1.4
2026-06-24,1.39
2026-06-25,1.33
2026-06-26,1.26
