Date,Open,High,Low,Close,Volume
2016-09-30,0.081,0.081,-0.029,0.001,0
2016-10-07,0.031,0.051,-0.049,-0.029,0
2016-10-14,-0.029,-0.029,-0.159,-0.129,0
2016-10-20,-0.119,-0.049,-0.139,-0.099,0
2016-10-28,-0.059,0.021,-0.089,-0.059,0
2016-11-04,-0.059,-0.059,-0.129,-0.099,0
2016-11-11,-0.099,-0.019,-0.109,-0.029,0
2016-11-18,-0.019,-0.019,-0.089,-0.069,0
2016-11-25,-0.059,-0.029,-0.099,-0.069,0
2016-12-02,-0.069,-0.039,-0.099,-0.069,0
2016-12-09,-0.079,0.081,-0.079,0.041,0
2016-12-16,0.061,0.231,-0.009,0.121,0
2016-12-23,0.121,0.131,0.041,0.091,0
2016-12-30,0.081,0.091,0.031,0.081,0
2017-01-06,0.091,0.201,0.081,0.181,0
2017-01-13,0.181,0.251,0.171,0.201,0
2017-01-20,0.181,0.281,0.161,0.231,0
2017-01-27,0.231,0.301,0.211,0.241,0
2017-02-03,0.231,0.231,0.131,0.201,0
2017-02-10,0.221,0.391,0.171,0.361,0
2017-02-17,0.391,0.471,0.341,0.471,0
2017-02-24,0.481,0.731,0.451,0.591,0
2017-03-03,0.491,0.521,0.371,0.441,0
2017-03-10,0.461,0.551,0.411,0.541,0
2017-03-17,0.561,1.051,0.551,0.941,0
2017-03-24,0.911,1.071,0.681,0.961,0
2017-03-31,0.981,0.981,0.681,0.751,0
2017-04-07,0.731,0.921,0.641,0.811,0
2017-04-13,0.801,0.821,0.621,0.761,0
2017-04-21,0.771,0.851,0.711,0.801,0
2017-04-28,0.801,0.851,0.711,0.791,0
2017-05-05,0.841,0.841,0.601,0.621,0
2017-05-12,0.611,0.741,0.571,0.691,0
2017-05-19,0.691,0.711,0.451,0.621,0
2017-05-26,0.658,0.948,0.658,0.808,0
2017-06-02,0.908,1.088,0.828,0.948,0
2017-06-09,0.938,1.648,0.938,1.458,0
2017-06-16,1.458,1.548,1.258,1.278,0
2017-06-23,1.308,1.428,1.228,1.238,0
2017-06-30,1.248,1.588,1.238,1.528,0
2017-07-07,1.538,1.838,1.348,1.358,0
2017-07-14,1.358,1.358,1.358,1.358,0
2017-07-21,1.358,1.748,1.358,1.748,0
2017-07-28,1.748,1.808,1.738,1.788,0
2017-08-04,1.788,1.828,1.768,1.778,0
2017-08-11,1.808,1.808,1.708,1.738,0
2017-08-18,1.748,1.778,1.718,1.718,0
2017-08-25,1.718,1.798,1.718,1.738,0
2017-09-01,1.748,1.798,1.738,1.748,0
2017-09-08,1.748,2.158,1.728,1.828,0
2017-09-15,1.928,2.838,1.878,2.808,0
2017-09-22,2.898,3.128,2.738,2.988,0
2017-09-29,2.978,2.978,2.118,2.388,0
2017-10-06,2.338,2.638,2.278,2.508,0
2017-10-13,2.538,2.538,2.178,2.348,0
2017-10-20,2.338,2.798,2.298,2.328,0
2017-10-27,2.328,2.428,2.038,2.088,0
2017-11-03,2.198,2.678,2.128,2.628,0
