date,open,close,high,low,volume
2015-09-25,2.293,2.249,2.293,2.195,0
2015-09-29,2.163,2.246,2.257,2.163,0
2015-09-30,2.272,2.204,2.275,2.145,0
2015-10-02,2.252,2.231,2.287,2.219,0
2015-10-05,2.243,2.213,2.269,2.204,0
2015-10-06,2.219,2.24,2.249,2.201,0
2015-10-07,2.252,2.272,2.293,2.216,0
2015-10-08,2.272,2.296,2.332,2.254,0
2015-10-09,2.376,2.281,2.388,2.272,0
2015-10-12,2.317,2.326,2.37,2.287,0
2015-10-13,2.337,2.272,2.337,2.237,0
2015-10-14,2.257,2.246,2.281,2.216,0
2015-10-15,2.254,2.222,2.287,2.21,0
2015-10-16,2.272,2.222,2.284,2.201,0
2015-10-19,2.246,2.334,2.364,2.225,0
2015-10-20,2.346,2.388,2.406,2.334,0
2015-10-22,2.352,2.317,2.364,2.305,0
2015-10-23,2.343,2.284,2.346,2.263,0
2015-10-26,2.305,2.228,2.323,2.201,0
2015-10-27,2.228,2.257,2.269,2.213,0
2015-10-28,2.231,2.237,2.281,2.231,0
2015-10-29,2.257,2.243,2.257,2.204,0
2015-10-30,2.257,2.254,2.275,2.231,0
2015-11-02,2.243,2.252,2.281,2.231,0
2015-11-03,2.249,2.228,2.272,2.216,0
2015-11-04,2.228,2.314,2.343,2.228,0
2015-11-05,2.32,2.394,2.4,2.305,0
2015-11-06,2.4,2.542,2.56,2.394,0
2015-11-09,2.554,2.376,2.56,2.376,0
2015-11-10,2.358,2.343,2.4,2.34,0
2015-11-11,2.37,2.423,2.465,2.352,0
2015-11-12,2.417,2.417,2.447,2.364,0
2015-11-13,2.494,2.406,2.494,2.37,0
2015-11-16,2.321,2.299,2.383,2.294,0
2015-11-17,2.348,2.317,2.361,2.294,0
2015-11-18,2.339,2.294,2.379,2.286,0
2015-11-19,2.352,2.357,2.406,2.343,0
2015-11-20,2.361,2.397,2.406,2.326,0
2015-11-23,2.406,2.446,2.454,2.388,0
2015-11-24,2.446,2.583,2.606,2.446,0
2015-11-25,2.597,2.708,2.748,2.561,0
2015-11-26,2.677,2.632,2.712,2.597,0
2015-11-27,2.592,2.503,2.592,2.494,0
2015-11-30,2.539,2.632,2.681,2.503,0
2015-12-01,2.632,2.61,2.65,2.592,0
2015-12-02,2.601,2.766,2.779,2.597,0
2015-12-03,2.699,2.783,2.81,2.699,0
2015-12-04,2.734,2.797,2.841,2.717,0
2015-12-07,2.797,2.814,2.828,2.748,0
2015-12-08,2.81,2.783,2.823,2.734,0
2015-12-09,2.783,2.641,2.783,2.628,0
2015-12-10,2.601,2.628,2.721,2.588,0
2015-12-11,2.628,2.463,2.628,2.459,0
2015-12-14,2.406,2.361,2.406,2.348,0
2015-12-15,2.374,2.468,2.539,2.374,0
2015-12-16,2.512,2.401,2.512,2.379,0
2015-12-17,2.481,2.481,2.486,2.401,0
2015-12-18,2.437,2.477,2.481,2.414,0
2015-12-21,2.437,2.423,2.468,2.401,0
2015-12-22,2.459,2.499,2.508,2.428,0
2015-12-23,2.486,2.557,2.579,2.486,0
2015-12-24,2.561,2.499,2.561,2.454,0
2015-12-28,2.508,2.419,2.508,2.401,0
2015-12-29,2.472,2.463,2.486,2.423,0
2015-12-30,2.459,2.446,2.481,2.406,0
2015-12-31,2.49,2.526,2.53,2.428,0
2016-01-04,2.494,2.361,2.494,2.326,0
