Date,Open,High,Low,Close,Volume
2022-10-10,2.772,2.772,2.658,2.658,100000.0
2022-10-11,2.634,2.634,2.596,2.596,800000.0
2022-10-12,2.576,2.61,2.546,2.582,1139200.0
2022-10-13,2.554,2.562,2.538,2.538,1077100.0
2022-10-14,2.58,2.626,2.566,2.566,1186200.0
2022-10-17,2.55,2.57,2.538,2.57,167400.0
2022-10-18,2.582,2.604,2.556,2.604,165800.0
2022-10-19,2.608,2.608,2.546,2.546,166600.0
2022-10-20,2.484,2.536,2.48,2.504,929100.0
2022-10-21,2.51,2.51,2.484,2.484,443000.0
2022-10-24,2.438,2.438,2.324,2.324,87900.0
2022-10-25,2.312,2.348,2.282,2.308,1830500.0
2022-10-26,2.362,2.374,2.332,2.332,647400.0
2022-10-27,2.394,2.406,2.342,2.342,184700.0
2022-10-28,2.342,2.346,2.244,2.244,3308800.0
2022-10-31,2.246,2.246,2.22,2.22,660400.0
2022-11-01,2.236,2.348,2.236,2.318,2045000.0
2022-11-02,2.314,2.382,2.314,2.382,190900.0
2022-11-03,2.346,2.346,2.308,2.308,184800.0
2022-11-04,2.362,2.476,2.362,2.442,655300.0
2022-11-07,2.502,2.554,2.482,2.528,532200.0
2022-11-08,2.538,2.542,2.51,2.522,587500.0
2022-11-09,2.536,2.536,2.486,2.486,602900.0
2022-11-10,2.444,2.45,2.444,2.45,87600.0
2022-11-11,2.668,2.668,2.668,2.668,82600.0
2022-11-14,2.77,2.782,2.744,2.744,83200.0
2022-11-15,2.772,2.844,2.772,2.844,496700.0
2022-11-16,2.852,2.854,2.826,2.84,530800.0
2022-11-17,2.814,2.814,2.814,2.814,0.0
2022-11-18,2.79,2.79,2.79,2.79,0.0
2022-11-21,2.734,2.734,2.734,2.734,0.0
2022-11-22,2.704,2.704,2.704,2.704,0.0
2022-11-23,2.704,2.704,2.704,2.704,0.0
2022-11-24,2.734,2.734,2.734,2.734,78800.0
2022-11-25,2.722,2.722,2.722,2.722,0.0
2022-11-28,2.616,2.674,2.616,2.674,88500.0
2022-11-29,2.734,2.822,2.734,2.822,79300.0
2022-11-30,2.88,2.88,2.88,2.88,0.0
2022-12-01,2.902,2.902,2.902,2.902,0.0
2022-12-02,2.902,2.902,2.902,2.902,0.0
2022-12-05,3.014,3.034,3.014,3.034,1200.0
2022-12-06,3.026,3.026,3.024,3.024,151800.0
2022-12-07,3.038,3.038,2.934,2.934,80300.0
2022-12-08,3.022,3.034,3.022,3.034,100.0
2022-12-09,3.12,3.12,3.12,3.12,78800.0
2022-12-12,3.076,3.084,3.038,3.038,140100.0
2022-12-13,3.062,3.07,3.062,3.07,100.0
2022-12-14,3.074,3.074,3.074,3.074,0.0
2022-12-15,3.028,3.028,3.028,3.028,0.0
2022-12-16,3.028,3.05,3.028,3.05,71100.0
2022-12-19,3.028,3.028,3.028,3.028,0.0
2022-12-20,2.986,2.986,2.986,2.986,0.0
2022-12-21,2.994,2.994,2.994,2.994,0.0
2022-12-22,3.08,3.08,3.08,3.08,80200.0
2022-12-23,3.08,3.08,3.08,3.08,0.0
2022-12-28,3.134,3.134,3.104,3.11,276400.0
2022-12-29,3.088,3.088,3.088,3.088,76500.0
2022-12-30,3.148,3.148,3.12,3.12,137300.0
2023-01-03,3.1,3.172,3.1,3.172,6600.0
2023-01-04,3.202,3.276,3.202,3.276,81700.0
2023-01-05,3.318,3.318,3.318,3.318,0.0
2023-01-06,3.35,3.35,3.312,3.314,896700.0
2023-01-09,3.362,3.362,3.362,3.362,0.0
2023-01-10,3.35,3.354,3.35,3.354,100.0
2023-01-11,3.37,3.37,3.37,3.37,63500.0
2023-01-12,3.376,3.376,3.376,3.376,0.0
2023-01-13,3.422,3.422,3.422,3.422,0.0
2023-01-16,3.414,3.414,3.414,3.414,0.0
2023-01-17,3.384,3.386,3.364,3.372,139800.0
2023-01-18,3.388,3.392,3.388,3.392,200.0
2023-01-19,3.38,3.41,3.38,3.41,63900.0
2023-01-20,3.462,3.462,3.462,3.462,0.0
2023-01-26,3.524,3.552,3.524,3.552,138800.0
2023-01-27,3.57,3.57,3.57,3.57,0.0
2023-01-30,3.562,3.562,3.476,3.476,180600.0
2023-01-31,3.514,3.514,3.406,3.432,110300.0
2023-02-01,3.432,3.46,3.432,3.46,132600.0
2023-02-02,3.452,3.452,3.452,3.452,0.0
2023-02-03,3.41,3.41,3.408,3.408,800.0
2023-02-06,3.33,3.33,3.33,3.33,0.0
2023-02-07,3.358,3.358,3.348,3.348,72600.0
2023-02-08,3.354,3.354,3.354,3.354,0.0
2023-02-09,3.366,3.408,3.364,3.408,200.0
2023-02-10,3.338,3.338,3.338,3.338,0.0
2023-02-13,3.286,3.318,3.286,3.318,100.0
2023-02-14,3.324,3.324,3.32,3.32,66500.0
2023-02-15,3.258,3.258,3.258,3.258,0.0
2023-02-16,3.284,3.284,3.284,3.284,0.0
2023-02-17,3.25,3.25,3.25,3.25,0.0
2023-02-20,3.272,3.272,3.272,3.272,0.0
2023-02-21,3.22,3.22,3.22,3.22,0.0
2023-02-22,3.208,3.208,3.208,3.208,0.0
2023-02-23,3.202,3.202,3.202,3.202,0.0
2023-02-24,3.138,3.138,3.138,3.138,0.0
2023-02-27,3.136,3.136,3.136,3.136,0.0
2023-02-28,3.174,3.174,3.116,3.116,300.0
2023-03-01,3.214,3.25,3.214,3.25,100.0
2023-03-02,3.232,3.232,3.232,3.232,0.0
2023-03-03,3.244,3.244,3.244,3.244,0.0
2023-03-06,3.234,3.244,3.234,3.244,300.0
2023-03-07,3.248,3.284,3.196,3.216,148700.0
2023-03-08,3.138,3.138,3.138,3.138,0.0
2023-03-09,3.118,3.118,3.118,3.118,0.0
2023-03-10,3.03,3.03,3.03,3.03,0.0
2023-03-13,3.052,3.07,3.052,3.07,283700.0
2023-03-14,3.06,3.062,3.008,3.008,157400.0
2023-03-15,3.092,3.098,3.06,3.06,323800.0
2023-03-16,3.006,3.006,3.006,3.006,0.0
2023-03-17,3.046,3.046,3.046,3.046,0.0
2023-03-20,2.964,2.964,2.964,2.964,0.0
2023-03-21,2.98,3.012,2.98,3.012,242100.0
2023-03-22,3.068,3.068,3.068,3.068,0.0
2023-03-23,3.13,3.13,3.13,3.13,0.0
2023-03-24,3.13,3.13,3.13,3.13,0.0
2023-03-27,3.072,3.072,3.072,3.072,76800.0
2023-03-28,3.096,3.096,3.096,3.096,0.0
2023-03-29,3.14,3.14,3.14,3.14,0.0
2023-03-30,3.158,3.158,3.158,3.158,0.0
2023-03-31,3.17,3.17,3.17,3.17,0.0
2023-04-03,3.17,3.17,3.17,3.17,0.0
2023-04-04,3.154,3.154,3.154,3.154,0.0
2023-04-06,3.14,3.154,3.14,3.154,7000.0
2023-04-11,3.18,3.18,3.18,3.18,0.0
2023-04-12,3.192,3.192,3.17,3.17,520900.0
2023-04-13,3.18,3.18,3.18,3.18,0.0
2023-04-14,3.208,3.208,3.192,3.2,200.0
2023-04-17,3.19,3.238,3.19,3.238,100.0
2023-04-18,3.208,3.208,3.208,3.208,200.0
2023-04-19,3.164,3.164,3.164,3.164,0.0
2023-04-20,3.162,3.162,3.162,3.162,0.0
2023-04-21,3.106,3.106,3.106,3.106,0.0
2023-04-24,3.088,3.088,3.088,3.088,0.0
2023-04-25,3.08,3.08,3.032,3.032,288800.0
2023-04-26,3.022,3.06,3.022,3.06,320000.0
2023-04-27,3.074,3.074,3.074,3.074,0.0
2023-04-28,3.09,3.09,3.09,3.09,0.0
2023-05-02,3.128,3.128,3.076,3.08,155000.0
2023-05-03,3.05,3.05,3.05,3.05,0.0
2023-05-04,3.088,3.088,3.088,3.088,0.0
2023-05-05,3.12,3.12,3.104,3.104,77800.0
2023-05-08,3.122,3.122,3.122,3.122,0.0
2023-05-09,3.054,3.054,3.05,3.05,200.0
2023-05-10,3.036,3.036,3.036,3.036,0.0
2023-05-11,3.044,3.044,3.03,3.03,200000.0
2023-05-12,3.03,3.03,3.006,3.006,79100.0
2023-05-15,3.058,3.058,3.058,3.058,0.0
2023-05-16,3.066,3.066,3.058,3.058,200.0
2023-05-17,3.03,3.03,2.978,2.978,85800.0
2023-05-18,2.986,2.986,2.986,2.986,0.0
2023-05-19,2.954,2.956,2.954,2.956,100.0
2023-05-22,3.012,3.012,3.006,3.006,81300.0
2023-05-23,3.008,3.008,2.964,2.964,600.0
2023-05-24,2.936,2.936,2.916,2.916,300.0
2023-05-25,2.862,2.862,2.86,2.862,800.0
2023-05-29,2.862,2.862,2.838,2.838,200.0
2023-05-30,2.846,2.856,2.842,2.85,367400.0
2023-05-31,2.8,2.8,2.772,2.78,10100.0
2023-06-01,2.798,2.798,2.79,2.79,200000.0
2023-06-02,2.92,2.92,2.914,2.914,200.0
2023-06-05,2.926,2.926,2.926,2.926,0.0
2023-06-06,2.952,2.952,2.936,2.936,100.0
2023-06-07,2.986,2.986,2.968,2.968,361200.0
2023-06-08,2.964,2.964,2.964,2.964,200000.0
2023-06-09,2.98,2.986,2.972,2.986,361500.0
2023-06-12,2.986,2.986,2.986,2.986,0.0
2023-06-13,3.016,3.016,3.016,3.016,0.0
2023-06-14,3.036,3.036,3.0,3.002,165800.0
2023-06-15,3.074,3.074,3.074,3.074,0.0
2023-06-16,3.12,3.12,3.108,3.108,79200.0
2023-06-19,3.086,3.086,3.082,3.082,77400.0
2023-06-20,3.028,3.028,3.016,3.016,400.0
2023-06-21,2.956,2.956,2.956,2.956,0.0
2023-06-23,2.926,2.926,2.898,2.902,55200.0
2023-06-26,2.892,2.896,2.89,2.892,400.0
2023-06-27,2.93,2.942,2.93,2.942,200.0
2023-06-28,2.936,2.948,2.926,2.948,164200.0
2023-06-29,2.908,2.908,2.904,2.908,600.0
2023-06-30,2.914,2.914,2.914,2.914,0.0
2023-07-03,2.964,2.972,2.964,2.972,82200.0
2023-07-04,2.988,2.996,2.988,2.996,626100.0
2023-07-05,2.984,2.984,2.952,2.952,241100.0
2023-07-06,2.934,2.934,2.882,2.882,697000.0
2023-07-07,2.864,2.864,2.838,2.844,7800.0
2023-07-10,2.882,2.89,2.858,2.858,566200.0
2023-07-11,2.896,2.906,2.882,2.882,83500.0
2023-07-12,2.916,2.916,2.914,2.914,1800.0
2023-07-13,2.966,2.996,2.966,2.996,82500.0
2023-07-14,3.0,3.0,3.0,3.0,0.0
2023-07-17,3.0,3.0,3.0,3.0,0.0
2023-07-18,2.946,2.946,2.946,2.946,100.0
2023-07-19,2.916,2.924,2.916,2.924,81900.0
2023-07-20,2.964,2.972,2.932,2.932,164200.0
2023-07-21,2.94,2.948,2.94,2.948,100.0
2023-07-24,2.904,2.922,2.882,2.882,164200.0
2023-07-25,2.984,3.01,2.984,3.01,81900.0
2023-07-26,3.01,3.01,3.01,3.01,0.0
2023-07-27,3.036,3.062,3.036,3.062,79400.0
2023-07-28,3.112,3.112,3.112,3.112,0.0
2023-07-31,3.18,3.184,3.148,3.148,1843000.0
2023-08-01,3.158,3.174,3.122,3.122,733600.0
2023-08-02,3.054,3.056,3.054,3.054,634200.0
2023-08-03,3.036,3.062,3.036,3.046,138100.0
2023-08-04,3.108,3.108,3.062,3.062,418600.0
2023-08-07,3.062,3.062,3.046,3.046,79300.0
2023-08-08,2.994,2.994,2.988,2.988,200.0
2023-08-09,2.988,2.992,2.988,2.992,803200.0
2023-08-10,2.974,3.002,2.974,2.998,519600.0
2023-08-11,2.964,2.964,2.964,2.964,0.0
2023-08-14,2.898,2.908,2.886,2.908,82200.0
2023-08-15,2.882,2.886,2.88,2.88,512200.0
2023-08-16,2.848,2.848,2.848,2.848,0.0
2023-08-17,2.842,2.842,2.842,2.842,0.0
2023-08-18,2.784,2.786,2.78,2.78,221600.0
2023-08-21,2.728,2.728,2.728,2.728,0.0
2023-08-22,2.72,2.75,2.716,2.75,1006200.0
2023-08-23,2.76,2.76,2.76,2.76,181800.0
2023-08-24,2.81,2.828,2.81,2.828,86100.0
2023-08-25,2.802,2.814,2.796,2.796,254100.0
2023-08-28,2.87,2.87,2.822,2.822,646800.0
2023-08-29,2.892,2.896,2.886,2.886,85300.0
2023-08-30,2.924,2.924,2.88,2.886,336700.0
2023-08-31,2.896,2.896,2.858,2.86,725200.0
2023-09-01,2.86,2.86,2.86,2.86,0.0
2023-09-04,2.926,2.944,2.926,2.934,494300.0
2023-09-05,2.892,2.906,2.86,2.86,2062500.0
2023-09-06,2.86,2.86,2.86,2.86,0.0
2023-09-07,2.822,2.822,2.822,2.822,0.0
2023-09-08,2.822,2.822,2.822,2.822,0.0
2023-09-11,2.768,2.798,2.768,2.798,277600.0
2023-09-12,2.798,2.802,2.798,2.802,714800.0
2023-09-13,2.792,2.792,2.792,2.792,246000.0
2023-09-14,2.778,2.796,2.778,2.788,173600.0
