Date,Open,Last,High,Low,Volume
2024-01-29,75.378,75.815,75.91,75.121,1323506
2024-01-30,75.711,76.624,76.69,75.606,1036857
2024-01-31,77.013,78.383,78.716,77.004,2325832
2024-02-01,77.574,78.059,78.288,77.08,1841546
2024-02-02,79.077,79.21,79.533,78.544,1514721
2024-02-05,78.944,79.552,79.79,78.801,1804127
2024-02-06,79.857,79.21,80.018,79.086,1307161
2024-02-07,79.286,80.275,80.56,78.953,1385323
2024-02-08,79.847,78.697,80.104,76.994,1897703
2024-02-09,78.307,79.362,79.419,77.584,1130943
2024-02-12,79.476,79.02,79.505,78.687,1375305
2024-02-13,79.239,79.933,80.304,79.039,1586140
2024-02-14,79.876,80.703,81.178,79.79,2336148
2024-02-15,82.186,83.109,84.098,80.636,2431239
2024-02-16,84.079,81.882,84.411,81.796,2370393
2024-02-20,81.806,81.178,81.863,80.95,1871944
2024-02-21,81.996,80.551,82.015,79.847,1825402
2024-02-22,80.827,81.606,81.72,79.876,1721754
2024-02-23,81.692,83.004,83.052,81.578,1696457
2024-02-26,82.861,82.995,83.803,82.576,1548613
2024-02-27,82.852,82.938,83.023,81.93,1817006
2024-02-28,83.09,83.946,84.126,82.823,1247782
2024-02-29,83.765,83.289,83.803,82.167,3310014
2024-03-01,82.919,82.89,83.384,82.538,1225926
2024-03-04,82.89,82.861,83.261,82.31,1051780
2024-03-05,83.109,83.099,84.041,82.785,1201998
2024-03-06,83.099,84.459,84.526,82.576,1337576
2024-03-07,84.25,83.384,84.535,82.976,2051299
2024-03-08,83.251,83.308,83.727,82.738,1208630
2024-03-11,83.308,85.876,86.047,83.308,2107867
2024-03-12,85.876,86.456,86.503,85.324,1886526
2024-03-13,86.713,86.532,87.074,86.066,1592209
2024-03-14,86.722,86.56,87.055,86.018,1424663
2024-03-15,86.047,87.369,87.492,86.047,3505550
2024-03-18,86.893,86.912,87.245,86.294,1446960
2024-03-19,87.264,87.169,87.35,86.637,1581049
2024-03-20,87.093,87.702,88.034,86.817,1681637
2024-03-21,87.369,86.237,87.435,86.066,2040349
2024-03-22,86.37,86.228,86.38,85.534,1888918
2024-03-25,86.399,86.522,86.846,85.591,2071177
2024-03-26,86.475,86.142,87.064,85.79,1945949
2024-03-27,86.56,86.988,87.236,86.37,3025533
2024-03-28,87.407,87.901,88.025,86.694,2462980
2024-04-01,88.053,87.778,88.548,87.388,1361237
2024-04-02,88.025,86.998,88.367,86.76,1674932
2024-04-03,86.998,87.702,87.92,86.998,1451451
2024-04-04,87.664,86.618,88.091,86.37,1466502
2024-04-05,87.483,90.24,90.345,87.15,2591481
2024-04-08,90.174,89.908,90.307,89.118,1371960
2024-04-09,89.822,86.741,90.117,86.247,2371093
2024-04-10,86.855,87.664,88.091,86.684,1267398
2024-04-11,86.998,86.827,87.502,86.446,1369355
2024-04-12,86.827,85.562,87.217,84.849,1454980
2024-04-15,86.665,85.353,87.34,85.343,1762686
2024-04-16,85.819,86.399,86.713,85.201,1688714
2024-04-17,86.18,86.18,86.475,85.524,1015984
2024-04-18,86.836,86.903,87.407,86.427,1408007
2024-04-19,87.378,88.367,88.405,86.446,1527630
2024-04-22,89.061,89.242,89.955,88.434,1276015
2024-04-23,89.47,89.175,89.736,88.862,1459376
2024-04-24,88.69,88.614,89.071,88.158,1257451
2024-04-25,88.472,88.481,88.871,87.854,1181605
2024-04-26,87.587,86.437,87.892,86.323,1458046
2024-04-29,86.342,86.77,87.141,86.161,2812186
2024-04-30,87.958,88.947,89.423,86.104,3310895
2024-05-01,89.033,91.096,91.838,89.033,2578318
2024-05-02,91.03,90.497,91.705,89.86,1458032
2024-05-03,90.164,89.775,90.897,88.225,1696539
2024-05-06,90.107,92.37,92.399,90.107,1227626
2024-05-07,92.855,93.388,93.702,92.275,1316246
2024-05-08,93.388,94.073,94.805,93.388,1321462
2024-05-09,93.911,94.738,94.748,93.702,859741
2024-05-10,95.29,95.138,95.908,94.852,1420422
2024-05-13,95.195,93.103,95.404,93.036,1171209
2024-05-14,93.027,93.093,93.483,92.513,1137731
2024-05-15,92.599,93.065,93.559,92.542,1474393
2024-05-16,93.664,93.968,94.491,93.616,1179524
2024-05-17,94.396,96.031,96.307,94.396,1484877
2024-05-20,96.069,95.252,96.288,95.223,1399074
2024-05-21,95.803,96.659,97.382,95.623,1681073
2024-05-22,97.001,97.657,98.228,96.935,1994766
2024-05-23,97.895,96.925,98.694,96.136,1685079
2024-05-24,97.382,98.285,98.314,97.173,1296861
2024-05-28,97.591,97.23,98.019,97.049,1722471
2024-05-29,97.325,96.564,97.696,96.326,1368069
2024-05-30,96.345,96.431,97.971,96.06,2421939
2024-05-31,96.459,97.591,98.399,96.374,10178651
2024-06-03,97.467,96.707,98.019,95.537,1747081
2024-06-04,96.925,95.908,97.277,95.128,1217624
2024-06-05,95.632,94.786,96.155,94.101,1480068
2024-06-06,95.451,95.166,96.041,94.729,1132982
2024-06-07,95.737,95.632,96.573,95.48,803535
2024-06-10,95.508,95.642,95.955,94.776,955690
2024-06-11,95.366,94.691,95.413,94.234,1530151
2024-06-12,94.757,94.291,94.843,92.817,1290340
2024-06-13,94.358,94.282,94.529,92.865,1105443
2024-06-14,93.569,92.485,94.5,92.37,1638616
2024-06-17,92.409,94.339,94.814,92.37,1176580
2024-06-18,94.805,95.851,96.535,94.443,1489012
2024-06-20,96.136,97.42,97.477,96.06,1530750
2024-06-21,97.306,96.887,97.41,95.67,4271267
2024-06-24,96.887,97.401,97.696,96.25,1431004
2024-06-25,97.486,97.134,98.361,96.925,879702
2024-06-26,96.459,94.871,96.659,94.225,1370634
2024-06-27,95.318,96.06,96.25,94.367,1227596
2024-06-28,95.661,95.936,96.393,94.7,3818454
2024-07-01,96.963,95.708,97.315,95.642,1344724
2024-07-02,95.195,95.09,95.404,94.225,1249456
2024-07-03,95.014,92.855,95.28,92.561,1279956
2024-07-05,93.074,93.331,93.54,92.313,1411057
2024-07-08,93.73,93.435,94.681,93.416,1335144
2024-07-09,93.35,93.188,94.187,93.122,1460668
2024-07-10,93.378,92.713,93.559,92.542,1047915
2024-07-11,92.618,92.237,92.779,91.011,1702311
2024-07-12,92.532,91.762,92.846,91.705,1557504
2024-07-15,91.809,92.389,93.455,91.771,1271360
2024-07-16,92.389,92.342,93.445,92.104,1100037
2024-07-17,93.131,93.065,93.787,92.694,1049224
2024-07-18,93.036,93.416,94.329,92.893,912290
2024-07-19,93.778,91.382,93.968,91.077,1029054
2024-07-22,91.41,91.828,92.456,91.087,972987
2024-07-23,92.351,91.505,92.637,91.353,605328
2024-07-24,92.237,91.667,92.741,91.515,1002374
2024-07-25,91.971,89.832,92.104,89.546,1366761
2024-07-26,90.231,92.152,93.065,89.917,1108464
2024-07-29,92.152,92.247,93.008,91.905,1131101
2024-07-30,92.779,93.378,94.215,92.713,1506017
2024-07-31,95.252,91.077,95.632,90.117,2449662
2024-08-01,91.458,92.332,92.447,89.461,2039986
2024-08-02,92.19,93.825,94.51,91.781,3584653
2024-08-05,95.404,91.344,95.632,89.775,2599979
2024-08-06,91.496,91.895,92.874,91.496,1402003
2024-08-07,91.638,92.047,93.16,91.619,1537303
2024-08-08,91.695,93.569,93.863,91.429,1091827
2024-08-09,93.569,93.939,94.092,93.065,737449
2024-08-12,93.597,93.16,94.405,92.979,740707
2024-08-13,93.721,92.932,93.721,92.057,848594
2024-08-14,93.179,95.946,96.079,93.179,1239143
2024-08-15,96.45,96.659,97.325,95.993,1076510
2024-08-16,97.287,97.515,97.848,96.545,801677
2024-08-19,97.505,97.943,98.39,97.334,865195
2024-08-20,97.914,97.753,98.219,97.258,700724
2024-08-21,98.133,99.464,99.578,97.914,1013401
2024-08-22,99.607,101.28,101.309,99.607,1144956
2024-08-23,101.708,103.667,103.791,101.119,1514536
2024-08-26,103.639,104.114,104.713,103.496,1228005
2024-08-27,104.38,105.246,105.369,104.276,1446729
