Date,Open,Last,High,Low,Volume
2024-01-29,615.71,630.23,636.25,615.71,3212187
2024-01-30,630.0,627.96,630.47,620.89,2007432
2024-01-31,620.0,617.78,625.93,612.17,2666775
2024-02-01,619.0,627.91,628.8,618.78,1687613
2024-02-02,624.79,634.76,638.25,617.01,2542763
2024-02-05,633.03,630.5,634.59,624.54,2131245
2024-02-06,625.58,607.14,626.46,604.67,3436244
2024-02-07,613.25,615.85,620.42,610.15,2313824
2024-02-08,615.85,615.86,621.34,612.51,1815682
2024-02-09,616.0,627.21,628.07,615.81,2091353
2024-02-12,626.0,611.84,626.35,611.58,2317239
2024-02-13,596.7,601.89,608.39,590.0,2985238
2024-02-14,605.85,604.66,610.33,602.5,1615119
2024-02-15,606.0,590.44,607.32,589.77,3677358
2024-02-16,589.9,546.66,590.14,546.37,10328353
2024-02-20,531.5,541.91,545.88,528.01,6567568
2024-02-21,539.76,538.52,542.57,529.37,4493535
2024-02-22,553.94,537.57,555.55,534.56,5023397
2024-02-23,543.49,553.44,557.18,541.48,4546484
2024-02-26,556.56,560.48,570.6,556.56,4251153
2024-02-27,565.91,552.49,565.91,548.54,3247572
2024-02-28,552.0,551.82,557.2,549.76,2313223
2024-02-29,554.89,560.28,561.94,553.23,3844366
2024-03-01,561.11,570.93,572.89,560.67,2968098
2024-03-04,572.85,567.94,576.25,564.1,2556419
2024-03-05,562.6,544.84,564.19,539.35,4286834
2024-03-06,548.0,543.09,550.64,538.15,3209766
2024-03-07,550.0,556.04,558.38,541.59,2660544
2024-03-08,553.0,551.69,560.44,550.51,2833180
2024-03-11,552.45,560.42,562.69,551.02,2857791
2024-03-12,568.6,579.14,579.79,562.6,3469161
2024-03-13,579.06,573.55,585.35,573.41,3466022
2024-03-14,578.0,570.45,579.54,568.76,5908117
2024-03-15,499.64,492.46,503.13,485.0,19580838
2024-03-18,495.55,513.86,515.73,495.55,7052677
2024-03-19,509.89,521.19,522.68,508.99,7081796
2024-03-20,523.29,519.14,523.87,512.5,4239557
2024-03-21,517.6,511.25,519.73,506.2,5206580
2024-03-22,509.07,499.52,511.59,496.67,5413647
2024-03-25,496.79,507.23,510.63,496.69,4277036
2024-03-26,508.06,507.6,512.79,503.59,2813329
2024-03-27,515.47,504.4,516.86,499.7,4228415
2024-03-28,508.12,504.6,509.0,500.26,3897003
2024-04-01,504.99,502.09,506.92,499.31,2056030
2024-04-02,494.4,499.21,500.75,491.34,3083273
2024-04-03,497.36,497.01,498.86,494.71,2604428
2024-04-04,503.56,487.11,504.11,486.7,3403327
2024-04-05,488.84,485.12,490.09,481.28,4972655
2024-04-08,484.78,484.28,486.98,477.23,3439211
2024-04-09,486.0,492.55,493.31,483.31,2548566
2024-04-10,489.39,487.22,491.77,480.28,2487870
2024-04-11,487.36,484.28,488.67,479.74,2978539
2024-04-12,477.95,474.09,478.78,468.6,5621945
2024-04-15,477.02,470.1,478.52,468.35,3353225
2024-04-16,470.0,476.22,478.98,468.49,2660097
2024-04-17,477.31,474.45,481.02,472.69,2034793
2024-04-18,476.76,473.18,477.61,471.83,2389742
2024-04-19,476.54,465.02,476.58,463.09,3282142
2024-04-22,470.22,466.89,471.5,462.28,2604256
2024-04-23,469.72,472.9,474.81,467.83,2205836
2024-04-24,472.94,477.12,478.57,471.73,2338044
2024-04-25,468.41,473.44,474.5,465.78,2250913
