Date,Open,Last,High,Low,Volume
2024-01-29,220.924,224.005,224.005,220.867,2165144
2024-01-30,222.328,224.835,225.07,221.555,2024058
2024-01-31,232.204,231.61,236.736,229.933,4436278
2024-02-01,230.875,232.835,232.995,228.02,2008210
2024-02-02,233.306,234.465,235.427,232.505,2223044
2024-02-05,234.258,233.966,234.494,231.902,1733196
2024-02-06,235.021,236.35,237.283,234.192,1690542
2024-02-07,237.311,235.841,237.82,235.304,1460685
2024-02-08,235.577,236.605,236.708,234.079,1330892
2024-02-09,236.425,235.577,236.529,234.522,1243350
2024-02-12,235.351,235.653,236.322,235.021,1260530
2024-02-13,236.011,235.2,236.058,233.58,1827939
2024-02-14,235.681,236.435,236.774,234.701,1131497
2024-02-15,237.095,237.519,238.244,236.652,1387583
2024-02-16,237.236,238.386,239.695,236.19,2099105
2024-02-20,238.791,238.357,239.846,237.98,1439426
2024-02-21,238.942,239.281,239.375,237.029,1146430
2024-02-22,239.422,240.072,241.005,238.894,1692891
2024-02-23,240.525,241.118,241.439,240.261,1306581
2024-02-26,241.778,238.932,241.778,238.866,1141319
2024-02-27,238.555,236.821,238.697,235.785,1241809
2024-02-28,236.115,237.057,237.387,235.728,1508241
2024-02-29,239.073,236.652,239.177,235.738,2796700
2024-03-01,235.05,235.295,235.756,234.013,2091034
2024-03-04,232.769,232.006,235.04,229.744,3661533
2024-03-05,232.147,229.933,232.439,228.595,2433279
2024-03-06,230.837,229.707,232.081,229.066,2163688
2024-03-07,231.023,231.488,233.118,230.54,2445421
2024-03-08,231.156,229.734,231.545,228.862,1815867
2024-03-11,230.521,231.336,231.753,229.071,1477161
2024-03-12,231.336,231.886,232.824,229.933,1978830
2024-03-13,231.886,231.45,232.445,230.369,1558996
2024-03-14,231.924,230.54,232.189,229.573,1867498
2024-03-15,230.284,229.441,231.09,226.351,11912115
2024-03-18,230.881,229.213,231.516,229.052,2002087
2024-03-19,229.896,231.374,231.554,228.682,1864214
2024-03-20,232.208,234.776,234.919,231.365,2105155
2024-03-21,235.487,235.942,237.44,234.492,1857956
2024-03-22,238.103,234.672,238.103,234.056,1612600
2024-03-25,234.492,231.44,234.805,231.298,1069608
2024-03-26,230.834,232.265,232.435,230.682,1072926
2024-03-27,234.047,235.355,236.397,233.98,1132583
2024-03-28,236.587,236.691,237.942,236.018,1302005
2024-04-01,237.297,232.492,237.515,232.218,1535471
2024-04-02,227.564,234.72,235.734,227.194,2297388
2024-04-03,234.871,232.322,235.43,231.952,2370064
2024-04-04,234.634,228.872,234.682,228.787,1690648
2024-04-05,229.308,232.056,233.07,228.663,1420080
2024-04-08,231.601,233.753,234.094,231.507,905591
2024-04-09,235.326,236.947,237.032,233.705,1158725
2024-04-10,235.364,232.947,235.791,231.564,1263249
2024-04-11,233.649,231.649,233.876,230.275,1099177
2024-04-12,230.237,231.109,231.44,229.535,1226399
2024-04-15,234.17,231.327,234.397,230.417,1383647
2024-04-16,232.208,231.45,232.701,230.711,1457660
2024-04-17,232.274,230.208,232.274,229.384,1126134
2024-04-18,231.725,229.346,232.199,229.043,1454355
2024-04-19,231.071,230.597,231.516,229.782,1638705
2024-04-22,232.293,233.44,234.644,231.175,1329014
2024-04-23,233.867,233.942,235.127,233.08,1661848
2024-04-24,231.857,233.724,233.961,231.554,1455810
2024-04-25,236.53,233.469,237.222,231.639,1224550
2024-04-26,231.346,230.369,233.819,230.265,1555489
2024-04-29,231.298,231.203,232.151,230.474,1153482
2024-04-30,231.431,229.251,231.715,229.175,1945077
2024-05-01,236.643,234.407,240.463,231.744,2782446
2024-05-02,233.156,229.384,234.056,228.436,1781298
2024-05-03,230.322,229.251,230.938,226.815,1491532
2024-05-06,229.621,230.057,230.966,228.502,1108750
2024-05-07,230.36,232.312,232.417,229.45,1202499
2024-05-08,232.246,230.246,232.246,228.578,1133454
2024-05-09,231.099,232.341,232.616,230.104,1020241
2024-05-10,232.653,233.961,234.293,232.255,757877
2024-05-13,234.568,234.852,236.767,233.876,950030
2024-05-14,236.065,232.672,236.388,231.725,1278977
2024-05-15,233.582,233.734,235.279,233.146,1053957
2024-05-16,233.487,236.994,237.193,233.175,1031961
2024-05-17,236.994,239.146,239.202,236.217,1291521
2024-05-20,239.25,238.624,239.458,237.496,772892
2024-05-21,239.781,238.965,239.781,237.98,917474
2024-05-22,239.117,240.747,241.335,238.558,1272890
2024-05-23,241.069,238.349,241.069,237.942,1096238
2024-05-24,238.454,235.895,239.771,235.364,973940
2024-05-28,235.326,230.587,235.478,229.27,1483500
2024-05-29,228.815,227.545,230.047,227.1,1565613
