Date,Open,Last,High,Low,Volume
2024-01-29,64.493,64.651,64.956,64.039,1500231
2024-01-30,64.521,64.873,65.299,63.696,2351175
2024-01-31,65.521,64.447,65.595,64.058,1788980
2024-02-01,64.132,65.493,65.642,63.761,2245579
2024-02-02,64.789,64.298,65.012,64.021,1765790
2024-02-05,63.743,62.965,63.808,62.853,2619837
2024-02-06,62.733,63.344,63.659,62.566,2215922
2024-02-07,63.53,63.632,63.632,62.853,1715499
2024-02-08,63.233,62.918,63.298,62.362,1658197
2024-02-09,62.761,63.641,63.77,62.566,1885819
2024-02-12,63.696,64.076,64.271,63.233,1263585
2024-02-13,64.03,63.242,64.243,62.094,1715527
2024-02-14,63.344,63.557,63.743,62.696,1359198
2024-02-15,63.733,64.419,64.919,63.567,2583410
2024-02-16,64.363,64.391,64.919,63.548,3362713
2024-02-20,64.456,64.725,65.456,64.206,1530441
2024-02-21,65.086,66.142,66.281,64.827,2469213
2024-02-22,65.716,65.595,65.892,64.743,2749255
2024-02-23,65.716,66.327,67.05,65.29,2918035
2024-02-26,66.096,65.614,66.133,65.104,2218667
2024-02-27,65.864,66.068,66.355,65.493,1362640
2024-02-28,66.086,66.225,66.568,65.827,1324281
2024-02-29,66.494,65.947,66.976,65.929,3395590
2024-03-01,65.79,66.068,66.133,64.669,1963672
2024-03-04,65.493,67.318,67.578,65.493,2185110
2024-03-05,67.587,66.809,68.374,66.661,2734640
2024-03-06,67.448,67.735,68.208,67.105,1492391
2024-03-07,68.245,67.698,68.328,67.531,1525071
2024-03-08,67.745,67.633,68.18,67.17,1408750
2024-03-11,67.698,68.226,68.449,67.67,1578287
2024-03-12,67.918,67.609,68.479,67.161,1748825
2024-03-13,67.843,67.684,68.254,67.254,1261390
2024-03-14,67.32,66.731,67.609,66.001,1491765
2024-03-15,66.188,66.918,67.46,66.188,3478431
2024-03-18,66.871,67.282,67.6,66.675,1999650
2024-03-19,67.31,67.413,67.937,67.105,1083135
2024-03-20,67.273,67.357,67.834,66.852,1235995
2024-03-21,67.479,67.123,67.843,67.095,1451347
2024-03-22,67.75,67.011,67.75,66.852,1148046
2024-03-25,67.301,66.787,67.329,66.516,1368858
2024-03-26,66.749,66.347,67.067,65.983,988668
2024-03-27,66.749,68.385,68.395,66.478,1404035
2024-03-28,68.395,69.143,69.245,68.142,1945777
2024-04-01,69.021,68.469,69.049,68.058,1441634
2024-04-02,68.469,68.993,69.507,68.469,1232588
2024-04-03,68.984,68.385,69.227,68.245,1935438
2024-04-04,68.9,68.142,69.077,67.507,1259781
2024-04-05,67.722,67.974,68.348,67.114,1585467
2024-04-08,67.955,68.563,68.722,67.946,1370881
2024-04-09,68.806,69.171,69.18,68.498,1147112
2024-04-10,67.217,67.572,67.759,66.534,1457752
2024-04-11,68.021,67.357,68.114,66.992,1008672
2024-04-12,67.469,67.086,67.703,66.431,971781
2024-04-15,67.422,66.918,67.637,66.375,1214164
2024-04-16,66.712,65.758,66.777,65.534,1105316
2024-04-17,66.347,67.245,67.432,66.001,1279044
2024-04-18,67.45,67.787,67.918,66.964,1073161
2024-04-19,68.002,69.068,69.292,67.927,1266327
2024-04-22,68.956,69.535,69.797,68.554,1480237
2024-04-23,69.348,69.199,70.077,68.993,1108556
2024-04-24,68.666,69.844,70.077,68.17,1006238
2024-04-25,69.862,69.89,70.134,69.058,1106309
2024-04-26,69.722,68.862,69.975,68.853,1201406
2024-04-29,69.208,69.507,69.685,69.077,1393094
2024-04-30,69.143,69.058,69.825,68.292,1447103
2024-05-01,68.871,69.638,70.246,68.647,1554213
2024-05-02,69.881,70.349,70.367,69.563,1216744
2024-05-03,70.199,69.264,70.76,67.965,2662215
2024-05-06,69.47,69.086,69.573,68.881,1886051
2024-05-07,69.647,69.517,69.647,68.871,2636180
2024-05-08,69.404,69.395,70.012,69.115,1642003
2024-05-09,69.367,69.9,70.264,69.133,1386337
2024-05-10,70.115,69.554,70.292,69.423,2286300
2024-05-13,69.741,69.619,70.124,69.283,2167756
2024-05-14,69.909,70.003,70.18,69.423,2954364
2024-05-15,70.732,70.423,71.19,70.208,3381992
2024-05-16,70.479,70.021,70.9,69.89,2781771
2024-05-17,70.04,69.872,70.395,69.245,1826400
2024-05-20,69.825,69.554,69.993,69.386,1734456
2024-05-21,69.451,69.704,70.171,69.245,1548055
2024-05-22,69.376,68.432,69.535,68.385,1763410
2024-05-23,68.021,66.843,68.03,66.824,2198347
2024-05-24,66.983,66.693,67.198,66.132,1376824
2024-05-28,66.693,66.59,67.245,66.422,1598798
2024-05-29,66.188,65.534,66.188,65.441,976496
2024-05-30,66.104,66.852,66.899,65.712,2069649
2024-05-31,67.217,68.591,68.666,67.011,3160448
2024-06-03,68.731,68.965,69.33,68.451,1977666
2024-06-04,68.881,68.909,69.124,68.376,1068278
2024-06-05,68.666,67.656,68.741,67.563,974446
2024-06-06,67.45,67.404,68.086,67.077,1216088
2024-06-07,66.768,66.441,67.105,66.431,1153988
2024-06-10,66.525,66.843,67.133,66.207,1541264
2024-06-11,66.17,66.815,66.955,65.796,1032984
2024-06-12,67.524,66.194,67.675,65.92,1476342
2024-06-13,66.194,66.061,66.599,65.675,2090065
2024-06-14,65.76,66.175,66.42,65.609,1089740
2024-06-17,65.826,66.439,66.647,65.609,1457419
2024-06-18,66.212,66.241,66.722,65.892,1483253
2024-06-20,66.382,67.062,67.336,66.033,1699422
2024-06-21,67.147,66.297,67.713,66.175,3325424
2024-06-24,66.307,67.147,67.26,66.307,1197486
2024-06-25,67.071,66.203,67.071,66.156,1283748
2024-06-26,65.844,66.184,66.316,65.486,1016042
2024-06-27,66.231,66.949,67.081,66.231,1381079
2024-06-28,67.194,67.109,67.317,66.335,2596819
2024-07-01,67.269,66.769,67.732,66.571,1812695
2024-07-02,66.939,67.477,67.694,66.873,2591630
2024-07-03,67.477,66.59,67.798,66.581,785499
2024-07-05,66.524,66.486,67.185,66.203,2445380
2024-07-08,66.496,66.732,66.873,66.241,1245481
2024-07-09,66.571,67.345,67.496,66.316,1721916
2024-07-10,67.666,67.77,67.798,66.892,1063241
2024-07-11,68.109,69.006,69.45,67.826,1097570
2024-07-12,69.327,69.723,70.374,69.148,1032279
2024-07-15,69.223,68.657,69.676,68.26,1014635
2024-07-16,69.119,69.77,69.818,68.562,931344
2024-07-17,69.94,71.007,71.658,69.94,886197
2024-07-18,70.629,70.827,72.158,70.629,1062243
