Date,Open,Last,High,Low,Volume
2024-01-29,163.584,162.939,163.901,162.15,445228
2024-01-30,162.968,163.67,164.604,162.573,429756
2024-01-31,164.19,161.611,164.315,161.563,407337
2024-02-01,160.514,162.91,163.064,157.531,531549
2024-02-02,163.043,161.256,163.962,160.705,456918
2024-02-05,161.188,162.753,163.063,160.589,563538
2024-02-06,162.319,163.217,163.904,162.0,662765
2024-02-07,167.982,169.46,173.384,166.716,855810
2024-02-08,169.383,168.707,170.881,167.692,430584
2024-02-09,167.189,168.629,169.18,166.078,282437
2024-02-12,168.832,166.117,168.852,165.952,388098
2024-02-13,166.725,165.469,167.634,163.42,488764
2024-02-14,165.604,166.01,167.431,165.189,301590
2024-02-15,166.32,166.716,167.808,165.885,355174
2024-02-16,167.015,167.885,168.958,166.735,321207
2024-02-20,167.267,168.765,170.494,167.267,310039
2024-02-21,169.509,168.349,169.509,167.576,340427
2024-02-22,168.745,171.5,171.828,168.417,359203
2024-02-23,172.021,172.379,173.181,171.152,360549
2024-02-26,172.63,172.93,173.896,172.166,354147
2024-02-27,171.963,175.645,176.148,171.963,405876
2024-02-28,175.442,176.129,176.989,174.785,276848
2024-02-29,176.283,175.356,176.283,173.742,374945
2024-03-01,175.356,174.399,175.356,173.471,227615
2024-03-04,173.461,172.05,175.307,171.799,361377
2024-03-05,171.896,172.611,173.829,171.123,326358
2024-03-06,173.771,173.8,174.921,172.07,407895
2024-03-07,173.742,172.901,174.37,172.273,208254
2024-03-08,172.36,172.514,173.394,171.471,195360
2024-03-11,172.05,172.36,172.621,170.533,299402
2024-03-12,172.659,175.037,175.046,172.118,290109
2024-03-13,175.607,175.413,175.906,174.428,302929
2024-03-14,174.273,173.78,174.747,172.814,366882
2024-03-15,172.756,175.075,175.24,172.756,715126
2024-03-18,174.766,172.398,175.365,172.021,290088
2024-03-19,173.133,173.239,173.78,172.07,315840
2024-03-20,172.814,174.544,175.095,172.418,367208
2024-03-21,174.486,173.51,175.346,172.108,376555
2024-03-22,173.674,173.645,174.254,172.881,227687
2024-03-25,174.176,175.394,176.593,174.176,462550
2024-03-26,175.23,177.114,179.202,175.23,352781
2024-03-27,178.68,181.115,181.144,178.313,320205
2024-03-28,181.26,181.917,183.116,181.086,339578
2024-04-01,180.961,180.932,182.314,179.956,322988
2024-04-02,181.512,180.352,182.633,179.965,338624
2024-04-03,180.139,178.757,180.999,178.728,271309
2024-04-04,180.081,173.316,180.081,172.997,559808
2024-04-05,174.379,173.809,174.969,172.524,355516
2024-04-08,173.732,175.162,176.757,172.572,306726
2024-04-09,175.5,172.795,176.341,171.509,290077
2024-04-10,172.263,171.529,173.751,171.016,229633
2024-04-11,171.036,167.789,171.036,167.789,237315
2024-04-12,167.373,168.339,168.562,166.696,252450
2024-04-15,170.079,166.793,170.949,166.532,259269
2024-04-16,167.267,165.353,167.962,165.15,325018
2024-04-17,165.44,164.367,165.624,164.077,270924
2024-04-18,165.276,165.15,166.31,164.735,238491
2024-04-19,166.107,167.991,168.04,165.691,259540
2024-04-22,168.861,168.736,169.547,167.817,323602
2024-04-23,169.103,170.388,170.649,168.716,264245
2024-04-24,169.161,171.103,171.422,169.161,297162
2024-04-25,170.842,167.808,171.838,167.102,315465
