Date,Open,Last,High,Low,Volume
2024-01-29,113.885,118.252,118.329,112.666,1996433
2024-01-30,116.399,115.478,118.05,114.029,1948692
2024-01-31,114.46,110.132,115.276,109.882,3653320
2024-02-01,112.301,112.09,113.357,108.74,3398441
2024-02-02,109.748,109.661,110.938,107.982,2853817
2024-02-05,107.291,104.363,108.174,104.037,3891748
2024-02-06,105.39,108.481,109.45,105.198,3043287
2024-02-07,109.546,110.429,111.331,107.022,2427548
2024-02-08,109.489,109.738,110.708,107.77,2473800
2024-02-09,108.941,111.13,111.523,108.586,2491661
2024-02-12,111.101,115.267,117.724,111.015,2865801
2024-02-13,109.421,107.694,110.208,106.705,3997319
2024-02-14,109.162,109.796,109.901,107.195,3134246
2024-02-15,107.502,112.781,119.192,107.502,6739167
2024-02-16,114.096,117.666,120.795,114.0,4406238
2024-02-20,117.196,110.208,117.196,108.845,3840190
2024-02-21,110.573,113.789,115.727,109.479,3683291
2024-02-22,113.213,113.433,115.564,112.071,2018322
2024-02-23,113.721,115.804,117.148,111.264,2762346
2024-02-26,115.18,116.639,119.26,113.981,2080960
2024-02-27,122.322,123.425,125.086,121.419,3540341
2024-02-28,125.412,126.756,128.378,124.76,2733065
2024-02-29,131.056,132.313,134.991,130.307,4562992
2024-03-01,132.822,137.065,137.439,132.342,3286278
2024-03-04,134.521,127.85,134.588,127.773,4216881
2024-03-05,117.158,105.006,117.522,102.405,19347681
2024-03-06,105.851,114.787,115.017,105.851,15606715
2024-03-07,114.269,117.734,118.338,113.539,4235482
2024-03-08,118.357,113.577,119.26,113.261,3478996
2024-03-11,114.576,119.74,120.786,114.576,4130149
2024-03-12,121.966,118.953,123.339,116.467,3443054
2024-03-13,117.945,120.738,121.803,117.311,2176855
2024-03-14,117.958,115.444,118.68,114.712,3010019
2024-03-15,114.587,117.611,118.439,112.44,3203690
2024-03-18,119.142,119.96,121.077,116.032,1886178
2024-03-19,116.995,116.07,118.786,115.791,2326612
2024-03-20,115.81,119.835,122.031,115.069,2528950
2024-03-21,121.183,120.23,122.839,119.517,2350942
2024-03-22,117.466,116.378,120.49,116.311,2454915
