Date,Open,Last,High,Low,Volume
2024-01-29,66.278,67.395,67.445,66.278,1920061
2024-01-30,67.575,67.99,68.225,67.4,1704452
2024-01-31,66.133,64.67,66.873,64.328,3058415
2024-02-01,65.5,65.745,65.933,65.16,2236867
2024-02-02,68.66,68.275,69.248,67.28,3251701
2024-02-05,68.75,68.243,69.1,67.258,1980042
2024-02-06,68.245,66.223,68.318,65.533,2510001
2024-02-07,66.52,66.763,67.54,66.19,2358391
2024-02-08,67.5,68.973,69.72,67.25,2446349
2024-02-09,70.5,70.613,71.205,69.648,3182579
2024-02-12,73.165,70.22,73.165,70.045,9451351
2024-02-13,64.473,66.378,67.685,63.985,7021557
2024-02-14,67.5,66.418,67.85,65.953,3342123
2024-02-15,66.555,66.625,66.933,65.083,2564383
2024-02-16,66.333,65.438,67.098,65.415,2433242
2024-02-20,64.518,64.903,65.103,63.598,2717542
2024-02-21,64.228,63.623,64.7,63.27,2577332
2024-02-22,65.34,67.19,67.545,65.34,3635096
2024-02-23,67.383,66.915,68.435,66.0,1788609
2024-02-26,67.5,68.435,69.305,67.15,2336539
2024-02-27,68.52,67.978,69.075,67.8,1351086
2024-02-28,67.65,68.293,68.885,67.535,1189903
2024-02-29,68.75,69.385,69.543,68.565,2355204
2024-03-01,70.4,71.935,72.1,70.25,2654871
2024-03-04,72.0,71.985,72.823,71.625,2003196
2024-03-05,71.008,70.118,71.02,68.775,2377477
2024-03-06,71.078,71.125,71.695,70.125,1971536
2024-03-07,71.5,71.62,72.215,70.55,2338658
2024-03-08,71.62,68.278,71.828,68.068,3235025
2024-03-11,67.33,67.755,67.945,65.9,2028133
2024-03-12,68.25,70.465,70.488,67.673,2345222
2024-03-13,69.993,70.178,70.563,69.208,3023700
2024-03-14,70.403,71.005,71.438,70.043,3137860
2024-03-15,69.795,69.433,70.453,69.02,3819906
2024-03-18,70.603,72.33,72.425,70.263,3872898
2024-03-19,71.0,71.73,72.06,68.153,5270721
2024-03-20,72.258,74.145,74.19,71.438,3302003
2024-03-21,74.75,76.15,76.408,73.753,2924281
2024-03-22,75.75,76.605,76.935,75.5,2380533
2024-03-25,75.618,76.375,76.843,75.115,2012494
2024-03-26,75.12,74.458,76.375,74.298,2462585
2024-03-27,74.06,72.103,74.338,71.018,3203341
2024-03-28,71.948,72.495,73.235,71.503,1839409
2024-04-01,73.07,74.938,74.948,72.833,1589172
2024-04-02,72.925,72.713,73.435,71.123,2225605
2024-04-03,72.78,74.698,75.373,72.5,1790396
2024-04-04,75.24,72.193,75.875,72.143,1877532
2024-04-05,72.755,74.4,74.563,72.5,1452623
2024-04-08,74.253,74.345,74.795,73.33,1336769
2024-04-09,74.998,73.688,74.998,71.633,1312501
2024-04-10,72.5,72.055,73.645,71.823,1910568
2024-04-11,72.658,74.145,74.418,72.333,1513595
2024-04-12,70.068,67.805,70.675,67.083,5750478
2024-04-15,68.825,65.8,69.218,65.475,4072883
2024-04-16,66.0,65.69,66.8,65.5,2226368
2024-04-17,65.718,64.818,66.16,64.255,2525978
2024-04-18,64.413,64.298,65.015,63.133,1952072
2024-04-19,64.065,61.523,64.193,61.398,2957175
2024-04-22,61.635,61.368,62.11,60.08,3412185
2024-04-23,61.593,62.795,62.928,61.023,2298000
2024-04-24,64.198,63.693,65.225,62.645,2595372
2024-04-25,64.16,66.19,67.178,62.855,3551236
