Date,Open,Last,High,Low,Volume
2024-01-29,44.55,46.57,46.59,44.15,4791629
2024-01-30,46.42,42.47,47.04,42.11,5727685
2024-01-31,41.8,41.13,42.45,41.04,2907096
2024-02-01,41.54,40.96,41.98,40.9,2847218
2024-02-02,41.0,45.86,45.89,40.71,6023717
2024-02-05,45.6,45.48,46.09,44.01,2839626
2024-02-06,46.11,46.04,46.5,45.08,2400241
2024-02-07,46.5,47.69,47.83,45.72,4285769
2024-02-08,47.8,46.55,48.77,46.52,3383906
2024-02-09,47.08,46.35,47.16,45.28,2741664
2024-02-12,46.68,47.06,48.37,46.48,3593317
2024-02-13,45.33,45.83,46.79,45.12,3452187
2024-02-14,46.28,46.87,47.3,45.59,6882487
2024-02-15,54.69,58.5,59.14,52.75,16102545
2024-02-16,58.52,59.87,60.65,57.12,6179914
2024-02-20,59.13,57.33,59.15,55.38,6227993
2024-02-21,55.21,55.42,57.58,54.5,4188952
2024-02-22,57.76,57.8,58.34,56.45,4504992
2024-02-23,58.07,57.39,59.07,57.09,3099008
2024-02-26,57.82,58.99,60.9,57.72,4403088
2024-02-27,59.91,60.63,61.35,59.68,4166060
2024-02-28,59.8,58.01,60.4,57.97,2882703
2024-02-29,58.5,59.72,60.06,57.4,15796580
2024-03-01,60.73,62.26,62.34,59.84,6075799
2024-03-04,62.5,61.87,63.49,61.6,4657779
2024-03-05,60.75,60.96,61.69,60.02,3761466
2024-03-06,62.53,62.62,63.84,61.12,4374053
2024-03-07,63.0,63.19,63.38,62.31,4284601
2024-03-08,64.04,63.42,65.67,62.54,3862427
2024-03-11,62.8,60.03,62.95,59.3,4416926
2024-03-12,61.15,61.11,61.35,59.92,3947512
2024-03-13,60.99,63.09,63.21,60.8,3591789
2024-03-14,63.43,63.19,64.31,62.5,3870947
2024-03-15,62.58,63.13,63.91,62.14,4651275
2024-03-18,63.75,68.15,68.82,63.59,7559290
2024-03-19,66.99,67.64,68.01,63.73,5961671
2024-03-20,68.18,70.52,71.07,67.28,3855287
2024-03-21,71.52,71.91,73.48,71.03,3400769
2024-03-22,72.0,71.23,72.31,70.26,6505125
2024-03-25,70.61,72.6,73.25,70.39,2617999
2024-03-26,72.8,71.09,74.55,70.57,5233182
2024-03-27,71.25,68.86,71.59,66.29,4049757
2024-03-28,68.85,69.22,70.04,68.54,2602080
2024-04-01,69.04,69.14,69.43,67.8,1735826
2024-04-02,67.4,69.72,69.76,67.2,3216475
2024-04-03,69.76,72.86,73.68,69.51,7316568
2024-04-04,73.1,72.78,75.83,72.49,4692253
2024-04-05,71.95,74.8,75.85,70.83,4151377
2024-04-08,77.18,78.05,78.29,75.05,3907399
2024-04-09,78.3,76.52,79.55,75.34,4198047
2024-04-10,74.71,76.34,77.53,74.32,2924223
2024-04-11,77.21,78.24,78.88,75.22,2777242
2024-04-12,77.5,75.57,78.04,74.49,2563815
2024-04-15,74.34,71.43,75.1,71.28,4107157
2024-04-16,70.81,72.32,73.29,70.45,2812054
2024-04-17,72.75,70.9,73.19,70.36,2394701
2024-04-18,71.47,68.86,71.83,68.31,3701838
2024-04-19,68.16,66.8,69.18,66.21,2614725
2024-04-22,67.3,67.85,68.25,65.7,2468579
2024-04-23,68.86,71.19,71.67,68.86,2526673
2024-04-24,71.8,69.7,72.98,68.46,3856520
2024-04-25,66.46,69.21,69.78,65.62,4564826
2024-04-26,70.09,73.82,74.59,69.97,5381253
2024-04-29,72.64,72.99,73.67,71.53,3820203
2024-04-30,72.36,70.57,73.28,70.51,3686963
2024-05-01,70.73,69.74,72.36,69.37,2645981
2024-05-02,71.26,72.47,73.05,70.68,2397917
2024-05-03,73.0,75.07,75.28,72.5,2974643
2024-05-06,75.8,76.85,77.56,75.3,2831224
2024-05-07,76.4,77.09,78.28,75.32,3398337
2024-05-08,75.73,74.0,76.63,73.62,6353585
2024-05-09,83.27,84.69,88.5,80.67,15126932
2024-05-10,85.74,86.43,87.96,84.81,4971021
2024-05-13,87.05,86.37,87.13,83.51,5023685
2024-05-14,81.12,83.44,83.89,80.01,7763198
2024-05-15,84.1,84.06,84.39,82.53,5308128
2024-05-16,83.84,83.23,84.5,82.71,4621392
2024-05-17,83.25,82.49,83.92,81.92,3337159
2024-05-20,82.5,84.57,85.15,81.43,6473645
2024-05-21,84.54,84.0,84.93,83.02,4187112
2024-05-22,83.9,80.0,84.59,79.5,4840484
2024-05-23,81.51,79.26,81.79,77.9,3662258
2024-05-24,79.43,82.15,82.28,78.38,5051632
2024-05-28,83.84,83.23,85.34,82.56,6187170
2024-05-29,82.13,83.89,84.38,81.45,2998217
2024-05-30,83.51,82.5,84.23,82.09,3246540
2024-05-31,82.99,81.48,83.1,78.22,6736002
2024-06-03,83.05,82.7,83.42,79.07,3779345
2024-06-04,83.0,81.64,85.45,79.86,4193399
2024-06-05,82.2,83.67,84.6,81.83,4259529
2024-06-06,83.67,83.23,87.08,82.2,4691460
2024-06-07,82.4,81.91,83.34,80.8,3008807
2024-06-10,81.18,80.38,83.0,79.08,3835552
2024-06-11,79.65,77.35,79.65,72.15,9550263
2024-06-12,79.15,76.54,79.35,73.63,6165466
2024-06-13,76.54,75.65,77.23,74.38,3139153
2024-06-14,75.41,77.52,77.67,74.9,2846332
2024-06-17,77.67,78.46,79.45,76.74,3794585
2024-06-18,78.53,80.84,81.1,78.46,4370271
2024-06-20,81.6,77.18,82.66,76.34,4373362
2024-06-21,77.0,78.58,78.72,75.13,4131590
2024-06-24,77.74,78.05,78.34,76.38,3496426
2024-06-25,78.44,81.21,81.76,78.44,4042492
2024-06-26,80.72,80.48,82.25,79.89,2896594
2024-06-27,80.58,83.12,83.56,80.02,3319344
2024-06-28,83.5,83.22,84.35,82.3,10782601
2024-07-01,85.12,84.82,85.26,82.42,3347368
2024-07-02,84.21,83.68,85.39,82.63,3466501
2024-07-03,83.77,86.96,87.0,83.7,2986846
2024-07-05,87.51,86.8,91.91,85.32,5769638
2024-07-08,87.32,85.18,87.92,83.12,2932270
2024-07-09,85.65,84.71,86.21,84.04,1996618
2024-07-10,85.0,84.36,85.28,82.07,2349665
2024-07-11,85.0,82.01,85.06,80.87,2383410
2024-07-12,82.22,84.86,85.24,81.83,1952367
2024-07-15,85.73,87.93,88.46,84.7,3154293
2024-07-16,88.62,86.53,89.26,86.19,2013982
2024-07-17,84.06,80.19,84.36,79.14,4584270
2024-07-18,81.99,80.93,82.26,78.8,2763491
2024-07-19,80.39,81.8,82.34,79.9,1654460
2024-07-22,83.25,83.24,83.88,81.91,1802280
2024-07-23,83.52,83.81,85.28,82.75,1425225
2024-07-24,81.49,78.68,82.86,78.55,2194673
2024-07-25,77.78,76.17,78.2,73.09,4132036
2024-07-26,78.82,77.53,78.82,76.57,1790395
2024-07-29,78.22,76.85,79.1,76.3,2339722
2024-07-30,76.99,74.83,78.39,74.12,3080529
2024-07-31,77.63,77.1,78.05,76.41,2799924
2024-08-01,78.89,75.09,81.63,74.61,3166051
2024-08-02,70.53,68.72,71.55,68.08,4367960
2024-08-05,62.09,67.14,68.72,60.67,3561747
2024-08-06,68.99,69.0,70.5,67.32,4258981
2024-08-07,72.0,67.19,73.0,66.97,7312921
2024-08-08,70.05,76.73,76.86,66.16,9465858
2024-08-09,76.5,77.38,78.15,72.81,4907309
2024-08-12,77.59,74.76,78.19,74.12,4957280
2024-08-13,76.34,79.79,80.17,75.89,3919450
2024-08-14,80.14,84.64,85.6,80.14,6277856
2024-08-15,86.01,85.58,86.94,84.19,3521056
2024-08-16,84.43,86.35,87.02,83.61,2782248
2024-08-19,86.0,85.82,86.3,84.17,1873259
2024-08-20,85.65,86.58,88.7,85.0,2363889
2024-08-21,86.59,90.89,91.1,86.29,3545904
2024-08-22,91.4,89.0,92.5,88.7,3145691
2024-08-23,90.11,90.2,91.3,88.32,1910210
2024-08-26,89.99,89.89,92.33,89.57,2055205
2024-08-27,88.99,90.3,90.89,87.63,1876301
2024-08-28,88.9,88.0,89.8,87.11,3219430
2024-08-29,88.29,91.61,93.69,88.29,4595149
2024-08-30,92.0,92.87,93.7,90.7,4581581
2024-09-03,92.62,88.13,92.81,87.78,3302478
2024-09-04,87.37,87.88,89.86,85.41,2575421
2024-09-05,86.56,88.19,89.42,86.56,2019206
2024-09-06,88.19,84.57,88.57,82.51,4251015
2024-09-09,85.89,86.31,88.2,84.73,3564603
2024-09-10,87.9,86.23,88.28,85.23,2828257
2024-09-11,87.55,97.57,98.1,87.12,7894736
2024-09-12,97.35,105.61,106.45,97.35,9799073
2024-09-13,106.85,112.58,112.88,105.94,8598380
2024-09-16,111.4,116.25,116.97,110.9,6967191
2024-09-17,118.16,123.64,124.77,117.26,9429335
2024-09-18,123.3,123.16,125.75,120.64,7244702
