Date,Open,High,Low,Close,Volume
2026-06-03,73.1,78.49,72.76,76.82,6969363
2026-06-02,69.0,74.3,68.84,73.85,1663886
2026-06-01,67.31,68.84,66.78,68.6,5021873
2026-05-29,63.73,68.18,63.21,67.94,8572818
2026-05-28,62.37,63.95,62.27,63.67,3850714
2026-05-27,59.59,62.17,59.59,61.9,3623231
2026-05-26,57.94,58.98,57.71,58.76,2752465
2026-05-22,56.32,57.73,55.87,57.36,2833468
2026-05-21,53.7,56.1,53.58,55.85,2448509
2026-05-20,53.08,54.65,52.27,54.57,2597881
2026-05-19,52.28,53.78,51.68,52.57,4442798
2026-05-18,54.21,55.02,52.94,53.01,2894536
2026-05-15,56.74,56.99,54.3,54.34,4684243
2026-05-14,55.05,57.78,54.83,57.56,4034872
2026-05-13,55.43,56.48,53.99,54.21,4280146
2026-05-12,55.71,56.44,54.83,54.95,2750165
2026-05-11,57.14,57.6,55.39,55.41,3798157
2026-05-08,57.93,58.27,57.01,57.94,5007547
2026-05-07,57.16,58.05,56.76,57.11,4418405
2026-05-06,55.46,57.71,55.46,56.8,4980228
2026-05-05,58.11,59.28,52.38,54.83,10166405
2026-05-04,60.13,60.84,59.24,59.53,3085582
2026-05-01,60.29,61.03,59.66,60.49,2473685
2026-04-30,58.61,60.49,58.52,60.26,2290003
2026-04-29,58.83,59.14,58.26,58.33,2347532
2026-04-28,59.95,60.19,58.73,59.12,2664553
2026-04-27,60.03,60.89,59.74,60.07,2199873
2026-04-24,60.44,61.1,59.65,60.1,1762458
2026-04-23,60.48,61.06,59.43,60.41,1942813
2026-04-22,61.18,61.67,60.03,60.86,2658473
2026-04-21,61.02,62.43,60.68,60.8,2190208
2026-04-20,59.24,60.89,59.23,60.83,2004362
2026-04-17,59.45,61.62,59.45,59.62,3501103
2026-04-16,58.61,59.22,56.56,57.52,4062980
2026-04-15,58.92,59.47,57.54,58.46,2383238
2026-04-14,59.83,60.6,59.01,59.07,2919986
2026-04-13,58.94,59.65,58.28,59.36,2606493
2026-04-10,60.57,61.01,59.48,59.65,2365480
2026-04-09,60.35,60.88,59.26,60.12,2679356
2026-04-08,61.42,62.59,60.27,60.73,3082316
2026-04-07,59.84,60.03,57.76,58.22,3040180
2026-04-06,60.64,60.95,59.74,60.36,1758867
2026-04-02,60.8,62.17,59.16,60.99,4050235
2026-04-01,60.16,62.34,59.66,62.09,4785299
2026-03-31,57.37,59.5,56.99,58.82,2324295
2026-03-30,57.57,57.57,55.59,56.45,2587527
2026-03-27,59.24,59.54,56.72,56.79,2758502
2026-03-26,59.33,60.73,59.3,60.1,1659038
2026-03-25,60.27,61.14,59.76,60.05,1937579
2026-03-24,59.37,61.11,59.32,60.08,2135253
2026-03-23,59.5,60.46,58.88,60.13,1886901
2026-03-20,58.52,58.65,57.16,57.69,7502249
2026-03-19,58.48,59.3,57.86,58.59,2489278
2026-03-18,59.86,60.92,59.35,59.41,1873454
2026-03-17,61.39,61.87,60.43,61.01,2011924
2026-03-16,59.94,61.36,59.71,60.63,2685222
2026-03-13,59.92,60.3,59.18,59.72,2163833
2026-03-12,59.89,60.54,58.68,59.36,2914457
2026-03-11,60.57,61.8,59.38,59.57,2240693
2026-03-10,62.0,62.0,60.72,61.03,2345614
2026-03-09,60.14,62.09,59.07,61.71,2812128
2026-03-06,61.14,62.1,59.7,61.58,2378193
2026-03-05,61.66,62.47,60.4,61.17,2119181
2026-03-04,61.11,62.49,60.79,62.17,2727391
2026-03-03,59.37,60.7,58.55,60.48,2087987
2026-03-02,60.88,61.87,59.81,61.39,1999265
2026-02-27,64.18,64.44,62.1,62.3,3472313
2026-02-26,65.29,66.31,63.96,65.26,1812279
2026-02-25,65.99,66.18,64.29,64.75,1406493
2026-02-24,65.45,67.14,64.71,65.81,2193141
2026-02-23,67.01,67.08,64.77,65.12,1810122
2026-02-20,68.09,68.46,66.76,67.4,1826383
2026-02-19,69.8,69.8,67.11,68.16,1388169
2026-02-18,70.05,71.44,69.78,71.0,1315730
2026-02-17,72.0,72.64,69.17,70.11,1723127
2026-02-13,70.42,72.7,70.28,72.17,2458961
2026-02-12,71.47,73.25,69.72,70.31,2670910
2026-02-11,72.41,73.53,70.11,70.95,2603949
2026-02-10,70.67,72.28,70.62,72.13,1650021
2026-02-09,69.78,71.39,69.56,70.62,1819364
2026-02-06,68.01,69.9,67.69,69.78,1069264
2026-02-05,68.5,68.96,67.35,67.53,1910492
2026-02-04,67.34,70.38,66.78,68.62,2439910
2026-02-03,67.37,68.6,65.17,66.24,4162000
2026-02-02,63.2,66.92,63.2,66.06,3325301
2026-01-30,64.77,65.15,63.21,64.17,3350523
2026-01-29,66.26,67.39,65.47,66.78,2116954
2026-01-28,66.05,66.87,65.73,65.91,2606062
2026-01-27,66.29,66.58,65.16,66.08,1615592
2026-01-26,64.77,65.33,64.36,65.26,1275847
2026-01-23,65.37,65.98,64.41,64.78,1507858
2026-01-22,68.2,69.28,65.54,65.68,1957616
2026-01-21,66.06,68.72,65.79,68.0,3075893
2026-01-20,65.45,66.18,65.13,65.37,2859754
2026-01-16,70.0,70.32,65.61,66.59,4573273
