Date,Open,Last,High,Low,Volume
2024-01-29,110.149,111.686,112.013,109.522,1646813
2024-01-30,109.963,107.057,110.149,107.013,1791946
2024-01-31,107.79,106.792,110.458,105.22,1513009
2024-02-01,106.439,108.179,108.232,103.727,1323422
2024-02-02,105.723,107.287,107.773,104.054,1853428
2024-02-05,105.255,104.239,105.52,103.815,1316266
2024-02-06,103.992,103.904,105.573,103.586,1501887
2024-02-07,104.231,103.542,104.672,102.464,1097933
2024-02-08,103.144,104.142,105.017,102.888,1028089
2024-02-09,103.55,102.641,104.39,101.404,1259181
2024-02-12,103.25,104.186,105.282,103.25,1251448
2024-02-13,100.618,99.611,100.706,98.215,1279465
2024-02-14,100.521,100.114,101.157,99.452,1304264
2024-02-15,101.404,105.45,105.511,101.404,933874
2024-02-16,103.312,105.361,105.918,103.056,882712
2024-02-20,104.275,104.964,105.388,103.851,899318
2024-02-21,104.937,107.252,107.384,104.284,1009557
2024-02-22,107.437,106.942,107.994,105.953,1290109
2024-02-23,106.96,107.702,108.824,106.633,803623
2024-02-26,107.322,105.211,107.437,104.619,769151
2024-02-27,106.448,107.499,107.852,106.086,939998
2024-02-28,106.465,107.234,109.645,106.368,1358329
2024-02-29,108.912,110.175,111.862,108.259,1851251
2024-03-01,109.451,109.769,109.893,107.543,948515
2024-03-04,109.76,111.306,111.933,108.011,1043580
2024-03-05,110.449,109.636,111.341,109.265,879548
2024-03-06,110.917,109.177,111.006,108.188,873058
2024-03-07,109.972,109.663,110.617,109.221,646355
2024-03-08,111.173,112.331,113.055,111.103,813035
2024-03-11,112.18,112.066,113.391,111.898,942177
2024-03-12,111.748,111.253,112.384,109.76,627514
2024-03-13,111.412,110.582,112.551,110.219,767406
2024-03-14,109.928,109.08,110.158,107.154,1261850
2024-03-15,107.746,109.31,110.308,107.746,2083748
2024-03-18,109.619,109.036,110.264,108.621,903936
2024-03-19,108.753,109.098,109.813,107.941,630431
2024-03-20,108.568,111.438,112.189,108.471,916531
2024-03-21,112.366,113.585,114.61,111.703,959081
2024-03-22,113.859,110.882,114.15,110.299,858159
2024-03-25,111.368,111.712,112.622,111.368,1235179
2024-03-26,112.242,109.698,112.242,109.566,1046593
2024-03-27,111.016,113.943,113.97,110.606,1162687
2024-03-28,114.63,115.041,115.701,114.55,812340
2024-04-01,115.425,111.998,115.425,111.757,616226
2024-04-02,110.597,110.632,111.266,109.49,722990
2024-04-03,110.499,110.213,110.74,109.187,614165
2024-04-04,111.712,109.33,112.408,109.124,654371
2024-04-05,108.232,111.177,111.391,107.982,551084
2024-04-08,111.998,113.078,113.247,111.864,716824
2024-04-09,113.56,115.657,115.844,113.542,724844
2024-04-10,111.168,109.553,111.293,108.625,689829
2024-04-11,110.508,110.57,111.284,108.767,691619
2024-04-12,110.302,108.732,110.32,108.196,535410
2024-04-15,110.222,106.358,110.525,105.68,572877
2024-04-16,105.751,104.403,105.751,103.663,778107
2024-04-17,104.671,103.922,105.626,103.886,611491
2024-04-18,104.591,103.975,104.841,102.324,1137258
2024-04-19,104.609,103.243,105.706,102.681,951586
2024-04-22,103.841,105.813,106.072,103.27,1050274
2024-04-23,108.241,106.634,109.945,106.456,1239757
2024-04-24,105.439,106.777,106.938,104.314,879340
2024-04-25,104.823,104.68,105.519,103.065,1382787
2024-04-26,104.885,103.734,106.117,103.69,888255
2024-04-29,105.296,106.331,106.349,104.725,704901
2024-04-30,105.224,103.404,105.876,103.297,1054156
2024-05-01,103.19,104.225,107.099,102.628,770095
2024-05-02,105.626,105.456,105.626,103.672,815876
2024-05-03,107.893,107.545,109.142,106.581,706001
2024-05-06,108.767,106.974,108.946,106.411,510291
2024-05-07,108.25,106.831,108.482,106.34,663619
2024-05-08,105.903,105.394,106.162,104.93,515263
2024-05-09,105.867,107.572,108.214,105.733,428590
2024-05-10,108.178,108.509,108.901,107.679,551685
2024-05-13,109.365,107.732,109.446,107.116,407308
2024-05-14,109.098,110.677,110.954,109.08,690535
2024-05-15,113.167,111.703,113.488,111.516,745504
2024-05-16,111.703,110.713,112.185,110.659,771626
2024-05-17,111.186,110.811,111.239,109.838,486598
2024-05-20,110.811,110.4,111.061,110.168,380779
2024-05-21,109.803,110.204,110.891,109.624,484427
2024-05-22,109.874,109.571,111.061,108.999,573690
2024-05-23,108.99,105.831,109.437,105.421,702957
2024-05-24,106.385,105.662,107.09,105.492,486163
2024-05-28,106.376,104.386,107.09,104.287,754082
2024-05-29,102.476,102.851,103.065,101.539,684135
2024-05-30,103.788,103.788,104.6,103.127,839539
2024-05-31,104.689,106.197,106.26,103.814,2160642
2024-06-03,106.661,105.01,106.661,104.528,1318247
2024-06-04,104.439,104.868,106.072,104.439,888118
2024-06-05,104.992,103.806,105.073,103.368,782570
2024-06-06,102.788,103.886,104.403,102.226,703386
2024-06-07,101.824,102.172,103.252,100.557,987697
2024-06-10,101.601,101.664,102.726,100.637,781893
2024-06-11,101.289,101.342,102.253,101.218,859066
2024-06-12,104.805,103.279,106.492,102.904,928318
2024-06-13,103.609,104.484,105.483,102.645,616589
2024-06-14,103.707,103.806,104.76,103.19,495543
2024-06-17,103.252,102.779,103.877,102.351,780285
2024-06-18,102.958,103.225,103.734,102.297,667443
2024-06-20,102.815,102.931,103.716,102.422,758201
2024-06-21,103.225,104.02,104.109,102.797,1936393
2024-06-24,104.412,105.332,105.921,103.904,840932
2024-06-25,105.01,103.761,105.724,102.628,702138
2024-06-26,102.958,103.234,103.841,102.752,588545
2024-06-27,103.172,103.868,103.895,102.333,562497
2024-06-28,104.476,105.568,105.685,103.817,1097279
2024-07-01,104.954,104.521,106.218,103.609,742180
2024-07-02,104.918,105.649,105.757,104.386,731731
2024-07-03,105.839,105.676,107.147,105.676,373079
2024-07-05,105.794,105.415,106.552,104.999,534372
2024-07-08,105.685,105.279,106.308,104.557,429877
2024-07-09,104.981,104.729,105.333,103.889,599808
2024-07-10,105.135,105.541,105.595,104.169,640054
2024-07-11,108.239,112.662,112.896,107.851,1373446
2024-07-12,113.952,113.736,116.272,113.537,1566897
2024-07-15,113.763,114.674,114.99,113.014,674721
2024-07-16,115.956,115.153,116.254,114.792,687764
2024-07-17,114.837,116.497,116.606,114.71,726477
2024-07-18,115.875,114.007,117.454,113.88,702849
2024-07-19,114.088,113.005,114.214,112.066,918590
2024-07-22,113.176,113.573,114.052,112.192,931082
2024-07-23,111.922,109.575,113.086,107.689,1864646
2024-07-24,109.196,104.304,109.196,104.304,1568264
2024-07-25,103.934,104.702,105.487,103.456,1328450
2024-07-26,105.739,107.328,107.987,105.595,920099
2024-07-29,105.983,105.974,106.84,105.117,735131
2024-07-30,106.371,107.418,107.553,105.559,1094832
2024-07-31,107.337,105.857,108.375,105.721,1181433
2024-08-01,106.904,103.808,107.165,102.68,1180146
2024-08-02,102.689,102.31,103.492,100.433,1659539
2024-08-05,100.035,101.209,102.987,98.023,1271849
2024-08-06,101.326,103.989,105.839,101.173,1167197
2024-08-07,104.963,101.344,105.324,101.128,1037961
2024-08-08,101.353,102.238,102.743,101.019,655260
2024-08-09,102.689,102.572,102.851,101.425,442569
2024-08-12,102.147,100.712,102.445,100.216,814514
2024-08-13,101.75,102.581,102.924,100.694,685646
2024-08-14,102.978,102.202,103.573,102.111,527183
2024-08-15,102.617,103.826,104.683,101.913,762605
2024-08-16,103.655,103.51,104.277,102.887,851322
