Date,Open,Last,High,Low,Volume
2024-01-29,852.174,866.947,867.733,849.837,1034546
2024-01-30,858.53,852.616,862.144,847.293,895609
2024-01-31,845.927,854.375,868.303,844.199,1251446
2024-02-01,866.653,874.727,877.909,861.093,1040199
2024-02-02,863.627,874.845,877.192,863.48,896464
2024-02-05,871.181,883.91,887.235,866.754,950108
2024-02-06,884.166,890.157,891.012,876.345,1409497
2024-02-07,890.55,907.214,912.684,890.324,1492165
2024-02-08,902.65,907.913,912.625,896.079,1150985
2024-02-09,921.439,934.139,938.782,916.54,1588795
2024-02-12,924.361,914.081,931.069,912.251,1033552
2024-02-13,876.345,888.612,900.978,874.535,1297216
2024-02-14,899.886,909.388,910.677,898.528,1206429
2024-02-15,913.953,914.7,919.53,904.371,884296
2024-02-16,917.543,913.815,933.076,910.657,1161340
2024-02-20,903.643,894.76,905.001,883.881,1044138
2024-02-21,882.838,893.423,893.875,878.096,870746
2024-02-22,931.502,936.352,943.838,925.875,1780845
2024-02-23,936.775,918.055,939.018,917.602,878996
2024-02-26,926.18,932.161,936.224,920.957,671256
2024-02-27,937.483,926.043,942.166,925.049,807706
2024-02-28,923.751,924.203,928.138,919.875,519732
2024-02-29,924.203,936.185,936.942,923.141,777558
2024-03-01,936.086,974.806,975.307,934.798,1698220
2024-03-04,976.439,981.79,991.273,971.668,1432966
2024-03-05,973.596,953.065,975.888,943.081,1259548
2024-03-06,970.871,987.584,993.191,965.49,1304450
2024-03-07,999.133,1030.336,1039.141,998.297,1580298
2024-03-08,1021.965,978.14,1023.273,977.058,1638526
2024-03-11,963.552,946.996,965.057,941.91,1432110
2024-03-12,951.059,968.264,968.952,935.004,1165183
2024-03-13,967.152,953.006,967.152,943.445,851105
2024-03-14,952.819,944.153,955.653,935.083,876562
2024-03-15,939.234,924.902,939.234,916.619,1727397
2024-03-18,933.903,926.013,942.608,924.449,821446
2024-03-19,923.259,936.411,941.015,912.89,817593
2024-03-20,940.503,955.112,958.436,931.473,838613
2024-03-21,988.646,974.658,989.286,971.992,1112386
2024-03-22,957.856,964.004,974.943,956.735,692811
2024-03-25,963.188,962.991,976.124,960.561,860868
2024-03-26,970.674,955.485,973.281,955.023,705963
2024-03-27,962.844,958.151,963.257,948.373,572349
2024-03-28,953.764,954.669,956.046,945.992,685856
2024-04-01,963.808,976.783,1006.009,963.808,1108469
2024-04-02,952.367,950.97,957.984,941.536,964241
2024-04-03,950.154,964.309,970.408,946.435,892087
2024-04-04,975.838,937.887,980.57,937.867,1269667
2024-04-05,960.601,963.601,970.536,951.177,878362
2024-04-08,973.733,966.71,979.98,964.172,928955
2024-04-09,977.56,973.714,983.915,953.577,719577
2024-04-10,947.134,958.741,967.467,947.134,722837
2024-04-11,965.568,976.025,976.035,947.645,964745
2024-04-12,954.029,946.179,956.322,940.926,1031000
2024-04-15,969.375,939.274,972.622,935.614,1077502
2024-04-16,942.697,961.014,962.676,941.615,1506517
2024-04-17,927.459,892.832,927.479,881.254,3774130
2024-04-18,886.448,874.555,888.888,871.968,1653731
2024-04-19,872.991,845.545,881.618,841.659,2486841
2024-04-22,855.835,857.851,865.672,848.417,1143919
2024-04-23,864.983,886.891,893.275,860.753,991302
2024-04-24,898.184,877.791,900.102,867.61,860552
2024-04-25,860.753,887.815,896.226,856.818,1114156
2024-04-26,899.035,905.638,912.95,898.325,865078
2024-04-29,898.621,896.571,900.001,888.007,650763
2024-04-30,883.099,859.812,894.019,858.58,1093044
2024-05-01,858.472,840.467,867.814,836.821,1458201
2024-05-02,862.306,857.654,865.262,849.839,876821
2024-05-03,881.611,888.549,891.831,875.777,1038174
2024-05-06,896.009,903.617,905.036,891.9,641954
2024-05-07,911.413,895.044,912.94,894.472,655004
2024-05-08,891.318,898.246,903.43,890.215,555748
2024-05-09,901.43,900.286,904.849,894.216,755992
2024-05-10,911.58,916.793,925.377,911.58,814077
2024-05-13,914.221,903.933,915.522,900.996,745777
2024-05-14,899.656,901.755,903.085,892.738,592139
2024-05-15,905.322,923.82,923.82,897.438,882999
2024-05-16,922.913,906.199,925.19,905.608,811169
2024-05-17,907.441,911.551,917.464,902.918,703789
2024-05-20,912.349,925.811,932.985,912.349,669308
2024-05-21,907.579,911.846,920.036,902.06,746425
2024-05-22,917.7,908.949,919.957,900.237,668645
2024-05-23,953.542,920.696,955.425,913.955,1357183
2024-05-24,924.648,942.347,944.663,920.183,685071
2024-05-28,958.687,977.46,978.475,951.246,1183953
2024-05-29,947.6,943.983,951.493,942.071,901954
2024-05-30,943.116,952.104,955.09,938.977,847037
2024-05-31,957.711,946.417,965.782,919.395,1040377
2024-06-03,955.277,951.473,958.155,934.631,752998
2024-06-04,948.28,937.016,949.729,929.319,765369
2024-06-05,1004.561,1026.232,1026.449,994.263,2586499
2024-06-06,1032.796,1037.339,1039.142,1018.003,1370689
2024-06-07,1025.158,1013.5,1028.597,1011.627,936155
2024-06-10,1001.398,1026.597,1030.943,999.21,1039636
2024-06-11,1012.583,1020.98,1023.838,1004.896,789544
2024-06-12,1043.784,1053.353,1061.592,1040.315,978383
2024-06-13,1038.443,1037.437,1045.607,1023.68,1106337
2024-06-14,1006.641,1012.987,1016.042,1001.851,1047213
2024-06-17,1029.041,1037.201,1039.083,1017.688,844443
2024-06-18,1027.08,1045.982,1053.905,1026.883,1025328
2024-06-20,1042.877,1035.496,1047.726,1029.859,1150337
2024-06-21,1023.118,1021.561,1023.926,1008.365,1626737
2024-06-24,1018.181,987.473,1019.698,987.473,1026966
2024-06-25,990.577,1008.493,1008.641,988.094,801092
2024-06-26,999.289,1001.851,1008.75,989.335,885119
2024-06-27,1014.505,1013.096,1026.597,1009.775,784296
2024-06-28,1013.086,1007.892,1033.594,1000.718,837765
2024-07-01,1020.526,1018.496,1023.049,1001.063,790961
2024-07-02,1011.874,1032.687,1032.786,1010.977,748733
2024-07-03,1043.035,1055.866,1058.714,1040.098,779820
2024-07-05,1064.085,1058.891,1067.081,1053.826,771089
2024-07-08,1067.436,1061.759,1072.008,1060.222,882141
2024-07-09,1064.036,1044.592,1065.829,1043.981,926706
2024-07-10,1053.678,1083.006,1084.613,1049.549,925424
2024-07-11,1093.876,1047.085,1093.985,1046.159,1152209
2024-07-12,1057.196,1069.515,1084.652,1050.83,1053757
2024-07-15,1081.518,1048.199,1082.8,1044.986,1365618
2024-07-16,1058.931,1052.693,1061.424,1045.351,1197588
2024-07-17,964.383,918.538,965.772,915.226,5188361
2024-07-18,939.667,910.742,943.323,897.783,2242199
2024-07-19,901.952,882.38,906.988,878.724,2133629
2024-07-22,914.724,927.604,928.895,908.634,1926830
2024-07-23,921.81,919.277,926.767,915.7,1056217
2024-07-24,904.839,860.088,906.327,858.127,1911957
2024-07-25,860.335,850.115,873.511,837.846,2075913
2024-07-26,880.951,875.501,882.577,869.431,1681620
2024-07-29,875.523,859.296,886.391,857.785,1231493
2024-07-30,880.962,849.119,882.383,844.934,1682082
2024-07-31,913.555,924.59,930.059,905.185,2406778
2024-08-01,911.107,872.285,915.766,860.539,1808505
2024-08-02,813.545,798.887,817.878,785.601,3624112
2024-08-05,764.981,809.745,828.035,757.489,2815627
2024-08-06,829.496,832.112,848.892,824.728,1995749
2024-08-07,865.662,825.538,867.034,823.84,1521637
2024-08-08,849.839,865.317,867.271,838.281,1447676
2024-08-09,844.174,849.425,854.113,837.57,950463
2024-08-12,850.609,841.834,855.762,841.795,1151189
2024-08-13,849.672,858.249,861.388,845.25,1526599
2024-08-14,876.115,868.209,878.879,859.207,887660
2024-08-15,888.75,916.25,918.777,884.713,1459010
2024-08-16,904.316,906.784,910.534,901.226,804217
2024-08-19,905.283,921.086,921.639,897.693,1024623
2024-08-20,923.88,914.206,924.275,905.491,921260
2024-08-21,921.649,931.411,932.832,919.625,646457
2024-08-22,930.809,895.975,931.786,892.896,1092616
2024-08-23,901.108,895.531,910.209,891.454,1396044
2024-08-26,891.859,871.891,892.945,871.042,1251479
2024-08-27,868.623,878.376,884.18,863.175,661612
2024-08-28,879.185,876.648,885.858,869.038,727340
2024-08-29,894.347,876.234,902.707,871.575,1173798
2024-08-30,888.414,892.185,895.205,877.448,991244
2024-09-03,881.061,834.461,881.189,830.769,1870843
2024-09-04,794.593,800.989,812.084,788.898,2350942
2024-09-05,785.403,785.315,797.604,780.28,1671952
2024-09-06,782.551,743.058,782.689,741.163,3286765
2024-09-09,754.202,740.126,754.399,728.607,2539926
2024-09-10,740.215,741.666,742.278,724.758,1524027
2024-09-11,760.075,789.796,791.237,748.921,2559122
2024-09-12,791.03,789.825,798.235,783.459,1318852
2024-09-13,793.724,805.806,808.037,793.478,1069219
2024-09-16,798.502,792.658,798.768,781.899,1150141
2024-09-17,798.245,795.274,801.275,786.242,734551
2024-09-18,789.746,777.655,800.427,776.204,1249010
2024-09-19,821.905,817.454,828.795,811.59,1644266
2024-09-20,799.094,784.999,799.716,779.451,2748626
2024-09-23,797.169,793.112,797.169,787.693,965578
2024-09-24,799.084,803.477,805.944,790.645,881228
2024-09-25,805.796,807.603,816.516,803.477,878178
2024-09-26,849.208,841.42,850.856,828.844,1566429
2024-09-27,841.43,830.661,843.108,827.364,1038367
2024-09-30,825.735,822.478,831.273,809.103,995071
2024-10-01,828.825,811.719,830.394,801.404,1244096
2024-10-02,810.189,821.431,828.42,805.944,898367
2024-10-03,815.233,821.649,826.683,813.14,651879
2024-10-04,825.242,822.231,828.489,815.282,862835
2024-10-07,801.226,806.685,812.36,800.525,898156
2024-10-08,811.867,813.604,820.089,809.468,1265934
2024-10-09,819.102,834.964,835.181,815.687,1004859
2024-10-10,814.334,823.188,824.827,810.88,876274
2024-10-11,819.191,829.822,834.076,817.7,964926
2024-10-14,841.499,860.993,861.961,841.153,1769183
2024-10-15,856.009,720.987,862.356,708.224,9350715
2024-10-16,701.779,674.684,708.204,668.514,10296204
2024-10-17,683.686,691.543,694.78,668.366,7209119
2024-10-18,708.392,713.91,717.068,703.96,4537798
2024-10-21,714.64,704.868,715.479,699.627,2184820
2024-10-22,713.653,711.59,714.749,708.362,2066983
2024-10-23,704.819,699.459,707.05,691.049,1681361
2024-10-24,710.682,701.621,710.692,697.317,1854661
2024-10-25,706.734,702.499,713.9,702.035,1380123
2024-10-28,699.232,699.489,702.302,694.889,1182820
2024-10-29,699.99,707.309,708.101,695.985,1445456
2024-10-30,685.956,676.342,688.003,675.145,3085186
2024-10-31,675.501,665.186,675.521,659.914,2398265
2024-11-01,671.12,667.342,675.284,666.086,1801716
2024-11-04,668.647,663.811,671.001,663.475,1232509
2024-11-05,666.135,669.053,678.014,666.096,1282017
2024-11-06,661.229,654.187,665.67,647.6,3208584
2024-11-07,666.729,669.795,672.396,662.476,1758311
2024-11-08,662.664,662.139,663.89,654.642,1726789
2024-11-11,664.414,663.959,664.632,654.692,1520061
2024-11-12,665.275,661.853,669.132,655.572,1710979
2024-11-13,657.342,666.036,666.303,649.588,2453675
2024-11-14,697.953,685.372,704.204,683.958,3925296
2024-11-15,670.932,651.418,672.435,650.32,3063214
2024-11-18,643.941,657.946,661.536,640.904,2012643
2024-11-19,655.562,654.909,664.058,646.315,1640722
2024-11-20,649.341,651.22,651.27,638.382,1677808
2024-11-21,646.76,664.8,665.69,641.913,2859043
2024-11-22,660.488,665.512,667.411,658.925,1275596
2024-11-25,677.499,676.975,679.191,670.576,1511334
2024-11-26,672.149,664.612,674.384,659.528,1424053
2024-11-27,662.426,663.138,665.324,652.387,1231751
2024-11-29,671.436,679.092,691.989,671.11,1706533
