Date,Open,Last,High,Low,Volume
2024-01-29,55.021,55.069,55.089,54.393,1008058
2024-01-30,54.644,54.625,55.156,54.296,1266738
2024-01-31,54.886,53.572,54.944,53.504,1998422
2024-02-01,56.818,57.398,57.726,52.992,5448566
2024-02-02,56.818,57.465,57.823,55.118,2668247
2024-02-05,56.335,56.489,56.721,55.369,2812750
2024-02-06,55.842,55.311,56.403,54.683,4284221
2024-02-07,56.161,56.509,56.721,55.552,1748226
2024-02-08,56.596,57.137,57.552,56.364,1973324
2024-02-09,57.146,57.166,57.253,56.238,1703293
2024-02-12,57.349,58.47,58.605,57.195,1537842
2024-02-13,57.61,57.794,58.093,56.808,2172424
2024-02-14,58.799,59.9,60.46,58.634,3482589
2024-02-15,59.9,60.132,60.364,59.475,2256902
2024-02-16,59.842,59.987,60.557,59.484,1654161
2024-02-20,59.929,59.784,60.393,59.533,1689012
2024-02-21,59.784,59.581,59.784,58.934,1565003
2024-02-22,59.542,59.533,59.755,59.166,1788772
2024-02-23,59.929,60.76,60.808,59.881,1503499
2024-02-26,60.567,60.267,61.146,60.257,2107139
2024-02-27,60.596,60.489,61.397,60.19,1720485
2024-02-28,60.103,60.692,61.185,60.083,1563016
2024-02-29,60.984,62.05,62.515,60.984,3167267
2024-03-01,61.75,62.302,62.37,61.149,1594954
2024-03-04,63.194,62.535,63.485,62.36,2254261
2024-03-05,62.535,61.876,62.855,61.711,1423275
2024-03-06,62.215,62.089,62.496,61.672,1314309
2024-03-07,62.699,63.174,63.281,62.38,1957146
2024-03-08,63.145,63.262,63.727,63.048,1485472
2024-03-11,63.107,63.901,64.357,63.097,1698903
2024-03-12,63.969,63.485,64.202,62.855,1646065
2024-03-13,63.514,63.291,63.727,62.796,1286303
2024-03-14,62.942,62.68,63.126,62.176,1717098
2024-03-15,61.885,62.108,62.777,61.575,3474035
2024-03-18,62.69,62.787,63.455,62.593,2112209
2024-03-19,62.535,62.632,63.3,62.05,1642496
2024-03-20,62.409,63.242,63.562,62.409,1195427
2024-03-21,63.349,63.514,64.047,63.145,1270296
2024-03-22,63.775,64.182,64.26,63.407,1629869
2024-03-25,64.192,64.454,64.648,63.979,1301368
2024-03-26,64.57,64.415,64.677,64.153,1672495
2024-03-27,64.745,65.074,65.316,64.541,2044420
2024-03-28,65.161,65.287,65.762,65.006,1555886
2024-04-01,65.559,65.753,65.879,64.909,1278389
2024-04-02,65.287,65.345,65.433,64.357,1355988
2024-04-03,65.026,64.686,65.462,64.541,1428959
2024-04-04,64.163,63.959,64.967,63.707,2679184
2024-04-05,63.901,64.425,64.725,63.843,1159327
2024-04-08,64.638,64.56,65.026,64.415,1513832
2024-04-09,64.89,65.287,65.549,64.619,1446437
2024-04-10,63.678,64.715,64.754,63.669,1721032
2024-04-11,64.706,64.308,64.725,64.192,1237664
2024-04-12,63.669,63.504,64.144,63.184,1976649
2024-04-15,64.105,62.632,64.396,62.38,2016002
2024-04-16,62.515,61.808,62.554,61.604,2377198
2024-04-17,62.283,61.973,62.428,61.837,1530461
2024-04-18,62.273,62.37,62.806,61.934,1478676
2024-04-19,62.283,62.951,63.039,62.157,1513650
2024-04-22,63.165,63.417,63.901,62.661,1877040
2024-04-23,63.194,63.485,63.921,62.796,1297936
2024-04-24,63.252,63.184,63.572,62.564,1901847
2024-04-25,63.688,63.436,63.785,62.486,2233930
2024-04-26,64.454,67.652,68.573,64.337,4554059
2024-04-29,68.088,68.544,68.641,67.739,2588198
2024-04-30,68.195,67.429,69.125,67.294,3500554
2024-05-01,67.439,66.179,67.623,65.83,3401114
2024-05-02,66.877,65.898,67.022,65.704,2116919
2024-05-03,66.305,66.479,66.809,66.072,2208429
2024-05-06,66.741,66.78,67.449,66.431,1929325
2024-05-07,66.877,67.08,67.517,66.547,1768391
2024-05-08,66.819,67.739,67.953,66.625,2062242
2024-05-09,68.011,67.468,68.292,67.255,2017040
2024-05-10,67.633,67.032,67.662,66.731,1809967
2024-05-13,67.381,67.139,67.681,66.887,1717649
2024-05-14,67.565,67.875,68.001,67.119,1973878
2024-05-15,68.428,68.36,68.786,68.079,1677623
2024-05-16,68.36,68.059,68.621,68.021,1538012
2024-05-17,68.156,67.953,68.369,67.575,1111435
2024-05-20,67.914,67.933,68.554,67.594,1273853
2024-05-21,67.933,68.147,68.263,67.613,1141234
2024-05-22,67.478,67.962,68.079,67.255,1631245
2024-05-23,67.895,66.45,68.117,66.266,1593657
2024-05-24,66.857,66.761,67.003,65.917,1640199
2024-05-28,66.712,65.384,66.761,65.132,1877600
2024-05-29,64.9,64.493,65.278,64.405,2018334
2024-05-30,64.551,66.547,66.615,64.551,1904374
2024-05-31,66.441,67.294,67.381,66.324,3792760
2024-06-03,67.1,67.713,67.781,66.43,1940220
2024-06-04,67.159,67.168,67.343,66.469,1807779
2024-06-05,67.032,68.034,68.092,66.76,1534622
2024-06-06,67.946,67.839,68.111,67.091,1404511
2024-06-07,67.48,66.556,67.771,66.42,1533702
2024-06-10,66.187,66.488,66.508,65.584,1506111
2024-06-11,66.391,65.963,66.391,65.613,2217704
2024-06-12,66.595,65.263,66.925,64.981,2056372
2024-06-13,65.147,64.369,65.331,63.514,1809310
2024-06-14,64.029,64.165,64.32,63.387,1320262
2024-06-17,64.068,64.583,64.748,64.068,1616702
2024-06-18,64.67,60.52,65.098,60.15,5058794
2024-06-20,60.179,58.741,60.335,57.467,7354616
2024-06-21,59.12,58.964,59.655,58.605,4669041
2024-06-24,58.994,59.859,60.141,58.614,2439647
2024-06-25,60.218,59.684,60.85,59.071,2406446
2024-06-26,59.518,58.964,60.053,58.867,1418146
2024-06-27,58.819,59.373,59.8,58.819,1891948
2024-06-28,59.489,58.342,59.781,57.905,4820883
2024-07-01,58.614,57.885,58.867,57.613,1507627
