Date,Open,Last,High,Low,Volume
2024-01-29,66.969,65.715,67.077,64.998,3007842
2024-01-30,65.115,65.697,66.163,64.156,2442198
2024-01-31,65.437,64.953,65.948,64.559,9978894
2024-02-01,65.276,67.417,67.435,64.873,2374540
2024-02-02,66.79,67.821,68.251,65.634,2399692
2024-02-05,66.853,66.495,66.934,65.822,1859737
2024-02-06,66.306,67.059,67.364,65.912,1683703
2024-02-07,67.462,67.632,67.749,66.503,2014542
2024-02-08,67.704,67.641,68.045,67.238,1877548
2024-02-09,67.65,67.74,67.812,66.987,1532922
2024-02-12,67.91,68.027,69.129,66.907,2578000
2024-02-13,66.36,65.321,66.907,64.9,2719718
2024-02-14,65.446,66.844,66.88,65.15,2427051
2024-02-15,67.014,66.889,67.946,66.745,1873775
2024-02-16,66.575,66.082,67.131,65.903,1919827
2024-02-20,65.607,65.652,65.975,64.909,3180286
2024-02-21,65.41,66.414,67.041,65.303,1821385
2024-02-22,66.79,67.391,67.74,66.656,1791427
2024-02-23,67.615,68.349,68.959,67.444,1896013
2024-02-26,68.161,68.502,69.156,67.901,2426458
2024-02-27,68.681,70.84,70.993,68.564,3756633
2024-02-28,71.163,71.396,71.96,70.831,4756157
2024-02-29,74.38,72.471,77.157,71.853,9020668
2024-03-01,72.856,69.819,73.277,69.46,4911827
2024-03-04,70.33,69.478,71.073,69.353,4453154
2024-03-05,68.072,68.063,68.555,67.292,5229209
2024-03-06,67.946,70.079,70.778,67.131,4223568
2024-03-07,70.249,71.252,71.333,69.98,2773306
2024-03-08,71.584,70.41,72.032,70.15,3295879
2024-03-11,70.437,68.457,70.437,68.322,2455982
2024-03-12,68.43,69.299,70.769,68.412,2825079
2024-03-13,69.64,69.46,71.037,69.335,2517646
2024-03-14,69.747,69.407,70.079,68.654,2685623
2024-03-15,68.905,69.908,70.061,68.717,8646933
2024-03-18,69.586,69.111,69.98,68.484,3451755
2024-03-19,68.672,70.097,70.858,68.448,3597175
2024-03-20,72.109,71.274,72.272,70.748,4083792
2024-03-21,71.256,72.952,73.215,71.256,4898114
2024-03-22,75.274,74.059,75.6,73.415,4950015
2024-03-25,73.841,73.206,74.712,73.07,2813711
2024-03-26,73.115,72.608,74.177,72.562,2106669
2024-03-27,72.871,74.249,74.993,72.871,3906812
2024-03-28,74.43,74.394,75.238,74.068,2571276
2024-04-01,74.458,74.041,75.192,74.013,1888154
2024-04-02,73.605,72.707,73.85,72.481,2020327
2024-04-03,72.671,71.927,73.007,71.746,2063047
2024-04-04,72.852,71.646,73.324,71.075,2252673
2024-04-05,71.537,72.199,72.417,71.465,1680105
2024-04-08,72.526,72.68,73.832,72.372,2444284
2024-04-09,73.197,74.866,75.564,73.161,3370902
2024-04-10,73.388,72.453,74.412,72.336,4456723
2024-04-11,72.889,72.562,73.315,71.673,2461609
2024-04-12,71.646,70.739,71.782,69.841,2710637
2024-04-15,71.51,69.189,72.172,68.971,3084696
2024-04-16,68.916,68.173,69.306,68.173,3936727
2024-04-17,68.699,69.134,69.551,68.327,2307495
2024-04-18,69.56,68.926,70.123,68.59,1659918
2024-04-19,68.844,69.062,69.687,68.844,1368396
2024-04-22,69.452,68.127,69.651,67.592,2504837
2024-04-23,68.136,68.055,68.926,67.42,2412086
2024-04-24,67.656,67.502,67.937,66.695,3495043
2024-04-25,66.676,68.236,68.282,66.277,1857831
2024-04-26,68.2,68.064,69.062,68.028,2125289
2024-04-29,68.309,68.019,68.753,67.737,1859109
2024-04-30,67.629,66.785,68.155,66.568,3431131
2024-05-01,66.74,65.325,66.885,64.999,2466362
2024-05-02,66.277,65.697,66.413,65.053,1894227
2024-05-03,66.386,67.538,67.728,66.314,2058529
2024-05-06,67.864,67.474,68.191,67.311,2066164
2024-05-07,67.538,66.259,68.409,66.114,2615337
2024-05-08,65.534,66.413,66.994,65.126,1699674
2024-05-09,66.259,67.257,67.293,66.259,1284035
2024-05-10,67.465,67.266,67.52,66.858,1415230
2024-05-13,67.728,67.747,68.726,67.502,2108493
2024-05-14,68.472,67.429,69.37,67.375,2443671
2024-05-15,68.082,66.513,68.454,66.432,2412304
2024-05-16,66.477,66.785,67.728,66.332,2208820
2024-05-17,66.477,66.522,66.767,65.788,1603929
2024-05-20,66.577,67.03,67.42,66.359,2399797
2024-05-21,66.939,65.905,67.03,65.67,2452591
2024-05-22,65.071,63.937,66.042,63.747,4399403
2024-05-23,64.055,63.148,64.064,62.84,2247724
2024-05-24,63.502,64.844,64.89,63.502,2983427
2024-05-28,65.18,65.797,66.586,65.026,3371285
2024-05-29,65.298,65.207,65.769,64.273,5764428
2024-05-30,70.694,73.959,74.213,70.195,13938443
2024-05-31,73.641,76.924,76.934,71.646,9814637
2024-06-03,77.732,78.847,79.555,77.169,9941070
2024-06-04,78.847,79.672,79.863,78.076,4427667
2024-06-05,79.808,80.661,80.679,78.521,3443226
2024-06-06,80.189,79.954,80.67,79.727,2883789
2024-06-07,79.618,79.736,80.715,79.4,2380483
2024-06-10,79.645,79.038,79.718,78.421,3247564
2024-06-11,78.702,79.001,79.137,77.895,2331928
2024-06-12,79.763,78.339,80.616,77.75,2674062
2024-06-13,78.339,79.564,79.872,77.614,2944188
2024-06-14,78.902,79.092,79.527,78.339,2857587
2024-06-17,81.795,82.765,83.3,79.872,5237664
2024-06-18,82.756,84.914,84.996,82.366,5575901
2024-06-20,84.554,84.618,84.948,83.766,3586551
2024-06-21,84.572,82.813,84.755,82.621,7165835
2024-06-24,83.143,81.833,83.363,81.806,2308871
2024-06-25,81.613,79.259,81.714,78.801,3942141
2024-06-26,79.002,77.189,79.131,76.877,3970071
2024-06-27,76.914,77.243,77.408,76.236,2392820
2024-06-28,77.042,77.216,78.04,76.785,3627853
2024-07-01,77.243,75.384,77.546,75.256,2571900
2024-07-02,74.706,75.274,75.311,73.772,3112437
2024-07-03,75.943,75.421,76.712,75.311,1471263
2024-07-05,75.393,75.53,75.833,74.779,3627790
2024-07-08,76.053,78.334,79.176,76.053,4763097
2024-07-09,78.636,79.167,79.525,78.297,3608898
2024-07-10,80.157,78.389,80.505,77.958,3623267
2024-07-11,79.112,78.792,80.605,78.398,2738426
2024-07-12,79.167,79.03,79.983,78.7,2423799
2024-07-15,78.59,78.324,79.176,78.05,2442128
2024-07-16,78.883,79.928,80.468,78.407,2590056
2024-07-17,79.076,81.677,82.199,78.902,3977372
2024-07-18,81.293,80.706,82.969,80.496,3610439
2024-07-19,80.844,81.164,81.549,80.358,3024049
2024-07-22,81.842,81.494,81.842,79.506,3756922
2024-07-23,81.036,81.485,81.97,80.651,2589706
2024-07-24,81.485,80.367,81.567,79.662,2586525
2024-07-25,80.092,80.019,81.064,79.809,1823888
2024-07-26,80.706,80.019,81.256,79.497,1734759
2024-07-29,80.083,78.306,80.376,77.656,2973776
2024-07-30,78.306,78.187,78.883,77.39,2326480
2024-07-31,78.233,79.259,79.992,77.72,5801862
2024-08-01,79.46,78.48,80.065,77.253,2521174
2024-08-02,76.95,75.448,77.097,75.017,2875392
2024-08-05,72.828,73.497,74.028,71.958,3048361
2024-08-06,73.827,75.118,75.53,73.121,2871855
2024-08-07,75.97,73.927,76.676,73.854,2055702
2024-08-08,74.266,75.631,75.732,74.138,1688543
2024-08-09,75.558,76.703,76.758,75.054,1679514
2024-08-12,75.851,74.385,76.263,74.257,2493329
2024-08-13,74.917,76.163,76.804,74.889,2111552
2024-08-14,76.84,75.952,77.097,75.613,1403600
2024-08-15,78.645,77.005,79.103,76.813,2300821
2024-08-16,76.978,78.086,78.187,76.785,1919730
2024-08-19,77.885,77.903,78.682,77.225,1464097
2024-08-20,77.537,77.628,78.077,77.134,1193675
2024-08-21,78.782,79.735,79.763,78.453,1902262
2024-08-22,79.14,78.553,79.47,78.141,2184244
2024-08-23,79.048,80.752,80.853,78.874,2067168
2024-08-26,81.009,81.43,82.144,80.422,3658613
2024-08-27,80.679,81.421,81.961,80.358,2838897
2024-08-28,80.23,80.422,81.402,79.992,4293729
2024-08-29,94.035,91.772,95.006,89.455,12091229
2024-08-30,92.313,91.974,93.531,90.563,5553076
2024-09-03,91.608,92.469,94.136,91.333,3501366
2024-09-04,92.203,91.571,92.551,90.746,3301861
2024-09-05,91.809,91.067,92.533,90.609,1965398
2024-09-06,90.966,90.233,92.001,89.794,2463218
2024-09-09,90.49,89.858,90.856,89.125,3263725
2024-09-10,89.519,88.282,89.583,87.412,3651746
2024-09-11,88.007,89.409,89.519,86.871,3063175
2024-09-12,89.18,89.546,90.16,88.392,1957358
2024-09-13,90.243,90.188,91.113,89.748,1942976
2024-09-16,90.462,90.499,90.82,88.942,2617815
2024-09-17,91.03,91.131,91.864,90.701,2128074
2024-09-18,91.15,90.756,91.937,90.517,2319243
2024-09-19,91.987,91.062,93.356,90.886,2897367
2024-09-20,90.979,89.989,91.099,89.499,3241760
2024-09-23,90.516,90.507,90.849,89.434,2079147
2024-09-24,90.84,91.543,91.561,90.498,2047249
2024-09-25,91.376,90.488,91.386,90.239,2147002
2024-09-26,91.154,92.486,92.653,90.858,2839739
2024-09-27,93.79,94.576,94.946,93.235,4033504
2024-09-30,94.854,95.538,95.705,94.558,2807317
2024-10-01,94.909,93.735,95.353,92.764,2375673
2024-10-02,93.06,92.218,93.799,91.857,1782655
2024-10-03,91.478,90.812,91.802,89.342,3608278
2024-10-04,91.756,92.125,93.448,91.247,2171504
2024-10-07,92.31,90.47,92.569,89.573,3012531
2024-10-08,90.377,90.942,91.386,90.257,1988663
2024-10-09,90.821,91.228,91.302,90.239,1689926
2024-10-10,90.535,90.192,90.942,89.462,1981153
2024-10-11,90.239,90.119,91.367,89.758,2137664
2024-10-14,89.36,89.628,89.758,88.278,2321480
2024-10-15,89.85,90.239,91.913,89.832,2369590
2024-10-16,90.858,91.265,92.301,90.507,2454411
2024-10-17,91.561,89.046,91.561,88.87,2392945
2024-10-18,89.258,88.916,89.499,88.759,1864675
2024-10-21,88.75,86.169,89.073,85.957,2323444
2024-10-22,85.827,86.724,86.817,84.958,2032925
2024-10-23,86.299,86.336,86.9,85.642,1500828
2024-10-24,86.558,87.048,87.15,86.012,1324498
2024-10-25,87.048,85.716,87.399,85.235,2023236
2024-10-28,86.243,84.662,86.909,84.634,2197779
2024-10-29,83.857,83.21,84.338,82.507,3407992
2024-10-30,83.219,83.617,84.458,82.84,2201720
2024-10-31,83.191,83.635,83.903,82.59,2670412
2024-11-01,83.728,84.07,84.68,83.441,1975668
2024-11-04,84.449,85.846,87.103,84.375,2585508
2024-11-05,84.865,85.864,85.864,84.236,2260635
2024-11-06,82.192,82.683,83.238,79.362,4943185
2024-11-07,83.21,83.339,84.662,82.997,2453515
2024-11-08,83.959,82.498,84.024,81.693,2631707
2024-11-11,82.461,82.581,83.293,81.564,2609217
2024-11-12,82.942,83.423,84.384,82.396,2773637
2024-11-13,83.931,83.885,84.819,83.423,2452045
2024-11-14,84.042,84.699,85.735,83.7,2669920
2024-11-15,84.875,85.698,85.984,84.847,3766490
2024-11-18,85.947,82.313,85.947,82.22,3501453
2024-11-19,81.147,80.481,81.305,79.631,2880064
2024-11-20,79.501,80.25,80.888,78.9,4051926
2024-11-21,80.278,80.01,81.277,79.64,3295315
