Date,Open,Last,High,Low,Volume
2024-01-29,176.412,177.555,177.652,176.032,1084042
2024-01-30,178.04,176.33,178.368,176.256,1485734
2024-01-31,177.637,178.271,180.018,176.771,2355785
2024-02-01,177.293,180.914,180.914,174.039,3146506
2024-02-02,182.646,177.062,183.863,176.704,1724345
2024-02-05,176.905,175.479,178.107,175.233,1688102
2024-02-06,175.77,178.174,179.675,175.524,1671165
2024-02-07,178.443,178.771,180.906,178.264,1612547
2024-02-08,178.017,179.69,181.914,178.017,1643615
2024-02-09,179.876,181.959,182.183,179.398,2095532
2024-02-12,181.668,181.675,183.639,180.137,1453397
2024-02-13,181.75,178.465,183.056,177.189,1908562
2024-02-14,178.421,178.122,178.824,176.868,1599887
2024-02-15,178.323,179.13,180.877,178.025,1226364
2024-02-16,179.018,179.727,182.131,177.868,1582401
2024-02-20,179.727,179.652,181.698,178.786,1193936
2024-02-21,179.705,183.131,183.273,179.234,1623811
2024-02-22,183.041,181.862,183.28,179.727,1305793
2024-02-23,182.108,183.788,184.086,181.324,992662
2024-02-26,183.542,180.444,183.818,180.317,939382
2024-02-27,179.764,180.085,181.72,179.54,919002
2024-02-28,179.854,178.525,180.906,178.294,829240
2024-02-29,178.846,175.838,178.846,175.472,1812904
2024-03-01,175.733,175.658,176.427,174.24,1735037
2024-03-04,174.957,175.912,176.569,174.345,1930672
2024-03-05,177.122,174.27,178.122,174.024,1335717
2024-03-06,174.203,175.875,176.674,173.979,1335318
2024-03-07,177.683,178.095,178.957,176.836,1854815
2024-03-08,178.088,179.804,180.981,177.158,1692698
2024-03-11,179.639,179.504,181.663,178.785,964208
2024-03-12,178.725,178.245,179.467,177.81,1219859
2024-03-13,178.478,178.98,180.966,177.878,961420
2024-03-14,178.597,177.758,179.669,176.274,1121634
2024-03-15,174.018,177.413,178.2,174.018,2686011
2024-03-18,178.088,178.17,179.474,177.196,1141814
2024-03-19,178.523,180.059,180.134,178.328,1070412
2024-03-20,179.774,178.283,180.329,177.136,784039
2024-03-21,179.1,181.093,181.363,178.148,1357056
2024-03-22,182.053,184.563,184.871,181.416,2230135
2024-03-25,183.889,181.131,184.196,180.291,1755480
2024-03-26,181.535,181.288,182.023,180.321,879021
