Date,Open,Last,High,Low,Volume
2024-01-29,137.969,139.198,139.6,136.962,219530
2024-01-30,138.106,139.248,140.044,138.055,185602
2024-01-31,138.263,137.38,139.191,137.13,186417
2024-02-01,140.701,139.377,140.987,137.546,196495
2024-02-02,138.613,139.492,140.355,137.538,197612
2024-02-05,138.694,141.984,142.128,138.475,230877
2024-02-06,142.375,142.765,143.362,141.217,277027
2024-02-07,142.967,145.271,146.702,142.819,284887
2024-02-08,146.88,150.413,150.591,145.938,376525
2024-02-09,144.921,147.2,147.345,143.472,398963
2024-02-12,147.158,148.455,149.896,146.866,247311
2024-02-13,146.684,146.786,148.36,145.004,264129
2024-02-14,146.535,146.422,147.671,144.725,253719
2024-02-15,146.983,146.906,147.378,145.385,297468
2024-02-16,147.044,145.581,147.122,145.273,209708
2024-02-20,145.274,144.955,146.103,144.473,254940
2024-02-21,145.57,146.532,146.989,145.296,229502
2024-02-22,148.998,152.833,153.46,147.854,473969
2024-02-23,144.855,137.321,144.855,136.748,958463
2024-02-26,139.413,137.078,140.464,136.993,433414
2024-02-27,137.727,136.231,138.408,135.653,393033
2024-02-28,136.231,136.917,137.376,135.521,339601
2024-02-29,137.311,135.867,137.675,135.188,480863
2024-03-01,136.404,137.077,137.547,135.292,348526
2024-03-04,135.591,135.576,137.175,135.227,270932
2024-03-05,135.208,134.356,136.042,133.785,287508
2024-03-06,134.463,134.269,135.03,133.131,236507
2024-03-07,134.834,136.572,136.821,133.868,270750
2024-03-08,136.541,136.883,137.838,135.506,305407
2024-03-11,136.572,137.553,139.252,136.521,235480
2024-03-12,138.32,137.445,139.151,137.348,188473
2024-03-13,137.445,137.445,138.219,136.747,232567
2024-03-14,139.409,137.899,139.409,137.456,347984
2024-03-15,137.378,134.067,137.484,133.872,771176
2024-03-18,136.13,135.518,136.267,134.551,230996
2024-03-19,135.643,137.68,137.845,135.286,187748
2024-03-20,137.841,140.527,142.275,137.445,430452
2024-03-21,141.972,143.25,143.736,140.848,304480
2024-03-22,142.353,142.343,143.183,141.547,205423
2024-03-25,141.703,142.43,142.543,140.174,166649
2024-03-26,143.296,143.771,144.864,142.966,274874
2024-03-27,144.433,144.258,145.748,143.577,209236
2024-03-28,144.906,142.467,145.089,142.095,274096
2024-04-01,143.376,140.15,143.526,139.33,227670
2024-04-02,138.175,140.04,140.786,138.175,257167
2024-04-03,141.333,142.644,143.183,141.192,255038
2024-04-04,143.65,138.306,144.179,138.164,322745
2024-04-05,138.623,141.447,141.784,138.623,258504
2024-04-08,140.975,141.418,142.717,140.946,165659
2024-04-09,141.765,140.645,141.93,138.656,158055
2024-04-10,140.295,140.827,142.053,139.288,180985
2024-04-11,140.466,142.859,143.603,140.117,174495
2024-04-12,140.562,138.694,141.316,137.504,240962
2024-04-15,140.707,136.881,142.363,136.698,207636
2024-04-16,136.288,136.179,137.346,135.513,223317
2024-04-17,136.384,135.242,137.186,134.719,170865
2024-04-18,136.267,134.702,136.862,134.466,156720
2024-04-19,135.894,134.1,136.589,133.721,218821
2024-04-22,135.133,135.992,137.151,134.481,202419
2024-04-23,136.197,138.78,139.287,136.197,152220
