Date,Open,Last,High,Low,Volume
2024-01-29,28.636,28.427,28.73,28.266,11490277
2024-01-30,27.233,27.802,27.982,26.854,23727219
2024-01-31,27.887,27.006,27.944,26.94,10664414
2024-02-01,27.157,27.129,27.366,26.883,11208701
2024-02-02,27.195,27.47,27.612,27.082,12945970
2024-02-05,27.176,27.29,27.423,26.835,11840641
2024-02-06,27.347,27.849,28.067,27.281,13403822
2024-02-07,27.925,27.593,28.133,27.565,9040030
2024-02-08,27.47,27.783,27.916,27.394,9029122
2024-02-09,27.773,27.537,27.916,27.319,7661366
2024-02-12,27.66,28.156,28.252,27.631,9720445
2024-02-13,28.089,27.688,28.204,27.393,9740465
2024-02-14,27.87,27.536,27.889,27.326,8118986
2024-02-15,27.593,27.87,28.051,27.479,10899064
2024-02-16,27.87,27.822,27.984,27.622,7398691
2024-02-20,27.545,27.727,27.765,27.354,8362390
2024-02-21,27.803,28.003,28.061,27.679,10578222
2024-02-22,27.956,27.87,28.128,27.688,9427397
2024-02-23,27.679,28.528,28.719,27.564,13039764
2024-02-26,28.376,28.481,29.006,28.318,9822929
2024-02-27,28.681,28.366,28.681,28.185,6600361
2024-02-28,28.252,28.137,28.395,27.86,6079000
2024-02-29,28.395,28.242,28.5,28.032,12879478
2024-03-01,28.242,28.595,28.757,28.166,6445680
2024-03-04,28.633,28.089,28.662,28.023,6157404
2024-03-05,28.099,28.796,28.815,27.965,8765066
2024-03-06,29.082,29.168,29.454,29.025,10371725
2024-03-07,29.244,29.426,29.645,29.187,9733016
2024-03-08,29.311,29.206,29.502,29.053,5548490
2024-03-11,29.273,29.874,29.96,29.13,6926989
2024-03-12,29.979,30.056,30.18,29.702,7136789
2024-03-13,30.256,30.304,30.495,29.951,6897851
2024-03-14,30.313,30.485,30.743,30.313,6947273
2024-03-15,30.475,30.848,30.972,30.466,15268368
2024-03-18,31.01,30.915,31.058,30.619,5899359
2024-03-19,30.934,31.707,31.802,30.934,6548198
2024-03-20,31.583,31.869,32.022,31.459,7429531
2024-03-21,31.926,32.222,32.575,31.85,6084540
2024-03-22,32.27,31.917,32.365,31.898,6636540
2024-03-25,32.108,31.774,32.232,31.726,10277000
2024-03-26,31.754,31.334,31.831,31.21,8057566
2024-03-27,31.191,31.583,31.707,31.191,9346582
2024-03-28,31.917,31.974,32.155,31.611,13250269
2024-04-01,32.146,31.917,32.146,31.735,6485226
2024-04-02,32.174,32.06,32.232,31.802,7867461
2024-04-03,32.251,32.337,32.594,32.174,7584250
2024-04-04,32.375,32.375,32.757,32.155,6014059
2024-04-05,32.337,32.747,33.043,32.155,5151303
2024-04-08,32.833,32.69,32.947,32.594,4433778
2024-04-09,32.814,32.633,32.938,32.461,3373022
2024-04-10,32.346,32.594,32.709,32.184,4281470
2024-04-11,32.709,32.442,32.728,32.003,3724177
2024-04-12,32.537,31.544,32.661,31.506,4841066
2024-04-15,31.716,30.972,31.869,30.857,7537414
2024-04-16,30.895,30.638,30.943,30.475,5852603
2024-04-17,30.724,30.561,31.067,30.504,5613693
2024-04-18,30.638,30.733,31.086,30.542,5714155
2024-04-19,30.771,31.115,31.296,30.657,7513518
2024-04-22,30.924,30.981,31.258,30.428,4991558
2024-04-23,30.762,31.497,31.64,30.647,7404320
2024-04-24,31.268,31.182,32.241,30.857,11446966
2024-04-25,31.468,31.783,31.926,31.144,8729851
2024-04-26,31.602,31.344,31.716,30.962,8318500
2024-04-29,31.42,31.707,31.716,31.191,5156899
2024-04-30,31.544,31.134,31.602,31.02,9583203
2024-05-01,31.163,30.437,31.239,30.304,4941651
2024-05-02,30.666,30.475,30.886,30.313,5191172
2024-05-03,30.572,30.668,30.812,30.322,3701570
2024-05-06,30.851,30.745,31.072,30.659,3131172
2024-05-07,30.64,30.88,30.995,30.62,7787168
2024-05-08,30.678,30.649,31.206,30.591,6416532
2024-05-09,30.784,31.495,31.504,30.774,3817110
2024-05-10,31.562,31.072,31.639,30.947,4484050
2024-05-13,31.35,31.139,31.495,30.985,4209916
2024-05-14,31.283,31.35,31.504,31.11,3282625
2024-05-15,31.322,31.639,31.648,30.62,6979219
2024-05-16,31.571,31.725,31.937,31.514,9975057
2024-05-17,31.764,32.148,32.234,31.543,5954624
2024-05-20,32.186,31.812,32.225,31.744,6124672
2024-05-21,31.773,31.725,32.215,31.696,4517850
2024-05-22,31.764,30.832,31.821,30.668,4717870
2024-05-23,30.851,30.563,31.091,30.534,4517107
2024-05-24,30.745,31.101,31.158,30.591,4698650
2024-05-28,31.11,31.139,31.408,30.947,4978074
2024-05-29,30.995,30.678,31.053,30.486,4699878
2024-05-30,30.62,31.206,31.254,30.601,5345139
2024-05-31,31.226,32.167,32.215,31.12,11234865
2024-06-03,32.167,30.889,32.206,30.62,7403174
2024-06-04,30.726,30.39,30.726,30.005,5407724
2024-06-05,30.495,30.505,30.678,30.313,4661443
2024-06-06,30.38,30.505,30.591,30.169,8449303
2024-06-07,30.476,30.399,30.601,30.284,6770490
2024-06-10,30.505,31.168,31.312,30.399,11739507
2024-06-11,30.86,30.976,31.024,30.505,7952656
2024-06-12,31.149,30.976,31.322,30.707,6306852
2024-06-13,31.014,30.39,31.014,30.063,4681340
2024-06-14,30.313,29.871,30.37,29.717,5243299
2024-06-17,29.794,30.774,30.87,29.717,5642073
2024-06-18,30.784,30.88,31.216,30.755,5903502
2024-06-20,30.909,31.677,31.754,30.86,5775013
2024-06-21,31.898,31.639,31.908,31.495,14462825
2024-06-24,31.86,33.061,33.176,31.821,6892141
2024-06-25,33.051,33.483,33.551,32.869,6346196
2024-06-26,33.474,33.118,33.483,32.945,5758137
2024-06-27,33.253,33.07,33.397,32.917,5117592
2024-06-28,33.387,33.791,33.916,33.272,10110746
2024-07-01,33.964,33.57,34.05,33.339,4998926
2024-07-02,33.724,33.33,33.916,33.205,4665427
2024-07-03,33.33,33.118,33.57,33.022,2796590
2024-07-05,33.099,32.878,33.282,32.609,3822131
