Date,Open,Last,High,Low,Volume
2024-01-29,44.524,44.749,44.758,44.372,11746625
2024-01-30,44.91,44.318,45.027,44.192,11605552
2024-01-31,44.605,43.851,44.883,43.824,18997583
2024-02-01,43.833,43.672,43.833,43.187,20416268
2024-02-02,44.21,43.708,44.874,43.142,27991627
2024-02-05,43.537,43.053,43.573,42.784,15535583
2024-02-06,43.026,44.201,44.847,42.694,22697982
2024-02-07,44.138,43.645,44.291,43.089,17973120
2024-02-08,43.466,43.708,43.762,43.169,13577868
2024-02-09,43.699,44.695,44.713,43.51,15413408
2024-02-12,44.704,44.641,44.91,44.156,14973578
2024-02-13,44.56,43.708,44.776,43.349,15828107
2024-02-14,43.806,43.869,44.004,43.474,10866859
2024-02-15,43.977,44.363,45.117,43.815,13425812
2024-02-16,44.246,44.74,44.749,43.905,13176540
2024-02-20,44.767,44.74,45.269,44.569,13778750
2024-02-21,44.802,45.682,45.7,44.453,12286920
2024-02-22,45.386,46.059,46.131,45.161,12862869
2024-02-23,46.122,46.355,46.588,45.52,11052457
2024-02-26,46.265,45.332,46.373,45.287,9690431
2024-02-27,45.377,45.323,45.511,45.0,8145286
2024-02-28,45.323,45.691,45.736,45.197,7968568
2024-02-29,45.727,45.538,45.915,45.117,14655689
2024-03-01,45.709,45.664,45.834,45.26,10892290
2024-03-04,46.014,45.691,46.839,45.511,19033412
2024-03-05,45.772,46.498,46.759,45.754,15110725
2024-03-06,46.965,47.898,48.284,46.884,21692324
2024-03-07,48.069,47.808,48.23,47.539,17233062
2024-03-08,47.988,48.266,48.688,47.853,17479616
2024-03-11,48.365,48.778,48.957,48.221,15646376
2024-03-12,48.751,48.813,48.993,48.293,14269120
2024-03-13,48.751,47.243,49.388,47.198,26855196
2024-03-14,47.171,47.1,47.27,46.489,14430168
2024-03-15,46.947,46.965,47.737,46.615,123585283
2024-03-18,47.18,46.292,47.288,46.238,19738671
2024-03-19,46.445,46.48,46.597,46.113,14593246
2024-03-20,46.328,46.552,46.803,46.005,10436323
2024-03-21,46.579,46.292,47.243,46.265,12625067
2024-03-22,46.346,46.597,47.064,46.229,11727720
2024-03-25,46.732,46.884,47.324,46.579,12348068
2024-03-26,47.01,47.153,47.243,46.696,9951952
2024-03-27,47.557,47.782,48.176,47.423,13077608
2024-03-28,47.907,48.661,48.885,47.907,14348196
2024-04-01,48.607,47.548,48.661,47.521,9520366
2024-04-02,47.647,47.324,47.871,47.135,10234303
2024-04-03,47.333,46.821,47.441,46.75,10434586
2024-04-04,47.148,46.658,47.284,46.477,10993708
2024-04-05,46.467,46.585,46.703,46.086,9095546
2024-04-08,46.549,46.386,46.567,46.168,12258519
2024-04-09,46.413,46.84,46.912,46.359,9487714
2024-04-10,46.331,45.65,46.558,45.641,11492824
2024-04-11,45.805,44.588,45.914,44.579,11781039
2024-04-12,44.516,43.826,44.561,43.808,12459210
2024-04-15,43.899,44.035,44.57,43.681,11943603
2024-04-16,43.98,43.808,44.116,43.79,11931277
2024-04-17,43.971,43.427,44.071,43.299,11763053
2024-04-18,43.508,43.844,43.944,43.227,10917581
2024-04-19,43.762,44.416,44.525,43.681,10303913
2024-04-22,44.48,44.607,44.988,44.361,7929534
2024-04-23,44.625,44.47,44.906,44.443,9153290
2024-04-24,44.48,44.352,44.525,44.071,16057141
2024-04-25,43.018,40.576,43.118,40.277,45069042
2024-04-26,40.558,40.712,41.184,40.249,21281927
2024-04-29,40.93,40.522,41.193,40.422,16429196
2024-04-30,40.304,39.886,40.631,39.877,17715997
2024-05-01,39.914,40.131,40.367,39.696,13247159
2024-05-02,40.268,39.668,40.322,39.333,15962587
2024-05-03,39.85,39.932,40.24,39.659,12104489
2024-05-06,40.086,39.85,40.504,39.741,9127651
2024-05-07,39.923,39.977,40.177,39.796,11026912
2024-05-08,39.941,39.641,40.14,39.541,11928339
2024-05-09,39.541,40.613,40.676,39.487,10776314
2024-05-10,40.622,40.794,40.821,40.213,8699595
2024-05-13,40.74,40.903,41.139,40.694,12642469
2024-05-14,41.193,40.585,41.502,40.422,14536549
2024-05-15,40.849,40.44,41.003,40.377,14179383
2024-05-16,40.367,40.041,40.422,39.65,15765711
2024-05-17,40.213,39.968,40.213,39.696,15787957
2024-05-20,39.941,39.36,39.986,39.314,10376852
2024-05-21,39.16,38.37,39.423,38.352,17576788
2024-05-22,38.325,38.434,39.024,38.044,16786014
2024-05-23,38.053,37.708,38.37,37.635,12437959
2024-05-24,37.59,37.435,37.835,37.281,17425597
2024-05-28,37.417,36.755,37.517,36.655,14674452
2024-05-29,36.564,36.537,36.945,36.255,16492496
2024-05-30,36.437,36.537,36.854,36.228,16114018
2024-05-31,36.537,37.299,37.363,36.428,29396257
2024-06-03,37.363,37.917,38.479,37.336,13678650
2024-06-04,37.898,37.898,38.198,37.572,12229996
2024-06-05,37.835,37.435,37.835,37.145,12401151
2024-06-06,37.09,37.109,37.481,36.945,10282791
2024-06-07,37.081,37.653,37.744,37.009,13665456
2024-06-10,37.581,38.643,38.779,37.544,13461843
2024-06-11,38.606,39.051,39.078,38.016,12637053
2024-06-12,39.115,38.497,39.206,38.325,9433173
2024-06-13,38.543,37.653,38.706,37.281,17023712
2024-06-14,37.59,37.399,37.998,36.991,14271103
2024-06-17,37.281,37.19,37.526,36.709,18782549
2024-06-18,37.236,37.045,37.435,36.392,18747217
2024-06-20,36.809,37.254,37.39,35.974,18639558
2024-06-21,37.454,38.062,38.08,37.281,35830690
2024-06-24,38.125,38.334,38.443,37.953,14845086
2024-06-25,38.143,38.298,38.461,37.744,16106625
2024-06-26,38.225,38.579,39.069,37.862,19824619
2024-06-27,38.516,37.681,38.579,37.653,17435028
2024-06-28,37.862,37.699,38.561,37.59,20542742
2024-07-01,37.808,37.49,38.37,37.345,18268393
2024-07-02,37.454,36.718,37.535,36.682,18280232
2024-07-03,36.691,36.364,36.909,36.337,9131450
2024-07-05,36.623,36.549,36.632,36.264,12824373
2024-07-08,36.531,36.854,36.964,36.402,13372696
2024-07-09,36.688,37.655,37.692,36.595,16370024
2024-07-10,37.664,37.895,37.941,37.268,9672737
2024-07-11,38.015,37.554,38.393,37.499,17883403
2024-07-12,37.849,37.287,37.913,37.194,16677463
2024-07-15,37.443,37.001,37.462,36.798,17858084
2024-07-16,37.001,37.969,38.033,36.946,13739604
2024-07-17,37.969,39.766,40.107,37.969,18639241
2024-07-18,39.111,39.065,40.77,39.047,19434512
2024-07-19,39.286,39.296,39.471,38.346,12839934
2024-07-22,39.102,39.323,39.609,39.047,10115504
2024-07-23,39.111,39.609,39.701,38.614,17688635
2024-07-24,39.858,41.157,41.268,39.858,20392818
2024-07-25,41.277,41.719,42.364,41.001,22050111
2024-07-26,44.484,46.493,46.641,43.986,36636434
2024-07-29,46.005,45.138,47.175,45.129,22280185
2024-07-30,45.212,45.203,45.443,44.097,19296533
2024-07-31,44.926,43.83,45.258,43.655,17727568
2024-08-01,44.051,44.392,44.705,43.516,12064440
2024-08-02,45.267,44.945,45.654,44.521,15601503
2024-08-05,44.125,43.857,44.917,43.507,17894963
2024-08-06,44.134,43.599,44.3,43.424,15663026
2024-08-07,43.71,42.853,44.687,42.761,16891933
2024-08-08,42.917,43.175,43.452,42.595,15216933
2024-08-09,43.166,43.056,43.94,42.853,14083504
2024-08-12,43.102,43.369,43.747,42.834,11942004
2024-08-13,43.756,45.212,45.304,43.756,19858177
2024-08-14,45.212,44.613,45.424,44.337,10667230
2024-08-15,45.433,45.258,45.645,44.668,13140572
2024-08-16,45.258,45.489,46.124,45.166,14161770
2024-08-19,45.507,45.433,46.069,45.341,9067438
