Date,Open,Last,High,Low,Volume
2024-01-29,60.91,61.31,61.34,60.78,5560158
2024-01-30,61.32,61.42,61.47,61.09,7257091
2024-01-31,64.0,63.26,64.49,62.64,13910767
2024-02-01,64.47,64.82,64.91,63.39,10526971
2024-02-02,65.0,64.37,65.0,64.11,10866046
2024-02-05,64.43,64.46,65.0,64.14,7197561
2024-02-06,64.68,64.79,64.83,64.08,5522155
2024-02-07,64.85,65.23,65.43,64.79,6807876
2024-02-08,65.05,65.02,65.14,64.39,6823693
2024-02-09,65.06,65.5,65.61,64.85,7161773
2024-02-12,65.39,64.99,65.44,64.56,4659272
2024-02-13,64.81,64.97,65.41,64.55,6911675
2024-02-14,65.29,65.95,66.0,65.01,5498113
2024-02-15,66.12,66.09,66.23,65.49,5718561
2024-02-16,66.35,65.82,66.86,65.76,7300469
2024-02-20,65.86,66.22,66.66,65.79,7580418
2024-02-21,66.15,65.75,66.35,65.34,6759860
2024-02-22,65.76,66.74,66.91,65.75,4872379
2024-02-23,66.89,67.0,67.32,66.65,4599932
2024-02-26,67.07,66.67,67.32,66.64,4368914
2024-02-27,66.26,66.43,66.71,66.15,4021009
2024-02-28,66.46,66.99,67.0,66.3,4740486
2024-02-29,66.83,66.21,66.83,66.0,9710756
2024-03-01,66.35,67.13,67.4,66.3,5664190
2024-03-04,67.11,67.43,67.45,66.8,7853647
2024-03-05,67.6,67.02,67.67,66.77,7039289
2024-03-06,67.1,67.42,67.44,66.84,6401048
2024-03-07,67.7,67.82,68.0,67.42,5283101
2024-03-08,67.78,67.66,68.07,67.33,6257814
2024-03-11,67.53,66.12,67.69,66.04,7995762
2024-03-12,66.05,67.49,67.68,66.04,6462540
2024-03-13,67.6,66.04,67.6,65.98,9236134
2024-03-14,65.94,66.86,66.91,65.52,7327729
2024-03-15,66.06,66.23,66.91,65.87,8850950
2024-03-18,66.19,67.24,67.43,66.16,5833683
2024-03-19,67.44,67.79,67.84,67.03,5417145
2024-03-20,67.72,67.44,67.83,67.04,3882507
2024-03-21,67.43,67.56,67.84,67.31,4165681
2024-03-22,67.21,67.62,67.87,66.91,4463370
2024-03-25,67.65,67.29,67.85,67.28,3321802
2024-03-26,67.37,67.94,68.13,67.37,5308830
2024-03-27,68.26,68.62,68.66,67.9,4069747
2024-03-28,68.72,68.49,68.92,68.33,6533625
2024-04-01,68.42,68.1,68.54,67.9,2970096
2024-04-02,67.69,67.45,67.92,67.09,4895374
2024-04-03,67.7,68.13,68.57,67.57,6590938
2024-04-04,68.7,67.75,69.2,67.69,5834144
2024-04-05,67.98,68.56,68.79,67.83,5342333
2024-04-08,68.52,68.69,68.8,68.03,4912625
2024-04-09,68.94,68.66,68.94,67.95,4917465
2024-04-10,68.02,68.65,68.8,67.94,5200008
2024-04-11,68.93,68.84,69.21,68.54,6439168
2024-04-12,68.27,68.07,68.53,67.76,4995155
2024-04-15,68.73,67.44,68.96,67.4,6527104
2024-04-16,67.71,68.12,68.67,67.37,6619233
2024-04-17,68.17,67.96,68.33,67.46,6177611
2024-04-18,68.05,67.42,68.2,67.22,5946798
2024-04-19,67.87,67.33,68.08,66.91,6966282
2024-04-22,67.63,68.02,68.61,66.8,7659790
2024-04-23,68.32,68.99,69.0,67.8,9075682
2024-04-24,73.14,72.91,74.39,72.55,15276470
2024-04-25,73.13,73.26,73.64,72.91,8172200
2024-04-26,72.88,73.17,73.61,72.64,8786294
2024-04-29,73.08,72.5,73.13,71.75,9463878
2024-04-30,72.34,71.87,72.79,71.74,8718137
2024-05-01,71.61,72.21,72.99,71.14,6021096
2024-05-02,72.47,72.03,72.56,70.97,7610487
2024-05-03,72.22,72.85,73.08,71.82,7452084
2024-05-06,73.04,72.55,73.27,72.42,4922960
2024-05-07,72.7,73.43,73.5,72.62,4151544
2024-05-08,73.51,72.72,73.66,72.61,5054088
2024-05-09,72.74,74.1,74.15,72.74,6134777
2024-05-10,74.2,73.69,74.3,73.54,3790579
