Date,Open,Last,High,Low,Volume
2024-01-29,271.649,270.097,271.856,264.977,406385
2024-01-30,269.948,271.243,271.441,265.856,365453
2024-01-31,270.262,268.658,271.282,266.916,341364
2024-02-01,268.46,272.005,273.539,266.668,255640
2024-02-02,271.995,272.322,274.064,269.846,255402
2024-02-05,272.896,270.797,272.896,266.817,262822
2024-02-06,271.183,273.361,273.856,269.747,187594
2024-02-07,275.005,272.46,277.559,272.074,233720
2024-02-08,272.529,282.182,282.588,272.529,310640
2024-02-09,281.747,283.588,283.757,278.787,213628
2024-02-12,282.163,282.232,285.113,278.876,216302
2024-02-13,282.321,277.866,284.252,277.202,215314
2024-02-14,279.618,280.925,281.45,277.262,219124
2024-02-15,281.737,283.281,286.44,281.737,211137
2024-02-16,283.786,284.796,287.242,282.747,174646
2024-02-20,286.855,285.608,288.261,283.608,234079
2024-02-21,286.202,285.311,287.44,284.905,145907
2024-02-22,285.974,291.627,291.984,285.252,201122
2024-02-23,293.39,296.766,297.677,292.667,223049
2024-02-26,296.3,296.063,298.221,295.112,210720
2024-02-27,297.271,297.924,299.172,296.043,203289
2024-02-28,298.211,301.092,301.092,297.875,179453
2024-02-29,302.409,301.459,302.409,299.241,229536
2024-03-01,300.607,303.795,304.577,300.558,193301
2024-03-04,305.151,310.577,311.824,305.023,269620
2024-03-05,311.141,288.38,311.854,287.895,635562
2024-03-06,291.994,297.914,301.409,291.994,374734
2024-03-07,300.508,304.092,304.795,299.983,321158
2024-03-08,304.458,299.172,304.934,298.182,214465
2024-03-11,298.439,295.786,300.627,294.221,437394
2024-03-12,293.053,291.103,299.033,288.41,604962
2024-03-13,290.677,292.964,293.241,287.113,307654
2024-03-14,293.578,294.558,296.934,290.885,292590
2024-03-15,294.291,302.389,304.151,294.132,685316
2024-03-18,303.201,302.132,305.577,300.924,337721
2024-03-19,303.419,305.844,306.914,303.369,188507
2024-03-20,306.617,312.012,312.25,304.894,262434
2024-03-21,313.052,314.943,315.101,310.785,296924
2024-03-22,315.28,313.438,316.794,313.27,303214
2024-03-25,315.369,316.2,316.814,312.894,455976
2024-03-26,317.2,313.309,321.17,312.349,429769
2024-03-27,316.062,315.517,317.507,312.973,267917
2024-03-28,316.022,315.28,317.279,313.626,245569
2024-04-01,314.775,312.23,317.002,311.102,287487
2024-04-02,310.824,309.389,311.894,305.785,315672
2024-04-03,309.389,312.369,313.527,306.636,281965
2024-04-04,313.28,308.082,314.765,305.943,198388
2024-04-05,307.25,313.517,313.933,307.25,192060
2024-04-08,311.567,310.112,315.309,309.141,278928
2024-04-09,308.815,309.082,309.527,303.637,389228
2024-04-10,307.587,309.22,309.498,303.399,306507
2024-04-11,309.577,306.706,309.577,303.746,358488
2024-04-12,304.696,306.973,307.933,303.548,236425
2024-04-15,309.834,309.666,312.379,308.062,511506
2024-04-16,309.864,309.438,312.844,308.369,262451
2024-04-17,312.874,306.092,314.29,303.637,358816
2024-04-18,307.953,306.32,309.191,305.627,328329
2024-04-19,307.003,307.32,309.102,303.953,307343
2024-04-22,307.735,310.359,313.379,306.429,291886
2024-04-23,310.052,310.201,311.755,308.735,255698
2024-04-24,309.399,312.498,314.062,309.399,237966
2024-04-25,310.824,314.616,318.606,310.824,251622
2024-04-26,314.577,316.844,319.408,314.577,229668
2024-04-29,317.784,320.052,321.16,316.408,308667
2024-04-30,318.664,316.81,320.329,315.274,386211
2024-05-01,315.789,315.898,318.684,315.452,277090
2024-05-02,316.919,313.836,317.227,311.576,408038
2024-05-03,314.134,311.199,314.947,310.951,244078
2024-05-06,312.894,320.399,320.637,312.191,234445
2024-05-07,320.399,327.001,327.933,320.399,345971
2024-05-08,327.08,325.058,330.064,321.033,253164
2024-05-09,326.208,330.025,330.352,325.435,258081
2024-05-10,330.253,334.684,334.853,328.25,231419
2024-05-13,335.883,337.311,337.638,334.694,259777
2024-05-14,338.768,334.833,341.029,333.693,401905
2024-05-15,332.989,334.753,336.934,332.81,319110
2024-05-16,335.071,331.036,336.151,329.807,317887
2024-05-17,331.105,332.572,332.85,329.242,209659
2024-05-20,332.553,331.571,336.478,330.382,205309
2024-05-21,331.73,333.256,333.96,329.975,182666
2024-05-22,332.989,334.159,337.916,331.254,213812
2024-05-23,334.218,335.259,338.104,331.581,199666
2024-05-24,336.796,340.166,341.623,334.515,185591
2024-05-28,339.036,334.396,339.294,332.136,243209
2024-05-29,332.097,322.501,334.278,322.282,273457
2024-05-30,323.085,324.81,326.218,320.409,178721
2024-05-31,326.02,328.905,329.479,323.997,237306
2024-06-03,327.745,328.102,331.105,324.83,215099
2024-06-04,325.891,319.903,327.903,311.17,396401
2024-06-05,323.73,323.294,325.683,318.297,345105
2024-06-06,323.056,324.047,324.156,320.181,247185
2024-06-07,323.859,325.782,331.016,323.859,235127
