Date,Open,Last,High,Low,Volume
2024-01-29,86.1,87.87,87.91,85.62,1478369
2024-01-30,86.74,86.69,87.66,86.49,965187
2024-01-31,86.62,86.31,88.3,86.02,1476206
2024-02-01,86.08,86.19,86.94,84.3,2176644
2024-02-02,84.88,85.0,85.59,83.36,1803048
2024-02-05,83.76,83.34,83.96,82.75,1279972
2024-02-06,83.26,84.19,84.66,83.22,1376187
2024-02-07,84.77,83.94,84.77,83.31,1639415
2024-02-08,83.98,85.96,86.1,83.42,1712251
2024-02-09,85.9,86.55,86.64,84.76,1392047
2024-02-12,86.86,88.28,88.42,86.59,1713136
2024-02-13,85.54,85.14,85.69,84.21,1613002
2024-02-14,86.08,86.89,87.37,85.09,1771029
2024-02-15,92.51,94.3,96.0,92.44,5906995
2024-02-16,93.66,93.13,94.68,92.49,2666884
2024-02-20,92.24,90.97,92.83,90.72,2486991
2024-02-21,90.92,90.46,91.3,89.72,1751029
2024-02-22,90.83,91.53,93.18,90.58,3786193
2024-02-23,91.38,90.11,91.51,89.84,1686323
2024-02-26,89.55,89.95,90.66,89.13,1340673
2024-02-27,90.83,90.88,91.36,90.19,1371403
2024-02-28,89.93,91.2,91.65,89.88,1222379
2024-02-29,92.42,91.89,92.64,90.86,3579032
2024-03-01,91.44,92.98,93.26,90.97,1561081
2024-03-04,92.36,92.16,92.64,91.27,1471091
2024-03-05,91.63,91.88,92.56,91.34,1453104
2024-03-06,94.17,92.3,94.89,91.61,1166841
2024-03-07,93.01,92.86,93.39,91.93,1539854
2024-03-08,93.9,94.37,95.47,93.79,1430167
2024-03-11,93.79,93.45,94.58,92.5,1461143
2024-03-12,93.36,93.74,93.79,92.37,1406187
2024-03-13,93.54,94.17,94.53,93.1,1570539
2024-03-14,93.86,93.28,94.1,92.25,1789746
2024-03-15,92.18,93.21,93.42,92.15,3306661
2024-03-18,93.98,93.05,94.2,92.85,1121395
2024-03-19,92.92,93.48,93.71,92.66,1476452
2024-03-20,92.98,95.64,95.91,92.98,1271760
2024-03-21,96.04,98.12,98.64,95.88,1845170
2024-03-22,98.29,96.59,98.65,96.4,1294065
2024-03-25,96.69,95.71,96.97,95.4,1251332
2024-03-26,96.14,95.9,96.91,95.52,1367031
2024-03-27,96.71,96.84,97.48,96.21,1350482
2024-03-28,97.31,97.24,98.06,97.18,1717152
2024-04-01,97.01,94.98,97.18,94.87,1183543
2024-04-02,93.9,94.35,94.51,93.11,1139260
2024-04-03,94.17,95.43,96.06,93.9,1308206
2024-04-04,97.0,95.46,97.35,95.08,810539
2024-04-05,94.99,96.14,96.53,94.87,1075401
2024-04-08,96.86,96.51,96.92,96.15,922997
2024-04-09,96.57,96.2,96.94,94.81,1300859
2024-04-10,93.66,91.33,93.66,90.68,1664531
2024-04-11,91.45,90.68,91.67,90.07,1629336
2024-04-12,89.86,89.39,90.22,88.88,1629849
2024-04-15,90.55,86.99,90.55,86.75,1913157
2024-04-16,86.53,85.5,86.79,84.71,2645488
2024-04-17,85.77,85.14,86.1,84.92,1399876
2024-04-18,85.23,85.14,86.06,84.69,1528131
2024-04-19,85.14,84.9,85.54,84.33,1780807
2024-04-22,85.42,86.04,86.43,84.64,1778889
2024-04-23,86.35,87.11,87.86,86.26,2304409
2024-04-24,87.49,86.77,87.49,85.95,988904
2024-04-25,85.78,87.02,87.1,84.82,1629765
2024-04-26,87.23,87.33,88.21,87.15,1083082
2024-04-29,88.24,87.94,88.75,87.43,1036280
