Date,Open,Last,High,Low,Volume
2024-01-29,64.482,64.453,64.557,63.853,1884167
2024-01-30,64.528,64.819,64.885,64.313,1085111
2024-01-31,65.26,64.594,65.494,64.332,1565734
2024-02-01,64.688,65.635,65.635,64.322,1095124
2024-02-02,65.082,65.194,65.635,64.866,1983489
2024-02-05,64.81,64.2,64.866,64.06,1312602
2024-02-06,64.219,63.553,64.453,63.338,2156261
2024-02-07,63.975,62.813,63.975,62.7,2298045
2024-02-08,63.01,62.728,63.225,62.456,1786434
2024-02-09,62.841,62.953,62.963,61.81,1806014
2024-02-12,62.541,62.982,63.047,62.4,1754692
2024-02-13,62.785,62.128,62.982,61.66,1961346
2024-02-14,62.213,62.035,62.213,61.716,1541852
2024-02-15,62.475,63.019,63.038,62.156,1648938
2024-02-16,62.982,63.375,63.525,62.456,1384623
2024-02-20,63.628,64.069,64.482,63.375,1529956
2024-02-21,64.519,64.36,64.547,63.835,1646030
2024-02-22,64.013,64.332,64.575,63.732,1537039
2024-02-23,63.038,64.275,64.463,62.578,2472889
2024-02-26,64.294,67.21,67.228,64.294,2015073
2024-02-27,66.863,66.338,67.163,65.897,1684817
2024-02-28,66.066,65.25,66.066,64.857,1974778
2024-02-29,65.072,64.341,65.541,64.172,3203950
2024-03-01,64.247,65.063,65.382,63.975,1681089
2024-03-04,65.016,65.194,65.935,64.828,1377764
2024-03-05,65.241,65.147,65.794,64.763,1575086
2024-03-06,65.785,65.25,66.563,65.007,1314571
2024-03-07,65.166,66.15,66.207,65.138,1153884
2024-03-08,66.253,66.178,67.257,66.019,1168907
2024-03-11,66.291,67.05,67.163,66.066,982731
2024-03-12,66.928,67.013,67.547,66.788,1249771
2024-03-13,67.285,67.566,68.128,67.078,1453734
2024-03-14,67.594,67.472,67.8,66.853,1841843
2024-03-15,67.257,66.488,67.35,66.319,3299997
2024-03-18,66.394,66.853,67.622,66.375,1201494
2024-03-19,66.985,66.516,67.05,66.282,1303082
2024-03-20,66.263,67.303,67.444,66.263,1128008
2024-03-21,67.5,66.919,68.044,66.872,978705
2024-03-22,67.603,66.863,67.603,66.413,1215228
2024-03-25,66.863,67.069,67.341,66.553,867869
2024-03-26,67.088,66.994,67.613,66.816,1391406
2024-03-27,67.435,67.032,67.791,66.825,1106702
2024-03-28,67.294,65.578,67.378,65.503,1898664
2024-04-01,65.972,64.96,66.057,64.922,896027
2024-04-02,65.71,64.66,65.822,64.332,1656263
2024-04-03,64.688,64.641,65.316,64.332,1592304
2024-04-04,64.772,64.453,65.607,64.294,1028248
2024-04-05,64.303,64.96,65.382,64.069,1442332
2024-04-08,64.96,64.538,65.494,64.285,953332
2024-04-09,64.369,64.219,64.369,62.991,1024899
2024-04-10,63.497,63.207,63.694,62.972,1450968
2024-04-11,63.394,63.647,64.078,63.103,1291986
2024-04-12,63.403,63.507,63.853,63.178,1347971
2024-04-15,64.247,62.888,64.303,62.456,1357423
2024-04-16,62.766,62.297,62.841,62.222,1253839
2024-04-17,62.738,62.203,62.775,61.819,1459806
2024-04-18,62.532,62.438,62.935,62.072,1080691
2024-04-19,62.878,63.357,63.413,62.41,1472177
2024-04-22,63.563,64.782,64.857,63.563,1766625
2024-04-23,64.725,64.81,65.016,64.463,1188294
2024-04-24,64.172,65.307,65.503,64.172,1114521
2024-04-25,66.441,66.507,67.491,65.888,2427016
2024-04-26,66.235,67.032,67.547,66.103,1057003
2024-04-29,67.36,67.519,67.688,67.088,879541
2024-04-30,67.332,67.519,67.725,67.032,1514266
2024-05-01,67.228,67.116,67.828,66.516,1131086
2024-05-02,67.266,67.06,67.51,66.863,1215710
2024-05-03,66.985,67.322,67.482,66.638,1134491
2024-05-06,67.191,66.9,67.435,66.76,920744
2024-05-07,67.247,68.719,68.878,67.069,2010840
2024-05-08,68.766,68.925,69.038,68.288,1674847
2024-05-09,69.206,69.784,69.813,69.036,1021922
2024-05-10,69.955,69.964,70.23,69.69,1162755
2024-05-13,70.012,70.561,70.903,69.917,1052437
2024-05-14,70.675,70.893,71.045,70.315,953449
2024-05-15,70.874,71.196,71.49,70.656,920775
2024-05-16,71.31,70.997,71.471,70.798,766896
2024-05-17,70.685,70.609,70.732,70.239,787396
2024-05-20,70.505,70.078,70.694,70.021,716488
2024-05-21,70.476,70.135,70.476,69.633,805533
2024-05-22,69.765,69.415,70.182,69.367,1030766
2024-05-23,69.5,69.121,69.917,69.083,1130062
2024-05-24,69.32,69.254,69.851,69.197,1201314
2024-05-28,68.761,68.524,68.979,68.268,1078642
2024-05-29,67.586,67.681,67.889,67.112,1651454
2024-05-30,67.728,68.372,68.42,67.434,800725
2024-05-31,68.372,69.851,70.04,68.173,2625811
2024-06-03,69.803,69.879,70.609,69.311,1070268
2024-06-04,69.434,70.002,70.192,69.187,695764
2024-06-05,70.126,69.964,70.287,69.348,1012071
2024-06-06,69.87,70.789,71.329,69.652,1713903
2024-06-07,70.666,70.533,71.016,70.495,938449
2024-06-10,70.192,70.419,70.732,69.709,1267576
2024-06-11,69.813,69.737,69.964,69.14,1408892
2024-06-12,70.334,70.77,71.054,70.163,1138424
2024-06-13,70.145,70.524,70.628,69.083,1732074
2024-06-14,69.747,70.173,70.41,69.273,1907559
2024-06-17,69.841,70.571,70.685,69.5,1140759
2024-06-18,70.543,69.348,70.59,68.676,1386641
2024-06-20,69.131,69.529,70.173,69.093,1129334
2024-06-21,70.126,70.941,71.092,70.116,2817657
2024-06-24,71.026,71.992,72.097,71.026,978533
2024-06-25,71.992,71.376,72.447,71.073,1164137
2024-06-26,70.618,70.637,71.538,70.438,1497676
2024-06-27,70.798,69.879,71.016,69.576,1135752
2024-06-28,69.822,69.055,69.841,68.552,1699134
2024-07-01,69.273,69.206,70.012,68.922,869464
2024-07-02,69.121,68.932,69.415,68.581,1879022
2024-07-03,69.026,69.737,69.87,68.723,805964
2024-07-05,69.538,69.964,69.974,68.799,996693
2024-07-08,69.718,69.585,70.372,69.443,1119088
2024-07-09,69.443,68.439,69.585,68.382,1107271
2024-07-10,68.77,68.969,69.149,68.562,997553
2024-07-11,68.571,70.002,70.296,68.467,1381888
2024-07-12,69.993,70.22,71.016,69.927,998545
2024-07-15,70.23,69.168,70.476,69.074,759910
2024-07-16,69.026,70.002,70.268,68.875,703496
2024-07-17,70.391,69.964,71.234,69.936,1744609
2024-07-18,70.211,69.832,70.505,69.803,1055398
2024-07-19,69.377,69.803,70.031,69.225,887935
2024-07-22,69.974,69.879,70.334,69.538,1008476
2024-07-23,69.519,68.998,69.652,68.695,1145008
2024-07-24,69.093,69.178,69.377,68.117,1563681
2024-07-25,69.604,68.837,70.41,68.685,1322395
2024-07-26,69.254,70.4,70.467,69.254,994711
2024-07-29,70.031,69.936,70.258,69.491,832292
2024-07-30,70.116,69.396,70.116,69.045,1232552
2024-07-31,69.709,69.908,70.58,69.367,2241577
2024-08-01,69.908,70.306,70.685,69.775,2111160
2024-08-02,71.149,71.13,71.329,69.784,2404264
2024-08-05,70.107,69.358,70.666,68.846,1866539
2024-08-06,69.358,69.633,70.552,68.789,1887726
2024-08-07,68.202,69.424,70.438,67.747,3153691
2024-08-08,68.903,69.462,70.04,68.59,1699822
2024-08-09,69.292,69.803,69.86,68.714,1231087
2024-08-12,69.263,69.367,69.661,69.159,994059
2024-08-13,69.652,71.149,71.386,69.633,1896931
2024-08-14,70.969,71.689,71.831,70.836,1350195
2024-08-15,72.021,72.76,72.978,71.784,1421029
2024-08-16,72.779,72.419,72.959,72.116,1220177
2024-08-19,72.845,73.111,73.395,72.703,1633991
2024-08-20,73.006,73.224,73.31,72.883,985421
2024-08-21,73.442,73.897,74.314,73.433,822254
2024-08-22,74.153,74.21,74.589,73.945,1389104
2024-08-23,74.513,74.608,74.712,74.096,794176
2024-08-26,74.636,74.883,75.063,74.598,1173498
2024-08-27,75.063,75.802,75.963,74.968,1329525
2024-08-28,76.058,75.935,76.446,75.736,1183767
2024-08-29,76.02,75.811,76.143,75.404,1115894
2024-08-30,75.991,76.276,76.588,75.849,1746509
2024-09-03,75.622,76.285,76.996,75.338,1592080
2024-09-04,75.944,77.043,77.148,75.584,1582131
2024-09-05,77.375,77.167,77.546,76.731,1588994
2024-09-06,77.129,76.522,77.422,76.456,1326171
2024-09-09,77.024,77.271,77.839,76.806,1979442
2024-09-10,76.607,75.489,76.835,75.176,2003984
2024-09-11,75.205,75.357,75.432,74.447,2786697
2024-09-12,75.338,76.408,76.475,75.319,1818407
2024-09-13,76.588,77.271,77.375,76.2,1110287
2024-09-16,77.271,77.593,78.01,77.091,1383127
2024-09-17,77.309,76.787,77.441,76.655,1092039
2024-09-18,76.787,76.56,76.968,76.285,1000562
2024-09-19,77.024,76.977,77.024,76.475,1036714
2024-09-20,76.92,76.844,77.024,76.19,1788805
2024-09-23,76.882,76.352,76.911,76.219,1281417
2024-09-24,76.285,75.394,76.285,75.309,919720
2024-09-25,75.688,74.778,75.688,74.684,1303887
2024-09-26,75.252,74.911,75.375,74.703,1668676
2024-09-27,75.338,75.034,75.698,74.996,1047650
2024-09-30,75.233,74.627,75.451,74.2,1649047
2024-10-01,74.286,73.376,74.362,72.978,2151821
2024-10-02,73.224,73.765,73.821,72.76,1202702
2024-10-03,73.329,72.751,73.329,72.172,1285641
2024-10-04,72.239,73.926,73.964,72.135,1919821
2024-10-07,72.978,72.788,73.253,72.495,1374757
2024-10-08,72.807,73.082,73.215,72.495,1603386
2024-10-09,73.348,73.935,74.305,73.348,1041993
2024-10-10,73.85,73.594,74.096,73.196,956706
2024-10-11,73.613,73.878,73.926,73.461,609302
2024-10-14,73.774,74.257,74.39,73.518,1058285
2024-10-15,74.39,73.139,74.485,72.95,1331917
2024-10-16,73.111,72.912,73.31,72.76,808333
2024-10-17,72.76,72.703,72.845,72.229,1401491
2024-10-18,74.343,74.598,75.139,74.001,1373062
2024-10-21,74.125,73.111,74.617,73.006,1442200
2024-10-22,72.665,73.205,73.423,72.504,970548
2024-10-23,72.817,73.423,73.926,72.807,1313908
2024-10-24,73.802,73.821,74.428,73.594,1088955
2024-10-25,74.305,73.897,75.053,73.736,1022872
2024-10-28,74.513,73.433,74.513,73.404,759343
2024-10-29,73.025,72.267,73.651,72.154,1201150
2024-10-30,71.822,72.4,72.58,71.206,985517
2024-10-31,72.125,72.021,72.324,71.585,1313892
2024-11-01,72.125,71.642,72.57,71.585,989542
2024-11-04,72.182,71.888,72.315,71.594,1136170
2024-11-05,71.926,73.774,73.945,71.737,1161964
2024-11-06,72.599,72.476,73.215,71.168,1791885
2024-11-07,72.997,73.215,73.755,72.807,1282803
