Date,Open,Last,High,Low,Volume
2024-01-29,291.0,294.37,294.82,291.0,966470
2024-01-30,293.98,294.62,295.23,292.38,901053
2024-01-31,291.4,288.46,292.01,287.28,1197758
2024-02-01,289.5,290.52,291.33,287.01,1056045
2024-02-02,290.75,296.55,298.57,290.75,1276072
2024-02-05,295.69,296.65,298.35,294.06,1164615
2024-02-06,298.24,292.8,299.73,289.74,1123088
2024-02-07,295.27,300.73,302.42,294.86,1147827
2024-02-08,303.5,307.36,308.19,302.29,1506574
2024-02-09,311.0,311.94,313.12,308.82,1580103
2024-02-12,315.0,306.58,315.7,305.47,3285845
2024-02-13,290.0,294.33,300.46,286.05,4063448
2024-02-14,300.65,300.74,304.16,298.4,1742970
2024-02-15,302.37,295.67,303.33,294.92,2018605
2024-02-16,295.8,290.3,298.3,289.5,1621993
2024-02-20,289.92,292.07,292.69,284.79,1799208
2024-02-21,288.69,290.76,290.96,285.71,1265074
2024-02-22,304.5,305.57,308.0,303.35,2240704
2024-02-23,307.28,303.53,308.26,300.55,1167826
2024-02-26,305.0,303.69,307.09,303.0,1015361
2024-02-27,303.9,300.01,304.05,298.29,804232
2024-02-28,299.0,300.58,302.69,298.01,752602
2024-02-29,302.5,304.38,305.79,299.86,1704347
2024-03-01,303.23,315.24,315.78,303.0,1840095
2024-03-04,315.24,317.31,320.78,313.97,1592965
2024-03-05,313.38,307.7,316.95,304.24,1744314
2024-03-06,311.69,312.65,315.81,307.15,1206511
2024-03-07,316.01,318.04,319.84,312.65,1177260
2024-03-08,318.46,308.6,319.0,308.5,1313057
2024-03-11,306.97,305.74,307.44,301.12,1119714
2024-03-12,308.98,311.28,312.93,305.6,1356956
2024-03-13,311.69,306.21,311.69,303.5,1291497
2024-03-14,310.0,306.24,310.39,304.34,1038571
2024-03-15,304.25,298.44,305.41,298.11,2606631
2024-03-18,300.85,300.93,303.98,300.26,1244129
2024-03-19,303.75,311.85,312.79,303.44,1997324
2024-03-20,314.17,316.86,317.1,311.72,1297687
2024-03-21,320.87,322.8,327.36,320.66,1907484
2024-03-22,322.75,322.74,324.23,318.57,1752050
2024-03-25,318.61,316.21,318.65,313.21,1306036
2024-03-26,317.0,316.01,321.35,315.0,1266813
2024-03-27,319.24,311.34,319.37,309.31,1075907
2024-03-28,312.16,311.28,313.01,309.39,1331711
2024-04-01,310.46,312.13,313.97,308.65,901222
2024-04-02,307.0,306.36,307.27,303.53,1214930
2024-04-03,304.0,310.58,312.17,304.0,1114937
2024-04-04,314.9,306.48,317.09,306.04,1138303
2024-04-05,309.12,308.02,310.8,307.12,1075892
2024-04-08,309.05,311.09,312.2,306.2,785967
2024-04-09,312.74,311.41,313.45,305.04,1193398
2024-04-10,305.55,304.59,307.44,303.01,1014019
2024-04-11,304.61,310.1,310.77,303.96,1287912
2024-04-12,305.55,305.85,306.89,304.02,1115533
2024-04-15,310.5,301.56,310.73,299.68,1337952
2024-04-16,298.92,300.81,302.04,296.57,1651399
2024-04-17,300.81,293.71,303.63,293.6,1127477
2024-04-18,295.05,285.9,296.16,282.6,2700626
2024-04-19,285.0,280.25,286.67,279.6,2021408
2024-04-22,284.0,285.02,287.14,281.0,2781607
2024-04-23,278.0,281.76,285.98,275.5,4681906
2024-04-24,282.47,277.66,284.1,276.72,2329158
2024-04-25,274.47,277.08,279.58,273.49,2046459
2024-04-26,278.5,282.41,287.44,278.5,2141655
2024-04-29,283.77,282.49,285.71,280.18,1396449
2024-04-30,281.52,275.63,282.84,275.41,1705824
2024-05-01,275.36,274.55,280.82,273.24,2082475
2024-05-02,275.84,276.44,277.45,270.39,1643461
2024-05-03,280.39,281.63,284.32,279.34,1371195
2024-05-06,281.78,285.19,285.22,280.28,1013883
2024-05-07,286.0,284.04,288.42,283.8,1040604
2024-05-08,282.5,282.57,284.61,281.35,1237035
2024-05-09,283.05,285.28,287.23,282.25,1001260
2024-05-10,285.7,287.48,290.54,285.28,840607
2024-05-13,289.2,284.46,289.2,283.94,1058195
2024-05-14,284.6,283.33,285.37,282.1,1315850
2024-05-15,287.19,293.1,294.42,285.82,1994753
2024-05-16,293.1,288.93,294.74,288.72,1222396
2024-05-17,290.0,288.81,290.28,288.39,895919
2024-05-20,288.74,292.47,292.63,287.3,1044973
2024-05-21,292.23,290.1,292.98,289.68,1181444
2024-05-22,291.92,292.84,294.49,290.5,1222193
2024-05-23,297.67,294.69,301.94,293.5,1873573
2024-05-24,293.7,294.28,297.68,291.03,957105
2024-05-28,293.07,296.21,297.91,293.07,1479663
2024-05-29,291.79,291.7,293.01,288.44,1776841
2024-05-30,290.5,288.25,290.5,287.38,2121491
2024-05-31,287.67,286.31,289.57,279.02,3475288
2024-06-03,287.31,286.15,289.67,281.26,1265897
2024-06-04,288.38,287.13,289.84,283.75,1135386
2024-06-05,287.99,296.42,297.13,287.43,1890272
2024-06-06,296.77,295.74,299.08,295.07,1236979
2024-06-07,297.33,294.42,299.4,293.56,997245
2024-06-10,293.73,296.18,296.44,292.22,934206
2024-06-11,295.0,300.83,301.98,294.52,1602183
2024-06-12,305.72,311.7,312.74,303.8,2137759
2024-06-13,312.59,307.54,316.92,304.7,1564722
2024-06-14,309.09,312.1,312.58,307.05,1428109
2024-06-17,310.48,322.08,323.25,310.48,2250745
2024-06-18,320.39,326.5,327.11,320.39,2415706
2024-06-20,328.79,318.53,328.99,317.61,1717335
2024-06-21,319.43,318.39,319.53,313.72,2713394
2024-06-24,317.52,309.14,317.52,309.14,1400465
2024-06-25,310.0,311.53,311.75,307.1,1295184
2024-06-26,310.03,309.33,312.22,308.38,1147774
2024-06-27,311.44,307.92,313.37,307.65,1433315
2024-06-28,308.46,307.75,313.0,307.47,2312595
