Date,Open,Last,High,Low,Volume
2024-01-29,72.872,73.089,73.334,72.334,1627350
2024-01-30,72.523,73.004,73.41,72.268,1565299
2024-01-31,71.797,71.221,72.353,70.872,2281559
2024-02-01,72.608,72.476,72.778,71.523,2716414
2024-02-02,72.202,72.174,72.504,70.938,1635711
2024-02-05,71.108,71.778,72.589,70.712,1544193
2024-02-06,71.618,71.816,72.919,71.287,1885548
2024-02-07,71.882,72.023,72.193,71.174,1279322
2024-02-08,71.712,72.165,72.249,71.221,1066690
2024-02-09,72.466,73.645,74.051,72.316,1806388
2024-02-12,73.683,74.381,74.768,73.485,1789130
2024-02-13,74.004,72.646,74.381,72.174,2215593
2024-02-14,73.292,73.653,73.947,72.314,2217583
2024-02-15,73.918,72.912,76.254,72.817,4279043
2024-02-16,73.653,73.766,74.26,72.684,2498791
2024-02-20,73.33,73.282,74.099,72.912,2815005
2024-02-21,73.102,73.833,74.649,72.266,2314575
2024-02-22,73.909,75.665,76.149,73.681,2168999
2024-02-23,75.285,76.339,77.194,75.077,2677241
2024-02-26,75.922,76.368,76.966,75.675,1784739
2024-02-27,76.368,75.741,76.757,75.675,1982989
2024-02-28,75.181,75.855,76.672,75.181,2758271
2024-02-29,75.456,76.634,77.156,75.02,3609079
2024-03-01,76.899,78.323,78.646,76.662,2834665
2024-03-04,78.257,75.817,79.007,75.77,4053694
2024-03-05,75.684,75.494,77.127,75.323,2841115
2024-03-06,77.763,77.45,79.083,76.842,3851980
2024-03-07,78.029,79.634,80.127,77.63,2535986
2024-03-08,79.767,80.07,81.286,79.055,3233075
2024-03-11,79.823,80.763,80.849,79.216,2033559
2024-03-12,81.039,81.086,81.371,80.146,2567676
2024-03-13,81.39,80.393,81.96,80.346,2443018
2024-03-14,80.099,79.624,80.63,79.064,2667643
2024-03-15,79.301,79.197,80.792,78.969,16560665
2024-03-18,79.861,81.627,82.045,79.073,3171567
2024-03-19,81.589,81.922,82.055,80.725,2641570
2024-03-20,81.741,81.779,82.634,81.01,2396114
2024-03-21,82.017,81.314,82.453,80.877,2275562
2024-03-22,81.456,79.425,81.95,79.121,2298549
2024-03-25,79.833,78.808,80.298,78.561,2381942
2024-03-26,78.751,77.668,79.33,77.659,2441827
2024-03-27,78.039,78.428,78.703,77.687,2419867
2024-03-28,78.637,78.998,79.691,77.773,2325219
2024-04-01,79.273,79.111,79.52,78.485,1424839
2024-04-02,79.311,78.741,80.744,78.162,1746110
2024-04-03,78.817,78.998,79.216,78.276,1543186
2024-04-04,79.425,81.817,81.903,78.646,3585269
2024-04-05,81.001,80.801,81.827,80.07,2755313
2024-04-08,80.896,75.751,81.153,75.646,4609466
2024-04-09,75.95,77.013,77.298,75.475,2607470
2024-04-10,75.456,76.795,76.985,74.858,3303940
2024-04-11,76.567,76.748,76.918,75.827,2348026
2024-04-12,75.751,74.146,76.738,73.994,3429778
2024-04-15,74.412,74.118,75.437,73.7,2419647
2024-04-16,74.156,73.814,74.82,73.738,2027586
2024-04-17,74.232,73.861,74.393,73.197,1839176
2024-04-18,76.52,75.561,77.08,75.191,4194389
2024-04-19,75.608,75.447,76.567,75.285,1503896
2024-04-22,75.048,74.811,75.428,74.346,1399955
2024-04-23,74.308,74.564,75.466,73.994,1606869
2024-04-24,74.479,75.238,75.39,74.108,1416251
2024-04-25,75.086,75.922,75.95,74.327,1507267
2024-04-26,75.627,75.95,76.035,74.982,1380428
2024-04-29,76.406,76.738,77.289,75.665,1222185
2024-04-30,76.785,74.972,76.785,74.849,1869504
2024-05-01,74.906,74.023,75.115,73.577,1889324
2024-05-02,72.627,70.13,72.627,69.428,4327135
