Date,Open,Last,High,Low,Volume
2024-01-29,283.076,284.868,284.963,281.741,1219236
2024-01-30,285.716,284.934,286.86,283.038,1080033
2024-01-31,286.069,286.841,288.852,281.684,2463538
2024-02-01,289.395,292.912,294.58,287.584,2981893
2024-02-02,301.033,308.657,312.975,300.28,3376579
2024-02-05,312.012,306.208,315.301,305.951,2305477
2024-02-06,306.904,312.222,313.833,306.446,1857980
2024-02-07,314.033,315.053,318.208,313.347,1809975
2024-02-08,315.015,316.711,317.865,314.443,1417040
2024-02-09,316.063,319.228,320.085,315.167,1508331
2024-02-12,318.846,321.439,322.039,317.541,1021076
2024-02-13,321.2,321.601,325.928,320.324,1140821
2024-02-14,323.011,322.735,324.117,319.895,1198366
2024-02-15,325.966,323.297,326.014,321.582,1572277
2024-02-16,324.231,325.099,326.671,322.668,1282607
2024-02-20,324.479,325.347,328.273,324.098,1624923
2024-02-21,325.995,327.281,328.234,323.783,1396187
2024-02-22,327.929,326.119,328.053,325.213,1373983
2024-02-23,327.072,328.101,329.454,325.375,998845
2024-02-26,328.578,326.262,330.865,326.1,2311185
2024-02-27,325.966,324.765,329.054,324.584,1697099
2024-02-28,324.479,319.418,324.479,316.921,1981188
2024-02-29,319.351,320.381,320.934,315.501,2184997
2024-03-01,320.247,317.35,320.247,315.205,1473261
2024-03-04,317.026,321.01,322.859,316.225,1294105
2024-03-05,321.799,318.468,322.527,317.779,1468188
2024-03-06,319.138,325.254,326.231,319.138,2449796
2024-03-07,329.025,328.049,333.074,324.211,2072799
2024-03-08,327.37,327.14,331.026,326.25,1485394
2024-03-11,326.259,327.599,329.667,325.063,1326493
2024-03-12,327.417,329.198,330.26,326.384,1313492
2024-03-13,330.978,333.773,334.165,329.676,1584250
2024-03-14,333.572,334.529,335.209,332.5,1527864
2024-03-15,331.198,336.96,337.965,331.026,3818806
2024-03-18,335.486,337.515,338.98,334.931,1499138
2024-03-19,338.807,337.266,339.238,336.252,1134633
2024-03-20,336.482,338.664,339.573,336.032,1049410
2024-03-21,338.932,338.559,340.119,337.592,1290842
2024-03-22,338.511,336.702,340.521,336.271,1102279
2024-03-25,337.946,340.31,340.559,337.199,1033993
2024-03-26,339.822,342.397,344.407,339.343,1205133
2024-03-27,344.56,347.766,349.077,344.043,1467557
2024-03-28,348.35,347.623,350.035,347.584,1162695
2024-04-01,347.144,348.474,348.733,344.502,1036780
2024-04-02,344.522,347.527,349.02,343.698,2054851
2024-04-03,348.752,345.594,348.896,344.885,1567480
2024-04-04,348.503,344.924,348.532,344.407,1147920
