Date,Open,Last,High,Low,Volume
2024-01-29,132.866,132.93,133.27,131.874,1245425
2024-01-30,132.553,133.867,134.188,131.46,1316444
2024-01-31,134.436,133.426,135.098,132.875,1656334
2024-02-01,133.352,135.989,135.998,132.232,1955054
2024-02-02,145.597,143.632,145.956,140.518,4184771
2024-02-05,142.024,141.849,144.422,141.519,1869098
2024-02-06,141.923,142.171,142.878,140.545,1301024
2024-02-07,143.301,142.878,144.366,142.538,1479251
2024-02-08,142.805,141.666,143.347,140.591,1023744
2024-02-09,141.611,140.729,142.814,140.031,786762
2024-02-12,140.462,141.234,141.666,139.002,1073055
2024-02-13,141.05,140.6,141.987,139.259,884064
2024-02-14,140.729,139.819,140.839,138.809,866873
2024-02-15,140.472,140.371,140.958,139.388,727452
2024-02-16,140.297,138.754,140.609,138.515,1071509
2024-02-20,139.654,139.847,141.556,139.489,669336
2024-02-21,140.545,140.242,141.317,139.241,686478
2024-02-22,139.663,140.178,140.857,138.138,1011203
2024-02-23,140.371,140.398,140.876,139.718,983493
2024-02-26,140.545,138.717,140.784,138.68,1016306
2024-02-27,138.102,139.525,139.691,137.495,903223
2024-02-28,139.186,140.986,141.234,139.121,789748
2024-02-29,141.059,140.83,141.454,140.086,2744398
2024-03-01,139.819,139.7,140.462,138.12,1176795
2024-03-04,139.277,138.653,139.948,138.616,1172123
2024-03-05,138.809,137.697,139.13,137.165,1126059
2024-03-06,137.697,138.276,139.112,137.183,880663
2024-03-07,139.048,141.252,141.353,138.983,1066705
2024-03-08,141.454,142.989,143.567,140.931,894511
2024-03-11,143.301,142.878,144.366,142.309,646174
2024-03-12,142.786,144.247,144.275,142.465,785032
2024-03-13,144.642,143.852,145.009,143.429,964773
2024-03-14,143.181,139.314,143.54,138.598,1299755
2024-03-15,137.826,137.936,139.002,137.688,1903496
2024-03-18,137.606,136.733,138.405,136.531,1530965
2024-03-19,136.99,141.087,141.179,136.99,1213217
2024-03-20,141.087,138.239,141.28,137.991,1372907
2024-03-21,137.789,135.64,137.789,134.51,2069427
2024-03-22,134.795,138.478,138.726,133.839,2051539
2024-03-25,138.607,138.267,140.306,137.652,1265975
2024-03-26,139.195,137.725,139.672,137.67,1165950
2024-03-27,139.011,140.306,140.462,138.919,998223
2024-03-28,141.087,140.646,141.344,139.847,1136963
2024-04-01,140.251,139.305,140.398,138.708,919330
2024-04-02,137.789,136.604,138.754,136.329,1226700
2024-04-03,136.191,134.877,136.365,134.014,1194499
2024-04-04,135.53,134.62,135.925,134.142,977856
2024-04-05,134.032,134.06,134.841,132.673,740152
2024-04-08,133.582,132.599,135.19,132.562,1074578
2024-04-09,132.59,132.296,132.866,131.433,1461055
