Date,Open,Close,High,Low,Volume
2021-04-14,381,328.28,429.54,310, 0 
2021-04-15,348.9,322.75,349.18,317.27, 0 
2021-04-16,327.5,342,345.99,321.03, 0 
2021-04-19,337.26,333,341.01,326.79, 0 
2021-04-20,333.43,320.82,334.83,312.02, 0 
2021-04-21,312.52,311.92,327.45,302.36, 0 
2021-04-22,305.76,293.45,313.5,287.2, 0 
2021-04-23,282.75,291.6,303,282.07, 0 
2021-04-26,304.29,304.54,306.1,296.9, 0 
2021-04-27,306.7,302,306.7,299.5, 0 
2021-04-28,301.01,298.05,302.9,298.05, 0 
2021-04-29,298.45,294.77,300,292.1, 0 
2021-04-30,293,297.64,302.74,291, 0 
2021-05-03,304,294.21,305.03,293.94, 0 
2021-05-04,292.06,280.66,292.19,275.61, 0 
2021-05-05,284.95,273,289.15,269, 0 
2021-05-06,271.15,256.76,272.14,250.51, 0 
2021-05-07,261.15,263.7,267.07,258.38, 0 
2021-05-10,266.4,293.45,297.5,259.37, 0 
2021-05-11,281.05,303,303.32,276.51, 0 
2021-05-12,299.54,283.61,306.98,280.79, 0 
2021-05-13,276.46,265.1,285,252.26, 0 
2021-05-14,280.37,258.37,280.64,256.35, 0 
2021-05-17,250,248.24,250.25,238.25, 0 
2021-05-18,238.83,239,252.17,238.5, 0 
2021-05-19,212.93,224.8,229,208, 0 
2021-05-20,236.1,233.4,238.8,226.26, 0 
2021-05-21,235.97,224.35,238.97,223.9, 0 
2021-05-24,227.28,225.3,231,224.04, 0 
2021-05-25,230,242.41,243.99,228, 0 
2021-05-26,247.5,241.52,249.39,239.37, 0 
2021-05-27,245.21,247.09,247.24,240.32, 0 
2021-05-28,243.57,236.54,244.63,236.54, 0 
2021-06-01,238.51,238.93,244.71,238.1, 0 
2021-06-02,242.8,240.48,243.9,238.71, 0 
2021-06-03,241.39,233.66,241.5,233.5, 0 
2021-06-04,229.99,228.79,233.36,227.5, 0 
2021-06-07,229.92,231.45,232.56,226.5, 0 
2021-06-08,227.16,220.66,229.33,217.4, 0 
2021-06-09,222.8,224.32,229.79,217.4, 0 
2021-06-10,226.22,221.85,229.79,221.47, 0 
2021-06-11,223.5,223.92,225.74,221.96, 0 
2021-06-14,231.27,239.1,239.76,229.76, 0 
2021-06-15,236.23,232.21,237.67,230.96, 0 
2021-06-16,231.4,228.05,234.68,226.28, 0 
2021-06-17,226.88,230.66,233.23,226.35, 0 
2021-06-18,226.92,229.29,232.69,226.5, 0 
2021-06-21,223.14,222.6,224.99,218.77, 0 
2021-06-22,216.25,222.47,223.15,210.77, 0 
2021-06-23,225.54,226.01,230.52,224.5, 0 
2021-06-24,228.46,229.93,230.04,226.67, 0 
2021-06-25,226.97,224.54,227.82,223.22, 0 
2021-06-28,227.64,246.69,248.06,226.13, 0 
2021-06-29,250.2,254.9,261.15,250.01, 0 
2021-06-30,248.3,253.3,254.67,247, 0 
2021-07-01,251.09,241.44,255.15,240.53, 0 
2021-07-02,242,240.72,246.8,238.88, 0 
2021-07-06,243,235.41,243,234.02, 0 
2021-07-07,238.96,251.97,252.99,232.34, 0 
2021-07-08,239,244.29,246.6,233.61, 0 
2021-07-09,245,253.88,256.99,244.21, 0 
2021-07-12,254,247.67,254.89,246.83, 0 
2021-07-13,245.51,243.31,249.15,242.93, 0 
2021-07-14,244.9,229.94,247.45,229.16, 0 
2021-07-15,229.94,224.63,234.47,220.37, 0 
2021-07-16,227.2,225.01,231.3,220.66, 0 
2021-07-19,216.92,220.61,221.89,213.22, 0 
2021-07-20,216.71,224.96,226.89,213.23, 0 
2021-07-21,231.7,230.87,237.15,229.19, 0 
2021-07-22,232,226.08,232.32,224.5, 0 
2021-07-23,226.22,224.92,227.35,222.73, 0 
2021-07-26,240.08,245.45,249.8,237.88, 0 
2021-07-27,243,235.08,243.21,229.12, 0 
2021-07-28,240.3,241.75,242.87,238.03, 0 
2021-07-29,241.77,235.78,245.16,235.33, 0 
2021-07-30,233.28,236.58,238.07,231.9, 0 
2021-08-02,237.28,235.4,240.38,233.8, 0 
2021-08-03,233.87,230.18,235.69,226.91, 0 
2021-08-04,231.06,244.36,245.47,229.85, 0 
2021-08-05,239.76,255.5,258.31,237.59, 0 
2021-08-06,255.5,258.26,263.9,250.23, 0 
