Date,Open,Last,High,Low,Volume
2024-01-29,213.533,214.003,214.013,212.406,916353
2024-01-30,215.522,216.051,216.325,213.513,1530076
2024-01-31,223.369,227.954,230.286,223.369,3511661
2024-02-01,227.924,232.108,232.215,223.967,2071948
2024-02-02,232.411,230.217,232.647,229.414,1267256
2024-02-05,232.509,229.453,232.842,228.806,1209756
2024-02-06,231.549,230.237,232.607,228.502,2251032
2024-02-07,231.128,232.842,234.518,230.854,1662272
2024-02-08,229.238,226.116,229.68,224.153,2744902
2024-02-09,226.47,226.48,227.422,224.595,1590542
2024-02-12,225.685,225.783,226.931,224.241,1282851
2024-02-13,227.677,226.971,227.805,225.203,1462654
2024-02-14,226.971,227.353,227.736,225.459,1197418
2024-02-15,227.766,228.826,230.358,227.609,1119852
2024-02-16,229.533,227.491,229.886,226.902,1076499
2024-02-20,227.491,228.119,230.181,227.02,1547647
2024-02-21,229.651,229.209,230.073,227.854,1109765
2024-02-22,228.954,230.122,232.203,228.581,1269210
2024-02-23,231.045,232.94,233.725,230.21,975186
2024-02-26,234.677,233.99,235.482,233.273,1553466
2024-02-27,232.93,232.194,233.431,230.495,1222103
2024-02-28,232.616,231.82,232.616,229.612,1065420
2024-02-29,231.771,231.3,232.292,230.436,1646211
2024-03-01,232.439,232.704,234.255,231.035,1190010
2024-03-04,233.146,231.496,236.052,231.379,1326046
2024-03-05,231.909,231.015,232.135,230.161,1422497
2024-03-06,231.241,230.397,232.223,230.259,1209006
2024-03-07,231.801,233.293,233.961,230.407,1341572
2024-03-08,232.959,233.136,234.069,232.38,877375
2024-03-11,232.321,233.342,233.853,232.252,849035
2024-03-12,233.323,233.107,233.853,231.87,666627
2024-03-13,234.137,230.485,234.677,229.955,1447420
2024-03-14,231.624,233.342,233.558,230.701,1280193
2024-03-15,230.966,233.882,233.99,230.112,2150197
2024-03-18,233.774,234.942,236.464,233.008,1122380
2024-03-19,235.826,237.927,238.172,234.883,1165746
2024-03-20,238.094,237.456,239.38,237.348,967358
2024-03-21,237.485,237.907,239.193,235.944,801294
2024-03-22,238.487,238.074,239.144,237.564,720762
2024-03-25,238.074,237.642,238.869,237.22,703339
2024-03-26,237.642,238.369,239.606,237.191,829209
2024-03-27,239.527,240.175,240.214,238.428,674294
2024-03-28,240.175,238.555,240.175,235.414,1574357
2024-04-01,237.956,238.565,238.899,235.865,635008
2024-04-02,238.074,238.653,240.057,237.259,961404
2024-04-03,239.292,241.314,242.247,237.986,1125211
2024-04-04,242.148,237.623,242.148,237.485,1026949
2024-04-05,238.29,238.781,239.37,237.465,744596
2024-04-08,237.78,235.973,238.32,235.963,813158
2024-04-09,236.818,234.216,236.818,232.488,807596
2024-04-10,233.941,233.46,236.042,233.283,712151
2024-04-11,234.088,231.339,234.088,230.976,810744
2024-04-12,230.711,229.729,231.928,228.846,822327
2024-04-15,232.036,229.935,232.498,229.896,986035
2024-04-16,233.146,233.912,235.394,232.301,1981544
2024-04-17,234.854,234.265,234.893,231.928,1028618
2024-04-18,235.031,232.969,235.031,231.094,1443314
2024-04-19,234.324,234.766,235.531,232.655,1411190
2024-04-22,231.693,232.527,234.648,230.446,2287125
2024-04-23,233.097,233.352,234.363,231.938,1430856
2024-04-24,233.254,233.607,234.432,231.536,926754
2024-04-25,234.668,235.384,236.651,233.902,831205
2024-04-26,235.659,236.484,236.955,233.754,972783
2024-04-29,235.62,235.551,236.464,233.862,912088
2024-04-30,235.404,234.687,235.875,233.656,1589325
2024-05-01,224.968,225.017,227.324,220.697,3291636
2024-05-02,224.32,220.638,224.614,220.226,2042140
2024-05-03,219.549,219.863,220.756,218.145,2222046
2024-05-06,221.316,219.951,221.964,219.117,1582709
2024-05-07,220.216,222.602,222.749,220.216,1899150
2024-05-08,223.564,220.02,224.084,219.539,2401794
2024-05-09,220.37,220.508,221.895,220.202,927628
2024-05-10,220.832,221.009,222.062,220.439,943908
2024-05-13,221.137,219.356,222.564,219.022,1060591
2024-05-14,219.612,218.392,220.134,217.152,1522222
2024-05-15,218.146,218.264,219.966,217.693,898850
2024-05-16,218.953,218.303,219.75,217.339,1045188
2024-05-17,219.179,218.569,219.238,217.496,1001923
2024-05-20,218.825,217.467,218.982,216.266,888229
2024-05-21,217.762,213.61,217.762,213.0,1420200
2024-05-22,213.383,213.285,214.338,212.744,1179960
2024-05-23,215.007,216.306,217.3,215.007,1555482
2024-05-24,216.424,215.391,217.142,214.377,1029855
2024-05-28,214.574,212.754,214.574,211.671,1400875
2024-05-29,212.38,215.558,215.755,211.337,1773984
2024-05-30,216.394,217.004,218.894,214.83,2127897
2024-05-31,217.191,222.948,223.017,217.191,3835641
2024-06-03,221.127,226.825,227.287,221.127,2028348
2024-06-04,226.461,226.982,227.553,224.463,1000959
2024-06-05,228.025,228.065,228.645,226.431,1781993
2024-06-06,228.016,232.886,232.926,227.071,2246451
2024-06-07,233.496,231.706,234.274,230.938,1064159
2024-06-10,231.509,230.82,231.509,228.084,1568026
2024-06-11,230.21,228.901,230.623,227.799,1159709
2024-06-12,228.458,226.461,228.458,223.725,1336127
2024-06-13,225.959,228.517,228.901,223.922,863725
2024-06-14,228.232,228.813,228.95,227.091,919681
2024-06-17,228.527,230.948,231.312,227.661,1011843
2024-06-18,231.991,233.408,234.008,230.82,1349664
2024-06-20,233.378,231.912,234.107,231.774,1230765
2024-06-21,232.808,232.896,234.618,230.643,5382684
2024-06-24,235.169,235.533,237.364,234.107,1059835
2024-06-25,236.557,234.52,236.586,234.156,1882924
2024-06-26,233.802,233.487,234.49,232.089,1229612
2024-06-27,225.339,224.316,228.449,219.897,4208850
2024-06-28,224.227,221.698,224.227,220.763,2859201
2024-07-01,222.79,219.956,223.351,218.795,1723139
2024-07-02,220.124,218.953,220.212,216.05,1455291
2024-07-03,219.435,218.943,220.399,217.447,648190
2024-07-05,218.845,219.12,219.169,215.686,830619
2024-07-08,219.12,220.114,220.704,218.52,767708
2024-07-09,221.905,218.815,221.905,218.185,851858
2024-07-10,219.071,218.864,219.75,217.693,706400
2024-07-11,218.175,218.451,218.933,216.03,943895
2024-07-12,219.199,219.041,220.508,218.264,791079
2024-07-15,218.923,218.648,221.915,218.471,1873945
2024-07-16,218.569,221.777,222.141,217.979,1614264
2024-07-17,221.777,221.56,223.086,220.734,709876
2024-07-18,220.99,220.134,223.322,219.858,1335980
2024-07-19,222.171,220.025,222.377,219.71,1357117
2024-07-22,221.334,221.127,222.446,219.986,936834
2024-07-23,221.688,220.675,222.476,220.104,680636
2024-07-24,221.747,222.367,222.8,219.199,847116
2024-07-25,222.603,223.479,226.559,222.544,986731
2024-07-26,223.755,223.981,225.28,222.849,1310278
2024-07-29,224.129,223.548,225.428,223.44,1434872
2024-07-30,223.076,227.337,229.344,222.476,1780378
2024-07-31,234.746,234.077,240.326,232.148,2541593
2024-08-01,236.262,240.552,241.575,235.11,2039516
2024-08-02,236.163,243.612,243.701,231.961,3292432
2024-08-05,242.569,237.393,242.982,234.372,2354004
2024-08-06,238.033,235.986,239.715,235.612,1186779
2024-08-07,236.124,237.246,239.952,235.583,1051450
2024-08-08,235.691,233.211,236.163,230.544,1747215
2024-08-09,234.879,234.485,234.928,232.167,1258770
2024-08-12,233.913,234.485,236.782,233.005,913145
2024-08-13,234.465,233.045,235.924,232.808,1043038
2024-08-14,233.479,234.465,235.559,231.753,1158996
2024-08-15,234.78,233.4,235.254,231.704,1108906
2024-08-16,233.528,234.82,234.918,232.128,1013198
2024-08-19,234.593,235.55,235.658,234.228,788242
2024-08-20,235.826,235.116,236.181,234.465,697967
2024-08-21,235.461,236.033,237.088,235.135,775124
2024-08-22,236.782,237.266,237.512,235.895,736272
2024-08-23,237.591,234.455,237.847,233.952,1170844
2024-08-26,232.266,231.201,233.725,230.096,1471291
2024-08-27,231.97,230.274,233.469,228.834,1304060
2024-08-28,230.53,233.183,233.429,230.293,878803
2024-08-29,233.183,234.317,235.096,232.147,829704
2024-08-30,233.972,236.26,236.486,233.617,1229115
2024-09-03,237.226,240.352,241.437,236.615,1408852
2024-09-04,241.003,240.037,241.22,234.761,968644
2024-09-05,234.583,232.976,235.214,228.715,2468432
2024-09-06,233.094,231.723,234.179,230.037,1831577
2024-09-09,233.41,233.262,235.037,231.96,1477096
2024-09-10,233.074,234.248,236.131,232.206,1615026
2024-09-11,232.966,232.956,234.208,230.52,1374888
2024-09-12,232.325,234.366,234.79,232.246,1133443
2024-09-13,234.366,236.565,237.473,233.607,1238513
2024-09-16,238.656,237.907,240.51,237.621,1153862
2024-09-17,237.68,231.289,238.715,230.589,2096191
2024-09-18,227.305,225.323,228.38,224.061,2404827
2024-09-19,225.293,223.429,226.339,221.605,2204092
2024-09-20,227.088,224.958,229.278,221.615,6647169
2024-09-23,225.372,225.175,227.759,224.13,1067313
2024-09-24,223.36,222.236,224.682,218.972,2454818
2024-09-25,223.518,220.343,223.518,218.124,1737646
2024-09-26,219.031,220.786,222.483,219.031,1206387
2024-09-27,220.412,221.812,222.128,220.047,1082543
2024-09-30,222.138,221.97,222.345,220.579,1333614
2024-10-01,222.019,221.132,222.384,220.106,1338934
2024-10-02,220.431,218.577,220.51,218.331,1812465
2024-10-03,218.568,217.907,219.327,217.098,1460432
2024-10-04,217.177,216.901,218.094,216.319,1638164
2024-10-07,216.181,216.467,217.453,215.629,1414619
2024-10-08,217.512,217.759,218.272,216.654,1598844
2024-10-09,218.548,218.104,219.327,216.99,1295003
2024-10-10,218.844,219.13,219.623,217.769,1352963
2024-10-11,219.919,219.485,221.605,219.199,938026
2024-10-14,219.889,221.704,222.907,218.883,1767757
2024-10-15,221.625,229.899,233.143,221.625,3260022
2024-10-16,228.331,233.301,233.617,227.64,1701005
2024-10-17,231.191,232.384,233.429,230.352,1231775
2024-10-18,233.143,234.149,234.869,231.595,1210073
2024-10-21,234.711,233.272,235.806,232.749,848258
2024-10-22,232.542,230.934,232.542,230.451,1020752
2024-10-23,230.5,231.279,231.743,229.84,755044
2024-10-24,231.003,231.911,233.676,230.412,866868
2024-10-25,231.23,231.23,231.891,230.116,1009552
2024-10-28,231.763,230.343,232.246,230.185,835520
2024-10-29,229.8,228.567,231.487,228.449,966435
2024-10-30,228.084,226.309,228.498,225.412,1205471
2024-10-31,225.688,224.928,228.4,224.8,1263969
2024-11-01,227.483,231.033,234.583,227.167,1619694
2024-11-04,231.96,230.658,233.163,230.017,1036939
2024-11-05,231.565,230.757,233.459,228.715,1721441
2024-11-06,233.528,241.989,243.972,233.528,2215425
2024-11-07,245.599,244.337,247.334,242.916,1600347
2024-11-08,245.747,244.978,247.532,242.847,1376073
2024-11-11,245.559,245.648,248.045,244.978,1246231
2024-11-12,245.066,245.352,248.084,244.622,1279280
2024-11-13,245.55,246.516,247.63,244.534,1255501
2024-11-14,244.968,240.047,245.658,239.79,1463892
2024-11-15,239.651,237.467,241.124,234.739,1844676
2024-11-18,236.864,240.066,241.47,236.488,1246907
2024-11-19,239.365,238.198,241.114,237.724,820250
2024-11-20,238.169,240.393,240.827,237.753,785080
2024-11-21,240.165,242.854,242.992,238.653,1000921
2024-11-22,243.279,242.192,244.692,241.826,952391
2024-11-25,241.549,241.411,243.486,240.956,1484653
2024-11-26,243.21,245.582,245.641,240.422,977982
2024-11-27,243.694,246.808,248.587,243.694,906615
2024-11-29,247.193,248.646,250.346,246.837,1103278
2024-12-02,248.122,246.986,248.122,245.691,950713
2024-12-03,248.834,247.163,249.486,246.946,1233656
2024-12-04,248.686,245.473,250.02,245.078,1002373
2024-12-05,244.149,241.49,246.215,241.084,1337066
2024-12-06,241.322,240.6,242.32,239.276,1199812
2024-12-09,240.482,237.734,240.65,235.559,1203097
2024-12-10,238.01,234.274,238.01,233.127,1542964
2024-12-11,234.076,229.213,234.264,226.623,1714976
2024-12-12,229.984,229.44,231.921,228.373,973086
2024-12-13,229.796,229.559,230.814,227.058,780788
2024-12-16,230.221,227.167,232.169,225.556,1630531
2024-12-17,225.833,225.012,226.791,223.174,1172362
2024-12-18,225.259,224.37,226.584,223.816,1008692
2024-12-19,222.739,223.658,224.389,221.8,1729849
2024-12-20,225.091,225.062,226.772,222.927,1953582
2024-12-23,224.656,225.012,225.358,222.156,940776
2024-12-24,224.35,224.913,226.08,223.905,394749
2024-12-26,224.113,223.974,225.773,223.796,705373
2024-12-27,222.907,224.31,225.289,222.907,909215
2024-12-30,222.6,222.116,223.421,221.533,880542
2024-12-31,222.363,222.086,224.617,221.335,821909
2025-01-02,223.272,222.146,224.152,221.335,736828
2025-01-03,223.272,226.554,229.569,223.144,1718614
2025-01-06,226.613,226.238,228.689,225.319,1005832
2025-01-07,226.712,231.536,232.396,226.712,1734845
2025-01-08,232.277,235.085,235.618,231.635,1735759
2025-01-10,234.333,233.463,236.528,233.038,1359752
2025-01-13,233.681,233.365,234.047,230.913,873077
2025-01-14,234.946,237.279,237.872,233.048,1377008
2025-01-15,238.218,234.926,238.356,233.641,1186513
2025-01-16,234.907,238.109,238.139,233.948,862781
2025-01-17,238.119,239.256,241.015,236.468,1493001
2025-01-21,240.768,242.241,242.528,239.681,1207423
2025-01-22,241.687,244.109,245.177,240.343,1800585
2025-01-23,245.631,245.078,246.215,243.18,1171914
2025-01-24,245.839,245.612,246.313,244.327,672337
2025-01-27,247.47,251.948,253.845,246.936,1507115
2025-01-28,251.859,252.155,253.668,251.562,1150567
2025-01-29,254.083,252.985,254.814,252.728,1147376
2025-01-30,253.45,255.476,258.234,253.45,1229938
2025-01-31,254.913,251.275,255.476,250.455,1917010
2025-02-03,250.752,251.493,252.985,250.0,1213559
2025-02-04,248.814,248.666,251.809,248.33,1860036
2025-02-05,251.394,250.356,259.233,245.79,2786853
