Date,Open,Last,High,Low,Volume
2024-01-29,47.84,48.66,48.67,47.73,3513073
2024-01-30,48.43,48.95,48.99,48.38,3275170
2024-01-31,48.75,48.04,49.01,47.92,4018865
2024-02-01,48.29,49.2,49.23,48.06,3162544
2024-02-02,49.2,50.03,50.24,48.92,4074209
2024-02-05,50.0,49.99,50.15,49.4,4520421
2024-02-06,50.12,50.48,50.5,49.76,3132224
2024-02-07,50.85,50.85,51.27,50.58,3795368
2024-02-08,50.8,50.96,51.07,50.59,2219474
2024-02-09,50.97,50.91,51.15,50.65,3139133
2024-02-12,50.74,50.48,50.86,50.29,2710570
2024-02-13,49.74,49.23,49.92,48.8,4968454
2024-02-14,49.54,49.22,49.75,48.71,3770572
2024-02-15,49.34,49.73,49.87,49.04,3618430
2024-02-16,49.64,48.96,49.77,48.93,3927250
2024-02-20,49.03,48.52,49.24,48.48,4557860
2024-02-21,48.33,48.89,49.02,48.22,3072323
2024-02-22,49.62,49.41,49.9,49.27,5448413
2024-02-23,48.94,51.38,51.54,48.58,13718464
2024-02-26,51.06,52.5,52.81,50.97,9658580
2024-02-27,52.43,52.92,53.0,51.92,5576341
2024-02-28,52.65,53.08,53.15,52.3,4917879
2024-02-29,53.32,53.15,53.38,52.58,8278884
2024-03-01,53.03,53.58,53.7,52.67,4814500
2024-03-04,53.68,54.1,54.35,53.57,4883397
2024-03-05,54.09,53.86,54.1,53.58,6521642
2024-03-06,54.19,54.62,54.84,53.93,5377733
2024-03-07,55.14,55.21,55.38,54.94,4261471
2024-03-08,55.19,54.96,55.83,54.72,4094668
2024-03-11,54.96,54.53,54.96,53.71,5446224
2024-03-12,54.77,55.19,55.41,54.35,5398991
2024-03-13,55.1,56.25,56.46,54.98,9044944
2024-03-14,56.64,56.42,56.96,56.27,8977663
2024-03-15,56.45,56.13,56.75,56.0,10434765
2024-03-18,56.56,56.09,56.77,56.04,3588948
2024-03-19,56.37,56.27,56.5,56.01,3694592
2024-03-20,56.42,56.9,56.95,56.28,3890011
2024-03-21,57.33,57.21,57.86,57.19,5824396
2024-03-22,57.41,57.41,57.59,57.18,4501606
2024-03-25,57.41,57.18,57.55,57.02,3667728
2024-03-26,57.32,57.22,57.4,57.03,4302299
2024-03-27,57.74,57.24,57.91,56.81,3713630
2024-03-28,57.88,57.92,58.15,57.44,5084249
2024-04-01,58.13,58.07,58.58,57.72,4161110
2024-04-02,57.52,57.25,57.52,56.77,3900332
2024-04-03,57.13,57.37,57.97,57.02,3866556
2024-04-04,58.06,55.74,58.35,55.7,4284954
2024-04-05,56.56,56.55,56.95,55.81,3387869
2024-04-08,56.59,56.28,56.84,56.2,3953106
2024-04-09,56.55,56.69,56.75,55.61,3374534
2024-04-10,55.85,56.03,56.31,55.53,3767638
2024-04-11,55.98,56.0,56.2,55.5,3368608
2024-04-12,55.41,55.38,55.76,55.07,3610042
2024-04-15,56.09,54.75,56.26,54.56,4880297
2024-04-16,54.88,54.38,54.89,54.34,4506091
2024-04-17,54.49,54.02,54.76,53.87,3565344
2024-04-18,54.19,53.2,54.34,53.16,3490051
2024-04-19,53.42,52.88,53.62,52.41,5783462
2024-04-22,53.28,53.3,53.57,52.87,3307307
2024-04-23,53.37,54.31,54.48,53.26,3585326
2024-04-24,54.26,54.93,55.04,54.2,3717956
2024-04-25,54.8,55.22,55.36,54.32,4655497
2024-04-26,54.99,55.73,56.07,54.94,2554100
2024-04-29,55.73,55.71,56.13,55.27,3324229
2024-04-30,55.5,54.31,55.62,54.29,3761541
2024-05-01,54.27,54.44,55.42,54.18,4368332
2024-05-02,54.62,54.4,54.69,53.65,3311202
2024-05-03,54.64,55.2,55.34,54.64,5285026
2024-05-06,55.27,55.74,55.76,55.03,3209620
2024-05-07,55.94,55.93,56.09,55.6,3094601
2024-05-08,55.77,55.16,55.83,55.12,2747247
2024-05-09,55.08,55.26,55.65,54.91,3365242
2024-05-10,55.35,54.74,55.76,54.68,3899065
2024-05-13,55.0,54.59,55.03,54.27,3815017
2024-05-14,54.37,54.4,54.48,53.8,5176755
2024-05-15,54.73,55.31,55.35,54.59,4145757
2024-05-16,55.5,54.58,55.53,54.46,5160478
2024-05-17,53.58,54.5,55.43,52.83,6566476
2024-05-20,54.52,54.92,55.0,54.3,3267620
2024-05-21,55.12,54.93,55.15,54.28,3339336
2024-05-22,54.73,53.95,55.11,53.9,3590807
2024-05-23,54.16,53.52,54.27,53.3,3312580
2024-05-24,53.52,54.02,54.27,53.23,2632294
2024-05-28,53.78,52.73,53.9,52.66,4164250
2024-05-29,52.26,52.14,52.49,51.73,4790933
2024-05-30,52.2,52.53,52.9,52.09,4326656
2024-05-31,52.51,53.06,53.1,52.03,7431407
2024-06-03,53.06,52.65,53.55,52.31,4225623
2024-06-04,52.38,52.99,53.29,52.38,3690115
2024-06-05,53.28,54.0,54.07,52.94,3622228
2024-06-06,54.05,53.47,54.23,53.27,4821404
