Date,Open,Last,High,Low,Volume
2024-01-29,103.15,104.4,104.81,103.07,1718693
2024-01-30,104.01,103.94,104.43,103.26,1009243
2024-01-31,103.0,101.48,104.68,101.41,1278646
2024-02-01,103.04,100.81,103.32,98.89,1759214
2024-02-02,99.58,98.18,99.75,96.91,1665911
2024-02-05,97.53,96.21,97.71,95.26,922048
2024-02-06,96.49,99.0,99.6,94.5,1004305
2024-02-07,99.82,99.97,100.51,97.86,1020987
2024-02-08,100.97,104.31,104.37,99.33,1135996
2024-02-09,105.1,107.54,107.77,104.62,1263917
2024-02-12,108.14,110.08,112.41,108.0,1554139
2024-02-13,105.4,106.94,108.5,104.64,1370148
2024-02-14,108.99,108.37,109.67,106.02,1944271
2024-02-15,116.66,121.63,122.69,112.32,4853610
2024-02-16,120.58,118.98,121.13,117.69,1888107
2024-02-20,117.08,115.59,117.83,113.7,1482288
2024-02-21,113.89,115.72,116.22,113.32,861231
2024-02-22,116.65,117.29,118.53,116.11,1272503
2024-02-23,117.28,118.31,119.44,117.18,891902
2024-02-26,118.75,119.88,120.43,118.05,1099025
2024-02-27,118.52,121.09,121.64,118.52,1189869
2024-02-28,120.17,123.26,124.42,119.86,1015745
2024-02-29,124.7,122.25,125.5,121.87,1423386
2024-03-01,123.57,124.81,126.03,122.09,1084491
2024-03-04,125.99,124.59,126.04,123.21,1039621
2024-03-05,123.14,122.02,124.73,121.36,1171398
2024-03-06,123.5,120.39,123.8,120.31,689700
2024-03-07,120.24,124.0,124.8,120.24,1152647
2024-03-08,124.19,125.04,126.58,123.86,1112764
2024-03-11,124.9,126.7,127.02,124.74,1219956
2024-03-12,126.4,125.59,128.05,124.03,1216074
2024-03-13,125.53,129.32,129.5,125.53,1338871
2024-03-14,129.72,125.99,130.04,125.08,879043
2024-03-15,126.18,128.17,129.05,126.09,1466398
2024-03-18,128.01,129.96,131.24,126.28,1175266
2024-03-19,128.59,131.71,132.19,128.08,964462
2024-03-20,133.04,139.99,140.1,132.76,2432394
2024-03-21,140.0,141.0,141.27,138.38,1304420
2024-03-22,139.54,141.62,141.91,138.62,1111254
2024-03-25,141.73,141.25,143.92,140.89,1071042
2024-03-26,142.14,140.05,142.14,139.91,1023328
2024-03-27,140.84,143.02,143.28,139.68,1015594
2024-03-28,142.9,143.8,144.89,142.15,800035
2024-04-01,145.81,145.75,146.79,143.89,1144909
2024-04-02,141.75,141.66,142.69,138.73,1081481
2024-04-03,141.69,138.76,142.22,138.06,1153092
2024-04-04,140.97,134.38,141.02,133.23,1241970
2024-04-05,134.52,134.09,135.75,133.63,743789
2024-04-08,134.51,132.73,135.5,132.44,866417
2024-04-09,131.79,128.22,131.9,125.59,1877691
2024-04-10,125.22,128.29,129.57,124.1,910247
2024-04-11,129.76,129.41,130.43,128.15,743955
2024-04-12,128.28,125.54,128.94,124.86,882976
2024-04-15,126.96,123.36,128.34,123.02,1090261
2024-04-16,121.99,120.68,124.67,119.9,1626338
2024-04-17,122.89,119.33,122.91,118.6,987792
2024-04-18,120.76,121.08,124.1,119.72,715476
2024-04-19,120.23,120.54,122.63,119.83,809878
2024-04-22,121.82,125.38,127.47,121.32,1285351
2024-04-23,125.65,126.43,128.45,125.19,1172269
2024-04-24,126.68,125.77,127.37,124.25,665004
2024-04-25,123.44,123.51,124.07,120.33,794241
2024-04-26,125.31,125.4,127.73,124.42,847006
2024-04-29,126.02,127.69,128.87,126.02,825275
2024-04-30,126.73,124.37,127.56,124.31,756279
2024-05-01,124.25,123.55,126.67,121.5,1010101
2024-05-02,126.34,126.7,126.73,123.62,801394
2024-05-03,129.59,124.28,129.59,123.08,1423386
2024-05-06,125.9,126.63,128.24,125.53,1799445
2024-05-07,133.12,136.49,142.71,132.1,5366566
2024-05-08,135.27,135.42,137.27,133.15,1204886
2024-05-09,135.86,139.7,139.86,134.77,1419359
2024-05-10,140.72,143.27,143.36,139.18,1711934
2024-05-13,144.59,142.94,144.78,141.02,903974
2024-05-14,144.77,145.31,147.36,144.57,1371245
2024-05-15,146.83,144.73,148.16,144.06,1054215
2024-05-16,144.8,142.01,145.38,140.73,1102201
2024-05-17,142.16,140.95,142.78,140.2,878090
2024-05-20,141.09,139.32,141.87,139.01,609122
2024-05-21,139.54,144.42,144.89,139.5,1086582
2024-05-22,142.97,141.54,144.24,141.08,805052
2024-05-23,141.86,142.62,144.6,139.5,1106040
2024-05-24,144.73,148.92,150.72,144.73,1641822
2024-05-28,150.77,154.91,155.46,150.76,1447229
2024-05-29,152.9,153.61,154.9,151.57,1036687
2024-05-30,154.05,155.97,157.56,153.62,896304
2024-05-31,156.34,155.64,158.0,152.18,1050466
2024-06-03,157.0,153.93,158.11,153.08,900876
2024-06-04,152.48,148.72,154.74,148.58,1029842
2024-06-05,148.96,148.01,149.7,147.6,773591
2024-06-06,148.5,148.41,149.42,146.66,1379440
2024-06-07,147.94,147.0,150.87,146.66,923163
2024-06-10,145.4,154.08,155.04,143.28,1361922
2024-06-11,153.01,154.53,154.66,150.09,1014531
2024-06-12,158.0,157.45,158.8,155.54,1111527
2024-06-13,156.96,158.65,159.75,155.53,1345116
2024-06-14,156.31,156.98,159.16,154.78,1074275
2024-06-17,156.64,159.68,161.05,155.46,858634
2024-06-18,159.49,159.42,160.03,156.34,1177560
2024-06-20,160.0,157.85,165.32,156.79,1541840
2024-06-21,156.5,154.74,156.5,153.11,1765382
2024-06-24,153.32,152.59,154.83,151.46,1418317
2024-06-25,153.41,151.14,153.8,150.67,938568
2024-06-26,151.94,148.64,154.8,148.18,1109336
2024-06-27,147.9,148.25,148.74,146.23,1014166
2024-06-28,144.89,145.94,148.65,142.8,2387296
2024-07-01,147.57,147.75,150.03,146.84,1239830
2024-07-02,146.62,145.49,147.02,143.16,1276258
2024-07-03,146.18,147.9,150.14,146.0,512615
2024-07-05,147.81,143.54,148.89,142.86,1106986
2024-07-08,145.0,144.52,145.57,143.03,1206912
2024-07-09,144.5,143.25,145.34,142.66,836005
2024-07-10,144.45,140.14,144.45,137.57,1473682
2024-07-11,142.16,142.89,143.77,141.01,1120007
2024-07-12,141.55,139.24,141.98,138.85,1528246
2024-07-15,139.22,135.85,139.22,135.66,1235716
2024-07-16,136.12,136.1,137.2,133.59,1272823
2024-07-17,133.49,132.99,137.16,132.27,1088135
2024-07-18,133.72,131.55,135.52,130.08,1188075
2024-07-19,131.48,133.5,134.5,130.22,1729428
2024-07-22,134.3,133.28,134.43,130.89,1257742
2024-07-23,133.73,131.3,136.1,131.13,1520009
2024-07-24,130.67,129.38,131.26,128.16,999666
2024-07-25,130.0,125.14,130.0,123.36,2123711
2024-07-26,129.5,130.5,133.64,129.21,1876052
2024-07-29,130.91,132.51,134.04,130.77,1337392
2024-07-30,132.69,132.61,136.03,130.91,1694545
2024-07-31,134.69,134.37,137.7,132.61,2432800
2024-08-01,126.59,130.81,133.04,120.8,4896071
2024-08-02,123.86,123.31,125.37,121.55,2195533
2024-08-05,114.55,121.05,122.38,112.5,1821697
2024-08-06,123.15,126.69,127.45,122.77,1221338
2024-08-07,128.49,126.18,131.72,125.89,1355175
2024-08-08,127.64,131.75,132.48,126.6,914649
2024-08-09,131.73,132.27,132.74,129.48,899760
2024-08-12,132.27,130.24,132.44,129.21,1048641
2024-08-13,132.06,134.61,135.85,131.83,1451399
2024-08-14,135.33,131.39,136.55,131.09,1025678
2024-08-15,136.66,137.18,138.66,134.44,926025
2024-08-16,136.69,136.05,137.26,134.75,717625
2024-08-19,136.03,139.31,140.11,136.03,968631
2024-08-20,139.4,135.01,139.46,134.5,796561
2024-08-21,137.12,140.6,145.37,136.62,1529568
2024-08-22,144.41,142.06,145.49,141.32,1031908
2024-08-23,144.48,144.69,146.86,143.16,1059418
2024-08-26,144.51,140.08,144.51,138.92,978434
2024-08-27,139.36,143.18,143.59,137.84,737685
2024-08-28,142.94,143.11,143.85,139.85,785790
2024-08-29,143.43,145.28,147.32,142.22,774015
2024-08-30,146.98,146.17,146.98,143.05,601931
2024-09-03,145.28,139.92,145.7,139.13,912492
2024-09-04,138.39,138.92,140.71,138.11,743261
2024-09-05,138.73,135.62,138.73,135.17,666821
2024-09-06,135.42,129.82,136.37,129.7,999988
2024-09-09,131.01,125.73,131.97,125.52,1180487
2024-09-10,126.7,125.43,129.18,124.85,1091299
2024-09-11,125.37,128.14,128.83,123.2,911429
2024-09-12,128.14,127.73,128.87,126.54,736269
2024-09-13,128.6,128.77,131.08,128.56,825808
2024-09-16,129.08,135.47,136.87,129.08,1462828
2024-09-17,135.8,138.43,139.79,135.8,1118910
2024-09-18,138.53,139.81,143.0,138.3,854314
2024-09-19,142.95,137.92,144.32,134.45,1257257
2024-09-20,138.16,139.05,140.34,137.64,1491867
2024-09-23,140.5,143.75,144.09,137.94,1084806
2024-09-24,145.0,144.83,147.11,143.93,1105341
2024-09-25,145.36,143.04,146.45,141.81,891668
2024-09-26,147.5,147.4,151.13,145.42,1159716
2024-09-27,148.01,144.31,148.25,143.9,975883
2024-09-30,144.09,144.81,145.26,141.84,835746
2024-10-01,144.1,141.63,144.44,139.42,877037
2024-10-02,139.27,140.8,142.46,138.51,933954
2024-10-03,138.92,137.99,140.97,136.19,830119
2024-10-04,140.86,141.93,142.74,140.28,813650
2024-10-07,141.51,136.54,141.51,134.51,931822
2024-10-08,135.74,135.61,137.25,134.63,755744
2024-10-09,137.24,135.11,138.34,134.9,684477
2024-10-10,134.78,136.74,136.96,133.84,830792
2024-10-11,136.73,139.55,139.75,136.23,624270
