Date,Open,High,Low,Close,Volume
2018-06-19,34.51,34.83,34.37,34.67,0.0
2018-06-20,34.77,34.8,34.57,34.6,0.0
2018-06-21,34.56,34.64,34.07,34.15,0.0
2018-06-22,34.29,34.38,33.93,34.18,0.0
2018-06-25,33.77,33.88,33.07,33.46,0.0
2018-06-26,33.61,34.13,33.54,33.66,0.0
2018-06-27,33.81,34.14,33.45,33.49,0.0
2018-06-28,33.49,34.17,33.45,33.97,0.0
2018-06-29,34.06,34.41,34.0,34.04,0.0
2018-07-02,33.67,33.88,33.39,33.87,0.0
2018-07-03,33.97,34.2,33.72,33.76,0.0
2018-07-05,33.93,34.0,33.45,33.93,0.0
2018-07-06,33.8,34.18,33.73,34.05,0.0
2018-07-09,34.08,34.11,33.77,34.02,0.0
2018-07-10,34.18,34.31,34.05,34.17,0.0
2018-07-11,33.93,34.09,33.84,33.94,0.0
2018-07-12,34.09,34.79,34.08,34.75,0.0
2018-07-13,34.7,34.91,32.64,33.31,0.0
2018-07-16,33.53,34.23,33.49,33.88,0.0
2018-07-17,33.65,33.89,33.6,33.76,0.0
2018-07-18,33.68,33.86,33.61,33.65,0.0
2018-07-19,34.12,34.29,33.66,33.8,0.0
2018-07-20,33.69,33.78,33.37,33.49,0.0
2018-07-23,33.42,33.58,33.04,33.53,0.0
2018-07-24,33.66,34.19,33.54,33.8,0.0
2018-07-25,33.77,34.46,33.72,34.41,0.0
2018-07-26,34.75,34.94,34.46,34.71,0.0
2018-07-27,34.49,34.78,33.82,33.94,0.0
2018-07-30,33.85,33.97,33.55,33.62,0.0
2018-07-31,33.68,33.98,33.42,33.72,0.0
2018-08-01,33.48,33.76,32.95,33.37,0.0
2018-08-02,33.0,33.96,32.85,33.91,0.0
2018-08-03,34.05,34.18,33.85,34.15,0.0
2018-08-06,34.07,34.61,34.01,34.52,0.0
2018-08-07,34.52,34.79,34.47,34.75,0.0
2018-08-08,34.79,35.05,34.63,34.95,0.0
2018-08-09,34.99,35.17,34.84,34.91,0.0
2018-08-10,34.83,35.04,34.75,34.91,0.0
2018-08-13,35.14,35.39,34.84,34.88,0.0
2018-08-14,34.95,35.3,34.75,35.08,0.0
2018-08-15,34.81,35.48,34.29,34.97,0.0
2018-08-16,36.49,36.75,35.94,36.01,0.0
2018-08-17,35.96,36.73,35.81,36.57,0.0
2018-08-20,36.67,36.94,36.5,36.85,0.0
2018-08-21,36.87,37.02,36.45,36.5,0.0
2018-08-22,36.63,36.8,36.45,36.67,0.0
2018-08-23,36.58,36.87,36.56,36.69,0.0
2018-08-24,36.84,37.03,36.73,36.93,0.0
2018-08-27,37.07,37.36,36.95,37.15,0.0
2018-08-28,37.3,37.69,37.17,37.43,0.0
2018-08-29,37.53,37.97,37.39,37.85,0.0
2018-08-30,37.72,37.9,37.45,37.59,0.0
2018-08-31,37.4,38.13,37.31,38.09,0.0
2018-09-04,38.14,38.32,37.88,38.05,0.0
2018-09-05,37.92,37.99,37.28,37.69,0.0
2018-09-06,37.82,38.19,37.53,37.7,0.0
2018-09-07,37.48,37.86,37.38,37.51,0.0
2018-09-10,37.71,37.84,37.29,37.53,0.0
2018-09-11,37.4,37.61,37.02,37.5,0.0
2018-09-12,37.36,37.48,37.03,37.38,0.0
2018-09-13,37.34,37.79,37.31,37.66,0.0
2018-09-14,37.69,37.86,37.55,37.79,0.0
2018-09-17,37.66,37.94,37.53,37.56,0.0
2018-09-18,37.53,37.99,37.53,37.84,0.0
2018-09-19,37.81,37.97,37.57,37.7,0.0
2018-09-20,37.8,38.12,37.6,38.05,0.0
2018-09-21,38.21,38.78,38.13,38.72,0.0
2018-09-24,38.44,38.76,38.42,38.62,0.0
2018-09-25,38.72,38.97,38.61,38.64,0.0
2018-09-26,38.86,39.12,38.48,38.6,0.0
2018-09-27,38.53,38.88,38.44,38.53,0.0
2018-09-28,38.48,38.91,38.32,38.79,0.0
2018-10-01,39.07,39.18,38.8,38.96,0.0
2018-10-02,38.87,39.18,38.8,39.08,0.0
2018-10-03,39.27,39.44,39.12,39.18,0.0
2018-10-04,39.03,39.15,38.56,38.83,0.0
2018-10-05,38.85,39.21,38.22,38.63,0.0
2018-10-08,38.46,38.93,37.85,38.14,0.0
2018-10-09,38.15,38.55,37.95,38.12,0.0
2018-10-10,38.08,38.13,36.55,36.63,0.0
2018-10-11,36.49,36.6,35.25,35.41,0.0
2018-10-12,36.06,36.8,35.69,36.69,0.0
2018-10-15,36.54,36.7,35.85,35.85,0.0
2018-10-16,36.35,36.87,36.0,36.78,0.0
2018-10-17,36.83,37.11,36.3,36.87,0.0
2018-10-18,37.16,37.32,36.24,36.49,0.0
2018-10-19,36.44,37.08,36.22,36.39,0.0
2018-10-22,36.74,37.15,36.45,36.73,0.0
2018-10-23,36.24,36.74,35.67,36.46,0.0
2018-10-24,36.51,36.67,35.28,35.37,0.0
2018-10-25,35.81,36.77,35.48,36.5,0.0
2018-10-26,35.77,36.21,35.14,35.52,0.0
2018-10-29,36.03,36.16,34.47,35.19,0.0
2018-10-30,35.25,35.88,35.12,35.78,0.0
2018-10-31,36.16,37.16,36.03,36.72,0.0
2018-11-01,36.66,36.83,36.2,36.64,0.0
2018-11-02,36.7,36.99,36.1,36.51,0.0
2018-11-05,36.71,37.27,36.4,37.03,0.0
2018-11-06,36.95,37.42,36.92,37.32,0.0
2018-11-07,37.71,38.47,37.52,38.45,0.0
2018-11-08,38.42,38.88,38.42,38.88,0.0
2018-11-09,38.59,38.73,37.48,37.81,0.0
2018-11-12,37.84,37.93,36.55,36.62,0.0
2018-11-13,36.68,36.97,36.14,36.22,0.0
2018-11-14,36.49,36.63,35.38,35.58,0.0
2018-11-15,37.56,37.8,36.24,37.54,0.0
2018-11-16,37.29,37.76,37.03,37.2,0.0
2018-11-19,37.2,37.39,36.32,36.72,0.0
2018-11-20,36.06,36.35,35.43,35.71,0.0
2018-11-21,36.08,36.26,35.63,36.03,0.0
2018-11-23,35.68,36.22,35.63,35.75,0.0
2018-11-26,36.23,36.63,36.19,36.58,0.0
2018-11-27,36.48,37.24,36.29,37.02,0.0
2018-11-28,37.16,38.11,37.02,37.96,0.0
2018-11-29,37.65,38.34,37.65,38.0,0.0
2018-11-30,37.94,38.46,37.66,38.42,0.0
2018-12-03,38.78,39.16,38.59,39.12,0.0
2018-12-04,39.09,39.44,37.93,38.01,0.0
2018-12-06,37.72,38.9,37.3,38.84,0.0
2018-12-07,38.66,38.92,37.21,37.28,0.0
2018-12-10,37.16,37.83,36.77,37.61,0.0
2018-12-11,38.42,38.45,37.49,37.8,0.0
2018-12-12,38.46,38.69,38.01,38.06,0.0
2018-12-13,38.27,38.5,37.83,38.1,0.0
2018-12-14,37.22,37.42,36.63,36.78,0.0
2018-12-17,36.78,36.91,35.24,35.48,0.0
2018-12-18,35.76,35.81,35.1,35.37,0.0
2018-12-19,35.23,36.06,34.17,34.63,0.0
2018-12-20,34.51,34.7,33.61,34.1,0.0
2018-12-21,34.44,34.88,33.5,33.59,0.0
2018-12-24,33.47,33.56,32.31,32.33,0.0
2018-12-26,32.65,34.11,32.43,34.09,0.0
2018-12-27,33.62,34.46,33.03,34.44,0.0
2018-12-28,34.65,34.94,34.08,34.33,0.0
2018-12-31,34.67,34.96,34.43,34.78,0.0
2019-01-02,33.94,34.67,33.88,34.47,0.0
2019-01-03,34.22,34.3,33.13,33.22,0.0
2019-01-04,33.85,34.78,33.59,34.72,0.0
2019-01-07,34.67,35.3,34.59,34.95,0.0
2019-01-08,35.24,35.54,34.86,35.23,0.0
2019-01-09,35.49,35.49,34.92,35.04,0.0
2019-01-10,34.87,35.02,34.44,34.98,0.0
2019-01-11,34.87,35.22,34.69,35.18,0.0
2019-01-14,34.85,35.1,34.78,34.95,0.0
2019-01-15,35.05,35.62,34.9,35.61,0.0
2019-01-16,35.69,35.78,35.4,35.56,0.0
2019-01-17,35.49,36.02,35.43,35.76,0.0
2019-01-18,35.98,36.68,35.84,36.42,0.0
2019-01-22,36.3,36.59,35.9,36.22,0.0
2019-01-23,36.51,37.11,36.42,36.77,0.0
2019-01-24,36.91,37.01,36.59,36.89,0.0
2019-01-25,37.31,37.74,37.17,37.31,0.0
2019-01-28,36.99,37.02,36.59,37.01,0.0
2019-01-29,37.05,37.25,36.92,37.18,0.0
2019-01-30,37.16,37.96,37.14,37.78,0.0
2019-01-31,37.79,38.33,37.63,38.25,0.0
2019-02-01,38.32,38.47,38.06,38.29,0.0
2019-02-04,38.2,38.4,38.12,38.3,0.0
2019-02-05,38.36,38.39,38.08,38.23,0.0
2019-02-06,38.12,38.49,37.98,38.41,0.0
2019-02-07,38.17,38.28,37.6,37.77,0.0
2019-02-08,37.53,38.18,37.45,38.17,0.0
2019-02-11,38.29,38.59,38.12,38.49,0.0
2019-02-12,38.24,38.95,38.15,38.74,0.0
2019-02-13,38.71,38.79,38.12,38.42,0.0
2019-02-14,39.51,40.19,39.1,39.15,0.0
2019-02-15,39.5,40.11,39.18,39.98,0.0
2019-02-19,39.8,40.39,39.8,40.16,0.0
2019-02-20,40.2,40.28,39.92,40.15,0.0
2019-02-21,40.07,40.22,39.8,39.97,0.0
2019-02-22,40.2,40.62,40.1,40.53,0.0
2019-02-25,40.72,41.25,40.72,41.08,0.0
2019-02-26,40.86,41.59,40.83,41.4,0.0
2019-02-27,41.42,41.78,41.16,41.73,0.0
2019-02-28,41.7,42.03,41.54,41.88,0.0
2019-03-01,42.06,42.13,41.47,41.59,0.0
2019-03-04,41.78,42.0,40.95,41.38,0.0
2019-03-05,41.35,41.66,41.23,41.5,0.0
2019-03-06,41.55,41.89,41.19,41.8,0.0
2019-03-07,41.7,42.04,41.42,41.49,0.0
2019-03-08,41.03,41.36,40.86,41.31,0.0
2019-03-11,41.37,42.13,41.33,42.0,0.0
2019-03-12,42.07,42.28,41.8,42.18,0.0
2019-03-13,42.39,42.75,42.18,42.54,0.0
2019-03-14,42.57,42.84,42.48,42.66,0.0
2019-03-15,42.82,43.37,42.81,43.03,0.0
2019-03-18,43.09,43.63,42.94,43.28,0.0
2019-03-19,43.51,43.68,42.98,43.12,0.0
2019-03-20,43.0,43.58,42.75,43.08,0.0
2019-03-21,42.94,43.87,42.9,43.63,0.0
2019-03-22,43.61,43.79,42.63,42.66,0.0
2019-03-25,42.63,42.81,42.26,42.65,0.0
2019-03-26,43.02,43.26,42.87,43.06,0.0
2019-03-27,43.11,43.41,42.66,42.98,0.0
2019-03-28,43.02,43.43,42.89,43.16,0.0
2019-03-29,43.44,43.68,43.16,43.67,0.0
2019-04-01,44.06,44.51,44.0,44.47,0.0
2019-04-02,44.49,44.82,44.47,44.72,0.0
2019-04-03,44.86,45.14,44.55,45.0,0.0
2019-04-04,45.07,45.33,44.66,44.88,0.0
2019-04-05,44.98,45.27,44.88,44.94,0.0
2019-04-08,44.93,45.23,44.6,45.17,0.0
2019-04-09,44.84,45.11,44.66,44.92,0.0
2019-04-10,44.86,45.45,44.86,45.44,0.0
2019-04-11,45.53,45.54,45.02,45.26,0.0
2019-04-12,45.53,45.87,45.41,45.82,0.0
2019-04-15,45.91,46.08,45.78,46.04,0.0
2019-04-16,46.09,46.83,46.08,46.36,0.0
2019-04-17,46.55,46.66,45.82,45.84,0.0
2019-04-18,46.1,46.15,45.67,45.91,0.0
2019-04-22,45.72,46.07,45.67,45.86,0.0
2019-04-23,45.94,46.15,45.75,46.15,0.0
2019-04-24,46.11,46.52,46.06,46.3,0.0
2019-04-25,45.96,46.22,45.59,45.85,0.0
2019-04-26,45.6,45.89,45.33,45.49,0.0
2019-04-29,45.31,45.76,45.22,45.69,0.0
2019-04-30,45.59,45.68,45.2,45.54,0.0
2019-05-01,45.59,45.87,45.19,45.24,0.0
2019-05-02,45.16,45.5,44.62,44.72,0.0
2019-05-03,44.48,44.76,44.1,44.72,0.0
2019-05-06,43.84,44.58,43.6,44.44,0.0
2019-05-07,43.84,44.15,43.09,43.51,0.0
2019-05-08,43.28,43.91,43.25,43.53,0.0
2019-05-09,43.0,43.31,42.52,43.08,0.0
2019-05-10,42.83,43.59,42.29,43.44,0.0
2019-05-13,42.19,42.54,41.56,41.76,0.0
2019-05-14,41.88,42.69,41.82,42.34,0.0
2019-05-15,42.13,42.91,42.08,42.69,0.0
2019-05-16,44.18,45.91,44.05,45.53,0.0
2019-05-17,45.41,46.26,45.19,45.87,0.0
2019-05-20,45.42,45.9,45.22,45.59,0.0
2019-05-21,46.14,46.2,45.69,46.01,0.0
2019-05-22,45.76,45.83,45.32,45.33,0.0
2019-05-23,44.7,44.78,43.91,44.11,0.0
2019-05-24,44.42,44.5,44.01,44.26,0.0
2019-05-28,44.56,44.8,43.81,43.9,0.0
2019-05-29,43.59,43.59,43.02,43.29,0.0
2019-05-30,43.5,43.78,43.42,43.61,0.0
2019-05-31,42.97,43.05,42.34,42.35,0.0
2019-06-03,42.37,42.79,41.91,42.15,0.0
2019-06-04,42.72,43.66,42.66,43.33,0.0
2019-06-05,43.84,44.6,43.75,44.57,0.0
2019-06-06,44.68,45.02,44.13,44.85,0.0
2019-06-07,45.1,45.83,44.8,45.53,0.0
2019-06-10,45.7,46.11,45.55,45.93,0.0
2019-06-11,46.19,46.85,46.18,46.49,0.0
2019-06-12,45.63,46.06,45.3,45.47,0.0
2019-06-13,45.52,45.8,45.41,45.72,0.0
2019-06-14,45.58,45.6,44.49,44.57,0.0
2019-06-17,44.76,45.15,44.66,45.1,0.0
2019-06-18,45.64,46.11,45.38,45.63,0.0
2019-06-19,45.62,45.89,45.4,45.69,0.0
2019-06-20,46.4,46.84,46.14,46.73,0.0
2019-06-21,46.73,47.34,46.38,46.42,0.0
2019-06-24,46.6,46.63,46.15,46.55,0.0
2019-06-25,46.45,46.56,45.59,45.65,0.0
2019-06-26,46.02,46.44,45.88,46.07,0.0
2019-06-27,46.35,46.6,45.15,45.37,0.0
2019-06-28,45.51,45.57,43.98,44.55,0.0
2019-07-01,44.98,45.06,44.14,44.56,0.0
2019-07-02,44.63,45.52,44.59,45.43,0.0
2019-07-03,45.69,46.32,45.5,46.27,0.0
2019-07-05,45.87,46.47,45.64,46.37,0.0
2019-07-08,46.08,46.26,45.84,46.03,0.0
2019-07-09,46.18,46.44,45.91,46.15,0.0
2019-07-10,46.44,47.23,46.37,46.8,0.0
2019-07-11,47.0,47.2,46.63,46.94,0.0
2019-07-12,47.17,47.5,47.16,47.47,0.0
2019-07-15,47.51,47.7,47.41,47.55,0.0
2019-07-16,47.62,47.73,47.07,47.2,0.0
2019-07-17,47.16,47.34,46.85,46.87,0.0
2019-07-18,46.73,47.34,46.61,47.3,0.0
2019-07-19,47.36,47.57,46.95,46.99,0.0
2019-07-22,47.07,47.52,47.0,47.29,0.0
2019-07-23,47.56,47.59,47.09,47.27,0.0
2019-07-24,47.17,47.25,46.78,46.88,0.0
2019-07-25,46.99,47.1,46.18,46.38,0.0
2019-07-26,46.43,46.56,46.18,46.31,0.0
2019-07-29,46.44,46.82,46.32,46.64,0.0
2019-07-30,46.57,46.61,46.16,46.26,0.0
2019-07-31,46.14,46.55,44.97,45.38,0.0
2019-08-01,45.74,46.6,45.19,45.37,0.0
2019-08-02,44.42,44.5,43.07,43.62,0.0
2019-08-05,42.92,43.04,41.73,42.08,0.0
