Date,Open,High,Low,Close,Volume
2026-06-03,33.51,33.52,32.05,33.4,9461251
2026-06-02,33.08,33.76,31.7,33.66,2211745
2026-06-01,32.62,33.88,32.01,33.86,8038388
2026-05-29,32.65,32.94,31.86,32.2,7789020
2026-05-28,32.24,32.9,32.0,32.3,6749441
2026-05-27,32.59,33.48,32.21,32.32,5017978
2026-05-26,33.61,33.71,32.5,32.52,5969404
2026-05-22,33.87,34.64,33.61,33.95,4615829
2026-05-21,33.65,34.43,33.03,33.93,5411021
2026-05-20,33.41,34.26,32.19,34.01,5009274
2026-05-19,33.8,34.86,33.28,33.8,6596612
2026-05-18,32.73,34.34,32.42,33.2,10165260
2026-05-15,31.92,33.02,31.92,32.68,37834033
2026-05-14,31.97,32.58,31.36,31.85,7866867
2026-05-13,32.41,32.88,31.78,31.97,8482366
2026-05-12,33.21,33.54,32.21,33.05,8261063
2026-05-11,32.45,33.19,32.09,32.92,8214738
2026-05-08,34.62,34.64,32.71,32.77,7105832
2026-05-07,34.08,35.59,33.94,34.98,7712372
2026-05-06,34.95,35.26,34.03,34.07,5465988
2026-05-05,35.23,35.37,33.82,34.9,5587221
2026-05-04,35.77,35.86,34.69,35.38,6712537
2026-05-01,35.28,36.09,34.35,34.72,6367853
2026-04-30,33.76,34.75,33.33,34.61,7908176
2026-04-29,35.65,36.53,33.32,34.14,15388135
2026-04-28,36.85,37.39,35.88,35.96,7354880
2026-04-27,36.2,36.98,36.08,36.24,5669066
2026-04-24,37.3,37.49,36.04,36.44,4343258
2026-04-23,38.48,38.7,36.56,37.38,6626643
2026-04-22,39.13,39.62,37.77,38.77,4509745
2026-04-21,40.16,41.03,38.77,38.91,4004298
2026-04-20,39.7,40.32,39.36,40.06,3782864
2026-04-17,40.58,40.94,39.52,39.72,3994095
2026-04-16,39.77,40.41,39.57,40.04,6694113
2026-04-15,38.05,39.52,37.64,39.31,6507525
2026-04-14,36.81,38.35,36.81,37.6,7372275
2026-04-13,36.14,37.26,34.75,37.06,11553967
2026-04-10,37.3,37.5,35.77,36.48,5175738
2026-04-09,38.28,38.44,36.91,37.32,5767003
2026-04-08,40.73,41.13,38.48,38.82,6050958
2026-04-07,41.11,41.25,39.44,39.48,4277357
2026-04-06,39.92,41.29,39.64,41.18,5477095
2026-04-02,39.65,40.84,38.7,39.95,5798078
2026-04-01,40.34,40.34,38.69,39.63,5478429
2026-03-31,41.5,41.63,39.57,40.34,5482177
2026-03-30,40.16,41.07,40.04,40.88,6667863
2026-03-27,41.07,41.43,39.18,39.77,6295307
2026-03-26,40.95,42.71,40.95,41.3,4984292
2026-03-25,41.84,42.12,40.33,41.41,5753119
2026-03-24,42.32,42.52,40.78,41.46,4557034
2026-03-23,43.67,43.75,41.79,42.91,7209377
2026-03-20,42.24,43.27,41.96,42.9,15183228
2026-03-19,42.73,43.57,41.84,42.82,6127139
2026-03-18,43.53,44.13,42.65,43.11,8457747
2026-03-17,44.07,45.21,43.62,44.25,4299039
2026-03-16,43.95,44.1,43.45,43.62,5904999
2026-03-13,43.71,44.27,42.94,43.63,5270621
2026-03-12,45.01,46.34,43.29,43.36,6289529
2026-03-11,46.46,47.15,44.83,45.34,5274605
2026-03-10,47.73,48.32,45.5,46.33,4530916
2026-03-09,48.2,48.93,47.62,48.42,5632907
2026-03-06,48.36,48.74,47.64,48.38,3959580
2026-03-05,47.48,49.03,47.27,48.91,5873209
2026-03-04,46.81,48.25,46.81,47.6,4337597
2026-03-03,45.88,47.37,44.78,46.78,5592341
2026-03-02,43.58,45.38,43.16,45.17,6342211
2026-02-27,43.99,45.41,43.74,44.63,8059250
2026-02-26,45.54,46.12,44.79,45.0,7624626
2026-02-25,46.59,47.1,43.17,44.78,11638484
2026-02-24,47.56,49.75,47.33,49.15,5596597
2026-02-23,49.39,50.07,47.81,47.87,7213625
2026-02-20,50.05,52.08,49.43,49.87,7901807
2026-02-19,48.53,49.48,48.05,49.07,5216206
2026-02-18,46.37,49.07,46.37,48.94,7988327
2026-02-17,44.97,45.82,43.8,45.74,8854784
2026-02-13,45.34,45.9,44.55,44.99,5526701
2026-02-12,47.72,48.04,43.92,45.03,10330062
2026-02-11,50.31,50.31,46.78,47.87,6227631
2026-02-10,50.2,52.35,50.2,50.85,5956289
2026-02-09,49.64,51.36,48.56,50.96,8650054
2026-02-06,51.13,51.69,48.76,50.28,6756617
